店名,鏈接
BARTWO【大安區六張犁人氣酒吧】特色調酒｜人氣平價餐酒館｜包場,https://www.google.com/maps/place/BARTWO%E3%80%90%E5%A4%A7%E5%AE%89%E5%8D%80%E5%85%AD%E5%BC%B5%E7%8A%81%E4%BA%BA%E6%B0%A3%E9%85%92%E5%90%A7%E3%80%91%E7%89%B9%E8%89%B2%E8%AA%BF%E9%85%92%EF%BD%9C%E4%BA%BA%E6%B0%A3%E5%B9%B3%E5%83%B9%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E5%8C%85%E5%A0%B4/data=!4m7!3m6!1s0x3442a9a4511c44c7:0xd3e5a9609e6e8c8b!8m2!3d25.0226139!4d121.5508965!16s%2Fg%2F11j36hqlfz!19sChIJx0QcUaSpQjQRi4xunmCp5dM?authuser=0&hl=zh-TW&rclk=1
Twilight 餐酒館｜大安區酒吧｜信義安和酒吧｜,https://www.google.com/maps/place/Twilight+%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E5%A4%A7%E5%AE%89%E5%8D%80%E9%85%92%E5%90%A7%EF%BD%9C%E4%BF%A1%E7%BE%A9%E5%AE%89%E5%92%8C%E9%85%92%E5%90%A7%EF%BD%9C/data=!4m7!3m6!1s0x3442ab7644678811:0x184a2c94c472e80e!8m2!3d25.0329995!4d121.555005!16s%2Fg%2F11vkl47ps9!19sChIJEYhnRHarQjQRDuhyxJQsShg?authuser=0&hl=zh-TW&rclk=1
醉好 Another Round,https://www.google.com/maps/place/%E9%86%89%E5%A5%BD+Another+Round/data=!4m7!3m6!1s0x3442abf448801209:0x993b87cd2e790907!8m2!3d25.0445195!4d121.5469566!16s%2Fg%2F11ry9zm2v2!19sChIJCRKASPSrQjQRBwl5Ls2HO5k?authuser=0&hl=zh-TW&rclk=1
Intention,https://www.google.com/maps/place/Intention/data=!4m7!3m6!1s0x3442abc6936939e9:0xb745daae8ef9ecb9!8m2!3d25.0410494!4d121.549299!16s%2Fg%2F1q62m6yfb!19sChIJ6Tlpk8arQjQRuez5jq7aRbc?authuser=0&hl=zh-TW&rclk=1
Neverland Bar｜台北複合式酒吧｜大安區｜美味餐點|各式調酒｜啤酒買二送一｜開放式包廂｜飛鏢｜桌遊｜唱歌｜包場｜活動 | 生日招待,https://www.google.com/maps/place/Neverland+Bar%EF%BD%9C%E5%8F%B0%E5%8C%97%E8%A4%87%E5%90%88%E5%BC%8F%E9%85%92%E5%90%A7%EF%BD%9C%E5%A4%A7%E5%AE%89%E5%8D%80%EF%BD%9C%E7%BE%8E%E5%91%B3%E9%A4%90%E9%BB%9E%7C%E5%90%84%E5%BC%8F%E8%AA%BF%E9%85%92%EF%BD%9C%E5%95%A4%E9%85%92%E8%B2%B7%E4%BA%8C%E9%80%81%E4%B8%80%EF%BD%9C%E9%96%8B%E6%94%BE%E5%BC%8F%E5%8C%85%E5%BB%82%EF%BD%9C%E9%A3%9B%E9%8F%A2%EF%BD%9C%E6%A1%8C%E9%81%8A%EF%BD%9C%E5%94%B1%E6%AD%8C%EF%BD%9C%E5%8C%85%E5%A0%B4%EF%BD%9C%E6%B4%BB%E5%8B%95+%7C+%E7%94%9F%E6%97%A5%E6%8B%9B%E5%BE%85/data=!4m7!3m6!1s0x3442ab003a5799b1:0xad837cd6988dd814!8m2!3d25.0273617!4d121.5401478!16s%2Fg%2F11vx7knj6n!19sChIJsZlXOgCrQjQRFNiNmNZ8g60?authuser=0&hl=zh-TW&rclk=1
閣樓放感情 l 大安餐酒館 人氣美食 酒吧推薦 調酒 BAR 網美必吃 公司聚餐 宵夜美食餐廳 聚餐聚會酒吧,https://www.google.com/maps/place/%E9%96%A3%E6%A8%93%E6%94%BE%E6%84%9F%E6%83%85+l+%E5%A4%A7%E5%AE%89%E9%A4%90%E9%85%92%E9%A4%A8+%E4%BA%BA%E6%B0%A3%E7%BE%8E%E9%A3%9F+%E9%85%92%E5%90%A7%E6%8E%A8%E8%96%A6+%E8%AA%BF%E9%85%92+BAR+%E7%B6%B2%E7%BE%8E%E5%BF%85%E5%90%83+%E5%85%AC%E5%8F%B8%E8%81%9A%E9%A4%90+%E5%AE%B5%E5%A4%9C%E7%BE%8E%E9%A3%9F%E9%A4%90%E5%BB%B3+%E8%81%9A%E9%A4%90%E8%81%9A%E6%9C%83%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442ab1f8bed705d:0x52308050a61f324e!8m2!3d25.0267571!4d121.5437168!16s%2Fg%2F11j1m1wn80!19sChIJXXDtix-rQjQRTjIfplCAMFI?authuser=0&hl=zh-TW&rclk=1
Posino Taipei,https://www.google.com/maps/place/Posino+Taipei/data=!4m7!3m6!1s0x3442abad01e0c4c1:0x3e0f0fa7cacf0c84!8m2!3d25.0288695!4d121.5568661!16s%2Fg%2F11mr71nbjl!19sChIJwcTgAa2rQjQRhAzPyqcPDz4?authuser=0&hl=zh-TW&rclk=1
MUU bar 水煙 Shisha 酒吧,https://www.google.com/maps/place/MUU+bar+%E6%B0%B4%E7%85%99+Shisha+%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442ab98be91ed03:0xeceb0fe6f3f37c64!8m2!3d25.0389719!4d121.554171!16s%2Fg%2F11v5y4hsyv!19sChIJA-2RvpirQjQRZHzz8-YP6-w?authuser=0&hl=zh-TW&rclk=1
OriginBAR 初 ｜大安餐酒館 東區酒吧 法式小酒館 茶酒,https://www.google.com/maps/place/OriginBAR+%E5%88%9D+%EF%BD%9C%E5%A4%A7%E5%AE%89%E9%A4%90%E9%85%92%E9%A4%A8+%E6%9D%B1%E5%8D%80%E9%85%92%E5%90%A7+%E6%B3%95%E5%BC%8F%E5%B0%8F%E9%85%92%E9%A4%A8+%E8%8C%B6%E9%85%92/data=!4m7!3m6!1s0x3442abaf6afb95f9:0x325a1b34b6f153a5!8m2!3d25.0406879!4d121.5539068!16s%2Fg%2F11mvgqgl7c!19sChIJ-ZX7aq-rQjQRpVPxtjQbWjI?authuser=0&hl=zh-TW&rclk=1
D.Beer居吧-大安深夜酒吧|放鬆酒吧|人氣酒吧|聚餐餐廳|酒吧首選|熱門酒吧|必吃餐酒館|首選餐酒館,https://www.google.com/maps/place/D.Beer%E5%B1%85%E5%90%A7-%E5%A4%A7%E5%AE%89%E6%B7%B1%E5%A4%9C%E9%85%92%E5%90%A7%7C%E6%94%BE%E9%AC%86%E9%85%92%E5%90%A7%7C%E4%BA%BA%E6%B0%A3%E9%85%92%E5%90%A7%7C%E8%81%9A%E9%A4%90%E9%A4%90%E5%BB%B3%7C%E9%85%92%E5%90%A7%E9%A6%96%E9%81%B8%7C%E7%86%B1%E9%96%80%E9%85%92%E5%90%A7%7C%E5%BF%85%E5%90%83%E9%A4%90%E9%85%92%E9%A4%A8%7C%E9%A6%96%E9%81%B8%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442ab007e465c27:0xa7f1334d47c19452!8m2!3d25.0325221!4d121.5527367!16s%2Fg%2F11vq__4139!19sChIJJ1xGfgCrQjQRUpTBR00z8ac?authuser=0&hl=zh-TW&rclk=1
