店名,鏈接
SHANN SHANN 小香 台北三越信義店,https://www.google.com/maps/place/SHANN+SHANN+%E5%B0%8F%E9%A6%99+%E5%8F%B0%E5%8C%97%E4%B8%89%E8%B6%8A%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m7!3m6!1s0x3442abc972c3530b:0xe80bb2d599b6fdfd!8m2!3d25.0363104!4d121.5668588!16s%2Fg%2F11y4nd9vcy!19sChIJC1PDcsmrQjQR_f22mdWyC-g?authuser=0&hl=zh-TW&rclk=1
肴合清酒 Signature Bar （時間如有更動，以FB粉專、IG公告為主，16～18為預約制）,https://www.google.com/maps/place/%E8%82%B4%E5%90%88%E6%B8%85%E9%85%92+Signature+Bar+%EF%BC%88%E6%99%82%E9%96%93%E5%A6%82%E6%9C%89%E6%9B%B4%E5%8B%95%EF%BC%8C%E4%BB%A5FB%E7%B2%89%E5%B0%88%E3%80%81IG%E5%85%AC%E5%91%8A%E7%82%BA%E4%B8%BB%EF%BC%8C16%EF%BD%9E18%E7%82%BA%E9%A0%90%E7%B4%84%E5%88%B6%EF%BC%89/data=!4m7!3m6!1s0x3442ab5220353065:0x4acbabc167be4a57!8m2!3d25.0431025!4d121.5824818!16s%2Fg%2F11sd0rpllm!19sChIJZTA1IFKrQjQRV0q-Z8Gry0o?authuser=0&hl=zh-TW&rclk=1
榕 RON Xinyi,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1
WAT,https://www.google.com/maps/place/WAT/data=!4m7!3m6!1s0x3442ab44c9d57acb:0x1ddfb9b58bdd173d!8m2!3d25.0326839!4d121.5629295!16s%2Fg%2F11j3sxgpwj!19sChIJy3rVyUSrQjQRPRfdi7W53x0?authuser=0&hl=zh-TW&rclk=1
XD－Bar,https://www.google.com/maps/place/XD%EF%BC%8DBar/data=!4m7!3m6!1s0x3442abd0f3924f69:0x6ba4451d9b787688!8m2!3d25.0406227!4d121.5654586!16s%2Fg%2F11srgxxylq!19sChIJaU-S89CrQjQRiHZ4mx1FpGs?authuser=0&hl=zh-TW&rclk=1
來吧台北日式餐酒館-酒吧調酒暢飲 taipeibar 約會餐廳 必訪信義區酒吧 PTT Dcard 台北酒吧 台北餐酒館 taipeifood 國父紀念館酒吧 國父紀念館餐酒館 大安酒吧 信義區餐酒館 信義區暢飲,https://www.google.com/maps/place/%E4%BE%86%E5%90%A7%E5%8F%B0%E5%8C%97%E6%97%A5%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8-%E9%85%92%E5%90%A7%E8%AA%BF%E9%85%92%E6%9A%A2%E9%A3%B2+taipeibar+%E7%B4%84%E6%9C%83%E9%A4%90%E5%BB%B3+%E5%BF%85%E8%A8%AA%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%85%92%E5%90%A7+PTT+Dcard+%E5%8F%B0%E5%8C%97%E9%85%92%E5%90%A7+%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8+taipeifood+%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8%E9%85%92%E5%90%A7+%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8%E9%A4%90%E9%85%92%E9%A4%A8+%E5%A4%A7%E5%AE%89%E9%85%92%E5%90%A7+%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%A4%90%E9%85%92%E9%A4%A8+%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%9A%A2%E9%A3%B2/data=!4m7!3m6!1s0x3442abc8427f83f9:0xccfd27fe730ad56d!8m2!3d25.0371557!4d121.5579345!16s%2Fg%2F11dfjy7p66!19sChIJ-YN_QsirQjQRbdUKc_4n_cw?authuser=0&hl=zh-TW&rclk=1
Draft Land XinYi,https://www.google.com/maps/place/Draft+Land+XinYi/data=!4m7!3m6!1s0x3442abc86ba60fef:0x80b45f873d16a92e!8m2!3d25.0400176!4d121.5663109!16s%2Fg%2F11r49wlh9s!19sChIJ7w-ma8irQjQRLqkWPYdftIA?authuser=0&hl=zh-TW&rclk=1
交易吧 Just Exchange Bar,https://www.google.com/maps/place/%E4%BA%A4%E6%98%93%E5%90%A7+Just+Exchange+Bar/data=!4m7!3m6!1s0x3442ab9d6c15ea05:0x7e017868bfe582a6!8m2!3d25.0310429!4d121.55884!16s%2Fg%2F11rr2msg3k!19sChIJBeoVbJ2rQjQRpoLlv2h4AX4?authuser=0&hl=zh-TW&rclk=1
啜飲室,https://www.google.com/maps/place/%E5%95%9C%E9%A3%B2%E5%AE%A4/data=!4m7!3m6!1s0x3442abbbc0632e07:0x5836c1f514fd0ff4!8m2!3d25.040247!4d121.566773!16s%2Fg%2F11cm05ybr4!19sChIJBy5jwLurQjQR9A_9FPXBNlg?authuser=0&hl=zh-TW&rclk=1
Fake Sober Taipei,https://www.google.com/maps/place/Fake+Sober+Taipei/data=!4m7!3m6!1s0x3442ab839713726d:0x830df9a4a46a72dd!8m2!3d25.0352052!4d121.5674503!16s%2Fg%2F11t5tdyzxn!19sChIJbXITl4OrQjQR3XJqpKT5DYM?authuser=0&hl=zh-TW&rclk=1
GUM GUM雞翅啤酒吧,https://www.google.com/maps/place/GUM+GUM%E9%9B%9E%E7%BF%85%E5%95%A4%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442abc9e61bed7b:0xd8978857a512d1a6!8m2!3d25.033894!4d121.559154!16s%2Fg%2F11c709w5c_!19sChIJe-0b5smrQjQRptESpVeIl9g?authuser=0&hl=zh-TW&rclk=1
