Bar,Average_Positive,Average_Negative,Average_Neutral,Average_Compound,Processed_Bar,店名,評分,評論數,地址,鏈接,Processed_Store,_merge
50_45 WINEHAUS 伴瓶酒葡萄酒吧,0.3888468468468468,0.0073873873873873,0.6037837837837836,0.6622477477477478,5045winehaus伴瓶酒葡萄酒吧,,,,,,,left_only
BAR NiNE 日本語English okのショットバー,0.3719698795180723,0.0238855421686747,0.6041385542168675,0.5384397590361446,barnine日本語englishokのショットハー,,,,,,,left_only
,,,,,,BAR NiNE 日本語English okのショットバー,4.5,313,104台北市中山區林森北路107巷9號,https://www.google.com/maps/place/BAR+NiNE+%E6%97%A5%E6%9C%AC%E8%AA%9EEnglish+ok%E3%81%AE%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88%E3%83%90%E3%83%BC/data=!4m7!3m6!1s0x3442a96f5f6c663d:0xce970aac2b7446f9!8m2!3d25.0502778!4d121.5255556!16s%2Fg%2F1pv3g0m3b!19sChIJPWZsX2-pQjQR-UZ0K6wKl84?authuser=0&hl=zh-TW&rclk=1,barnine日本語englishokのショットバー,right_only
Bar 千華,0.3120714285714285,0.0269285714285714,0.6610238095238095,0.4238166666666667,bar千華,,,,,,,left_only
BLUE FISH BAR,0.2953093525179856,0.0127841726618705,0.691956834532374,0.6799201438848922,bluefishbar,,,,,,,left_only
Crafted Beer & Co. 精釀啤酒屋,0.2573989898989899,0.015040404040404,0.7275606060606061,0.523919696969697,craftedbeerco精釀啤酒屋,,,,,,,left_only
INGE_S Bar & Grill 台北萬豪酒店,0.2759041916167665,0.028440119760479,0.6956467065868264,0.616787125748503,ingesbargrill台北萬豪酒店,,,,,,,left_only
Lobby Lounge @台北萬豪酒店,0.1802542372881355,0.0460338983050847,0.7736864406779661,0.3640703389830508,lobbylounge台北萬豪酒店,,,,,,,left_only
MADE Taipei-東區人氣酒吧_cp酒吧_必去酒吧_忠孝復興人氣酒吧_特色酒吧_熱門酒吧_餐酒館,0.2883170731707317,0.024570731707317,0.6871463414634147,0.7291643902439024,madetaipei東區人氣酒吧cp酒吧必去酒吧忠孝復興人氣酒吧特色酒吧熱門酒吧餐酒館,,,,,,,left_only
M Club,0.3061636363636363,0.0398727272727272,0.6539454545454546,0.5229563636363637,mclub,,,,,,,left_only
"Park90, Taipei",0.3845289256198347,0.0032314049586776,0.6122396694214877,0.6272520661157024,park90taipei,,,,,,,left_only
Poetry 如詩｜大直早午餐、餐酒館,0.2895133689839572,0.0218823529411764,0.6885935828877006,0.6579245989304813,poetry如詩大直早午餐餐酒館,,,,,,,left_only
,,,,,,SecretBistro秘密小酒館 台北餐酒館｜必吃餐酒館推薦 熱門創意調酒 網美網紅餐廳優惠 特色美食料理 人氣IG打卡 不限時餐廳 聚會包場酒吧 網友好評派對小酌 慶生約會首選 調酒雞尾酒 台北中山區 僅此一家 別無分店,4.5,424,104台北市中山區中原街139號1樓,https://www.google.com/maps/place/SecretBistro%E7%A7%98%E5%AF%86%E5%B0%8F%E9%85%92%E9%A4%A8+%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E5%BF%85%E5%90%83%E9%A4%90%E9%85%92%E9%A4%A8%E6%8E%A8%E8%96%A6+%E7%86%B1%E9%96%80%E5%89%B5%E6%84%8F%E8%AA%BF%E9%85%92+%E7%B6%B2%E7%BE%8E%E7%B6%B2%E7%B4%85%E9%A4%90%E5%BB%B3%E5%84%AA%E6%83%A0+%E7%89%B9%E8%89%B2%E7%BE%8E%E9%A3%9F%E6%96%99%E7%90%86+%E4%BA%BA%E6%B0%A3IG%E6%89%93%E5%8D%A1+%E4%B8%8D%E9%99%90%E6%99%82%E9%A4%90%E5%BB%B3+%E8%81%9A%E6%9C%83%E5%8C%85%E5%A0%B4%E9%85%92%E5%90%A7+%E7%B6%B2%E5%8F%8B%E5%A5%BD%E8%A9%95%E6%B4%BE%E5%B0%8D%E5%B0%8F%E9%85%8C+%E6%85%B6%E7%94%9F%E7%B4%84%E6%9C%83%E9%A6%96%E9%81%B8+%E8%AA%BF%E9%85%92%E9%9B%9E%E5%B0%BE%E9%85%92+%E5%8F%B0%E5%8C%97%E4%B8%AD%E5%B1%B1%E5%8D%80+%E5%83%85%E6%AD%A4%E4%B8%80%E5%AE%B6+%E5%88%A5%E7%84%A1%E5%88%86%E5%BA%97/data=!4m7!3m6!1s0x3442a983160bcb29:0x7dd92e316ac7b130!8m2!3d25.0641593!4d121.5291387!16s%2Fg%2F11h6d668s0!19sChIJKcsLFoOpQjQRMLHHajEu2X0?authuser=0&hl=zh-TW&rclk=1,secretbistro秘密小酒館台北餐酒館必吃餐酒館推薦熱門創意調酒網美網紅餐廳優惠特色美食料理人氣ig打卡不限時餐廳聚會包場酒吧網友好評派對小酌慶生約會首選調酒雞尾酒台北中山區僅此一家別無分店,right_only
Shisha屋Match林森唱歌店台北高cp值暢飲水煙館_有骰盅鹹酥雞披薩Hookah喝到飽KTV值得推薦的非酒吧Bar炸物餐酒館,0.376951724137931,0.0082758620689655,0.6147758620689655,0.7089593103448276,shisha屋match林森唱歌店台北高cp值暢飲水煙館有骰盅鹹酥雞披薩hookah喝到飽ktv值得推薦的非酒吧bar炸物餐酒館,,,,,,,left_only
sneaKOut BAR,0.257579831932773,0.0185210084033613,0.7239159663865544,0.6154890756302522,sneakoutbar,,,,,,,left_only
T.R Bar & Kitchen,0.2902,0.0250177777777777,0.6847777777777778,0.6268435555555556,trbarkitchen,,,,,,,left_only
WXYZ Bar,0.2671681415929203,0.077575221238938,0.6552300884955752,0.3627530973451327,wxyzbar,,,,,,,left_only
,,,,,,光譜色酒吧,4.5 29 則評論,4.5 顆星 29,104台北市中山區長安東路一段53巷16號,https://www.google.com/maps/place/%E5%85%89%E8%AD%9C%E8%89%B2%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a9055255b7f1:0x5e4b1600713b4d9e!8m2!3d25.0496812!4d121.5265983!16s%2Fg%2F11s8xfn8l5!19sChIJ8bdVUgWpQjQRnk07cQAWS14?authuser=0&hl=zh-TW&rclk=1,光譜色酒吧,right_only
圓山大飯店-覓到酒吧,0.1869565217391304,0.0291195652173913,0.783945652173913,0.5145065217391305,圓山大飯店覓到酒吧,,,,,,,left_only
小後苑Backyard Jr. (大直Dazhi),0.2372920353982301,0.0249469026548672,0.7377522123893804,0.5616106194690266,小後苑backyardjr大直dazhi,,,,,,,left_only
,,,,,,海派酒吧,5,1,104台北市中山區中山北路一段105巷23號5樓,https://www.google.com/maps/place/%E6%B5%B7%E6%B4%BE%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a9a19385ace7:0x3fc0fff80fa42fae!8m2!3d25.050563!4d121.5244392!16s%2Fg%2F11rzhcr5c4!19sChIJ56yFk6GpQjQRri-kD_j_wD8?authuser=0&hl=zh-TW&rclk=1,海派酒吧,right_only
糖葫蘆小酒館,0.294860465116279,0.0287906976744186,0.6764418604651162,0.4585279069767441,糖葫蘆小酒館,,,,,,,left_only
老大直 Old Town Bar 餐酒館,0.4159952606635071,0.0178862559241706,0.5661184834123223,0.5796222748815166,老大直oldtownbar餐酒館,,,,,,,left_only
陽光美酒薈,0.2956666666666667,0.0276666666666666,0.6766666666666667,0.5157666666666666,陽光美酒薈,,,,,,,left_only
隱侍餐酒館(台北大直店) The Samurai Bistro,0.336063492063492,0.0187671957671957,0.6452010582010582,0.5871904761904763,隱侍餐酒館台北大直店thesamuraibistro,,,,,,,left_only
