店名,評分,地址,電話,鏈接
Under Construction Bar TooL Room 施工中咖啡吧,4.7,"
110台北市信義區莊敬路190-1號",電話未找到,https://www.google.com/maps/place/Under+Construction+Bar+TooL+Room+%E6%96%BD%E5%B7%A5%E4%B8%AD%E5%92%96%E5%95%A1%E5%90%A7/data=!4m7!3m6!1s0x3442a95b73d1a633:0x54d87a50062a6b0e!8m2!3d25.0307431!4d121.5611969!16s%2Fg%2F11hdtyl2kj!19sChIJM6bRc1upQjQRDmsqBlB62FQ?authuser=0&hl=zh-TW&rclk=1
Fake Sober Taipei,4.7,"
110台北市信義區松壽路20號",電話未找到,https://www.google.com/maps/place/Fake+Sober+Taipei/data=!4m7!3m6!1s0x3442ab839713726d:0x830df9a4a46a72dd!8m2!3d25.0352052!4d121.5674503!16s%2Fg%2F11t5tdyzxn!19sChIJbXITl4OrQjQR3XJqpKT5DYM?authuser=0&hl=zh-TW&rclk=1
GUM GUM雞翅啤酒吧,4.7,"
110台北市信義區光復南路473巷11弄38號",電話未找到,https://www.google.com/maps/place/GUM+GUM%E9%9B%9E%E7%BF%85%E5%95%A4%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442abc9e61bed7b:0xd8978857a512d1a6!8m2!3d25.033894!4d121.559154!16s%2Fg%2F11c709w5c_!19sChIJe-0b5smrQjQRptESpVeIl9g?authuser=0&hl=zh-TW&rclk=1
CÉ LA VI 台北,4.7,"
110台北市信義區松智路17號48樓",電話未找到,https://www.google.com/maps/place/C%C3%89+LA+VI+%E5%8F%B0%E5%8C%97/data=!4m7!3m6!1s0x3442ab5b3896b905:0x1e74397cfefb7d35!8m2!3d25.0343502!4d121.5673825!16s%2Fg%2F11h6ns21gc!19sChIJBbmWOFurQjQRNX37_nw5dB4?authuser=0&hl=zh-TW&rclk=1
小後苑Backyard Jr. (信義Xinyi),4.7,"
110台北市信義區松壽路9號3樓",電話未找到,https://www.google.com/maps/place/%E5%B0%8F%E5%BE%8C%E8%8B%91Backyard+Jr.+%28%E4%BF%A1%E7%BE%A9Xinyi%29/data=!4m7!3m6!1s0x3442abba1262a95b:0xa7399523976d3cc9!8m2!3d25.0366616!4d121.5667248!16s%2Fg%2F11gbf8llhh!19sChIJW6liErqrQjQRyTxtlyOVOac?authuser=0&hl=zh-TW&rclk=1
Under Construction Bar TooL Room 施工中咖啡吧·開啟過的連結,4.7,"
110台北市信義區莊敬路190-1號",電話未找到,https://www.google.com/maps/place/Under+Construction+Bar+TooL+Room+%E6%96%BD%E5%B7%A5%E4%B8%AD%E5%92%96%E5%95%A1%E5%90%A7/data=!4m7!3m6!1s0x3442a95b73d1a633:0x54d87a50062a6b0e!8m2!3d25.0307431!4d121.5611969!16s%2Fg%2F11hdtyl2kj!19sChIJM6bRc1upQjQRDmsqBlB62FQ?authuser=0&hl=zh-TW&rclk=1
Sleep No More,4.7,"
1F, No, No. 26松壽路信義區台北市110",電話未找到,https://www.google.com/maps/place/Sleep+No+More/data=!4m7!3m6!1s0x3442ab43faeb08e7:0x3b117ed7e87103cb!8m2!3d25.0352985!4d121.5677192!16s%2Fg%2F11vb50px0p!19sChIJ5wjr-kOrQjQRywNx6Nd-ETs?authuser=0&hl=zh-TW&rclk=1
WOOBAR,4.7,"
110台北市信義區忠孝東路五段10號10F",電話未找到,https://www.google.com/maps/place/WOOBAR/data=!4m7!3m6!1s0x3442abb95768ddc1:0xc1aa2c9cc269375a!8m2!3d25.040568!4d121.5657577!16s%2Fg%2F1tg4j22f!19sChIJwd1oV7mrQjQRWjdpwpwsqsE?authuser=0&hl=zh-TW&rclk=1
IMAGE INHOUSE,4.7,"
110台北市信義區松壽路20號",電話未找到,https://www.google.com/maps/place/IMAGE+INHOUSE/data=!4m7!3m6!1s0x3442ab8085fda201:0x5c9fbc25dfdd4ad2!8m2!3d25.0348993!4d121.5670624!16s%2Fg%2F11t74b_3cr!19sChIJAaL9hYCrQjQR0krd3yW8n1w?authuser=0&hl=zh-TW&rclk=1
ONCOR 響艷都市會所 信義店,4.7,"
11073台北市信義區松仁路101號B2",電話未找到,https://www.google.com/maps/place/ONCOR+%E9%9F%BF%E8%89%B7%E9%83%BD%E5%B8%82%E6%9C%83%E6%89%80+%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m7!3m6!1s0x3442ab663f63084d:0xdb0f117462df6f81!8m2!3d25.0361885!4d121.5686108!16s%2Fg%2F11tjjgt2gp!19sChIJTQhjP2arQjQRgW_fYnQRD9s?authuser=0&hl=zh-TW&rclk=1
