Original,EN
"烏魚子口味披薩第一次見吃覺得很有趣，薄皮夠脆。
肋排入味，肉軟嫩容易脫骨。
莎莎醬超喜歡！

遇到駐唱日，環境氣氛很像花東的小酒吧，放鬆舒適。","The culfustral flavored pizza is very interesting for the first time to eat, and the thin skin is crispy.
The ribs are delicious, and the flesh is soft and tender and easy to break off.
Sasha sauce is so much!

When encountering the daily singing day, the environmental atmosphere is very similar to Huadong's bar, relaxing and comfortable."
"喝到新推出的火龍果特調～
喝得出來是新鮮火龍果現打的 不甜膩 酒感不重 推推🫶
當天剛好有現場表演（店家fb上會有公布表演消息唷）
異國風情濃厚～很放鬆愉快的夜晚✨
只可惜當天天氣實在太熱了，作為是戶外開放式的，所以沒有待太久
不過店家有放蚊香在旁邊，超容易被🦟咬的我，這次都沒有被咬☺️
ps 很適合泡完湯來小酌幾杯 ♨️","Drink the newly launched dragon fruit special ~
It can be drunk that the fresh fire dragon fruit is not sweet and wine is not heavy.
On the same day, there was a live performance (the performance news will be announced on the store FB)
The exotic style is strong ~ very relaxed and happy night ✨
Unfortunately, the weather was too hot that day, as an outdoor open, so I didn’t stay too long.
However, the store has mosquito coils next to me, and it is very easy to be bitten by me. Nothing is bitten this time ☺️
PS is very suitable for the soup to drink a few cups ♨️"
"平日晚上人不多的時間用餐，老闆非常親切與熱情，會來關心舒適度、口味等等，環境很chill，假日會有音樂演唱的活動，推薦好友同行，看著綠蔭植栽放鬆身心👩‍🌾

瑪格麗特披薩🍕 $380 🌕🌕🌕🌕
義式披薩餅皮，Q軟的口感很棒，起司給的豐富，但感覺少了一些番茄和羅勒襯托出來的清香感，下次會嘗試不同口味～

薯塊🍟 $200 🌕🌕🌕🌕🌕
大推，不過建議3人以上分食，馬鈴薯塊明顯是自己製作，豐盛且炸物功力很不錯，絕對要搭配辣醬🌶️嘗試

調酒-白色佳人🍸 $300 🌕🌕🌕🌕🌕
酒感後勁十足，酸甜口味算是很剛好，不會太過，搭配風景微風，很舒服！","There is not much time for people to eat on weekdays. The boss is very kind and enthusiastic. He will care about comfort, taste, etc. The environment is very chill. There will be music singing activities on holidays. Recommended friends to accompany you. Bleak

Margaret pizza 3 $ 380 🌕🌕🌕🌕
Italian pizza cake skin, Q's soft taste is great, the cheese is rich, but it feels missing some tomatoes and the sense of fragrance of Laler, and will try different flavors next time ~

Potatoes $ $ 200 🍟
Great push, but it is recommended to eat more than 3 people. The potato pieces are obviously made by themselves. The abundant and fried skills are very good. You must use spicy sauce 🌶️ Try

Bartending-white beauty $ $ 300 🌕🌕🌕🌕🌕
The wine is full of strength, the sweet and sour taste is just right, it will not be too much. It is very comfortable with the scenery of the landscape!"
"隱藏在溫泉街最底部的比薩店，只是餓了在地圖找食物，沒想到意外的超～好吃！！！

店員說晚上7點以後還會有現場演奏！飲料有酒也有咖啡，如果沒有開車真的很適合喝一杯～","Hidden at the bottom of the hot spring street, I was hungry to find food on the map. I did not expect that the accident was super ~ delicious!IntersectionIntersection

The clerk said that there will be live performances after 7 pm!There are coffee in drinks and wine. If you do n’t drive, you are really suitable for a drink ~"
"餐點好吃 服務平平但不會不舒服
值得推薦 家人也想再來消費
小朋友也很喜歡
啤酒值得大讚","The delicious service is flat but not uncomfortable
It is worth recommending family members and want to spend again
Children also like it too
Beer is worthy of praise"
6/5傍晚近晚餐時間入座，已經沒有「牛奶」，所以沒賣奶茶、拿鐵飲品，連普通不過的可樂也沒了，水果氣泡飲也只有一種，只好點了一杯沒什麼味道的紅茶，啤酒及白酒正常，瑪格麗特披薩普通，香腸真的覺得cp值不高，連擺盤都沒有，就要三百多元，坐戶外要注意黑蚊（不知店家有沒有點蚊香或備防蚊液給客人使用，若沒有建議可以提供）。或許這裡適合喝啤酒（不貴），不適合「吃飽」，以上差不多的價位都可到山上的景觀餐廳用餐還有風景可看。沒看到駐唱表演還不如買山下的紅茶冰去圖書館公園坐著。,"On the 65th evening, I was seated at dinner time. There was no ""milk"", so I did not sell milk tea and took iron drinks. Even the ordinary cola is gone. There was only one kind of fruit bubble drink. I had to order a cup of black tea without any taste. Beer and liquor are normal, Margaret Pizza Putong, the sausage really feels that the CP value is not high, and there is no more than 300 yuan. Pay attention to the black mosquito when you are outdoors Mosquito liquid is used for guests, and it is not recommended to provide it).Perhaps it is suitable for drinking beer (not expensive). It is not suitable for ""full"". The above price can be at the landscape restaurant on the mountain to eat and have a landscape to see.I didn't see the singing performance as if I bought a black tea ice under the mountain to sit in the library park."
餐點都很用心好吃，可當正餐吃也很適合當下酒菜。Bartender 很厲害，調出來的酒在喝的時候不覺得酒感很重，反而是很順口又好喝，但喝完才發現有夠濃的啦！現場氣氛非常好，彷彿置身國外一樣，現場的駐唱歌手也很會唱，如果有機會還會再來的！btw巧克力好可愛喔！,"The meals are very delicious, but it is also suitable for the current wine and vegetables when eating.Bartender is very powerful. When I drink it, I don't feel the wine when I drink it. Instead, it is very smooth and delicious, but I find that it is strong enough after drinking!The atmosphere at the scene was very good, as if he was in a foreign country, the resident singer at the scene would also sing. If you have a chance, you will come again!BTW chocolate is so cute!"
"很有氛圍的餐廳、音樂很好聽，建築是有點歷史感（有閣樓）的房子，店狗（？）巧克力很親人很可愛。

調酒師很年輕，特調的「提拉米蘇」調酒很好喝。店員也很年輕很親切，服務100分。","The atmospheric restaurant and music are very nice. The architecture is a historic house (with the attic) house. The shop dog (?) Chocolate is very cute.

The bartender is very young, and the special ""Tiramisu"" bartender is delicious.The clerk is also very young and kind, and the service is 100 points."
有咖啡也有酒的咖啡廳，有庭院也有小溪，坐在戶外區聽著潺潺流水和蟲鳴鳥叫，實在愜意。餐點價格也不貴，主要是來喝酒的。夜晚也十分涼爽，但戶外區難免有些蚊蟲叮咬，反應之後店家也立刻跑去買蚊香來點，非常貼心。披薩的部分，是店家手作的瑪格莉特披薩，很好吃，十分推薦,"There are cafes with coffee and wine, and there are courtyards and cosmetics. Sitting in the outdoor area listening to the flowing water and the buns of the insects, it is really pleasant.The price of meals is not expensive, mainly to drink.It was also very cool at night, but there were inevitably some mosquito bites in the outdoor area. After the reaction, the store also ran to buy mosquito coils. It was very intimate.The part of the pizza is the Margaret pizza of the store's handwriting, which is delicious and recommended"
"位在北投湯泉的尾端，
分戶外、半戶外及室內座位
場地大，座位也算多～～～
還有駐唱區，可以和情人、姐妹、家人來這裡享受悠閒的時光。

老闆非常熱情，推薦我們特色料理😆喜歡嚐鮮的人可以來試試看烏魚子Pizza","It is at the end of the Tangquan, Beitou,
Outdoor, semi -outdoor and indoor seats
The venue is large, and the seats are too much ~~~
There is also a singing area that can come here to enjoy leisurely with lover, sisters, and family.

The boss is very enthusiastic and recommends our special dishes. People who like early adopters can try to see the mullet pizza"
餐點都不錯吃，如果在附近住，晚上很適合來喝一杯吃點心。點了瑪格麗特比薩、咖哩肉派、地中海番茄，番茄很推薦吃吃看。剛好遇到有駐唱，很放鬆,"The meal is good. If you live nearby, you will be suitable for drinking a snack at night.Ordered Margaret Besa, curry meat, and Mediterranean tomatoes. Tomatoes are recommended to eat.I just met a singing singing, very relaxed"
"披薩好吃
戶外的燈光太暗
店員點餐的時候
不知道是喝醉還是怎樣
東西還送錯
其實氣氛算是不錯的
本來想點酒喝
可惜店員都在看妹
所以只好走了","Pizza delicious
Outdoor lighting is too dark
When the clerk orders
I don’t know if I am drunk or how
Whatever is wrong
In fact, the atmosphere is good
Originally I wanted to drink and drink
It's a pity that the clerk is watching the girl
So I had to leave"
"氛圍感超好的一家店
假日的晚上來遇到非常厲害的駐唱
晚上也有很多外國客人
整個就是小型的國際交誼場所
當天天氣非常舒服
坐戶外位子真的很不錯","A shop with a super good atmosphere
Come to meet a very powerful residence in the evening on holiday
There are many foreign guests at night
The whole is a small place for international friendship
The weather was very comfortable that day
It's really good to sit outdoor"
披薩不錯吃，但沒有到令人驚豔的程度，環境很不錯，很有特色，感覺很適合朋友聚會。本來大概可以給4分或5分的，只給三顆星星是因為吃到一半的時候突然聞到煙味，結果轉頭一看竟然是店員在抽煙… 至少可以等沒有客人的時候再抽吧…更何況也沒有說室外是吸煙區現場也沒看到吸菸區的標誌…,"Pizza is good, but it is not amazing. The environment is very good, very distinctive, and feels very suitable for friends to meet.It was about 4 or 5 points. Only three stars suddenly smelled the smell of smoke when I ate half of it. As a result, I turned around and turned out to be cigarette ... At least when there was no guest, I smoked before smoking. … More not to mention that there are no signs in the smoking area on the outside of the smoking area ..."
"老闆人超級好 服務超棒 鮮肉服務員很可愛 服務也很不錯 沙拉很棒 很我想像的不一樣 是高級義式餐廳會有的 才220 啤酒才150
很划
庭院很漂亮","The boss super good service superb fresh meat waiter is very cute service and very good salad is great. I imagined that it is different.
Very well
The courtyard is beautiful"
"位於新北投溫泉飯店群外
有來泡湯的可以考慮這間酒吧
走路五分鐘以內非常近
店內氣氛不錯
整體而言酒感很重
可惜到時廚房已經收了
沒有嘗試食物
點了三杯
長島冰茶-偏苦酸感 完全不甜
神風特工-偏酸甜 個人喜歡這杯
Daiquiri-萊姆酒基底 也是偏酸甜 也不錯
放鬆小酌的好地方","Located outside the New Beitou Hot Spring Hotel Group
Those who come to the soup can consider this bar
It is very close to walking within five minutes
The atmosphere in the store is good
Overall, wine is very heavy
Unfortunately, the kitchen has been collected by that time
Did not try food
Ordered three cups
Long Island Ice Tea-bitter sourness is not sweet at all
Agent Kagura-Sour sweet and sweet personally like this cup
Daiquiri-Lym's base is also sour and sweet
Good place to relax"
烏魚子披薩 很特別,Bulin pizza is very special
"旁有溪水景色佳，
氣氛溫馨像回家。
披薩香脆又美味，
烤肉多樣真好呷。","There are good water views next to it,
The atmosphere is warm like going home.
Pizza crispy and delicious,
There are so good barbecue."
"覺得很好吃，當天戶外有烤肉
整個感覺很好","I feel delicious, there are barbecue outdoors on the day
The whole feels good"
"第一次吃到「烏雲子」披薩，
很特別！咖喱牛肉餡餅也好吃！適合聊天放鬆的地方！酒類種類也很多！","The first time I eat ""Wuyunzi"" pizza,
Very special!Curry beef pie is also delicious!Suitable for the relaxation of chat!There are also many types of wine!"
