Original,EN,Positive,Negative,Neutral,Compound
"那個布丁超神，上面的焦糖吃了直接升天，愛死🫶🏻
bar忠最厲害的是他的調酒都很柔和，但層次依舊，重點是會口齒留香，他可以殘留在口中的味道很久，我真的完全被圈粉了❤️
這裡就是台北最強的特調店，而且是現場shake不是預調的","That pudding super god, the caramel on the top eaten directly to the sky, love to die 🫶🏻
The most powerful thing in Bar is that his bartender is soft, but the level is still, the focus is on the fragrance of teeth. He can stay in the mouth for a long time.
This is the strongest special store in Taipei, and it is not a pre -adjustment on the site.",0.203,0.029,0.768,0.9185
此家調酒以水果見長，小餐點也相當別緻，很少有酒吧會使用大量的食用花裝飾於餐點上，可見老闆的浪漫個性～調酒非常好喝，氣氛非常安靜，可以悠閒的慢慢品飲。,"This house is seen with fruit, and the small meal is quite chic. There are few bars decorated with a large amount of edible flowers on the meal. It can be seen that the boss’s romantic personality ~ The bartender is very delicious, the atmosphere is very quiet, you can leisurely, you can leisurely, you can leisurely. Slowly drink.",0.14,0.0,0.86,0.8437
"水果系列調酒好喝，但個人認為餐點過於普通，等同於餐點價位過高

老闆身兼調酒師出酒與出餐點，忙進忙出，感覺很難顧到全面，但願封他為酒吧界的洪金寶，很靈活

希望老闆未來能訓練起夥伴製作餐點，能更專注於調酒。","The fruit series is delicious, but I personally think that the meal is too ordinary, which is equivalent to the high price of meals

The boss is also a bartender to produce wine and meals, and he is busy with it. It feels difficult to take care of the comprehensive. I hope he is very flexible as Hong Jinbao in the bar industry.

I hope that the boss will train partners to make meals in the future and be more focused on bartending.",0.231,0.032,0.737,0.9649
"👉日式炸雞：也是炸得酥脆，不錯的炸雞
👉鯷魚奶油馬鈴薯：香煎馬鈴薯，沾著鹹香的鯷魚，實在優秀到不行。
👉瑪格麗特：粗鹽口杯，宛如雪花的碎冰，喝起來有瞬間的甜味，很有趣。
👉日本葡萄+gin：這杯十分好喝，香氣很足，酒感不重，十分的順口，很容易就喝多了。
.
👉 白松露花椰菜沙拉：這道我覺得有點普，花椰菜有點生生硬硬的，不是很喜歡。
👉 茶泡飯：搭配一些日式米果粒香香的還不錯，最喜歡旁邊的玉子燒，香甜好吃，
👉 漢堡排：先討論馬鈴薯，很脆口，有點神奇，再來口感鬆軟的漢堡排，很不錯啊，旁邊的醬汁酸度很高，跟漢堡排頗搭。
.

👉 檸檬奶油醬佐酪梨章魚：
酸度強烈的風味，章魚很有咬勁，不錯。

👉 鹽辛花枝馬鈴薯 cream：
creamy 且甜感的醬汁，上頭是酥脆的洋蔥點綴，最後是淡淡的鹽辛花枝味，銜接得很漂亮，好吃。

👉 特製番茄醬蛋包飯：
鬆軟的蛋，恰到好處的酸甜調味，好吃。

👉 伊比利豚焦糖蓮霧：
淡淡鹹香的伊比利臘腸，用烤的微苦焦糖銜接蓮霧，好吃。

👉 檸檬柚子旨味炸雞：
炸雞有點老，個人覺得還行。

👉 海苔炸玉米：
炸玉米，佐以海苔粉，有點像小點心，還不錯。

👉 起司松露溏心蛋好吃烤麵包：
酥脆的麵包，加松露醬真的此勾易捏，比較可惜的是溏心蛋沒啥調味，好吃。

👉 生火腿卡士達起司佐水蜜桃：
巨甜的水蜜桃，用蜂蜜很好的搭配生火腿的鹹香，好吃。

👉 布丁：
綿密口感的蛋香布丁，還行。","： Japanese -style fried chicken: also fried crispy, good fried chicken
Catches cream potato: fried potato, stained with salty catfish, is so good.
粗 Margaret: The thick salt mouth cup is like the broken ice of snowflakes. It has a instant sweetness and is very interesting.
+Japanese grape+Gin: This cup is very delicious, the aroma is enough, the wine is not heavy, it is very smooth, it is easy to drink too much.
Then, then
椰 Bai Songlo cauliflower salad: I think this is a bit universal, and broccoli is a bit hard, not very much.
搭 👉 👉 👉 👉: It is pretty good with some Japanese -style rice fruit fragrant.
Burger row: Discuss the potato first, it is crispy, a bit amazing, and then the soft burger row is very good. The acidity of the sauce next to it is very high, and it is quite lined up with the burger.
Then, then

Lemon cream cream sauce osmotic octopus:
The strong flavor of acidity, octopus is very bitter, good.

铃 Salt Xinhua branch potato Cream:
Creamy and sweet sauce are embellished with crispy onion on it. Finally, it is a faint salt stem flavor, which is very beautiful and delicious.

酱 Special tomato sauce omelet rice:
Soft eggs, just seasoned and sour flavoring, delicious.

👉 👉 👉 👉 👉 👉:
The faint and salty Ibilia sausage connects the lotus fog with the grilled slightly bitter caramel, which is delicious.

Lemon grapefruit -saving fried chicken:
Fried chicken is a bit old, and personally feels okay.

米 米 👉 👉 👉 👉 👉:
Fried corn, with seaweed flour, is a bit like a snack, pretty good.

心 Cheese truffle eggs are good to grilled bread:
The crispy bread, the adder sauce is really easy to pinch, it is a pity that the heart of the heart is not seasoned, it is delicious.

起 起 Raw ham Castea cheese Saisa peach:
Giant sweet peach, with honey well with salty fragrance of ham, delicious.

👉 Pudding:
The dense egg -scent pudding is okay.",0.219,0.026,0.754,0.9981
"Bar 忠 Chu 是間提供美味餐食與高水準調酒的日式酒吧。位於新生高架旁，從捷運中山國小站4號出口出來，步行約3分鐘左右可以抵達。日式酒吧通常為了營造出安靜舒適的品酒環境，一般都會有些入店的規範。而Bar 忠 Chu 特別強調不接受只用餐不喝酒的客人，個人猜測大概是過去有太多慕名美食前來的客人（笑）

店內環境氛圍相當輕鬆，長長的L型木製吧台，暖色系的燈光，穿著白色西裝的老闆與笑容可掬的服務生小姐姐時不時來回穿梭於吧台與廚房之間。老闆一人身兼廚師與調酒師，服務生小姐姐則負責招呼客人與出餐。

當天調酒依序點了：蜜柑Dry Gin、Gin Martini、養命酒Negroni、大稻埕Negroni、Sidecar、Espresso Martini、Smoky Manhattan；餐點的部份則是：無花果鴨胸、生火腿馬鈴薯沙拉、炸牡蠣。每一樣的外觀與滋味都相當豐富精彩。服務生小姐姐問我最喜歡哪一杯調酒，我頓時語塞。實在是因為每杯的水準都很高，一時很難可以分出高下，只能往細節裡鑽。

蜜柑Dry Gin：這杯是當天顏值最高的。淡淡的花香氣味，口感上是琴酒的草本與檸檬味覺調性，值得一提的是香茅與蜜柑出奇地搭，我是第一次嘗試這樣的組合。搭配著相同是酸甜滋味的無花果鴨胸，相當舒適。

Gin Martini：老闆選用的基酒是No 3 London Dry Gin。口感圓潤，杜松子氣味明顯，伴隨著有層次的辛香料與溫潤的柑橘氣息。搭配鹹香的橄欖，口感更溫柔，也更乾爽。

養命酒Negroni：有別於一般版本的Negroni，多了股木質基調飽滿特性的沉穩內斂。讓我想起個人也很喜歡，同樣也是以木質基調為主軸的Bar 小谷 White Negroni。這邊我點來搭配的是生火腿馬鈴薯沙拉，木質基調的苦甜調酒，配上鹹香爽口的馬鈴薯沙拉，別有一番風味。

大稻埕Negroni：在點第一杯的時候，隨口問了老闆這杯大稻埕的味道。老闆說有加薄荷，喝起來是外國人第一次去大稻埕的感覺，有點難解釋。純粹是想知道到底是什麼樣的感覺，就點來喝喝看。搭配著灑了梅粉的焦糖櫻桃番茄，果然有種在迪化街逛南北貨的感覺（笑）

Sidecar：酸甜相當平衡，白蘭地的韻味伴隨柔和的柑橘果香，入喉後帶點微微木質與辛香料的味覺刺激。這時實驗性地點了炸牡蠣來搭配，牡蠣本人鮮美飽滿，酸香的醬汁與牡蠣的鮮味完美融合。個人覺得這酸味會使得Sidecar明顯過酸，不過搭配著炸牡蠣的配菜漬蘋果，反而使得這杯Sidecar更加果香奔放。

Espresso Martini：個人本來一向偏好以白蘭地作為基酒的版本，但當天卻也被老闆這杯伏特加版本的給收服了。喝起來清爽卻也不失濃郁的咖啡底蘊，加了Cointreau也多了柑橘的果香氣味。風味層次也因此延展活絡了起來。

Smoky Manhattan：本該在上一杯Espresso Martini就該是個句點了。再加點這杯純粹是酒鬼性格作祟。喝到好喝的調酒，在能力（酒量）許可下就會想一直點（大誤）這杯帶著煙燻風味的Manhattan相當溫柔，威士忌的酒香，滑順的口感，搭配著櫻桃與招待的松露腰果，完美地劃下當晚的休止符。","Bar Zhong Chu is a Japanese -style bar providing delicious meals and high -level bartending.Located next to the elevated elevated, exported from the MRT Zhongshan Elementary School Station, and you can arrive in about 3 minutes.In order to create a quiet and comfortable wine tasting environment in Japanese -style bars, there are generally some regulations for entering the store.And Bar Zhong Chu particularly emphasized that guests who do not accept meals and do not drink. Personally, I guess it is probably the guests who came in the past (laugh)

The environment atmosphere in the store is quite relaxed. The long L -shaped wooden bar, warm -colored lights, boss wearing white suits and a smiley waiter, from time to time, shuttle between the bar and the kitchen from time to time.The boss is also a chef and a bartender, and the waiter is responsible for greeting guests and meals.

The bartender was orderly on the day: Mitan Gin, Gin Martini, NEGRONI NEGRONI, Dadaocheng Negroni, Sidecar, ESPRESSO MARTINI, Smoky Manhattan; Fried oysters.Each appearance and taste are quite exciting.The waiter asked me which cup of bartender I like most, and I suddenly said.It is because the standard of each cup is very high, it is difficult to divide it at a time, and can only drill into the details.

Mitan Dry Gin: This cup is the highest on the day.The faint smell of floral aroma, the taste of the piano wine and lemon taste, it is worth mentioning that lemongrass and mandarin are surprisingly set up. I tried such a combination for the first time.It is quite comfortable with the same sweet and sour fig duck breast.

Gin Martini: The base wine selected by the boss is NO 3 London Dry Gin.The taste is round, and the smell of Du Songzi is obvious, accompanied by layered spices and warm citrus atmosphere.With salty olives, the taste is more gentle and dry.

NEGRONI: Unlike the general version of Negroni, the full and restraint of the full characteristics of the wood quality is calm and restrained.It reminds me of personal favorite, and Bar Komagaya, who is based on wooden tone as the main axis.I like to match the raw ham potato salad, the bitter sweet tone of the wooden tone, and the salty and refreshing potato salad, don't have a flavor.

Dadaocheng Negroni: At the first cup, I asked the boss the taste of the Dadaocheng.The boss said that there was mint, and it was the first time that foreigners felt like to go to Dadaocheng, which was a bit difficult to explain.I just want to know what it feels like, just click to drink.With caramel cherry tomatoes sprinkled with plum powder, it really feels like shopping on Dihua Street (laughs)

Sidecar: Sweet and sour is quite balanced. The charm of Bailan is accompanied by a soft citrus fruity aroma. After entering the throat, it has a little wood and spices.At this time, fried oysters are matched with experimental places. The oysters themselves are delicious and full. The sour sauce is perfectly fused with the umami taste of the oyster.Personally, I think this sour taste will make Sidecar obviously too sour, but with the side dishes with fried oysters, it makes this cup of Sidecar more fruitful.

Espresso Martini: Individuals have always preferred the version of Bailan Di as a base wine, but it was also conquered by the boss's cup of Vodka that day.It tastes refreshing but without losing the rich coffee heritage, adding Cointreau also has more citrus fruity smell.The level of flavor has also been extended.

Smoky Manhattan: It should have been a period in the last glass of Espresso Martini.Add this cup to this cup purely.After drinking delicious bartending, you will want to order (big mistakes) under the ability (wine volume) permit. This cup with smoky Manhattan is quite gentle. The hospitable truffle cashews are perfectly scratched by the rest of the night.",0.112,0.023,0.866,0.9933
"焙茶gin tonic 讚的

主打水果調酒
麝香葡萄vodka
基本上是葡萄冰沙
還不算好喝那種

雞蛋布丁還附上海鹽、肉桂和咖啡粉
焦糖已經煮到麥芽糖程度 喜歡

下次要帶男人來","Baked tea Gin Tonic praises

Main fruit alcohol
Musk grape Vodka
Basically it is grape smoothies
It's not delicious

Egg pudding also comes with Shanghai salt, cinnamon and coffee powder
Carameter has been cooked to the degree of maltose

I will bring a man next time",0.067,0.059,0.873,0.1032
"這是一間打從我第一次耳聞就相當有興趣的店
不為什麼，就憑「只接受當天訂位」這件事
在現今，各式各樣預約困難，甚至需要耗費人脈的店如雨後春筍般冒出
如此的一間店，從還未踏入店家就能讓人感到放鬆❤️

店內有老闆的明文規定，價錢亦是。
踏進一間店前，若對於以上不認同，您大可不必進入。
如若依然決定前往，請尊重。

老闆的用心都在他的菜單上
請看完菜單，再來發問，過程中有沒理解過來的語意，服務員也都會耐心解釋

當天我是一人前去
因時間還很早，整間店僅有我一個人
奈何中午吃得太飽，沒辦法吃鹹食，只能直接點酒
總共點了四杯：
🍇麝香葡萄
🍸石榴果金白蘭地
🍊金柑柚子薑
🍸無花果葡萄柚

每一杯都好喝的不得了😍
最讓我驚艷的莫過於「金柑柚子薑」
口味層次調和的非常完美！
入口的香氣，直至最後的尾韻，讓人念念不忘❤️

店內氛圍清幽、放鬆
老闆和服務員都非常可愛
會注意客人的一舉一動
但不是讓人不舒服直勾勾盯著你的那種
印象很深刻當時因為有蚊子咬我
老闆知道後，馬上放下手邊的事
拿出可以驅趕蚊子的噴霧（沒有任何味道）
非常有效，蚊子馬上暈頭轉向掉下來

還有一些不經意間的小互動、笑聲
並不會刻意聊天，也不會指高氣昂
那天本想坐到很晚喝完12個口味🤣
結果有事只能先回家
離開前老闆告訴我下個月草莓大約會來的時間
歡迎我再度前去
聽到後我馬上問資訊都發在哪裡 FB嗎
老闆表示在IG
當下我毫不猶豫馬上追蹤他們的IG
（而我從來不追蹤任何一間店的IG）

這間店，就是讓我這麼喜歡。
老闆很帥，服務員很可愛❤️
下次再去必須空腹去吃熟食！","This is a shop that I was very interested in the first time I heard from me
Why not, just rely on the ""only reservation on the day""
Nowadays, all kinds of appointments are difficult and even needed.
Such a store can make people feel relaxed from entering the store. ❤️

There is a clearly stipulated by the boss in the store, as well as the price.
Before entering a store, if you don't agree with the above, you don't have to enter.
If you still decide to go, please respect.

The boss's intentions are on his menu
Please read the menu and ask questions again. In the process, there is no understanding of the semantics, and the waiter will explain patiently

I went alone that day
Because the time is still very early, the whole store is only me alone
However, I can eat too much at noon, I can’t eat salty food, I can only order it directly
A total of four cups:
🍇 musk grape
地 🍸 🍸 🍸 🍸 🍸
🍊 🍊 🍊 🍊 Grapefruit ginger
柚 Fruit Fruit Grapefruit

Every cup is so delicious 😍
The most amazing is ""Golden Mandarin Grapefruit Ginger""
The taste hierarchy is perfect!
The aroma of the entrance, until the final rhyme, makes people miss ❤️

The atmosphere in the store is quiet and relaxed
Both bosses and waiters are very cute
Will pay attention to the guest's every move
But it's not uncomfortable to stare at you
I was very impressive at the time because there were mosquitoes bite me
After the boss knows, put down the matter at hand immediately
Take out the spray that can drive the mosquito (no taste)
Very effective, mosquito immediately fainted and turned down

There are also some inadvertent small interactions and laughter
I don’t have a deliberate chat, nor does it refer to high gas
I wanted to sit up late that day and drank 12 flavors 🤣
As a result, you can only go home first
Before leaving, the boss told me the time for the strawberry next month
Welcome me to go again
After I heard it, I immediately asked where the information was sent?
The boss said in IG
I don't hesitate to track their IG immediately
(And I never track the IG of any store)

This shop just makes me like it so much.
The boss is very handsome, the waiter is cute ❤️
Next time you have to eat cooked food on an empty stomach!",0.149,0.026,0.825,0.9958
"酒的價格比較高（600以上為主）但是選擇蠻特別的，很多結合水果的酒可以選擇！我蠻喜歡百香果接骨木花這杯，百香果上面有火燒的糖，脆脆的，像布雷一樣的糖片，很好喝！但是價格真的偏高，所以當天過去客人偏少。
餐食配酒的表現還算不錯，但是比想像的驚豔稍弱，招待的小食很好吃！喜歡😘","The price of wine is relatively high (mainly 600 or more) but the choice is quite special. Many wines that combine fruits can be selected!I like the cup of bone flowers of Passion Fruit. There is a burning sugar on the passion fruit, crispy, sugar tablets like Brey, which is delicious!But the price is really high, so there were fewer guests in the past.
The performance of meals and wine is pretty good, but it is slightly weaker than imagined, and the hospitable snacks are delicious!Like",0.253,0.031,0.716,0.9779
氣氛很好，安靜適合好好說話，老闆調的酒好好喝，店內以新鮮水果酒為特色，同時老闆自己的特色調酒也很棒，品嚐時讓人有和老闆「同步創作意境」的fu，咖啡凍也非常好吃真材料，吃的到老闆的用❤️製作每一樣餐點和酒品，會讓人一直想去，有種老地方相聚的fu👍,"The atmosphere is very good, quiet and suitable for talking well, the boss's wine is good, the shop is characterized by fresh fruit wine, and the boss's own specialty bartender is also great. When tasting, people have a FU that ""synchronizes the artistic conception"" with the boss. Coffee frozen is also very delicious. Eat the boss's use ❤️ Make every meal and wine products, which will always make people want to go.",0.22,0.06,0.72,0.9091
"這間日式酒吧餐酒館，我好喜歡，居然就在我常去的8%ice cafe旁邊，經過100次也沒發。
調酒比較偏妹，但很好喝，年輕女生的客人也不少，料理像是升級版的日式家常，沒有花俏，卻簡單暖胃。","I like this Japanese -style bar and tavern tavern. I really like it. I actually went next to the 8%ICE CAFE I often went. After 100 times, I did not send it.
The bartending is more sisters, but it is delicious. There are many young girls. The cooking is like an upgraded version of the Japanese -style family. It is not fancy, but it is simple to warm the stomach.",0.18,0.0,0.82,0.9231
