Original,EN,Positive,Negative,Neutral,Compound
"跟朋友誤打誤撞臨時決定跑來吃
還好週末晚上還有位置
氣氛不錯的店家
而且有很多分店。
調酒挺好喝的！餐點也好吃
三色醬薯條好好吃🤤
下次會想吃吃看正餐。
吃下來一個人700多左右
低消一個人要600元","I mistakenly hit with my friends and decided to run to eat temporarily
Fortunately
The shop with a good atmosphere
And there are many branches.
The bartender is delicious!The meals are delicious
Three -color sauce fries are delicious 三
I would like to eat for dinner next time.
After eating, there are more than 700 people
It costs 600 yuan low to eliminate a person",0.206,0.055,0.739,0.9168
餐點好吃又有特色，二節雞翅份量足夠很好吃，干貝青菜很新鮮調味不錯。調酒種類蠻多的，Bala Fizz好喝。,"The meal is delicious and distinctive.There are quite a lot of alcohol, and Bala Fizz is delicious.",0.33,0.0,0.67,0.8126
"我跟友人約定要把字母系列的餐酒館，從A開始吃到U，目前已經探訪過A Train Leads The Way To Jazz，本來按順序應該是B Line by A Train，但可惜沒位置，只好跳過B先去C Park by A Train，位在中山北路老爺酒店後方巷弄的C Park by A Train，門面很低調，推開鐵門後的空間昏黃溫暖，感覺很好，服務人員帶我們到比較隱蔽的位置，這樣的位置蠻好的，說什麼都不會有人聽到。

餐點有紙本menu 可以看，但酒單要掃QR Code 我覺得很不好使用，一方面手機螢幕很小，燈光灰暗加上我有老花⋯看得很吃力，酒單上除了經典調酒，我們想嘗試的是每一家字母餐酒館的拿手調酒，所以還是得召喚服務人員來解說，我想要酸一點、有氣泡然後有茶作為基底的調酒，服務人員推薦我百香果風味茶的Hot Summer，朋友則點了只有C Park才有的調酒是以甘蔗蒸餾酒作為基底，兩款都各有風味，我們都很喜歡。

餐酒館的餐當然是重點，這一天我們點了櫛瓜西班牙烘蛋、干貝沙拉、海膽燉飯還有韓式炸雞，最後的甜點當然是我親手做的裱花乳酪蛋糕，朋友非常稱讚我的手藝，說白豆沙比蛋糕好吃，看來下次的字母餐酒館之約，我直接做好花即可，也不需要蛋糕了。","I agreed with my friends to take the restaurant of the letters series from A to U. It has been visited by A Train Leads The Way to Jazz. Originally, it should be B Line By A Train, but unfortunately, I had no place to skip the place. B first go to C Park by a Train. C PARK BY A Train, which is located behind the lane of the Lord Hotel in the North Road of Zhongshan. The facade is very low -key. The space behind the iron door is dim and warm. It feels good. In the hidden position, this position is pretty good, no one will hear anything.

There are paper menu to watch the meal, but I think the wine list is very difficult to use. On the one hand, the screen of the mobile phone is very small, the lights are dark and I have old flowers. Wine, what we want to try is the bartender of each letter and restaurant, so I still have to summon the service staff to explain. I want to shed somewhere, and then have tea and tea as the base. Tea's Hot Summer, friends ordered that only C PARK has a bartender with sugarcane distilled wine as the base. Both models have its own flavors. We like it very much.

Of course, the meal of the dining tavern is the focus. On this day, we ordered the gourd in Spain, dried scallops, sea urchin stewed rice, and Korean fried chicken. Of course, the last dessert is the decorative cheese cake I made by myself. The craftsmanship, saying that white bean paste is delicious than the cake. It seems that the next letters of letters and restaurants.",0.116,0.048,0.836,0.9687
"搬家後的C park氣氛、空間更好了。食物一樣讚。

本來以為會跟其他店一樣，在二樓的空間、可能是老房子，沒想到C park整個很現代的造型，就在一樓不用爬樓梯。

尤其特別喜歡兩人座位，雖然座位偏隱密但是完全不用擔心被店員遺忘。

只能說太棒。","After moving, the C PARK atmosphere and space are better.The food is like the same.

Originally, it was like other stores. The space on the second floor may be an old house. I did not expect that C PARK's very modern shape was on the first floor.

In particular, I especially like the seats of the two.

It can only be said to be great.",0.163,0.0,0.837,0.8977
調酒選擇很多，可依照自己喜好請店員推薦適合的口味。餐點非常美味可口，美中不足的是上菜速度非常慢，可以理解餐點需要時間準備，但連調酒製作速度都很慢，我們多人用餐等了快一小時才將所有酒上完。撇除上菜速度其他都很好👌,"There are many choices for bartending, and you can recommend the appropriate taste according to your preference.The meal is very delicious. The disadvantage is that the speed of serving is very slow. It can be understood that the meal needs time to prepare, but even the bartending production speed is very slow. We have been waiting for one hour to eat all the meals before finishing all the wine.It is very good to get rid of the speed of serving the food",0.096,0.023,0.881,0.7582
搬新家後第一次來，新環境很可愛，有不同的空間配置，起司通心粉和韓式炸雞都很好吃，但要趁熱吃；芭樂調酒出乎意料的清爽好喝，但因為冷氣實在太冷，冷到發抖只好走出去戶外回溫，最後點了熱調酒😂建議女生帶件小外套～ 或是點一杯熱草莓奶酒🍓謝謝店員很貼心說要幫忙調整冷氣溫度🥹🙏,"For the first time after moving a new home, the new environment is very cute. There are different space configurations. The cheese Tongxin Fan and Korean fried chicken are delicious, but they have to eat while it is hot; However, because the air -conditioning is too cold, it is too cold to tremble to go out outdoors and warm it out. Finally, I ordered the hot alcohol. I suggest that girls bring a small jacket ~ or order a glass of hot strawberry milk wine 🍓 Thank you. Bleak",0.121,0.027,0.852,0.7962
店內的風格、氛圍很好，音樂也好聽，雖然是以酒吧聞名但餐點意外的很不錯！很推他們的燉飯👍🏻這裡的店員看起來都很有個性但其實人都很親切，溝通流暢服務也很周到！聚餐約會都蠻不錯的🥰,"The style and atmosphere in the store are very good, and the music is good. Although it is famous for its bar, the meal is surprisingly good!The clerk here that pushes them is very personal, but in fact, people are very kind, and the communication service is very thoughtful!The dinner dates are pretty good 🥰",0.365,0.0,0.635,0.984
"歡迎追蹤ig：yenlin_avocadomisol
牛排義大利麵➡️義大利麵採用清炒的方式製作，微辣帶有蒜香，上面的牛排滿軟嫩。整體中規中局

軟殼蟹南瓜燉飯➡️燉飯上面有兩隻整隻的軟殼蟹，用料實在。軟殼蟹外皮不會太厚、炸得很酥脆～蠻好吃的！但燉飯調味普通，硬度介於義式台式之間。

韓式炸雞➡️炸雞旁邊有配上些許泡菜，炸雞為洋釀口味、算是微微辣。外皮不會太厚調味中等。

起司條就是普通冷凍食品

Viva la vida➡️酒味中等，味道偏甜，酒上有兩顆荔枝不過酒本身喝起來就是甜甜的沒有什麼香氣。","Welcome to track IG: yenlin_avocadomisol
Steak split noodles 义️ The pasta is made of stir -fry. The slightly spicy with garlic, and the steak on it is full of tenderness.Overall

Soft shell crab pumpkin stewed rice 炖️ There are two whole soft shell crabs on the stewed rice, which is really used.The skin of the soft shell crab will not be too thick and fried very crispy ~ pretty delicious!But the seasoning of stew is ordinary, and the hardness is between the Italian table.

Korean fried chicken 炸️ There are a little kimchi next to the fried chicken. The fried chicken tastes the flavor of the ocean, which is slightly spicy.The outer skin will not be too thick and medium.

The cheese is ordinary frozen food

Viva la vidaa️ The taste of the wine is medium and the taste is sweet. There are two litchi on the wine, but the wine itself is sweet and there is no aroma.",0.063,0.017,0.92,0.7733
維持A train系列一貫的好品質，餐酒俱佳，店內的氛圍既神秘又令人放鬆，調酒類酒感明顯又帶有時令果味特色，必點!,"Maintain the consistent quality of the A Train series, and the meals are good. The atmosphere in the store is both mysterious and relaxed, and the winemaking wine feels obviously and makes the fruit characteristics. It must be ordered!",0.147,0.0,0.853,0.75
"食物都很大份、重口味、配酒剛剛好
新裝潢滿美的，位子不多，排候補也有機會來用餐，當天坐離門口近的桌子，桌上立燈容易招來小飛蟲，有點煩人🫠","The food is very large, heavy taste, and the wine is just right
The new decoration is beautiful, there are not many seats, and there is a chance to dine at the sphere. Sitting on the table near the door that day, the lights on the table are easy to recruit small flying worms, a bit annoying 🫠",0.134,0.041,0.824,0.7269
"大腸皮蛋、甜蜜雞翅超推
薯條炸得好好吃🥹
餐點沒有一個是不好吃的🤤
生日還有shot氛圍點到滿
下次生日還想來這邊😍😍😍
店員服務也好好整個一百分💯","Large intestine preserved eggs, sweet chicken wings are super push
French fries are fried well 炸
Nothing of meals is not delicious 🤤
There is also a shot atmosphere to the full birthday
I want to come here next birthday 还
The clerk service is also a good whole 💯",0.212,0.048,0.74,0.8482
