Original,EN,Positive,Negative,Neutral,Compound
超美的酒吧，店內光影呈現的很豐富，每個角落都好拍，調酒好喝酒感不會太重，老闆很好聊，還會跟你說照片哪個角度拍會好看。,"The super beautiful bar, the light and shadow in the store are very rich, every corner is easy to shoot, the bartending is not too heavy, the boss will talk well, and it will tell you which angle of the photo will look good.",0.332,0.041,0.627,0.9531
老闆Eddy 人帥身材又好😍，店內裝潢超美又有品味👍，喜歡拍網美照的朋友也可以來拍拍照，重點調酒是客製化，今天幫我調鐵觀音帶算的茶酒，再加上金盞花，邊喝邊聞到花香，嗅覺味覺都滿足彷彿香水般的調酒，超級讚！ …,"The boss Eddy is handsome and good -looking, the interior of the store is super beautiful and has a taste. Friends who like to take pictures of the net can also come to take pictures. Coupled with calendula, you smell the flower fragrance while drinking, and the smell of smell is satisfied as perfume -like alcohol.Mowing",0.341,0.0,0.659,0.9744
氣氛很棒，空間很舒適，酒單也很有特色！,"The atmosphere is great, the space is very comfortable, and the wine list is also very distinctive!",0.347,0.0,0.653,0.8395
"老闆很帥 酒很特別蠻好喝
服務態度棒棒的 有機會會再來～～","The boss is very handsome wine, very delicious
The service attitude is great, there will be a chance to come back ~~",0.43,0.0,0.57,0.9272
"有花香果香茶香等選擇
無酒單但可以跟老闆討論大概想要哪種口味跟類型的酒
喝到的調酒都沒有雷
芒果跟椰奶斑蘭口味的好喝","There are choices with flowers and fragrant tea fragrance
There is no wine list but you can discuss with the boss what taste and type of wine you want
There is no thunder that I drink bartender
The taste of mango and coconut milk spots",0.03,0.092,0.878,-0.4497
老闆人很好，調的酒叫＇紅花＇很好喝😍店裡很美～音樂也很好聽！最後離開時候老闆還招待了shot，也很好喝！有空會再光顧☺️☺️☺️ …,"The boss is very good. The tuned wine is called safflower.When I finally left, the boss also entertained Shot, which was also delicious!I will visit again when I have time ☺️ 光️☺️ ...",0.276,0.0,0.724,0.9039
"長島特調有水果的甜味，好喝🤩
兩個Bar tender顏值都好高🥺
整間店的佈置好漂亮💕 …","Long Island has the sweetness of fruits, delicious and delicious
Both Bar Tender's face value is so high 🥺
The layout of the whole store is beautiful ...",0.413,0.0,0.587,0.9509
冬天來室內很溫暖，無菜單調酒，很細心的詢問了我們的喜好，很好喝😍適合聚會 …,"The interior is very warm in winter, and the wine has no monherical alcohol. I asked our preferences very carefully.",0.172,0.095,0.733,0.1989
老闆很帥 酒也好好喝🥰 …,The boss is very handsome and tastes good 🥰 ...,0.578,0.0,0.422,0.9286
大直好喝的調酒，無酒單依照喜歡的類型特製，點酒時很細心，還會仔細介紹裡面用到的元素，今天喝到的好多杯酒都喜歡💜 …,"The big and delicious bartending, no wine list is specially made according to the type of favorite, very careful when ordering wine, and carefully introduced the elements used in it.",0.271,0.059,0.67,0.7841
"無菜單的酒吧
老闆會直接詢問喜歡的味道來特調
一杯是用紅酒作基底加上果香調出來的叫做紅花
有很特殊的香味非常推薦！
另一杯是用葡萄柚和琴酒調出來的不知道叫什麼
但很清爽好喝 尾韻很特別
原本還以為是高價位結果非常親民
紅花400 另一杯350
要走的時候老闆很親切請我們喝一杯shot也非常好喝
雖然店小小但裝潢非常漂亮！
會想再來第二次🤩","Bar without menu
The boss will directly ask the favorite taste to make special adjustment
A cup is based on the base of red wine and the fruit fragrance is called safflower.
It has a very special fragrance and is very recommended!
The other cup is adjusted with grapefruit and piano wine, I don’t know what the name is
But very refreshing, delicious tail rhyme is very special
Originally thought it was a high price result, the result was very close to the people
Red Flower 400 Another Cup 350
When you are going, the boss is very kind to ask us to have a cup of Shot and it is very delicious
Although the shop is small, the decoration is very beautiful!
I would like to come again for the second time 第二",0.23,0.0,0.77,0.9899
氛圍感強，招待的shot超好喝,"The atmosphere is strong, and the entertainment shot is super delicious",0.662,0.0,0.338,0.9287
酒很好喝 而且會依照你喜歡的口味做客製化的調酒😍 …,The wine is delicious and will be customized according to your favorite taste 😍 ...,0.393,0.0,0.607,0.8658
超讚的聚會點！！氣氛佳酒也可以客製化！老闆人超好，我們帶外食還幫我們收拾，真的好貼心～～～,"A great party!IntersectionAtmosphere can also be customized!The boss is super good, we take food to help us clean up, it's really intimate ~~~",0.484,0.0,0.516,0.9508
老闆挑的酒很好看 也很好喝～～～,The wine that the boss picks is very beautiful and delicious ~~~,0.449,0.0,0.551,0.8464
氣氛很好 無菜單但是酒都搭配的很好很特別～,"The atmosphere is very good, no menu, but the wine is well matched and very special ~",0.372,0.074,0.554,0.7904
調酒口味都很特殊～口感層次超棒！老闆很用心的介紹、超級客氣又親切，一定會想回訪的讚讚店🤩 …,"The taste of bartender is very special ~ the taste is superb!The boss is very polite and kind, and he will definitely want to return to Zanzan store ...",0.305,0.0,0.695,0.8735
口味特別 服務周到 可以回訪喔,"The taste is special service, you can visit back, you can visit it",0.184,0.0,0.816,0.4019
新體驗的無菜單調酒，調酒師技術跟環境很符合價格，整體很沈浸式的體驗，老闆跟調酒師親切好聊，在台北市很願意再訪的酒吧，推推,"The newly experienced wine -free wine -free alcohol, the bartender technology and the environment are in line with the price, and the overall immersive experience. The owner talks with the bartender cordially.",0.18,0.0,0.82,0.765
氣氛很棒，調酒也很好喝😋 …,"The atmosphere is great, and the bartender is also very delicious ...",0.447,0.0,0.553,0.8439
調酒不錯！老闆人帥也很好親切！時不時還會招待shot，環境氛圍不錯！,"Good bartending!The boss is handsome and very kind!From time to time, you will entertain Shot, and the environment atmosphere is good!",0.417,0.0,0.583,0.9037
"無菜單酒吧～
可以選擇自己喜歡的味道去做調配
服務超親切 主動詢問你的需求去做調酒
氣氛很好 拍照拍起來也超好看！
而且很幸運的宜靜女神也在 🥰
推推 會再回訪 沒去過的一定要去一次！","No menu bar ~
You can choose your favorite taste to prepare
The service is super affordable and actively ask your needs to make bartending
The atmosphere is very good to take pictures and look good!
And the lucky goddess Yi Jing is also 🥰
If you push the push, you must go back to the visit and you must go again!",0.305,0.026,0.669,0.9744
服務很周到，老闆很帥做事豪氣，茶酒很讚,"The service is very thoughtful, the boss is very handsome, and the tea wine is great",0.446,0.0,0.554,0.8882
