Original,EN,Positive,Negative,Neutral,Compound
"這一天提早過生日，來到拍攝「華燈初上」的條通裡，好友找到的餐酒館－From A，工作奔波完後的紓壓時間，顯得特別珍貴！
一下班就抵達，我們是當天開始營業的第一組客人，所以可以好好拍整間店的全貌，感覺很不錯～

Haru
酒莊：Casa Rojo
葡萄品種： Shiraz/Syrah， Monastrell， Garnacha
產區：Spain／Jumilla
酒精含量：13%
西班牙粉紅酒，瓶口是蠟封滿特別的，這支酒偏果香，有草莓、覆盆子、帶點梅子味，是清爽風味的葡萄酒，喜歡果香微酸的朋友可以試試看喔！

蒜香培根辣椒麵
推薦給喜歡吃辣的朋友，這一道辣椒麵搭配粉紅葡萄酒滿適合的，辣度與酸度調和後，在口中會有點中和，配酒很可以！

奶油松露野菇燉飯
燉飯的口感是我喜歡的，然後滿滿的野菇和味道濃郁的松露，推薦給愛好菇味的你～

青醬雞肉烤餅組
如果只是喝酒想點食物搭配，這一道我很推薦！雞胸肉是廚房自己做的，尤其是它冷掉都好吃，這點很難得！

特調
調酒師以這間店House的白酒做基底，做的像西班牙的Sangria一樣有果香，裡面加了茉莉花的香氣、檸檬和柑橘，再一點點水蜜桃，白酒酒體本身偏清爽，
有加氣泡變得更稀釋，為了讓酒體更扎實一點，加入伏特加，最後加入通寧水，最後有點像Gin tonic；我們好喜歡這杯調酒！！

座位分成吧台區、兩個沙發區，還有獨立卡拉ＯＫ包廂（低消$8000，包廂可容8-10位，建議提早預訂，另收服務費10%）

在 From A 真得很自在！ 無論是服務、空間、食物和各類酒都讓人很喜歡，一個人、兩個人或三五好友一起來都可以找到自己喜歡的酒喔！紅白葡萄酒直接開一瓶也很可以喔！","On this day early, I came to shoot the ""Huayan Chu Two"". The restaurant and tavern found by my friends, the relief time of the pressure after the work was finished, seemed very precious!
Arrive after the class. We are the first group of guests that start to open that day, so we can take the whole picture of the whole store. It feels very good ~

Haru
Winery: Casa Rojo
Grape variet
Production area: spain / jumilla
Alcohol content: 13%
Spanish pink wine, the bottle mouth is full of wax. This wine is fragrant, with strawberries, raspberries, and a little plum flavor. It is a refreshing flavor. Friends who like slightly sour fruit can try it!

Garlic bacon pepper noodles
Recommended to friends who like spicy food. This pepper noodles are suitable for pink wines. After blending spicyness and acidity, it will be a bit neutral in the mouth.

Stewed rice mushroom stewed rice
The taste of stewed rice is my favorite, and then the full wild mushrooms and the rich flavor of truffle are recommended for you who love mushroom flavors ~

Green sauce chicken barbecue group
If you just drink food and want to order food, I recommend this!Chicken breasts are made by the kitchen by themselves, especially it is delicious when it is cold, which is rare!

Special adjustment
The bartender uses this store House's liquor as the base. It has a fruity aroma like Sangria in Spain. It adds jasmine's aroma, lemon and citrus, and a little bit of peach. The white wine is quite refreshing.
The foaming foam has become more diluted. In order to make the wine body more solid, add vodka, and finally add Tongning water. Finally, it is a bit like Gin Tonic; we like this cup of bartender!Intersection

The seats are divided into bar areas, two sofa areas, and independent Kara OK box (low-elimination $ 8000, the box can be 8-10 bits, it is recommended to book early, and the service fee is 10%)

It's really comfortable in from a!Whether it is service, space, food, and various wines, people like it. One person, two or three or five friends can find their favorite wine together!It is also possible to open a bottle of red and white wine directly!",0.179,0.011,0.811,0.9967
"一間很有氛圍的餐酒館!!
酒的價格不貴~而且很好喝~適合小酌、姊妹聊心事的好地方!!

餐點不同於一般紅酒店，沒想到烤餅、和牛肉燥飯、泰式打拋諸、和有和風的明太子烏龍麵通通超好吃!

讓人會想要一來再來的地方","A very atmospheric restaurant !!
The price of wine is not expensive ~ and it's delicious ~ Suitable for a good place for drinking and sisters to talk about things !!

Different meals are different from ordinary red hotels. I did not expect that roasted cakes, dried beef rice, Thai -style touched, and harmonious Ming Prince Oolong noodles are super delicious!

People will want to come back again",0.241,0.0,0.759,0.9621
包廂一小時1千 店裡氣氛不錯 服務生有點冷淡 青醬雞肉餅好吃 一人低消300,"In the box, 1,000 stores in the shop are good at the atmosphere. The waiter is a bit cold green sauce chicken cake delicious one person and low to eliminate 300",0.18,0.057,0.763,0.6705
"太喜歡的一家酒吧
每一杯酒都好厲害
日本人在意的精緻小細節通通有😍","I like a bar that I like too much
Every glass of wine is so amazing
The exquisite small details that the Japanese care",0.395,0.0,0.605,0.9196
原本來這邊主要目的只是跟朋友小酌，點了一些主食類當晚餐，沒想到非常好吃！我們一群人總共點了五六樣餐，真的每個都很不錯，但我自己最喜歡泰式辣豬飯和明太子烏龍麵，他們的飯是用北海道的米，對飯超挑剔的我很喜歡💕價位也ok，之後應該會為了吃飯再來這邊光顧😆 …,"Originally, the main purpose here was just a drink with friends. I ordered some staple food for dinner. I didn't expect it to be very delicious!A group of us have ordered a total of five or six meals. Each is really good, but I like Thai -style spicy pork rice and Ming Prince Oolong noodles the most. Their rice is rice from Hokkaido. I really like the price of the price and it is OK. After that, I should come here to visit here ...",0.123,0.0,0.877,0.8854
體驗一下華燈初上，空間環境乾淨典雅很舒服，除了好喝紅酒外還有熱食，好吃的餐點，推推！,"Experience the beginning of the Chinese lantern, the space environment is clean, elegant, and comfortable. In addition to delicious red wine, there are hot foods, delicious meals, push!",0.422,0.0,0.578,0.9501
調酒師跟外場都超親切，還有包廂日文歌跟中文歌都很新，大推明太子義大利麵，中西合併的餐酒館，一定要來踩個點👍 …,"The bartender and the field are super kind, and the Japanese songs and Chinese songs are very new in boxes.",0.289,0.0,0.711,0.8074
紅酒相當有水準，適合三五好友小酌放鬆的好地方,"Red wine is quite standard, suitable for a good place for three or five friends to drink and relax",0.357,0.0,0.643,0.836
氛圍很棒，酒也很讚(CP值高)，值得再訪✨,"The atmosphere is great, and the wine is very good (the CP value is high), it is worth visiting again",0.42,0.0,0.58,0.8908
"這時間喝點小酒後竟然還可以吃到和牛咖哩真的太幸福了～
太好吃了～
超推薦～","After drinking a little wine at this time, you can eat and the cow curry. It's so happy ~
It's so delicious ~
Super recommended ~",0.412,0.0,0.588,0.9472
薯條很難吃，又軟又油，其他還行,"French fries are hard to eat, soft and oily, and others are okay",0.133,0.098,0.769,0.128
調酒好喝，環境舒適,"Bart -up is delicious, the environment is comfortable",0.538,0.0,0.462,0.7906
歡迎好友們聚餐的好地方，推薦烤餅和明太子料理還有親切的員工👍👍 …,"Welcome to good places for friends to dinner, recommend barbecue, Prince Ming Prince, and intimate employees ...",0.469,0.0,0.531,0.8885
紅白酒好喝，放鬆的好地方！,"Red and white wine is delicious, relaxed!",0.59,0.0,0.41,0.8016
氣氛好又好喝的酒吧，已二訪,"The atmosphere is good and delicious, it has already visited the second visit",0.375,0.0,0.625,0.765
"環境很舒適 音樂很讚的
下次來要吃熟食!","The environment is very comfortable and music is great
I will eat cooked food next time!",0.363,0.0,0.637,0.8395
🥃,🥃,0.0,0.0,1.0,0.0
