Original,EN,Positive,Negative,Neutral,Compound
"位於劍南路站美麗華附近，占地超過百坪的餐酒館，氣派輕奢風格從門口就能略窺一二，裡面富設計感挑高用餐空間，從早到晚提供早午餐、各種美食料理，獨棟氣派宛如城市中的清新綠洲!

除此之外還是寵物友善餐廳，每周三有駐唱歌手用餐氣氛超Chill，酒杯詩人畫杯活動讓等餐時間不無聊，聚餐約會來這邊準沒錯~~

爆漿布拉塔沙拉選用台灣在地小農蔬菜，酸爽開胃又有香醇奶香!西班牙奶油蟹肉球上面搭酸甜檸檬優格醬，超級好吃不愧西班牙有名可樂餅!黑牛塔塔選用雲林安格斯溫體黑牛，牛肉超新鮮柔嫩滿溢鮮甜。

拉各斯燉蝦Q彈肥美蝦肉，酸爽感有奶香中和，牛肝菌野菇肚臍餃則是蕈菇香氣撲鼻誘人，溫泉蛋很咕溜滑順，整體清爽豐富滋味!熱情的小羊一上桌就超級香~百香果醬加入奶油調和，抑制過酸又能去腥讓羊肉柔軟~

甜點帕弗洛娃蛋白霜綿密像雲朵冰滑如奶油，不過份量滿大後面稍甜適分食。","It is located near Jiannan Road Station, a dining tavern, which covers an area of ​​more than 100 pings. The Qi -La Liang style can be glimpsed from the door. Cooking, the single -family style is like a fresh oasis in the city!

In addition, it is also a pet -friendly restaurant. Every Wednesday, there is a singer's dining atmosphere of the meal atmosphere.

Blastbraita salad is selected from small farmers in Taiwan, sour appetizers and mellow milk fragrance! Spanish cream crab meatballs are sour and sweet lemon gogue sauce on it, super delicious and worthy of Spanish famous cola cakes! Black bull tower selection Yunlin Angus Wimble Black Cow, the beef is super fresh and tender and sweet.

Lagos stewed shrimp Q bounces fat and beautiful shrimp, sour and creamy neutralize, beef liver mushroom belly button dumplings are seductive of mushroom aroma, hot spring eggs are smooth and smooth, the overall refreshing and rich flavor! Enthusiastic ones! As soon as the lamb is on the table, it is super fragrant ~ The passion jam is blended with the cream, which can inhibit the acid and remove the fish to make the mutton soft ~

The dessert Paofolovon cream is dense like clouds and cream, but the portion is full of sweetness.",0.166,0.013,0.822,0.9833
"/每一道餐點都像藝術品(文末有好康)/
#如詩Poetry #台北餐酒館

大直又多一間高質感的約會餐酒館
推開大門忍不住哇！了一下
真的超～美～

超過200坪的挑高裝潢
讓台北的朋友也可以享有台中大坪數的舒適空間
細問了解整間餐廳採用歐洲進口傢俱
甚至桌上的燈就要價一萬元!!

🔍黑牛塔塔 $390
🔍主廚濃湯 $220
🔍牛肝菌野菇肚臍餃 $420
🔍地中海晚霞 $2380 (時令海魚/大蝦/ 貝類 / 酸奶塔塔醬)
🔍十勝有心布丁 $250
🔍MO Sparkling White Wine 氣泡白酒 兩杯 $280*2

黑牛塔塔，搭配熟成蛋黃醬，酸酸甜甜，非常開胃
海鮮大拼盤一上菜真的很驚人，色香味俱全，炸魚好好吃~建議3-4人可以點
布丁上面撒玫瑰，搭配莓果、北海道牛奶，口感細緻，推推

不管是""詩人畫杯""體驗活動
還是精緻用心的主廚餐點
完全是超奢華的享受
剛好遇到每週三駐唱的活動
整體氛圍浪漫而且放鬆

一間店的用心都存在細節裡
如詩，店如其名，每一個角落和食物，都充滿藝術氣息，品質更不在話下
座位間隔寬敞，用餐擁有隱私，講話不會被干擾
下次還想來吃早午餐!

粉絲福利：
即日起-11/30 晚餐時段訂位來店說出通關密語：「來如詩，躲一下」，即招待一份法式脆薯
快點手刀約起來~

🏷️ Poetry 如詩
📍 台北市中山區堤頂大道二段466號
⏰ 早午餐時段：週一~週日9:00~17:00 / 晚餐時段：週日~週四 17:30~22:00 週五~週六17:30~00:00

IG搜尋:_masterfoodie_
IG:美食高手","/Each meal is like a artwork (there is good health at the end of the text)/
#POETRY #Taipei Restaurant

Dazhi and an extra high -quality dining tavern tavern
I can't help but push the door!A bit
Really super ~ beautiful ~

High decoration of more than 200 pings
Let friends from Taipei also enjoy the comfort space of Taichung Daping number
Consptively understand that the entire restaurant uses European imported furniture
Even the lights on the table are about 10,000 yuan !!

3 Black Niu Tower $ 390
Chef's soup $ 220
菇 🔍 菌 菌 Wild mushroom navel dumplings $ 420
$ Mediterranean sunset $ 2380 (current seasons/ shrimp/ shellfish/ yogurt tower sauce)
心 心 🔍 $ 250
Lmo Sparkling White Wine bubble white wine two cups of two cups $ 280*2

Black beef pagoda, with cooked egg yolk sauce, sour and sweet, very appetizing
The seafood platter is really amazing when it is served, and the color and fragrance are full. The fried fish is delicious ~ It is recommended that 3-4 people can order
Sprinkle roses on the pudding, with berries and Hokkaido milk, the taste is delicate, push push

Whether it is the ""Poet Painting Cup"" experience activity
Still delicate chef meals
It is a super luxurious enjoyment
I just met the activities of singing every Wednesday
The overall atmosphere is romantic and relaxed

There are details in the intentions of a shop
Such as poetry, the shop is named, every corner and food are full
The seat interval is spacious, and the meal has privacy, and the speech will not be disturbed
I want to come for brunch next time!

Fan benefits:
From now on-11/30 dinner time to book the store to tell the customs secret sayings: ""Come like a poem, hide"", that is, entertain a French crispy potato
Hurry up and make an appointment ~

Y️ poetry like a poem
No. 466, Section 2, Dou Ding Avenue, Zhongshan District, Taipei City
周 Bunch period: Monday to Sunday from 9: 00 ~ 17: 00 / dinner period: Sunday ~ Thursday from 17: 30 ~ 22: 00 Friday to Saturday from 17: 30 ~ 00: 00

IG search: _MasterFoodie_
IG: Food Master",0.205,0.012,0.783,0.998
"˶˶˶˶˶ #寵物友善 ˶˶˶˶˶

難得帶茶茶來內湖吃早午餐
找到這間很像飯店裝潢的如詩Poetry
挑高的設計跟原木家具都好有質感
推薦大家記得去廁所看裡面也很美
這裡還有小包廂 & 晚上會變餐酒館
重點不限時✨可以好好地享受這個空間

開車的話附近有很多平面停車場
或是餐廳門口跟轉角就有停車格
吃飽後再帶狗狗去美堤河濱公園
那裡草地超～大～絕對可以跑爆

๑ 焦糖法式吐司 $380 ◡̈
這道真的顏值高又好吃 .ᐟ.ᐟ.ᐟ
布里歐外層雖然沒有酥酥的
但咬下去的口感很好～蓬鬆又軟綿
吐司裹上濃濃的焦糖醬再挖一口冰淇淋
邊邊還可以吃到脆脆的焦糖碎片有夠搭
連不愛吃甜點的家人也被擄獲 ♡♡♡

๑ 小男孩和牛堡 $880
漢堡皮有先煎過超級酥大加分
重頭戲的和牛很紮實有7盎司
咬下去肉汁很多和牛香氣也夠
很喜歡漢堡內的洋蔥有先烤過
吃起來更甜還保留一點點嗆味
旁邊的脆薯跟薄脆培根也好吃

๑ 如詩經典早餐盤 $480
餐盤附的是有點咬勁的酸種麵包
會越嚼越香～可以搭配旁邊配料
炒蛋、燻鮭魚、培根、維也納香腸一起吃
這盤份量滿多一個人吃會太飽 ( ⑉¯ ꇴ ¯⑉ )

๑ 拿鐵 $180
熱拿鐵有拉花而且杯子很有質感
咖啡味偏淡適合喜歡奶味重的人

๑ 白桃烏龍綠茶 $180 ◡̈
這杯甜度可以調整我們選無糖
喝起來有淡淡果香的白桃香氣
而且綠茶是清香的路線不會澀
如果搭配早午餐推薦點這杯～
( ◡̈ : 推薦可以點 ! )

✨ 寵物友善 - 會提供狗狗水碗 🐶
戶外座位區寵物繫牽繩可落地 (9:00-營業結束)
室內區寵物不落地，有推車可進入 (9:00-17:00)

✨ 早午餐時段低消300元/人
     晚餐時段低消600元/人
✨ 用餐不限時 & 包廂沒有額外費用","善 #Pet friendly

Rare to bring tea tea to Neihu for brunch
Find this poem poetry like the restaurant decoration
The high design and log furniture have a good texture
I recommend everyone to remember to go to the toilet and see it is also beautiful inside
There is also a small box & will change the dining tavern in the evening
The focus is unlimited 好 can enjoy this space well

If you drive, there are many flat parking lots nearby
Or there is a parking grid at the door of the restaurant
After eating, take a dog to the Miyu Riverside Park
The grass is super ~ large ~ can definitely run out

吐 caramel French toast $ 380 ◡̈
This is really high and delicious .ᐟ.ᐟ.ᐟ
Although the outer layer of Brio is not crispy
But the taste is very good ~ fluffy and soft
Toast wraps with thick caramel sauce and digs a bite of ice cream
You can also eat crispy caramel fragments on the edge.
Family people who do not like to eat dessert have been captured ♡♡♡

Little boy and Niubao $ 880
Hamburg skin has a super crispy bonus points first
The highlight of the Hetao is very solid and 7 ounces
A lot of gravy and the aroma of beef are enough
I really like the onions in the burger and bake it first
It tastes sweeter and retains a little bit of flavor
The crispy potato and the crispy bacon next to it are also delicious

๑ ๑ Classic breakfast plate $ 480
The dinner plate is attached to a bit of bitter acid bread
The more you will chew, the more fragrant ~ you can match the ingredients next to it
Eat eggs, smoked salmon, bacon, and Vienna sausage together
The amount of this dish is too much to eat too much (⑉¯ ꇴ ¯⑉)

0 latte $ 180
The hot latte has pulling flowers and the cup is very textured
The coffee flavor is light suitable for people who like milk flavor

White peaches oolong green tea $ 180 ◡̈
This cup of sweetness can be adjusted, we choose sugar -free
Drinking the aroma with a faint fruity aroma
And green tea is the fragrance line, it will not be astringent
If you recommend this cup with brunch ~
(◡̈: Recommended to order!)

会 Pet friend -friendly -will provide dog water bowl 🐶
Pets in the outdoor seat area can be landed (9: 00-business end)
Pets in the indoor area do not land, there are carts to enter (9: 00-17: 00)

消 Smoom 300 yuan/person during brunch periods
During dinner period, 600 yuan/person
& There is no additional fee for meals & the box without an additional fee",0.145,0.018,0.837,0.9963
"✅ 餐飲
點了凱撒雞肉沙拉、可頌、牛肝菌野菇肚臍餃都非常好吃。肚臍餃的香氣撲鼻，建議趁熱享用。

「凱撒雞肉沙拉」的雞胸肉讓人驚艷！作法不是把雞胸切成丁，而是以整塊雞胸排的方式呈現。可能是舒肥雞，非常軟嫩；而表面有稍微煎過，不柴，有一點溫熱也保有一點鹹酥感口感。很推！

✅ 環境
裝潢看得出特別花心思，很好拍照；整體高挑的格局、大面積落地窗的空間很舒適。廁所的裝飾、採光有特色，可以去看看。

⚠️ 環境從就餐體驗來說非常不適。
最美長沙發座區域、酒水吧前方的兩組圓桌雙人座，都有桌椅水平+ 垂直距離太遠的問題，要一直彎著腰用餐。也因為與面對面同行者距離遠，身體要長時間前傾交談、或者大聲說話。
本來以為這是個人觀感，但陸續聽到鄰桌都有在討論。

✅ 服務
人員親切有禮，說話也面帶微笑。

✅ 價格
以餐飲來說價格符合用餐環境與料理。但考慮到用餐姿勢不舒服，以及無法輕鬆自在的姿態聊天，暫時不考慮回訪。","✅ ✅
I ordered Caesar Chicken Salad, Congsong, and Bellymal Wild Mushroom Navel Dumplings.The aroma of navel dumplings is tangy, it is recommended to enjoy while it is hot.

The chicken breast of ""Caesar Chicken Salad"" is amazing!The method is not to cut the chicken breasts into ding, but to presented in the way of the whole chicken breast.It may be Shu fat chicken, which is very soft and tender; and the surface is slightly frying, not firewood, and a little warm and a little salty taste.Very pushing!

Rigid environment
The decoration can be seen that it is particularly thoughtful and very good to take pictures; the overall tall pattern and large -scale floor -to -ceiling windows are very comfortable.The decoration and lighting of the toilet are unique, you can go and see.

验️ The environment is very uncomfortable from the dining experience.
The two round tables in front of the drinking area and the two groups of round tables in front of the wine bar have problems with the level of table and chair+ vertical distance.Because of the long distance with the face -to -face peers, the body should talk forward for a long time, or speak loudly.
I thought this was a personal perception, but I heard that there were discussion on the neighboring table.

✅ ✅ ✅ ✅ ✅ ✅ ✅
The personnel are kind and polite, and they smile.

✅ ✅ ✅ ✅ ✅
In terms of catering, the price is in line with the dining environment and cooking.However, considering that the dining posture is uncomfortable, and the unable to relax and chats, the return visit will not be considered for the time being.",0.078,0.039,0.882,0.9266
"1.上餐時間問題🕤：週六晚間前往用餐，決定好餐點之後由朋友當面跟服務人員點餐，過了一小時都沒有餐點送來，期間朋友去詢問過三四次得到的回答都很模糊或是說廚房有在準備了。
後來真的太久，再進一步追問到底準備到哪，他們才發現出單系統有問題，訂單根本沒進到內場？？？這時才開始準備我們的餐點並陸續出餐，有給一份薯條和用餐金額打9折做為補償，但是餓肚子久等和一開始敷衍回答沒有真的確認點餐狀況，感受蠻差的🥲（有服務人員上餐的時候臉很臭，讓人覺得很不耐煩）

2.餐點🍝：披薩和薯條不錯，燉飯和義大利麵份量偏少，麵普通。
個人的軟殼蟹燉飯在吃到蟹體的時候有明顯的腥味，請同行朋友也吃了確認真的有，於是跟服務人員反應🙋🏻‍♀️，回應是蟹本身沒有過多調味保留原本的味道，跟之前吃軟殼蟹的經驗十分不同，但可能就是跟個人口味不合。我和另一位朋友是當月壽星，後來有把一桌只能招待一份的生日小蛋糕，也給了我一份當作餐點的補償（後來結帳前覺得胃不太舒服基本上都吐完了 蠻可惜）

裝潢是真的蠻有質感的，小包廂環境也舒服，只是餐點和服務整體體驗真的不太行，希望可以改進，不要讓類似事件再度發生😢","1. Question of meal time 六: Go to dinner on Saturday night. After deciding the meal, a friend ordered the service staff in person. After an hour, there was no meal. They are all blurred or said that the kitchen is prepared.
Later, it was really too long, and further asked where to prepare, they found out that there was a problem with the order system, and the order did not enter the inner field at all?IntersectionIntersectionAt this time, we started preparing for our meals and went out one after another. There were 10 % off for a french fries and meals as compensation, but after a long time of hungry, I did not really confirm the order of order. Poor 人员 人员 (When the service staff has a stinky face when she goes to me, it makes people feel impatient)

2. Meals: Pizza and fries are good, stewed rice and pasta are small, and the noodles are ordinary.
Personal soft -shell crab stew rice has a clear fishy smell when eating crab body. I asked friends with friends to confirm that there are, so I responded to the service staff 🙋🏻‍♀️, the response is that the crab itself does not season and keep it. The original taste is very different from the experience of eating soft shell crabs before, but it may be inconsistent with personal taste.Another friend and I were Shouxing that month. Later, there was a small birthday cake that could only entertain a table of tables. It also gave me a compensation for me as a meal (Later, I felt that the stomach was not comfortable before the checkout. It's a pity that it's a pity)

The decoration is really quite textured, and the environment of the small box is also comfortable, but the meal and service overall experience are really not very good. I hope it can be improved. Do not let similar incidents occur again.",0.123,0.07,0.807,0.9713
占地百坪環境超舒服愜意~餐點不錯吃！有半開放式包廂，是可以帶寵物的餐廳～完整介紹🔍金亮亮部落客吃喝玩樂趣,"Occasionally it is super comfortable and comfortable to occupy the Baiping environment ~ Eat a good meal!There is a half -open box, a restaurant that can bring pets ~ Completely introduced 🔍 🔍 🔍 🔍 🔍 🔍 有 有 有 吃 吃 吃",0.191,0.0,0.809,0.925
這間應該可以說是台北最大最美餐酒館！還蠻適合閨蜜或情侶去拍照吃飯的，餐點非常高質感不馬虎，綠色瑪德蓮蚵爹讓人驚喜，畫杯活動很有特色，喝杯調酒氣氛很好！會回訪！,This should be said to be the largest and most beautiful restaurant in Taipei!It is quite suitable for girlfriends or couples to take pictures and eat. The meal is very high -quality and not sloppy. The green Madeleine daddy is surprising. The painting cup is very distinctive. The drinking cup is very good!Will return to visit!,0.117,0.0,0.883,0.8003
"食物完全沒踩雷 尤其是萬聖節飲料！超好喝
駐點化妝師超酷 妝容非常滿意
駐唱歌手很有氛圍～
整體都很滿意！！","The food is completely cut off at all, especially Halloween drinks!Super delicious
The cosmetic makeup artist is super cool makeup is very satisfied
Singing singer is very atmospheric ~
The whole is very satisfied!Intersection",0.306,0.053,0.641,0.909
裝潢氣氛還有食物都好吃！萬聖節布景也超好拍！因為寵物友善，帶毛孩來拍照超舒心！現在萬聖節期間，說出通關密語還有招待一份薯條！不管是環境還是餐點，都很值得推薦！,"The decoration atmosphere and food are delicious!Halloween sets are also super easy to shoot!Because pets are friendly, take photos with hairy children to take pictures are super comfortable!During Halloween, there is a stubbornness and entertaining a piece of fries!Whether it is the environment or meals, it is worth recommending!",0.311,0.033,0.657,0.9569
"裝潢真的頂！位置大、裝潢舒服、廁所乾淨👍🏼

食物的話不建議早午餐系列
吐司非常普！吃起來濕濕軟軟的口感

還有不吃香菜的看過來
絕對不要點韓式炸雞吐司（裡面有加）
那除了有加香菜之外，價格大概380
只有4塊雞肉跟吐司還有蛋

甜點的話還可以！以上分享
然後服務人員蠻少的，沒辦法時常注意客戶狀況，都要跑去吧台找他們","The decoration is really top!Large position, comfortable decoration, clean toilet

It is not recommended for lunch series if food
Toast is very universal!Wet and soft texture

There are people who don't eat coriander here
Never order Korean fried chicken toast (add in it)
In addition to adding coriander, the price is about 380
Only 4 pieces of chicken and toast have eggs

If you dessert!The above sharing
Then there are very few service staff, but there is no way to pay attention to the customer conditions, and they have to go to the bar to find them.",0.067,0.055,0.878,0.2986
