Original,EN,Positive,Negative,Neutral,Compound
小小純Piano酒吧，小酌又可琴師伴唱,"Xiaoxiao Chun Piano Bar, you can sing with the pianist",0.0,0.0,1.0,0.0
氣氛高雅卻不失奢華，舒適的座椅，讓人呆再久也不累，老師現場彈奏鋼琴，也會穿插吉他等其他樂器，真的是朋友唱歌小酌一杯的最佳去處。,"The atmosphere is elegant but luxurious, comfortable seats, which makes people not tired for a long time. The teacher plays the piano on the spot, and will also intersperse other instruments such as guitar. It is really the best place for friends to sing a drink.",0.36,0.0,0.64,0.9735
很單純溫馨的好地方，喝小酒，唱歌，交朋友皆宜。我至少來過五十次啦，還要再來。,"Very simple and warm place, drink small wine, sing, and make friends.I have been here at least 50 times, and I have to come again.",0.083,0.0,0.917,0.2878
"燈光美氣氛佳～
老師也很厲害～","The lights of the lights are good ~
The teacher is also very powerful ~",0.316,0.0,0.684,0.7178
初體驗，很棒！,"First experience, great!",0.687,0.0,0.313,0.6588
乾淨舒適音樂,Clean and comfortable music,0.75,0.0,0.25,0.7184
愛唱歌人的好去處,A good place for singers,0.42,0.0,0.58,0.4404
老琴師 老朋友,Old pianist and old friend,0.444,0.0,0.556,0.4939
我喜歡 Swing，不錯的鋼琴酒吧🍷 …,"I like swing, nice piano bar 🍷 ...",0.431,0.0,0.569,0.6486
好地方，服務周到，價格合理！,"Good place, thoughtful service, reasonable price!",0.592,0.0,0.408,0.6996
