Original,EN,Positive,Negative,Neutral,Compound
"意外在Google上尋到的酒吧
沒想到杯杯都好好喝！
尤其是 愛爾蘭咖啡
除了平常酒吧少見，喝下去更是讓人驚豔🌟
想一杯接著一杯，順口且奶泡綿密🥹

和朋友很沒有遇到讓我們很喜歡的酒吧了🥹
期待下次再回訪💖💖💖
也推薦給喜歡安靜氛圍酒吧的人～～","The bar that I found on Google
Unexpectedly, the cups are delicious!
Especially Irish coffee
In addition to the rare bars, drinking is amazing
Think of one cup after a cup, smooth and milk bubble 🥹

I have never encountered a bar that made us like it.
Looking forward to the next visit 再 再 再 再
It is also recommended to those who like a quiet atmosphere bar ~~",0.183,0.0,0.817,0.9273
很推這間的安靜氛圍，bartender小花（男），安妮（女）很專業，茶酒跟咖啡酒都很好喝，經典調酒也不錯。有機會住林森北路的話會再來訪,"Very pushing this quiet atmosphere, Bartender Xiaohua (male), Annie (female) is very professional, tea wine and coffee wine are delicious, classic bartending is also good.If you have the opportunity to live in Linsen North Road, you will visit again",0.149,0.0,0.851,0.7579
"第一次一個人喝酒，剛好找到這間！
只能說太幸運找到這裡了💕
🩵氣氛非常清幽舒適，今天剛好遇到的氛圍是在喧囂的城市中有小聊天的聲音而不是鼓譟聲，可以一個人喝酒也可以結伴來🥺
🩵調酒師專業，今天遇到的是安妮💕可以點菜單也可以跟調酒師說想喝什麼樣的酒讓調酒師來調配！
🩵酒種類非常多可以專程來品酒！
🩵店內禁菸，要抽煩請店外，這點也很愛呀！
🩵衛生間十分整潔！
整體而言我直接被圈粉了呀😍
今天沒看到有另外賣食物但調酒師會問吃飽了嗎～大家可以斟酌要不要吃飽才來","The first time I drank alone, I just found this!
I can only say that I am too lucky to find it here 只
The atmosphere is very quiet and comfortable. The atmosphere that happens to be today is the sound of small chats in the hustle and bustle city instead of drum noise. You can drink it alone.
🩵 🩵 🩵 🩵 🩵 🩵 Today I met Annie 💕 to order the menu or tell the bartender what kind of wine to drink for the bartender!
There are many types of wine, you can make a special trip to wine!
抽 Smoking in the store, I want to get annoyed out of the store. I also love this!
整 The bathroom is very neat!
Overall, I was directly fascinated.
I haven't seen any other food for the other food, but will the bartender ask if you are full ~ You can consider whether you want to eat enough",0.112,0.028,0.86,0.909
"20240916 再次拜訪 發現酒友增多了 也有來自各地的觀光客 Whisky也增多了 讓你待到半夜都不會覺得無聊
無意中 發現一家位在林森北路7條通 新開的酒巴 氣氛佳 酒款種類多 專業威士忌酒 從幾千元至高檔上萬皆可單杯試試 對喜愛威士忌的朋友們 是一大褔音

調酒師小花專業調酒技術佳 曾多次得獎 服務親切 兩位美女店長超吸睛 進來就不想出門 店內空間廣闊 區分為多個小單位 飯後續攤 來此聚在一起品酒聊天 天南地北酒經聊不完 店內純品酒 無點餐服務","20240916 Visit again and found that there are more wine friends who have increased. WHISKY from all over the country also increases.
Inadvertently found that a newly opened wine atmosphere at the north road of Linden Mori Road was a variety of professional whiskey wines from thousands of dollars from thousands of yuan. sound

The bartender Xiaohua professional bartending technology has many winning services. Careful two beautiful shops. Scripture can't finish the pure wine in the store without ordering services",0.161,0.0,0.839,0.9243
"週日晚上walk in
人不多 很悠哉的氣氛 裝潢很舒服 特別是廁所 超級貼心 備有漱口水 衛生棉（真的有夠貼心🩷
安妮超級親切 調酒也很讚 草莓Gin Fizz大愛🥰

一定會再回訪的 真的是寶藏店呀！！","Walk in Sunday evening
There are not many people with a very leisurely atmosphere. The decoration is very comfortable. In particular, the toilet is super intimate with mouthwash sanitary napkin (really enough
Annie is super friendly and bartender.

It will definitely be a treasure shop who will return again!Intersection",0.315,0.0,0.685,0.9627
和朋友在中山區聚餐，查詢附近有什麼好喝又寧靜的酒吧，找到了這家，真的很好喝！氛圍也很好，最喜歡「愛爾蘭咖啡」很驚艷。我會為了這杯酒常來，太棒了！,"I dinner with my friends in Zhongshan District to check what a delicious and peaceful bar nearby, and found this one, it is really delicious!The atmosphere is also very good. I like ""Irish Coffee"" the most amazing.I will often come for this glass of wine, it's great!",0.335,0.0,0.665,0.9667
偶然找到的酒吧但當天點的signature 都十分好喝，環境不吵雜且乾淨，bartender 也很熱情，整體來說很喜歡，會想試看看之後酒單,"I found the bar by accident, but the Signature that day was very delicious, the environment was not noisy and clean, Bartender was also very enthusiastic, I like it overall, I want to try it",0.342,0.099,0.56,0.9211
"跟朋友一起過來體驗
是一家非常舒適的一間酒吧
尤其水餃好吃
原來水餃配威士忌和調酒都很搭
為了水餃下次還願意再來","Come with friends to experience
It is a very comfortable bar
Especially dumplings are delicious
It turns out that dumplings with whiskey and bartend
For dumplings, I am still willing to come again",0.255,0.1,0.645,0.8578
"第一次酒吧初體驗
這間很讚👍🏿

可能剛開幕店內好像只有老闆跟一位調酒師
店內的氛圍很棒有吧台也有小間隔類似包廂

調酒的部分真的很驚艷
最喜歡的是薄荷巧克力、草莓提拉米蘇
果香威士忌很苦個人不愛xD
不喝酒的人也可以喝茶（老闆說他也有學茶
但茶的部分我是覺得還好","First Bar first experience
This is great

Maybe it seems that only the boss and a bartender in the opening shop
The atmosphere in the store is great. There is a small interval similar to a box.

The part of the bartender is really amazing
The favorite is mint chocolate, strawberry Tiramisu
Fruity whiskey is very bitter. I don't love XD
Those who do n’t drink can also drink tea (the boss said he also has tea too
But the part of the tea I think it's okay",0.123,0.066,0.811,0.6799
"酒沒有一杯雷，都好喝，尤其推薦少見的愛爾蘭咖啡，非常驚艷

環境舒適，適合喜歡安靜氛圍的夥伴一起來小酌一杯","There is no glass of wine, it is delicious, especially the rare Irish coffee, which is very amazing

The environment is comfortable, suitable for partners who like a quiet atmosphere to have a drink together",0.297,0.048,0.655,0.908
