Original,EN,Positive,Negative,Neutral,Compound
"2024.03.14(四)晚餐後到訪
不愧是評論高分的店
雖然裝潢風格不是非常的絢麗
但是讓人有美國輕鬆喜劇家裡附近酒吧的親切
是一個像是承載記憶跟歡笑的地方

現在的老闆娘是接手過的了
雖不知以前的情況是怎樣
但是目前的品質跟服務真的值得一來
餐點不多，但是有創意、份量夠
酒類更是有很多的促銷
愛喝Shot絕對適合😎
還有很厚工的生命之水方糖喝法
視覺跟味覺都是享受
也很適合路過來一杯或是下班來一杯","2024.03.14 (Thursday) Visit after dinner
It is worthy of reviewing high score shops
Although the decoration style is not very gorgeous
But people have the kindness of the bar near the bar near the American relaxed comedy
It is a place like carrying memory and laughing

The current boss has taken over
Although I don't know what the previous situation was
But the current quality and service are really worthwhile
There are not many meals, but there is enough creativity and portion
There are many promotional wines
Love to drink Shot is definitely suitable 爱
There is also a very thick work of life.
Visual and taste are enjoyable
It is also very suitable for passing a drink or a drink after get off work",0.263,0.014,0.722,0.9912
"闆娘黛西水啦！讚讚 不求高調奢華 但可以有平價快樂XDDDDDD
老闆娘會罵你雞掰🥹","Ban Niang Daiswater!Praise does not want high -profile luxury but can be cheap and happy XDDDDDDD
The boss will scold your chicken 老 老",0.156,0.225,0.619,0.0979
"歐姆蛋跟性感海灘🏖️好好吃好好喝🥺🥺🥺🥹🥹🥹 Daisy, Lynn, 涼麵, Money都很親切熱情❤️❤️❤️ 下次再回訪！","Om egg and sexy beach 好️ are delicious and delicious 🥺🥺🥺🥹🥹🥹 daisy, lynn, cold noodles, Money is very enthusiastic and enthusiastic ❤️❤️❤️ will I return to visit next time!",0.347,0.0,0.653,0.9587
"喜歡喝酒的朋友一定要來這個地方！
在台北很難找到酒水價格如此合理的地方！超喜歡這個地方！
每次都是第一攤或最後一攤來補酒精！","Friends who like to drink must come to this place!
It is difficult to find a reasonable price in Taipei!I like this place so much!
Every time it is the first or last stall to replenish alcohol!",0.203,0.094,0.702,0.7156
相當棒的酒吧！！老闆娘非常有個性，非常好客！！手工水餃滿有水準，小菜也各有特色，熱門時段店內相當忙碌，有體育賽事轉播，Happy Hour 的酒類相當划算。喝酒放鬆的好地方。,"A great bar!IntersectionThe boss is very personal and very good!IntersectionHandmade dumplings are full of standards, and side dishes are also distinctive. Popular time is quite busy in the store. There are sports events to broadcast, and HAPPY HOUR's alcohol is quite cost -effective.A good place for drinking and relaxing.",0.291,0.025,0.684,0.9565
"闆娘跟夥伴們真的好讚❤️

酒跟人都很親切
建議一杯接一杯😘","Ban Niang really likes the partners ❤️

Wine and people are very kind
It is recommended to have a cup after a cup 杯",0.259,0.108,0.633,0.6106
"店目前經營者為活潑熱情的女老闆娘
從前一任老闆退休夫婦接手
保留這個地方
給大家下班有一個休息.放鬆.談心的地方～

很值得前來～

起司蛋🧀️🥚
德國香腸
手工水餃🥟

都很可口","The shop currently operates a lively enthusiastic female boss
Once the previous boss retired couple took over
Keep the place of the sake
Give everyone the next one has a rest. Relax. Talk about the heart ~

It's worth coming ~

Cheese Egg🧀️🥚
German sausage
Handmade dumplings🥟

are very tasty",0.255,0.02,0.725,0.9349
老闆訊息回覆迅速，待人真誠友善，Voice Long Play完全可以讓你放鬆喝酒！,"The boss's message reply quickly. When you are sincere and friendly, Voice Long Play can let you relax and drink!",0.418,0.0,0.582,0.8883
"小黃瓜是老闆自己做的
喜歡吃辣朋友，喝點酒
配點辣辣的小黃瓜很愜意
這邊的特調不貴，又有老闆的創意
很適合每天隨心情來一杯","The little cucumber made by the boss himself
Like to eat spicy friends, drink some wine
It is very pleasant with spicy cucumber
The special tone here is not expensive, and the creativity of the boss
Very suitable for a cup of mood every day",0.266,0.0,0.734,0.9259
"老闆娘人很好給很多水喝 因為我們酒精路跑很醉想喝水
酒喝狠少還給很多杯水 真的是太頂了","The boss and mother are very good to drink a lot of water because we are drunk in our alcohol road and want to drink water
It ’s really too much to drink a lot of water for drinking less.",0.102,0.055,0.843,0.2716
"美女老闆很親切 ~
17-21有happy hour活動，非常划算👍

起司蛋捲滿滿的起司，必點必點
小黃瓜很辣很好吃😋","The beauty boss is very kind ~
17-21 There is a Happy Hour activity, which is very cost-effective 👍

The cheese egg roll full of cheese, must be ordered
Little cucumber is very spicy and delicious",0.315,0.0,0.685,0.9447
黛西姊姊親切有趣，但阿奇我比較有趣欸～^ ^想喝醉，來這就對了！,"Sister Daisy is kind and interesting, but Aki I am more interesting ~ ^ ^ I want to get drunk, it's right to come!",0.307,0.097,0.596,0.689
酒好喝水餃好吃，老闆娘很會聊天,"The wine is delicious and delicious, the boss is very good at chatting",0.514,0.0,0.486,0.8908
"第一次嘗試無酒單的特調酒
可以自己選擇自己的口味
老闆娘特調出來的酒好讚好喜歡❤️
老闆娘也好聊天 適合一個人來放空放鬆
很自在不會有壓迫感的酒吧 讚讚👍🏻
酒類價格平價 不會像外面過度裝飾
主打平價好喝 CP值超高！ 推爆✨","The first time I tried a special wine without wine list
You can choose your own taste
The wine that the boss is specially adjusted is so much praised, so I like it ❤️
The boss is okay to chat for one person to let go and relax alone
Very comfortable bar praise
The price of alcohol prices will not be excessively decorated like the outside
Focus on cheap and delicious CP value!Blew ✨",0.313,0.021,0.667,0.9799
老闆超讚超親民！而且店裡的店員都超正😍😍喝酒的氣氛非常開心！shot便宜～調酒一級棒！超喜歡這裡❤️❤️❤️ …,The boss is super affordable!And the clerk in the store is very happy to drink!SHOT is cheap ~ bartending is a great!I like here ❤️❤️❤️ ...,0.287,0.0,0.713,0.9056
"第一次吃到蛋捲配小黃瓜
莫名好吃😋👍👍👍
老闆娘超熱情超會聊(撩)
是下班喝一杯或週末想喝一杯的最棒選擇 …","The first time I eat egg rolls with small cucumber
Inexplicably delicious 吃
The boss is super enthusiastic and super -talked ())
It's the best choice to drink a drink or weekend ...",0.403,0.0,0.597,0.9633
"走過路過我沒有錯過，謝謝老闆Daisy的用心經營，店內氣氛和人與人互動的溫度都很棒！
用記錯時間的業務 mix 好吃辣醬高麗菜水餃，來結束Blue monday。","I didn't miss it by passing by. Thank you boss Daisy for your intentions. The temperature of the atmosphere and the interaction between people in the store is great!
The business MIX with the wrong time is delicious, spicy sauce Korean vegetable dumplings to end Blue Monday.",0.21,0.077,0.714,0.8242
"我這不就John來留言了嗎😂
CP值有夠高的一家酒吧！
不論是闆娘還是酒都有夠讚！
來台北一定都要來拜訪的一間店！","Am I not leaving a message at John?
The CP value has a high bar!
Whether it is Ban Niang or wine, it is enough!
A shop must come to Taipei!",0.067,0.125,0.808,-0.4724
和朋友臨時起意的喝一杯，竟誤打誤撞來到了一個很chill and friendly 的空間。第一次光顧，就感受到闆娘Daisy的親切，讓我個不是很常到酒吧的女子，也能很輕鬆自在地在吧檯和大家一起小酌談天。Nice place and I'll definitely visit again.,"Drinking a cup with a friend temporarily, he accidentally hit a space with Chill and Friendly.For the first time, I felt the kindness of Ban Niang Daisy. It made me a woman who did not go to the bar very often, and I could easily talk to everyone on the bar on the bar.Nice places and I'm definitely visit agina.",0.158,0.084,0.757,0.6486
老闆娘人超級好，很好相處，下次還會再拜訪😍,"The boss and mother are super good, get along well, and will visit again next time 😍",0.427,0.0,0.573,0.8979
老闆娘人超好，店裡的氣氛很融洽，就算自己去也不會覺得尷尬。手工水餃很好吃，重點價格超佛心！！很適合下班去小酌一杯啊～,"The boss is super good, and the atmosphere in the store is very harmonious, even if you go, you will not feel embarrassed.Handmade dumplings are delicious, the key price is super good!IntersectionIt's very suitable for a drink after get off work ~",0.348,0.0,0.652,0.9596
"黛西實在太可愛🥰
但請記得我叫做Renny🤣🤣🤣","Daisy is so cute 在
But please remember my name is Renny 但",0.329,0.0,0.671,0.6579
闆娘和善法，酒品很順口。,"Ban Niang and good law, the wine is smooth.",0.215,0.267,0.519,-0.1779
我叫王大錘，這邊的氣氛很好！,"My name is Wang sledgehammer, the atmosphere here is very good!",0.258,0.0,0.742,0.54
"氛圍很讚
美女老闆娘很熱情
招待酒沒再手軟","The atmosphere is great
Beauty boss is very enthusiastic
The entertaining wine is no longer soft",0.524,0.079,0.396,0.924
好久沒來了，老闆娘竟然還記得我名字，感動感動👍👍👍,"It's been a long time, the boss still remembers my name, moved and moved 👍👍👍",0.0,0.0,1.0,0.0
"上次跟朋友來這邊聚聚
店內氣氛舒適，料理也好吃，非常享受(*´▽`*)
老闆娘相當熱情，會幫我們介紹調酒口味
我們喜歡喝甜一點的，老闆娘也推調了適合的調酒
是間會讓人想再訪的好店","Last time I came to gather with my friends here
The atmosphere in the store is comfortable, the cuisine is also delicious, and I enjoy it very much (*´ ▽ `*)
The boss is quite enthusiastic, and will help us introduce the taste of bartender
We like to drink a sweet one, and the boss also pushes the right bartending
It's a good shop that makes people want to visit again",0.324,0.0,0.676,0.9802
"老闆娘很活潑
和朋友一起來聚會，或是和老闆娘聊天都很不錯😆 …","The boss is very lively
It's good to meet with friends, or chat with the boss mother ...",0.387,0.0,0.613,0.8576
"有世足
老闆好客 好聊天
酒也不錯 可以慢慢喝著聊天","Worldly
Boss hospitality chat well
Wine is also good, you can drink chat slowly",0.294,0.0,0.706,0.6124
氣氛佳，酒好喝，來過就好變常客！,"The atmosphere is good, the wine is delicious, and you can become a frequent visitor!",0.346,0.0,0.654,0.784
老闆娘超友善 coffee tequila 好讚 給她五顆星,The boss is super friendly Coffee Tequila so much praises her five stars,0.519,0.0,0.481,0.8952
"這附近最棒的bar,服務親切
所有酒都可以喝看看","The best bar nearby, the service is cordial
You can drink all wines",0.259,0.0,0.741,0.6369
"喜歡這家店🩷老闆超熱情
酒🍸也好好喝","Like this shop, the boss is super enthusiastic
Wine is also delicious",0.624,0.0,0.376,0.9231
酒好喝，老闆娘人很nice ! 適合下班來放鬆一下！,"The wine is delicious, the boss is very nice! Suitable for it to relax from get off work!",0.407,0.0,0.593,0.8828
酒好喝，老闆娘很正，非常熱情,"The wine is delicious, the boss is very positive, very enthusiastic",0.587,0.0,0.413,0.9072
老店新開幕，親民的價格與好聽的音樂，健談的老闆與老闆娘，happy hour啤酒還有買一送一，相當適合沒有壓力的喝啤酒放鬆！,"Newly opened, the price of close people and good music, the boss and the boss of the talks, the Happy Hour beer and buy one get one free, which is quite suitable for drinking beer without pressure!",0.268,0.0,0.732,0.9018
老闆娘Nina好熱情，客人都不錯（除了一位總是騷擾女客人亂到處摟別人腰的紐西蘭怪男），傳說的水餃好好吃，特調很好喝！！義大利哥馬可說巴巴好可愛，哈哈哈哈！,"The boss Nina is so enthusiastic, and the guests are good (except for a New Zealand monster man who always harass female guests around others). The legendary dumplings are delicious and special are delicious!IntersectionItalian Ge Moco said Baba is so cute, hahahaha!",0.311,0.078,0.61,0.9368
老闆娘人超好，調酒跟精釀啤酒都超讚的。喜歡坐吧台，還有體育節目可以看！,"The boss is super good, and the bartending and craft beer are superb.I like to sit down, and sports programs can be watched!",0.324,0.0,0.676,0.8622
