Original,EN,Positive,Negative,Neutral,Compound
"店長精通英日文，且調酒功力高強，每一杯都順口地令人驚嘆。
另外客人多為日本人，是個可以在台灣體驗日本氣氛的優秀酒吧，值得一去！","The manager is proficient in English in English, and the bartending skills are high, and each cup is amazing.
In addition, most guests are Japanese. They are excellent bars that can experience the Japanese atmosphere in Taiwan. It is worth going to go!",0.195,0.0,0.805,0.8655
走日式的酒吧風，小小溫馨的風格，調酒有一定的水準，下酒菜也弄得不錯$$$👍👍👍 …,"The Japanese -style bar style, a small and warm style, the bartending has a certain level, and the vegetable dishes are also good at $ 6 👍👍👍 👍👍👍 👍👍👍 👍👍👍 ...",0.126,0.0,0.874,0.7096
只有八個座位的特色小酒吧 有闆娘自己特製的煙燻起司 煙燻雞肉干跟煙燻堅果 酒好喝東西也好吃,只有八個座位的特色小酒吧 有闆娘自己特製的煙燻起司 煙燻雞肉干跟煙燻堅果 酒好喝東西也好吃,0.0,0.0,1.0,0.0
"低消500
氣氛灰暗 調酒好喝
Bartender是新手，有老闆娘在才能點到真正厲害的喔
專業美食攝影：
FB Daniel PO
IG Danielpo6","Low 500
The atmosphere is dark and bartender and delicious
Bartender is a novice.
Professional food photography:
Fb daniel po
Ig danielpo6",0.13,0.201,0.669,-0.25
環境很舒服，爵士樂在耳邊環繞，調酒非常好喝，是一間高素質的Bar，喝起來都很舒服，料理都是老闆手作，非常推薦，起司拼盤非常的好吃。適合2個朋友來聚聚。,The environment is very comfortable. The jazz is surrounded by the ears. The bartender is very delicious. It is a high -quality BAR. It is very comfortable to drink. The cooking is the boss hand. It is very recommended. The cheese platter is very delicious.Suitable for 2 friends to gather.,0.308,0.0,0.692,0.9616
"二訪，闆娘的調酒沒有華麗的裝飾。
但，調出來的非凡哦！
冷面的老闆娘，很好聊喔👍🏻👍🏻👍🏻👍🏻👍🏻
一定要來試試。 …","In the second visit, Ban Niang's bartender was not gorgeous.
But, the transfer is extraordinary!
Cold noodle boss, very good to talk about it
Be sure to try it.Mowing",0.204,0.119,0.677,0.6275
"調酒超棒，老闆娘很好聊天
目前只吃過煙燻花生跟滷肉飯，大推！👍
（滷肉飯是肥肉，怕肥肉的就要考慮一下了）

PS. 抵消 500","The bartender is great, the boss is very good to chat
At present, I have only eaten smoked peanuts and braised pork rice, push!Bleak
(Braised pork rice is fat, if you are afraid of fat, you must consider it)

Ps. Cancel 500",0.156,0.041,0.803,0.7639
非常舒服的bar，比起吵鬧的酒bar，我更愛這裡。荔枝酒讓我很驚豔！！！比起華麗的裝飾，我更在意調酒喝起來帶給人的感覺～闆娘調的酒非常適合Lady唷！闆娘人超級好的耶～適合想放鬆的人來唷～,"Very comfortable bar, I love here more than the noisy wine BAR.Litchi wine surprised me!IntersectionIntersectionCompared to the gorgeous decoration, I care more about the feeling of drinking and drinking. The wine of Ban Niang is very suitable for Lady!The Ban Niang people are super good ~ suitable for those who want to relax ~",0.376,0.114,0.51,0.9642
"酒吧沒有時下流行的華麗創意調酒，只販賣基本的調酒款及提供各種威士忌，當然，也有啤酒。
樸素、低調是我對這家酒吧的第一印象。
<完整圖文介紹Google搜尋：日常食札>","The bar does not have the gorgeous creative bartending, only selling basic bartender and providing various whiskey. Of course, there are also beer.
Simplicity and low -key are my first impression of this bar.
<Full graphic introduction Google Search: Daily Food Classes>",0.1,0.111,0.79,-0.1331
"Good atmosphere, nice jazz music, bartender is really friendly.

煙燻雞柳干 很下酒～～

喜歡聊天的可以來bochibochi！！","Good Atmosphere, Nice Jazz Music, Bartender Is Really Friendly.

Smoked chicken willow dried wine ~~

Those who like to chat can come to BochiboChi!Intersection",0.375,0.0,0.625,0.8997
