Original,EN,Positive,Negative,Neutral,Compound
老字號酒吧之一，老闆明哥人很好。,"One of the old -fashioned bars, the boss Ming is very good.",0.225,0.0,0.775,0.4927
價格高，裝潢差，比較推薦附近其他家酒吧,"The price is high, the decoration is poor, and it is recommended to be more nearby nearby bar",0.086,0.148,0.766,-0.3182
"音響開的有夠大聲，搞得整條街都是外勞的鬼叫
🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮 …","The audio is loud enough to make the whole street that is a ghost of foreign workers
🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮 ...",0.0,0.026,0.974,-0.3182
啤酒價格實在，菲律賓人常來這,"The price of beer is real, the Philippines often come here",0.0,0.0,1.0,0.0
環境舒適，聊天小酌的好地方,"Comfortable environment, a good place for chatting and drinking",0.47,0.0,0.53,0.7351
燈光美氣氛佳,Beautiful light atmosphere,0.661,0.0,0.339,0.5994
小艾很讚,Xiao Ai is great,0.577,0.0,0.423,0.6249
服務態度有待參詳,The service attitude needs to be detailed,0.0,0.0,1.0,0.0
啤酒有點貴，但這是一家位於很酷地帶的很酷的酒吧。  經營這個地方的女士琳達非常好。  這個地方只在晚上開放，週日除外，週日全天開放，他們提供一些菲律賓美食。  很酷的地方。  哦對了，還有卡拉OK,"Beer is a bit expensive, but this is a cool bar in a cool area.Lada, who runs this place, is very good.This place is only open at night, except for Sunday, and open all day on Sunday. They provide some Philippine cuisine.Very cool place.Oh yes, there is karaoke",0.22,0.0,0.78,0.9081
很棒而且友好,Great and friendly,0.88,0.0,0.12,0.8074
