Original,EN,Positive,Negative,Neutral,Compound
好地方，充滿著溫暖與歡笑～,"Good place, full of warmth and laughter ~",0.645,0.0,0.355,0.8442
氣氛很棒，闆娘超可愛！聊天各種時事梗～很有趣、社會歷練很多，聊起天來很開心！根本擺渡人^^,"The atmosphere is great, Ban Niang is super cute!Chatting all kinds of current affairs stalks ~ very interesting, social experience a lot, very happy to talk about the sky!Fundamental ferry ^^",0.345,0.08,0.576,0.9181
董老闆娘非常親切，善解人意，適合跟好朋友去小酌聊天的好酒吧,"Mrs. Dong is very kind, understands, and is suitable for good friends to chat with good friends.",0.567,0.0,0.433,0.9402
老闆娘小婷很親切 有人情味 最喜歡小婷的幹譙,The boss Xiaoting is very kind and human being likes Xiao Ting's dryness.,0.371,0.0,0.629,0.7574
舒筋骨活血路➕喝爽爽樂飽飽➕人美心更美的老闆娘💗💗💗 …,"Shujin bone promotions, drinking cool and happy ➕ ➕ ➕ 💗💗💗 💗💗💗 💗💗💗 💗💗💗 💗💗💗 💗💗💗 💗💗💗 ...",0.896,0.0,0.104,0.999
因為是老店 熟客居多 很溫馨的一間店,Because it is a very warm shop that is very warm in old shops,0.268,0.0,0.732,0.5245
好酒！+好友！&人對！地方對！…感覺就對！,Good wine!+Friends!& People right!Local right!... it feels right!,0.368,0.0,0.632,0.6209
"老闆娘親切, 客人水平高","The boss is kind, the guest level is high",0.298,0.0,0.702,0.5267
老闆娘很親切,The boss is very kind,0.48,0.0,0.52,0.5709
喝酒聊天好去處,Drink and chat,0.0,0.0,1.0,0.0
溫馨好去處,Warm and good place,0.706,0.0,0.294,0.5859
喜歡,like,1.0,0.0,0.0,0.3612
我的最愛,My favorite,0.75,0.0,0.25,0.4588
出色的！,Outstanding!,1.0,0.0,0.0,0.6476
