Original,EN,Positive,Negative,Neutral,Compound
第二次造訪，帶宜蘭來的閨蜜去走走，唯一美中不足的是...有一桌台灣人講話非常大聲，但與店家無關，馬的~你們走錯地方了吧...,"For the second visit, the girlfriend who brought Yilan came around. The only thing that was beautiful is ... there was a table of Taiwanese speaking very loudly, but it had nothing to do with the store.",0.064,0.0,0.936,0.3506
"日本老闆開的日K
也算是條通地標之一了

相較於其他店這家更注重在whisky
還有調酒都很不錯
是個好地方週末總是大爆滿
外國客人非常多

章魚燒很好吃喔😉","Japanese boss's Japanese K
It can also be regarded as one of the landmarks

Compared to other stores, this is more focused on Whisky
And bartending is very good
It is a good place that is always full on weekends
There are many foreign guests

Octopus burning is delicious 😉",0.213,0.0,0.787,0.9133
今天1/26路過發現的意外驚喜，很推薦大家來！酒還不錯、店員很親切、食物也好吃，還可以免費唱卡拉ok超讚的🤣，最近剛好想找家教學日文，希望下次去可以挑戰唱日文歌！ …,"I am recommended by the accident that I found it by 1/26 today, and I recommend everyone to come!The wine is not bad, the clerk is very kind, and the food is delicious. You can also sing the karaoke of the karaoke free of charge. Recently, I just want to find a home for teaching Japanese. I hope that next time I go to challenge Japanese songs!Mowing",0.285,0.037,0.678,0.9573
純牛肉漢堡排 真的是日本的味道！生蠔🦪也很鮮甜！氣氛也很棒！老闆有日本職人精神～ 以後還會再來 …,Pure beef burger row is really the taste of Japan!Oysters are also very sweet!The atmosphere is also great!The boss has the spirit of Japanese staff ~ I will come again in the future ...,0.072,0.0,0.928,0.3769
"更新一下，之後有再去一次還是沒改善，不知道老闆有看到客人的建議嗎？
—————-
可以唱日文歌喝酒，認識新朋友的好地方
唯一想反應的是廁所的馬桶，馬桶蓋會一直自己掉下來，對於有潔癖的人使用起來不太舒服，希望可以改善。","Update, I still did not improve again after I went. I wonder if the boss saw the advice of the guests?
————————
You can sing Japanese songs and drink, know the good place of new friends
The only thing that wants to reflect is the toilet of the toilet. The toilet lid will always fall. It is not comfortable to use it for people with cleanliness. I hope it can be improved.",0.144,0.061,0.794,0.784
第一次來日本酒吧🇯🇵很喜歡的氣氛好可愛☺️,The first time I came to the Japanese bar 的 I like the atmosphere very cute ☺️,0.377,0.0,0.623,0.8431
"初訪，與原本只是抱持著來練習日文的心態來看看，
結果Bartender很可愛，也有練習到日文 章魚燒也好，價格也親民，還運氣很好遇到日本人的客人，聽他們聊天非常開心，
整體氣氛非常好，就算不會日文也沒關係","For the first visit, I just took a look at the mentality of practicing Japanese,
As a result, Bartender is very cute, and there are also practicing Japanese octopus burning, the price is also close to the people, and they are very lucky to meet Japanese guests. They are very happy to listen to them.
The overall atmosphere is very good.",0.192,0.0,0.808,0.927
詭異到不行，點兩杯shot跟我說剩一杯的量，是不想做生意還是幹嘛？ 而且點單瓶價格還可以跟一年前貴了一大截， 我最少要2025才會再來,"Weird, I ordered two cups of Shot to tell me the amount of one cup. Do you not want to do business or do it?And the price of ordering single bottle can be a lot more expensive a year ago. I need at least 2025 to come again.",0.0,0.06,0.94,-0.2316
"超喜歡的愛店，不但可以喝酒還能唱歌，真的很划算。
酒幾乎我喝過的沒有遇到雷的，都調的很剛好很順口，喜歡喝濃一點的還可以免費加濃，cp值很高♡
店員也都很友善，大家幾乎都會至少兩種語言，真的好厲害，很店員聊天真的好開心。","The super favorite shop can not only drink and sing, but it is really cost -effective.
I have n’t encountered a thunder that I have drank almost, all of which are very smooth. Those who like to drink can be more and more intense. The CP value is very high.
The clerks are also very friendly. Almost at least two languages ​​are all, it is really amazing. The clerk is really happy to chat.",0.34,0.0,0.66,0.9878
氣氛很好，酒類不差，很不錯。,"The atmosphere is very good, the alcohol is not bad, it is very good.",0.456,0.0,0.544,0.8495
