Original,EN
"美好愉快的晚餐，感謝有高橋主廚的熱情專業，和50/45 Winehaus 伴瓶酒葡萄酒吧的完美酒單
能一邊小酌一邊跟老朋友聊天，簡直不能更美好
//大直私廚之夜 Lobster🦞Champagne🍾️
50年老滕香檳
魚子醬 法式炒蛋
活龍蝦生切
龍蝦沙拉 波士頓生菜
白灼龍蝦 蛤蜊 玉米 煙燻香腸
濃香南瓜醬汁燴龍蝦 自製麵包
龍蝦麻婆豆腐
龍蝦海鮮冬蔭功米粉","Beautiful and happy dinner, thank you for the enthusiastic major of Chef Takahashi, and 50/45 Winehaus with the perfect wine list with bottle wine bar
I can chat with my old friends while drinking, it is impossible to be better
// Lobster🦞champagne🍾️
50 years old Teng Champagne
Caviar French eggs
Live lobster raw cut
Lobster salad Boston lettuce
White burning lobster clams smoked sausage
Strong incense pumpkin sauce stew lobster homemade bread
Lobster Mapo Tofu
Lobster Seafood Winter Yin Gong rice noodles"
"很可愛的小店，就在大直河濱公園附近，店裡外都佈置的很溫馨很舒適，就像在朋友家喝酒一樣輕鬆。
小食有親手包的水餃，酒單雖選項不多，但每一瓶的介紹都很詳細很清楚，如數家珍。
很推薦三五好友聚會慢慢聊天喝酒，是可以細細品的地方❤️","The very cute shop is near the Dazhi Riverside Park. The shop is very warm and comfortable, just like drinking at a friend's house.
There are dumplings that are wrapped in snacks. Although there are not many options for wine lists, the introduction of each bottle is very detailed and clear, such as several treasures.
It is recommended to chat and drink slowly for three or five friends."
這裡很可以啊。不管你是一個人，兩個人很多人都非常適合這，燈光美氣氛佳，酒的種類多到你無法想像，老闆親切也很會介紹，你還不快起身來這放鬆品酒一下。,"This is very good.No matter you are alone, many of them are very suitable for this. The lights are beautiful. There are so many types of wine. You can't imagine it. The boss will also introduce it well. You don't get up here to relax."
"今天去參加一個有趣的葡萄酒分享會，以往所知道的是會分析酒種、酒莊、產地、口感...等等，而這次分享會光是名稱就很不一樣：輕鬆品酒會之選瓶酒好過年。光想到就覺得有趣，一般大家葡萄酒配的都是起司跟沙拉米等等之類的，但居然有人要來介紹台式年菜的配酒哲學，兩紅兩白一人$450，何樂而不為。
一開始先分析了年菜的口味：鹹、酸、甜、苦、辣，再剖析葡萄酒的口感：澀、苦、酸、甜、鹹，什麼樣的酒可以加強什麼樣的口味，什麼樣的酒又可以弱化什麼樣的感官，相當有趣。
更特別的是直接端出來滿滿一盤的黑白切甚至是熱騰騰的紅豆餅，讓我們直接比較看看同一種口味搭配四種不同的酒的感受，比起文言文來說，很直觀的就可以分辨喜歡什麼不喜歡什麼，甚至，從來沒想過原來豆乾沾辣椒配甜白酒這麼的對味啊啊啊啊🤣","Today I will participate in an interesting wine sharing meeting. What I know in the past is to analyze wine, winery, origin, taste ... and so on. Bottle wine is better for the New Year.I think it ’s fun to think of it. Generally, everyone is equipped with cheese, salad, and so on. However, some people actually want to introduce the philosophy of wine with Taiwanese New Year's dishes.
At the beginning, the taste of New Year's cuisine was analyzed: salty, sour, sweet, bitter, and spicy, and then analyzed the taste of wine: astringent, bitter, sour, sweet, salty, what kind of wine can be enhanced, what kind of taste, what kind of wine, what kind of wine What kind of sensory can be weakened, it is quite interesting.
What's more special is that the black and white cut or even hot red bean cakes are directly ended up. Let us directly compare the feelings of the same taste and four different wines. Compared with the classical Chinese, it is very intuitive. You can distinguish what you like or not, and even, never thought that the dried beans and peppers with sweet white wine are so right ah ah ah"
餐酒館非常棒，氣氛極佳，老闆也非常熱情，配上好品質的葡萄酒，非常適合下班小酌，門口有共享雨傘非常方便！,"The restaurant is very good, the atmosphere is excellent, and the boss is also very enthusiastic. With good quality wine, it is very suitable for get off work. It is very convenient to share umbrellas at the door!"
"酒好喝，老闆友善，
環境舒適溫馨！
還得到老闆煮的冬至湯圓，
太療癒了！","The wine is delicious, the boss is friendly,
The environment is comfortable and warm!
Also get the winter solstice dumplings cooked by the boss,
Too healing!"
輕工業裝潢風格，老闆對酒講究，同事的Farewell party 舉辦場所，才有機會發現這間優質的店。大推！,"Light industry decoration style, the boss pays attention to wine, the place where colleagues Farewell Party hosted a place to find this high -quality store.Push!"
"輕鬆，舒服的喝酒好環境
老闆選的酒都好喝，完全不雷喔！
Chill~","Easy, comfortable to drink a good environment
The wine chosen by the boss is delicious, and it is completely unsightly!
Chill ~"
貼心又溫馨，可以自己帶外食。概念有創意，可以喝半瓶，也可以share別人的半瓶！很喜歡！,"I can bring food by myself.The concept is creative, you can drink half a bottle, or you can share half a bottle of others!I like it very much!"
很棒的空間，適合與朋友在夜晚來此小酌。也很喜歡用折扣的價格喝半瓶酒的概念。,"A great space, suitable for friends with friends at night.I also like to drink half a bottle of wine at a discount."
"喜歡素人推薦
最真實跟我們一樣

#超級概念店 #一人一半感情不會散
#品味人生 #有專業呵護 #不怕喝到瞎貨
#一分錢一分貨 #大直好地方","I like amateur recommendation
The most real is the same as us

#Super Concept Store #One person half of the relationship will not be scattered
# #Have professional care #Are you afraid to drink blind goods
# #一 #直 直"
酒單很帥，介紹得很用心，一定會再來～,"The wine list is very handsome, I am very careful, I will definitely come again ~"
"每回來這裡總是充滿驚喜，店主Alex挑選的酒款都十分有趣，可以嘗試到許多不常見的酒款，累積更多經驗值。

更多時候是為了喝杯酒放鬆來到這裡，自己一個人在家開瓶喝不完很吃力，來50/45可以點半瓶酒喝，沒有壓力，非常貼心的半瓶酒服務，推薦大家來這裡找尋有意思的葡萄酒，可以跟店主聊聊關於每款酒背後的故事，真的很有趣。","Every time I come back, it is always full of surprises. The wine selected by the owner Alex is very interesting. You can try many uncommon wines and accumulate more experience.

More often, to relax here for drinking a glass of wine, I can't drink it alone at home alone. If you come to 50/45, you can order half a bottle of wine to drink. There is no pressure. It is very intimate half a bottle of wine. It is recommended that everyone come. Finding interesting wines here, you can talk to the owner about the story behind each wine, which is really interesting."
氣氛好，老闆熱愛紅白酒好專業，還可帶外食，下次還會來,The atmosphere is good.
可以只開半瓶酒又可以帶外食的店，老闆對紅酒的專業知識也很不錯，不懂都可以問他👍，環境舒適，沒壓力。 …,"You can only open half a bottle of wine and can bring food. The boss's professional knowledge about red wine is also very good. If you do n’t know, you can ask him. The environment is comfortable and there is no pressure.Mowing"
晚上獨自一人享用美酒、環境舒適的好地方，老闆會依照客人今天想喝的口味推薦酒單，每次都能喝到很對味的酒~,"In a good place where wine and environment are comfortable alone at night, the boss will recommend the wine list according to the taste that the guests want to drink today."
可以點到很特別的紅酒，法國的產區，老闆會詳細介紹，滷味跟水餃都好吃，很能放鬆聊天的店,"You can order very special red wine. French production areas. The boss will introduce it in detail. Lochi and dumplings are delicious, and they can relax the chat shop."
老闆作法很有創意，人也很親切。可以用親民價格喝到好喝的紅酒。,The boss's practice is very creative and people are very kind.You can drink delicious red wine at a close price.
