Original,EN
"今天喝店員推薦的限定品項
好喝又好看😂😂
店家本身是威吧
主體是威士忌還有店員妹妹會一起聊天（妹妹？）
另外經典調酒是一應俱全
還可以當G8客說  來杯心情不好的感覺😂😂
以台北的吧來說  人情味兒很足 可以很好聊天
推一個～～","Today, the limited item recommended by the shop clerk
Drink and beautiful 看
The store itself is prestige, right?
The main body is whiskey and the clerk and sister will chat together (sister?)
In addition, classic bartending is all available
You can also feel like a G8 customer who feels a bad mood 😂😂
In terms of Taipei, the humanity is very full of people can chat well
Push one ~~"
"bar！
裡面的服務人員幾乎都女生
不用閉俗或擔心不知道喝啥
可以直接請八天德介紹推薦
而且這邊有滿多威士忌
可以來試試單杯單杯的品
別於一般的bar
這邊的服務人員有空的時候可以一起聊幾句
所以….推個抬槓酒吧😂（？

噢對  這邊還有附近好吃餐廳的電話
可以點進來吃👍","Bar!
Almost the service staff in it are girls
No need to be closed or worried about what to drink
You can directly invite eight days to introduce recommendations
And there are many whiskey here
You can try the single cup and single cup product
Uninvited Bar
When the service staff here is free, you can talk a few words together
So ... push a barbar bar (?

Oh, there is a call from the delicious restaurant nearby here
You can click in to eat 吃"
"有人情味的日式酒吧！
店內日本客人居多，提供酒和無酒精飲料，無酒精飲料比一般酒吧選項更多。
唯一缺點是店內煙味偏重，非常怕煙味的人要注意⚠️","Anyone Japanese -style bar!
Most of the Japanese guests in the store provide wine and alcoholic drinks. There are more alcoholic drinks than ordinary bar options.
The only disadvantage is that the smell of smoke in the store is very important, and people who are very afraid of smoke should pay attention ⚠️"
"高年份IB及原酒不少，在條通要經營這樣的店不容易，看得出有試著找出平衡點。
還有一顆星的進步空間是希望業主能讓底下員工參加品酒會或是邀請專家幫員工上課（比如你們合作的虎哥），畢竟有系統性地累積味覺經驗才能更準確地介紹威士忌風味類別，員工看得出都很上進，但以她們的年紀及經濟能力要自主累積味覺記憶實在太難了。At last, for those Japanese customers, please respect these young servers and do not violate their will to touch them disgracefully.","There are a lot of high -year IB and original wine. It is not easy to operate such a store in List. It can be seen that it tries to find a balance point.
There is also a stars' progressive space to hope that the owner can allow employees to attend a wine tasting or invite experts to help employees (such as the tiger brother you cooperate). Employees can see very much, but it is too difficult to accumulate taste memory with their age and economic ability.At last, for this japanese customers, please respect the young servers and do not violate their will to touch them disgracefully."
"其實喝酒價位跟外面差不多啦，雖然煙味很重不太喜歡，但是在廁所裡面也有香香的衣服噴噴莫名的對女生很友善！

除此之外一個人來也不用擔心怕怕的或是無聊，因為服務人員都是女生，覺得很彆扭也可以跟他們聊聊，大家的故事也都很好玩","In fact, the price of drinking is almost the same as the outside. Although the smell of smoke is very heavy, I don't like it, but there are also fragrant clothes in the toilet that are inexplicably friendly to girls!

In addition, you don't have to worry about fear or boring, because the service staff are girls, and they can talk to them if they feel awkward. Everyone’s story is also fun"
謝謝店員們很親切的招呼聊天❤️在臺灣也能體驗浴衣文化！了解到浴衣文化與品酒的知識🥰推薦大家來玩 …,"Thank you, the clerks are very kind to say hello to chat ❤️ You can also experience bathrobe culture in Taiwan!Knowing the knowledge of yukata culture and wine tasting 🥰 Recommend everyone to play ..."
服務生都超健談 氣氛又很好,The waiters are super good at the atmosphere and very good
來這邊要小心生命之水小公主，氣氛會太嗨...,"Come here to be careful of the little princess of life, the atmosphere will be too hi ..."
環境還算不錯，店員也算好聊，美中不足的是以為是日式酒店比較安靜些，造訪當日，有夠吵雜不輸台式卡啦ok店～,The environment is pretty good. The clerk is also good. The disadvantage is that it is relatively quieter in Japanese -style hotels.
消費便宜，服務人員態度親切。多種語言方便。餅乾好吃，酒水不貴。,"Consumption is cheap, and the service staff attitude is cordial.Multiple languages ​​are convenient.The biscuits are delicious and the wine is not expensive."
威士忌的種類非常專業，調酒好喝且平價，而且店員都非常的親切，值得再訪的店,"The types of whiskey are very professional, the bartending is delicious and cheap, and the clerk is very kind. It is worth visiting the shop."
"輕鬆喝酒聊天的日式酒吧
酒類價格清楚
跟朋友小酌聊天很舒服，工作人員也會適時來桌邊服務聊幾句
經常在未正式營業前
下午會有一些論壇課程分享活動
是女生也能安心進入的空間","Japanese -style bar that easily drinks and chats
Louder price is clear
It is very comfortable to chat with friends, and the staff will come to the table at the table to talk a few words in time
Often before the official business
In the afternoon, there will be some forum curriculum sharing activities
It's a space that girls can enter with peace of mind"
酒好喝 服務好 開心開心(⁠◍⁠•⁠ᴗ⁠•⁠◍⁠)⁠❤,"Good drinking service, happy and happy (⁠◍⁠ • ⁠ᴗ⁠ • ⁠◍⁠) ⁠ ❤ ❤"
很溫馨和輕鬆的場所，推薦席耶娜媽媽桑。,"Very warm and relaxed place, I recommend Sieya's mother Sang."
環境舒適乾淨，酒種類選擇多，服務親切，店員都會日文，他們還有一間Bar Nine VIP，注重隱私，都是非常適合招待日本客人的好地方！,"The environment is comfortable and clean, there are many types of wine, and the service is cordial. The clerk will be Japanese. They also have a Bar Nine VIP. They pay attention to privacy. They are very suitable for entertaining Japanese guests!"
我現在頭暈不是因為喝酒，是因為Luri跟Hina還在我心中,"I am dizzy because I drink alcohol, because Luri and Hina are still in my heart"
"1/31去，環境跟酒質都還算合格
只是服務人員可能太年輕，太不會正確聊天，交際手腕及服務客戶的經驗有待加強。","1/31去，環境跟酒質都還算合格
只是服務人員可能太年輕，太不會正確聊天，交際手腕及服務客戶的經驗有待加強。"
"超適合台灣人，一個人也很適合，可以喝酒，妹正又會主動聊天，享受酒酣耳熱時的意亂情迷

小訣竅:妹妹需要我們主動找話題，不要小氣，請他們喝酒，能給小費更好，他們就會常來照顧你，熟了也能約出去吃飯","Super suitable for Taiwanese, a person is also very suitable, you can drink, the sister will take the initiative to chat, and enjoy the confusion when the wine is hot

Small trick: Sister needs us to take the initiative to find topics, don't stiring, ask them to drink, it can give you better, they will often take care of you, and they can make an appointment to eat when they are familiar."
"啤酒很好喝很新鮮，杯子也很冰
店員也很親切，細節都有做很好，會放在名單持續再來😉 …","The beer is delicious and fresh, and the cup is also very ice
The clerk is also very kind, and the details are well done. They will continue on the list and continue again ..."
很棒的環境，員工們都很好聊，威士忌種類多，員工們英日文都會說，很親切很舒服的地方！,"A great environment, employees are very good to talk, there are many types of whiskey, and employees will say in Japanese in English, very kind and comfortable places!"
調酒師人都很好！,The bartender is very good!
第一次不經意的造訪了這間店，讓人覺得感覺非常的好，服務人員的專業和熱誠會讓人會想再造訪。大推好店,"The first time I visited this store, it felt very good. The professional and enthusiasm of the service staff would make people want to visit again.Big push shop"
啤酒選擇少，調酒的酒精感稍弱，室內座位空間還算舒適，服務人員熱情友善,"There are fewer beer selection, the alcoholics of bartender is slightly weaker, the room space of the indoor seat is quite comfortable, the service staff is warm and friendly"
"可以很放鬆的酒吧
大家都好友善","Bar that can be relaxed
Everyone is friendly"
八天的泰迪歌聲優美宏亮，嗓音渾厚，不做歌手太可惜了！,"The eight -day teddy singing is beautiful and bright, his voice is strong, and it is a pity not to be a singer!"
店員都很正！,The clerk is very positive!
"超好玩，除了喝酒，想聊天也可以
超喜歡Elisa跟NaNa","Super fun, except drinking, you can also chat
I like Elisa and Nana"
各項細節周到，店長人帥又親切，店裡的人都像朋友一樣，心情不佳或三五好友聊天最佳去處,The details are thoughtful and the manager is handsome and kind. People in the store are like friends. They are in a bad mood or the best place to chat with three or five friends.
怎麼可以！讓人想一去再去餒💙,How can it be!People want to go again and again 去
這間店老帶勁了 我喝醉了謝謝,This shop is old and I am drunk. Thank you
服務很好，店員日文都很厲害，喝酒聊天還不錯。,"The service is very good, the clerk is very good in Japanese, and it is not bad to drink and chat."
這是一杯水,This is a cup of water
輕鬆自在的小酒吧，親切熱誠的服務，舒適的坐位，平價消費，物超所值！,"Easy and comfortable bars, kind and enthusiastic service, comfortable sitting position, consumption, value for money!"
媽媽桑妙語如珠的介紹，很有趣的一晚。,The introduction of mother Sang Miao's words is a very interesting night.
氣氛好 妹子漂亮健談😆,氣氛好 妹子漂亮健談😆
舒適的環境，良好的服務，讓人能放鬆的喝一杯的地方,"A comfortable environment, good services, where people can relax a drink"
"服務很好
推薦的酒也好喝
感覺很對","The service was excellent
Recommended wine is also delicious
I feel right"
店員 親切 也很酷 值得一去再去,"The clerk is very kind and cool, it is worth going again"
店員人很好 很好聊天,The clerk is very good and good to chat
店員幫忙穿浴衣👘很好玩！ …,The clerk is fun to help wear a bathrobe!Mowing
一人或是和朋友來喝一杯的好地方，聊天好地方,"One person or a good place to drink with a friend, chat a good place"
單純的酒吧，推薦給想喝點小酒的人來,"Simple bar, recommend it to those who want to drink some wine"
走著走就進來了，有個很特別的環遊世界,"Walking in, there is a very special tour around the world"
