Original,EN
"老闆很嗨很可愛
不過去完衣服會殘留煙味
不介意的捧油可以去喝酒唱歌🎤
不會日文裡面也有中文歌可以唱","The boss is very hilarious and cute
But after going to the clothes, the smoke will be left
If you don’t mind your oil, you can drink and sing 🎤
Can't also have Chinese songs in Japanese to sing"
"這裡算是條通喝酒最便宜的店之一了
老闆是個很容易喝醉但很有趣的日本人
蠻有個性的常常開店遲到🤣

但如果你喜歡唱歌喝酒
又能接受室內煙
那這裡是條通最屌的店之一","This is one of the cheapest shops in Wulin to drink alcohol
The boss is a Japanese who is easy to get drunk but very interesting
Quite personality often open stores late 🤣

But if you like to sing and drink
Can accept indoor smoke again
This is one of the most dumb shops"
"日本大叔開的日式卡拉OK bar.
一個人服務費100, 可盡情的唱歌 日本的點歌系統幾乎什麼歌都點的到。
老闆調的Gin tonic 好喝！
非常適合三五好友來唱歌聊天。
可以室內吸煙，但也造成一個缺點就是空氣不好，衣服會變很臭。","Japanese -style karaoke bar opened by Uncle Japan.
A person's service fee is 100, and you can sing the Japanese song system that you can almost order.
The boss's GIN TONIC is delicious!
Very suitable for three or five friends to sing and chat.
It can smoke indoors, but also a disadvantage is that the air is not good, and the clothes will become stinky."
"很好玩！邊喝酒邊唱歌。老闆是日本人，不太會講中文，但裡面的服務員可以幫你翻譯。練習日文的好機會喔！老闆人很好玩，酒又便宜又好喝。但不能太晚去啦，會沒有位置。
喝酒唱歌也能交到很好玩的朋友！能跟陌生人很熟的唱歌，還認識了不同很有趣的人。
終止這一家很推！當初也是一個日本同學推薦的！","Fun!Singing while drinking.The boss is a Japanese, and he doesn't know how to speak Chinese, but the waiter in it can help you translate.Good opportunity to practice Japanese!The boss is very fun, the wine is cheap and delicious.But can't go too late, there will be no place.
You can also make fun friends when drinking and singing!I can sing with strangers very well, and I also know people who are very interesting.
Termination of this family is very pushing!It was also recommended by a Japanese classmate!"
禮拜天前去，第一次走進日本人開的酒吧，走進去一瞧，原來日本人下班為什麼會去酒吧，那種親合力與生活壓力下的產物，完美詮釋了，能在這找到溫度，很喜愛這間酒吧，希望有更多人知道💕,"Go before the day, walk into the bar opened by the Japanese for the first time, and walk into a look. Why did the Japanese go to the bar after work? The product of the kind of personal and living pressure is perfectly interpreted. I can find the temperature here to find the temperature here. I love this bar very much, I hope more people know 💕"
老闆是日本人，店裡面有KTV可以點歌，是越晚越熱鬧的一家店，要預約,The boss is a Japanese. There is a KTV in the store to click the song. It is a shop that is later and more lively.
服務很差 很明顯有座位 老闆看到了兩個外國人就一直喊「定位、定位」。我問他什麼意思他只回我「定位、定位」好吧 氣氛看起來很不錯 就是顏色不對,"The poor service is obviously that the owner of the seat has always shouted ""positioning, positioning"" when he saw two foreigners.I asked him what he meant."
超級推老闆人很好～酒超級讚 店員人也超級好,Super pushing the boss is very good ~ Jiu Super Like the clerk is also super good
"喝到斷片什麼都不記得
只記得是有趣的店😇","I don't remember anything when I drink a broken film
Just remember to be an interesting shop 有"
各位請注意平常日時段 一口杯比便利商店利口酒還要小的那種 這樣一杯威士忌最多10 CC要價150,Please note that a cup of a cup is even smaller than the convenience store Likou wine in the usual day.
