Original,EN
"跟一般印象中的餐酒館隱密的用餐環境不太一樣，這裡是開放式的空間，可能因為是在百貨商場裡的關係。😚
每道料理都非常美味，吃的到實實在在的食材，尤其蝦子，真的是超好吃的🤤，至今還回味無窮😁。服務人員也很親切，上菜時都會介紹餐點內容，讓我們可以邊享用美食，邊感受它的調味等口感。真的是太棒了!👍♥️只要點主餐，打卡加line 好友還有送炸魚和薯條呢!😁很棒☺👍","It is not the same as the meal environment of the dining tavern in the general impression. This is an open space, which may be because of the relationship in the department store.Bleak
Each dish is very delicious. The real ingredients, especially shrimp, are really delicious. So far, they have an infinite aftertaste.The service staff is also very kind. When serving, we will introduce the content of the meal, so that we can enjoy food and feel its seasoning.It's really great! 只 ️ Just order the main meal, punch card and LINE friends, and send fried fish and fried fried fish! 😁 Very great ☺👍"
"這是我吃過人生最好吃的海鮮墨魚麵
麵條吸飽濃郁的墨魚醬汁一吃真的超驚喜
一旁還有根島蝦及透抽滿滿海鮮的鮮味
CAS 細胞活存冷凍技術完美鎖住鱸魚的鮮味
搭配清甜爽口的檸檬酪梨醬一口塞入嘴中超滿足
裹粉炸至金黃酥脆的炸魚薯條ㄧ咬滿滿鮮嫩鱸魚肉
一整隻金黃酥脆軟殼蟹躺在沙拉上
不用剝蟹殼就可以吃到滿滿蟹肉
夏日桃氣香甜的蜜桃結合可爾必思酸甜度相當平衡
藍眼淚清涼的蘇打水搭配酸甜檸檬汁與藍柑橘真的好爽口

🎈檸檬酪梨鱸魚堡
🎈塔香鮮蝦墨魚義大利麵
🎈炸魚薯條
🎈酥炸透抽
🎈炸軟殼蟹沙拉
🎈夏日桃氣
🎈藍眼淚

限時優惠ℹ️
1.漢堡、燉飯或義大利麵，享加購指定飲品折抵 50 元
2.即日起~12/31，加入官方 Line 成為新好友，就可獲得點主餐贈炸魚薯條優惠券。

喜歡我的文章歡迎追蹤➡️ @mai0721.foodie
—————————————————————
《Blue Fish Bar》
地址🏠 台北市中山區樂群三路200號5樓
電話☎️ 02 8502 1178
營業時間⌚️週日～週四11:00～21:30、週五～週六11:00～22:00

#台北 #台北咖啡廳 #台北早午餐 #台北下午茶 #台北早餐 #台北小吃 #台北餐廳 #台北咖啡 #中山咖啡廳 #中山區美食 #台北美食 #大直美食 #中山美食 #內湖美食","This is the best seafood cuttlefish noodle I have ever eaten in my life
Noodles are full of dark cut fish sauce.
There is also the umami flavor of Gendo Shrimp and Pulling full of seafood
CAS cells living and freezing technology perfectly lock the umami flavor of the sea bass
With the sweet and refreshing lemon avocado sauce, plug into the mouth and the super satisfied
Wrap powder to fry until golden and crispy fried fish and potato stripes are bite full of fresh sea bass meat
A whole golden, crispy soft shell crab lying on the salad
You can eat crab meat without peeling crab shell
Summer peaches with sweet peaches combined with Cornezi sourness and sweetness are quite balanced
Blue tears with a cool soda with sweet and sweet lemon juice and blue citrus are really refreshing

鲈 Lemon avocado bass castle
Fragrant Shrimp Dark Fish Italian Noodles
🎈 fried fried fries
🎈 🎈 🎈 🎈 🎈 🎈 🎈 🎈
沙 Frying soft shell crab salad
🎈 Summer peach qi
🎈 Lan tears

Limited time discount 惠️
1. Burger, stewed rice or pasta, enjoy the purchase of designated beverages to discount 50 yuan
2. From now on ~ 12/31, join the official LINE as a new friend, and you can get the main meal to give the frying fish and potato strip coupons.

Like my article, welcome to track 章️ @Mai0721.foodie
——————————————————————————————————
""Blue Fish Bar""
Address 🏠 5th Floor, No. 200, Lequn 3rd Road, Zhongshan District, Taipei City
Tel ☎️ 02 8502 1178
Business hours 周️ Sunday to Thursday 11:00 to 21: 30, Friday to Saturday from 11:00 to 22: 00

#Taipei #Taipei Cafe #Taipei Morning Lunch #Taipei afternoon tea #Taipei Breakfast #Taipei Snacks #Taipei Restaurant #Taipei Coffee # # #Taipei Food # #内 # # #网"
"十分好吃 萬分驚艷！
檸檬酪梨鱸魚堡99分
新鮮檸檬汁配上酪梨醬卻沒有讓漢堡麵包過濕 ，對於鱸魚的風味變的更加美味，

馬賽海鮮燉飯的飯很入味
西班牙燉飯很容易因為飯過濕而醬汁吸不進去，這道燉飯剛剛好，非常美味

西班牙蒜味蝦🦐，蝦子感覺都有健身過，很彈牙

價位宜人 份量宜人 兩個人吃含服務費1551$
很舒服","Very delicious!
Lemon avocado perch 99 points
Fresh lemon juice with avocado sauce does not make the burger bread too wet, which becomes more delicious for the flavor of the sea bass.

The rice of Marseille seafood stewed rice is very delicious
Spanish stewed rice is easy to suck in the sauce because of the dampness of the rice. This stewed rice is just right and very delicious.

Spanish garlic flavor shrimp, shrimp feels fitness, very elastic

The price is pleasant and pleasant, two people eat service fees 1551 $
Very comfortable"
"檸檬酪梨鱸魚堡很驚艷
口感很豐富有層次
又有魚皮上的椒鹽，
又有酪梨的細膩油脂，
又有淡淡檸檬酸味
鱸魚裡面不會很乾，肉質很嫩
假日店員好像也只有一位外場，有時候會需要等待","Lemon avocado bass fortress is amazing
The taste is rich and layered
There are also salt and salt on fish skin,
There are delicate oils of avocado,
There is a faint citrate sour
The bass will not be dry, the meat is very tender
There seems to be only one out of the holiday clerk, and sometimes you need to wait"
"N訪 座位乾淨明亮
幾乎都吃遍了菜單上的餐點也沒踩到雷
很少需要排隊
是個逛街累了吃飯的好去處","N Visit the seat clean and bright
Almost all the meals on the menu have not stepped on the thunder
Rarely need to line up
It's a good place to eat after shopping"
很喜歡這家的炸魚薯條跟酪梨炸魚漢堡，魚非常的厚～很過癮😋,"I really like this fried fish and fries and avocado fried fish burgers, the fish is very thick ~ very enjoyable 😋"
"餐點是現做的 熱熱燙燙很好吃座位舒適不擁擠
只有一位辛苦認真的店員
我覺得服務費蠻值得 因為 當場吃口感很棒
平日中午上班族很多 商業午餐⬇️308 快樂
重點 紅茶無糖🥰
這一趟沒有白來 因為這棟樓很漂亮廁所乾淨 好喜歡","The meal is the hot hot hot seat, the seat is delicious, comfortable, not crowded
Only one hard -earned and serious clerk
I think the service fee is quite worthy of eating on the spot
There are many business lunches at noon on weekdays ⬇️ 308 Happy
Key black tea sugar -free 茶
This trip is not in vain because this building is very beautiful toilet, clean, I like it"
馬賽海鮮燉飯跟軟殼蟹漢堡  好吃耶！ 整隻的軟殼🦀！ 真的好吃 推薦大家,Marseille seafood stewed rice and soft shell crab burger are delicious!The whole soft shell 壳!Really delicious recommended everyone
軟殼蟹漢堡口感酥脆鹹香，米粒入味的海鮮燉飯，雖然份量不大但搭上海鮮炸物，剛剛好的飽足感，整體而言，美味！,"The soft shell crab burger taste is crispy and salty, and the seafood stewed rice with rice grains is not large, but it takes Shanghai fresh fried objects. It is just a good sense of satiety. Overall, it is delicious!"
"個人觀點：
1.位處中庭一角，廚房不大卻能做出口味不錯的餐點。
2.餐點香味及火侯可再加強。
3.桌面過小且為開放式用餐區，與價位不符。","Personal point of view:
1. In the corner of the atrium, the kitchen is not large but can make a good meal.
2. Meal fragrance and fire can be strengthened.
3. The desktop is too small and is an open dining area, which is inconsistent with the price."
真材實料的魚料理，馬賽魚湯很好喝。,"Real -ingredients of fish dishes, Marseille Soup is delicious."
