Original,EN
"有格調又適合約會的酒吧這裡找。

有別於中山站或林森北路一帶、以日式風格為主的酒吧，這間在晶華酒店正旁邊的 Bar Freedom 走比較現代時尚的路線，無論在裝潢或燈光上都非常有質感。除了吧台座位區外，還有高腳桌椅跟包廂空間，甚至連洗手間都很有設計感。

酒單上以編號呈現，簡單列出材料。整體來說酒算是中規中矩，但甜度真的稍高了些，點酒時可以先提醒一下調酒師。若是對於調酒的細節或層次感非常追求的人，這裡不會是該區域的首選。

No.1 Roku 琴酒、紫蘇、話梅
很清爽的一杯 Gin Fizz twist，氣泡將些許的紫蘇香氣稍做放大，挺適合開場。但若能夠再更酸甜平衡先會好一些，尤其是話梅泡久了、鹹度析出後，會讓整杯的味道過度複雜。

No.7 伯爵茶琴酒、萬壽菊、葡萄
雖然喝得到伯爵茶淡淡的微澀茶感，但葡萄的甜味有點搶去了該有的層次。不至於到不好喝，只是比較偏妹酒，對於無法接受酒感太重的人來說可能是好選擇。

No.5 鳳梨茶琴酒、苦艾酒、Suze
有點結合了 Negroni 跟 White Negroni 的概念，雖然上桌後看起來還是因為 Vermouth 關係比較偏深色。風味上也還是更接近 Negroni，但帶有多一些 Suze 的草本風味，加上有點微酸香氣的基底，算當天最有深度的一杯酒。

三種情況或許可以來訪：
1) 這裡的氛圍感很適合剛開始約會的一對，特別是吧台由上打下來的聚光燈，拍起照也好看。
2) 包廂沙發區滿適合好友相聚，整個空間是舒服有格調的，久坐閒聊非常自在。
3) 附近畢竟有很多其他酒吧，剛好要等位子前來 pre-drink 個一兩杯還算 OK。","There are styles and are suitable for dating bars.

Different from the Japanese -based bar, the Japanese style, the Japanese style is mainly based on the Japanese style. The BAR FREEDOM next to the Jinghua Hotel is a more modern and stylish route, which is very textured in terms of decoration or lighting.In addition to the bar seat area, there is also a high table, chair and box space, and even the toilet is very designed.

The wine list is presented in the number, and the materials are simply listed.Overall, the wine is quite satisfactory, but the sweetness is really slightly higher. When you order, you can remind the bartender first.If it is a person who is very pursuing the details or layers of bartender, it will not be the first choice of the area.

NO.1 Roku piano wine, perilla, plum
A very refreshing cup of Gin Fizz Twist, the bubbles increase the aroma of the perilla, which is very suitable for opening.However, if it can be more sweet and sour, it will be better first, especially when the plum is soaked and the saltiness is precipitated, the taste of the entire cup will be too complicated.

NO.7 Earl tea piano wine, Wanshouju, grape
Although I was drinking the slightly slightly astringent tea of ​​the count, the sweetness of the grapes snatched the level.It is not enough to taste it, but it is more sisters. It may be a good choice for people who cannot accept the wine.

No.5 pineapple tea piano wine, bitter wine, Suze
It is a bit combined with the concept of Negroni and White Negroni. Although it looks like the Vermouth relationship is relatively dark after serving.The flavor is still closer to Negroni, but with a little SUZE herbal flavor, and a base with a slightly sour aroma, counting the most in -depth glass of wine on the day.

Three cases may be visited:
1) The sense of atmosphere here is very suitable for the pair of dating, especially the spotlights that are hit from top, and take pictures.
2) The sofa area of ​​the box is suitable for friends. The entire space is comfortable and stylish.
3) After all, there are many other bars nearby, just to wait for the seat to come to Pre-Drink a one or two cups."
"調酒沒有層次，感覺全部味道都混在一起，比起調酒，比較像飲料，而且我已經問了店員招牌是什麼，我就喝最多人點的，但喝完我不覺得有$480的價值～這個價位我想有很多更優秀的酒吧
店內音樂大聲到聽不到友人的聲音，不適合聊天，比較適合一群人去歡鬧
但店員服務態度真的都很好👌🏻而且都是漂亮妹子","There is no level of bartending, and it feels like all the taste is mixed. Compared with bartending, it is more like drinks. And I have asked what the clerk's signboard is, and I drink the most people, but I do n’t think it has a value of $ 480 after drinking ~ I think there are many better bars at this price
The music in the store can’t hear the voice of a friend loudly, it is not suitable for chatting, it is more suitable for a group of people to make trouble
But the service attitude of the clerk is really good and all beautiful girls"
"平日低消400 假日600
當天是位女調酒師服務～調酒口味很不錯，酒體感適當，推薦No.3 喝起來很清爽 450元，Old fashion 輕微偏甜，但也很不錯 350元。

調酒不會很花俏低調簡約舒適。","Low low 400 holiday 600 on weekdays
On the same day, it was a feminine winemaker service ~ The taste of the bartender was very good, the wine was appropriate, and it was recommended to drink 450 yuan. Old Fashion is slightly sweet, but it is also very good at 350 yuan.

Blooming will not be very fancy, low -key, simple and comfortable."
"氣氛蠻不錯的，但八個人給一個5-6人座的位子有點神秘，明明店裡還是全空。

食物很好吃，和好幾間有名的Bistro比起來不輸多少。我覺得調酒有點可惜，有好幾杯酒感太輕，融水比例感覺抓不太好，甚至有一杯很明顯有水味。有一半的特色調酒（店裡自己的酒單有號碼編碼）表現都還不錯，但都不是那種提出酒精裡面原料的香氣那種類型，都是甜度或酸度較高、水果或茶氣息比較明顯去帶出來的種類。Classic調酒才可以喝出功夫的感覺，但Aviation我覺得酒感太輕、紫羅蘭Liquor好像沒看到、也沒有櫻桃，有點可惜。","The atmosphere is pretty good, but eight people are a bit mysterious to a 5-6 seat, and it is still empty in the store.

The food is delicious, and it is not lost compared to several famous Bistro.I think bartending is a pity. There are several cups of wine too light, and the proportion of water melting feel is not very good, and even a cup is obviously water flavor.Half of the characteristic bartending (the shop's own wine list has a number coding) is not bad, but it is not the type of aroma that proposes the ingredients in the alcohol. More obvious types.Classic can drink the feeling of kung fu, but Aviation I feel that the wine is too light, the violet liquor does not seem to see it, and there is no cherry, it is a pity."
氛圍佳。威士忌杯非常專業。威士忌選擇多。薯條風味佐烈酒恰到好處。,The atmosphere is good.The whiskey cup is very professional.There are many whiskey choices.The flavor of fries is just right.
"酒認真不錯喝！食物也好吃
感謝老闆招待我們餐點🙏🏼","Drink it seriously!Food is also delicious
Thanks to the boss for entertaining our meals 感"
"調酒的酒感偏淡，但味道還不錯。
當天包廂客人超級無敵吵，希望未來包廂有客人可以把廉子拉上，或是安排散客坐在遠離包廂的吧台。","The alcoholic wine feels light, but the taste is not bad.
On the day, the guests of the box were super invincible. I hope that there will be guests in the box in the future."
體驗很糟，調酒師偏冷漠，甚至坐下十分鐘還忘記給我們菜單，也沒有主動介紹，這都算了，跟朋友一人點一杯，其中一個甜到喉嚨會澀，另外一個有個怪異的藥水味，最後不到半小時就離開了（兩杯都幾乎沒有喝），也沒有被關心～看到評價有好多店員人很好的好評，真的很納悶到底是不是同一間店🤣🤣,"The experience is very bad. The bartender is indifferent, and even sitting down for ten minutes and forgetting to give us a menu, and did not take the initiative to introduce it. This is the case. You can order a drink with your friends. One of them will be astringent to the throat. The potion smell left less than half an hour (almost two cups of drinking), nor was not concerned ~ Seeing that there are many clerk people who are well received, really wondering whether it is the same shop 🤣🤣"
"林森北周邊氣氛很好的酒吧，調酒價格偏高，不過真的有那樣的質感在～
服務也很親切，環境很舒適適合三五好友小酌。","Bar with good atmosphere around Linsen North, the price of bartender is high, but there is really such a texture ~
The service is also very good, the environment is very comfortable, suitable for three or five friends to drink."
很有氛圍質感的地方，現場很熱鬧，特調很有特色而且水準很高，可以依照喜好點選，還有專屬廚師的餐點可以選擇，很喜歡～,There is a very atmosphere and texture. The scene is very lively. The special adjustment is very distinctive and the standard is very high. You can choose according to your preferences. You can choose the meal of the exclusive chef. I like it. I like it. I like it.
