Original,EN
超美的酒吧，店內光影呈現的很豐富，每個角落都好拍，調酒好喝酒感不會太重，老闆很好聊，還會跟你說照片哪個角度拍會好看。,"The super beautiful bar, the light and shadow in the store are very rich, every corner is easy to shoot, the bartending is not too heavy, the boss will talk well, and it will tell you which angle of the photo will look good."
老闆Eddy 人帥身材又好😍，店內裝潢超美又有品味👍，喜歡拍網美照的朋友也可以來拍拍照，重點調酒是客製化，今天幫我調鐵觀音帶算的茶酒，再加上金盞花，邊喝邊聞到花香，嗅覺味覺都滿足彷彿香水般的調酒，超級讚！ …,"The boss Eddy is handsome and good -looking, the interior of the store is super beautiful and has a taste. Friends who like to take pictures of the net can also come to take pictures. Coupled with calendula, you smell the flower fragrance while drinking, and the smell of smell is satisfied as perfume -like alcohol.Mowing"
氣氛很棒，空間很舒適，酒單也很有特色！,"The atmosphere is great, the space is very comfortable, and the wine list is also very distinctive!"
"老闆很帥 酒很特別蠻好喝
服務態度棒棒的 有機會會再來～～","The boss is very handsome wine, very delicious
The service attitude is great, there will be a chance to come back ~~"
"有花香果香茶香等選擇
無酒單但可以跟老闆討論大概想要哪種口味跟類型的酒
喝到的調酒都沒有雷
芒果跟椰奶斑蘭口味的好喝","There are choices with flowers and fragrant tea fragrance
There is no wine list but you can discuss with the boss what taste and type of wine you want
There is no thunder that I drink bartender
The taste of mango and coconut milk spots"
老闆人很好，調的酒叫＇紅花＇很好喝😍店裡很美～音樂也很好聽！最後離開時候老闆還招待了shot，也很好喝！有空會再光顧☺️☺️☺️ …,"The boss is very good. The tuned wine is called safflower.When I finally left, the boss also entertained Shot, which was also delicious!I will visit again when I have time ☺️ 光️☺️ ..."
"長島特調有水果的甜味，好喝🤩
兩個Bar tender顏值都好高🥺
整間店的佈置好漂亮💕 …","Long Island has the sweetness of fruits, delicious and delicious
Both Bar Tender's face value is so high 🥺
The layout of the whole store is beautiful ..."
冬天來室內很溫暖，無菜單調酒，很細心的詢問了我們的喜好，很好喝😍適合聚會 …,"The interior is very warm in winter, and the wine has no monherical alcohol. I asked our preferences very carefully."
老闆很帥 酒也好好喝🥰 …,The boss is very handsome and tastes good 🥰 ...
大直好喝的調酒，無酒單依照喜歡的類型特製，點酒時很細心，還會仔細介紹裡面用到的元素，今天喝到的好多杯酒都喜歡💜 …,"The big and delicious bartending, no wine list is specially made according to the type of favorite, very careful when ordering wine, and carefully introduced the elements used in it."
