Original,EN
每次輪到我要唱歌的時候，服務員遞麥克風給我，會一直跟我確認會不會唱歌？覺得很不舒服…沒問我們的意願，把落單的客人併在我們這桌，被強迫跟不認識的人交朋友，感覺覺得很差…店員跟人喝酒的時候，會確認對方有沒有把酒喝光，也讓人不舒服…,"Every time I want to sing, the waiter handed me a microphone to me, and would always confirm with me if I would sing?I feel very uncomfortable ... I didn't ask our wishes, and the guest who placed the order was forced to make friends with those who didn't know it at our table. I felt very bad ... When the clerk and others were drinking, they would confirm whether the other party had the wine Drinking light is also uncomfortable ..."
第一次來這間酒吧 覺得老闆娘待人和善 而且加上任何歌都可以唱的karaoke 實屬難得 這邊的人都很好相處 店長也是非常可愛！！,"The first time I came to this bar, Karaoke, who felt that the boss was kind and had any song, and could sing any songs, it was rare that people here were very good to get along with the store manager and very cute!Intersection"
"極差的消費，大家都是出來消費的，貴店要討好某桌客人何不就請該桌包場？ 不要覺得大家都喝了酒,就覺得沒人會注意。
當被插了一首歌 ，我們笑笑而過，再被插第二首 歌⋯⋯嗯沒關係大家開心就好，再被插第三首歌，貴店長的處理方式只是不好意思抱歉⋯然後還是一樣等了兩三首歌，這種處理方式真的不知道貴店知道公關是什麼嗎？笑笑而過的處理方式實在很差，店員了解後還試圖的說你想唱什麼我幫你插播⋯⋯⋯我說這樣有意義嗎？
今天貴店店長好好解釋可能哪桌客人要先走了，幫他們插播一下，我都沒有什麼，就不好意思帶過？是帶過！無所謂？試問大家都是出來消費的付的錢一樣得到不同的服務對嗎？
貴店以後還是採用預約接客好了，還要註明點歌不是照順序看依店長心情做調整，貴店只接待熟客的告知或許比較好。","Extremely consumption, everyone comes out of consumption. Why should your store please ask the table for a table to ask for the table?Don't think that everyone drinks, and no one will pay attention.
When a song was inserted, we smiled and passed by the second song again. Well, it doesn't matter, everyone is happy, and the third song is inserted. I still waited for two or three songs. I really do n’t know what the public store knows what the public relations are?The processing method of laughing and laughing is really bad. After understanding, the clerk also tried to say what you want to sing. I will help you plug in. I say this is so meaningful?
Today, the manager of your store explained to which guests might go first and help them insert it. I have nothing to take?Bring it!It doesn't matter?Please get different services as you pay for spending, right?
In the future, you still use appointment to pick up customers. You must also indicate that the ordering song is not adjusted according to the mood of the manager. It may be better to receive the notification of mature customers only."
看到男客15位，女客只二位左右。不知道這裡是T-bar 或一般酒吧….？,"Seeing 15 male guests, only about two female guests.I don't know if this is T-BAR or a general bar ...?"
"第一次來
小宇很好相處服務很好
推薦大家來喝酒放鬆❤️","For the first time
Xiaoyu is very good to get along with the service very well
Recommend everyone to drink and relax ❤️"
舒服放鬆的酒吧，老闆很Nice ，消費平價親民，雖然地點在地下B1但空氣很流通，環境整潔乾淨，音響設備都不錯，每個角落都有電視銀幕麥克風好唱，歌都有更新，林森北Hanes真的很推👍👍👍 …,"A comfortable and relaxed bar, the boss is very nice, consumes affordable people. Although the location is in B1 underground, the air is very circulating, the environment is clean and clean, and the audio equipment is good. There are TV screen microphones in each corner. Hanes is really pushing ..."
"闆娘非常nice
店長斯文有禮，下次會找朋友再來🍎🍎🍎","Ban Niang is very nice
The store manager Sven is polite, I will come to friends next time I will come again"
"就像相識已久的老朋友
濃醇香
消費便宜，服務親切","It's like an old friend who has known each other for a long time
Mellow
Cheap consumption and kind service"
"我覺得好好對待其他客人
別讓其他客人
對別人 人生攻擊！","I feel good for other guests
Don't let other guests
Attack against others!"
氣氛很好 員工都很nice,The atmosphere is very good employees are very nice
服務很好 氣氛環境都很棒,"The service is very good atmosphere, the environment is great"
環境舒適，老闆好相處，很喜歡！,"The environment is comfortable, the boss gets along well, I like it very much!"
音響不錯，氣氛也很好。,The audio is good and the atmosphere is good.
老闆很好超級無敵大推,The boss is very good and super invincible push
舒服的唱歌空間,Singing space comfortably
環境舒服，消費平價,"The environment is comfortable, consumption is affordable"
服務好 讚,Good service
喝酒好去處❤️,Drink a good place to go
不錯的感覺,Good feeling
熱鬧,lively
如果您喜歡邊喝酒邊唱歌，那麼這裡就是您的最佳選擇。業主和工作人員都非常友好和熱情。,"If you like to sing while drinking, then this is your best choice.The owners and staff are very friendly and enthusiastic."
"Hanes 酒吧很棒，我們上週和朋友一起來嘗試，這是一個很棒的地方，服務很棒，卡拉 OK 也很棒。
但這個地方最亮點的是，當我離開洗手間時，我沒有意識到我的錢包不在口袋裡，調酒師如果我沒記錯的話，他的名字是（方先生），不確定他是調酒師還是老闆但他找到了我的錢包並把它還給了我，我很感激他的誠實和善良。
這證明這個地方不是很好，但也很安全。
感謝你們提供的優質服務和誠實，我真的很感激。","HANES bar is great. We tried with friends last week. This is a great place. The service is great and the karaoke is also great.
But the most bright thing about this place is that when I left the bathroom, I did not realize that my wallet was not in my pocket. If I remembered it wrong, his name was (Mr. Fang). The teacher was still the boss, but he found my wallet and returned it to me. I am grateful for his honesty and kindness.
This proves that this place is not very good, but it is also safe.
Thank you for your high -quality services and honesty, I am really grateful."
不錯的地方，非常好的放鬆的地方。,"A good place, a very good place."
一般同志夜店。,General comrade nightclubs.
同性戀友善,Gay friend
不錯的同性戀酒吧,Good homosexual bar
