Original,EN
"🍜 逸林臭豆腐牛肉麵 $580+10%
🍜 剁椒臭豆腐牛肉麵 $580+10%
5月31日前，至La Salle森酒吧內用上述2款牛肉麵，享買一送一優惠，每週一限定限量供應，品項可混搭但不可外帶也不可與其他優惠併用。

牛肉麵湯頭浮了一層具有獨特香氣的花椒油，麻辛交織的口感不會過度刺激，濃郁而溫潤；牛肉份量多且切得非常大塊又有厚度，肉質軟嫩不乾柴；吸飽湯汁的臭豆腐入味又綿密；略粗的麵條很有口感不軟爛。","腐 Yilin Stinky Tofu Beef Noodles $ 580+10%
腐 chopped pepper stinky tofu beef noodles $ 580+10%
Before May 31st, use the above two beef noodles in the La Salle Mori Bar to enjoy one free and one discount. It is limited to a limited amount of supply every Monday.

There is a layer of pepper oil with a unique aroma with beef noodle soup. The taste of Mincinnia will not be excessively stimulated, rich and warm; The smell of soup stinky tofu is dense; the slightly thick noodles are very tasteless and rotten."
"目前沒有太多人知道這邊晚上有Happy Hour 的選擇，暢飲兩小時只要990+10%，這種價格對酒鬼來說真的賺到。

這邊喝酒的氣氛不錯，調酒好喝，小點心也給很多口味，最棒的是有提供免費的水。酒單會更換。服務人員態度很好。

趁還沒有變的很難訂位之前應該多多來訪，不過週末建議還是先訂位比較保險。

食物方面比較不推，價格貴(他是已酒店計價我能理解)，牛肉起司漢堡的肉超乾，而且好迷你，只有三個，有點失望，好險薯條給的算足夠；滷味一般；炸物拼盤還可以；整體來說點松露辣味薯條即可，或是在外面吃飽再來喝酒。","At present, no many people know that there is a choice of Happy Hour at night. It only takes 990+10%to drink for two hours. This price really earns the wine ghost.

The atmosphere of drinking here is good, the bartender is delicious, and the snacks are also given a lot of flavors. The best thing is to provide free water.The wine list will be replaced.The service staff attitude is very good.

It should be difficult to visit before it has not changed, but it is recommended that the reservation is more insurance on the weekend.

Food is relatively expensive (I can understand the price of the hotel). The meat of the beef cheese burger is super dry, and there are only three mini, only three, a bit disappointed, the good French fries are sufficient; ; Fried objects are fine; overall, spicy flavor fries, or eat outside and drink."
逸林酒店位於一樓的森酒吧與朋友小聚午餐時段可選擇滷味、炒飯，下午時段喝杯咖啡、來份磅蛋糕，天熱時推薦飯店招牌冬瓜檸檬，晚餐喝杯啤酒搭炸物，近期週末晚間有Happy Hours 活動，數款經典雞尾酒喝到飽，有酒量的人可嘗試著。用餐環境舒適，餐食有一定水準，服務人員態度親切有禮、重點是沒「限時」的壓力。與網紅店時有人潮、踩雷的機率，價格也不煌多讓，我更喜歡這兒的品質。,"Yilin Hotel is located on the first floor of the Sen Bar and Friends for lunch time. You can choose rice and fried rice during lunch. Drink cups of coffee and pound cakes during the afternoon. Recommend hotel signature winter melon lemon when it is hot. In the evening of the weekend, there is a Happy Hours event. Several classic cocktails are full, and people with alcoholic volume can try.The dining environment is comfortable, the meal has a certain level, the service staff attitude is kind and polite, and the focus is on the pressure of ""limited time"".There are crowds of people and thunder in the net red shop, and the price is not as much as possible. I prefer the quality of this."
臭豆腐牛肉麵真的好吃，一開始看外觀以為牛肉會硬但是入口軟嫩，臭豆腐吸滿有花椒香氣的湯汁真的不錯，以這價位來說算物有所值。,"The stinky tofu beef noodles are really delicious. At first, the appearance thought that the beef would be hard, but the mouth was soft and tender. The stinky tofu was really good for the soup with the aroma of pepper. At this price, it was worth it."
"活動寫明星期一

剁椒臭豆腐牛肉麵buy 1get1

結果到現場說沒預約無此優惠
（希望活動標明）

牛肉麵表現ㄧ般般 完全是臭豆腐在表現

還點了一個天燈造型的蘋果紅茶

吧台人員推薦蘋果味很重

但等了許久相當失望😞（只有附的餅能吃）

還好吧台男主管最後給予停車優惠

挽救了整晚的心情為此加一星","The event states Monday

Chopped pepper stinky tofu beef noodles buy 1get1

As a result, I said there was no appointment without this discount
(Hope activities indicate)

Beef noodle performance is completely like stinky tofu.

I also ordered a sky lanterns with apple black tea

It is recommended that the apple taste is very heavy

But after waiting for a long time, it is quite disappointed (only the attached cakes can be eaten)

Fortunately

The mood that saved all night adds a star"
"其實是好一陣子前去的，在此補充評論！雖然當天是Happy Hour 的方案，但Bar tender 的調酒功力不容小覷，每一杯經典調酒都很到位,服務也很好！","In fact, I went for a while, and supplemented the comments here!Although it was a Happy Hour solution that day, Bar Tender's bartending skill cannot be underestimated. Each classic bartender is in place, and the service is also very good!"
臭豆腐牛肉麵，迷你牛肉漢堡附薯條不錯！紅酒燉牛肋條佐麵包！,"Stinky tofu beef noodles, mini beef burgers are good!Red wine stewed beef ribs!"
希爾頓鑽卡會員入住提供2杯迎賓飲料兌換券，可兌換的種類有咖啡、茶、汽水、酒類也有調酒可供選擇。森酒吧不定時也會推出主題特調。這次嘗試了玫若天仙，簡短地說就是帶有玫瑰香氣與甜味的Negroni。酒單上的甜點雞尾酒也蠻有趣的，提拉米蘇完美複製了品嚐實體蛋糕該有的嗅覺與味覺感受，儼然就是杯喝的液態提拉米蘇。下次會想再嘗試看看其它調酒🍸 …,"Hilton Drilling Card members check in to provide 2 cups of welcome drinks. The types of redeemed are coffee, tea, soda, and alcohol to choose from to choose from.The Senjiu Bar will also launch the theme special tone from time to time.This time I tried Ruo Tianxian, and it was a brief saying about Negroni with the aroma and sweetness of roses.The dessert on the wine list is also quite interesting. Tiramisu perfectly copys the sense of smell and taste of the physical cake. It seems to be the liquid Tiramisu that drinks.Next time I want to try to see other bartending 🍸 ..."
吃了這裡的牛肉麵覺得超車國賓的牛肉面. 肉及筋多又大塊，湯頭搭配主廚辣醬很讚，沒後悔來嘗試. 紅酒牛肉及薯條都不錯.,"After eating the beef noodles here, I feel that the beef noodles of the overtaking national guests. The meat and tendons are large and large. The soup is very good with the chef spicy sauce. I did n’t regret trying it. The red wine beef and the fries are good."
"illy咖啡好喝，還附兩片好吃餅乾
臭豆腐牛肉麵看起來很厲害，週一有買一送一，想來試試看","Illy coffee is delicious, and there are two slices of delicious biscuits
Stinky tofu beef noodles look very powerful. Buy one get one free on Monday. I want to try it"
吃了臭豆腐牛肉麵，分量充足，肉非常大塊，燉的很軟，湯頭口味偏重，麵很有嚼勁。,"After eating stinky tofu beef noodles, there is sufficient weight, the meat is very large, the stew is very soft, the soup taste is heavy, and the noodles are very chewy."
"餐點跟服務都沒得挑
你只是飯店的酒吧，不需要那麼努力吧
你知道你的餐點已經甩了很多餐廳很多條街嗎
適可而止就好，不要再強下去了！","Nothing and service have to be picked
You are just a restaurant's bar, don’t need to work so hard, right?
Do you know that your meals have dumped a lot of restaurants and many streets?
Just be able to stop, don't go down anymore!"
牛肉麵臭豆腐，價格雖然稍高，但份量充足，很值得。,"Although beef noodles, although the price is slightly higher, the portion is sufficient and it is worth it."
"2022年8月
有提供好喝的軟性飲料和調酒，目前供應餐點至晚上9點，還推出新菜色。海鮮叻沙米線、牛肉麵、滷味和牛肉漢堡都非常值得享用。","August 2022
There are soft drinks and bartending, which currently supply meals until 9pm, and new dishes are also launched.Seafood Laksa rice noodles, beef noodles, loquat and beef burger are all worth enjoying."
