Original,EN
"「🐒🐒🐒潮趴手機袋📱」PART 2！
---------------------------------------------

低消💸
1.平日：300元
(日~四)

2.假日：500元
(五、六+國定假日的「前夕🌃」)

---------------------------------------------

特色：
1.🪸🐠水族箱🐚🐟：吧檯上方
2.「㊙️Bar Special🍸」：
a.可為「每位客人」，
「現場獨家」「調製專屬酒款」。
b.「只需告知需求」即可！
c.特別不特價💸，
價格💸=一般調酒。

3.位置🗺️=「台版哈利波特🪄」---「之間」

---------------------------------------------

1.位置🗺️：⬇️B1

A.準確說，
(1)7-11🏪旁邊
(2)1F是餐廳：其他店家
(3)「店家入口」剛好在
---原址63和65號「之間」

B.想像是~~
(1)「台版哈利波特🪄」
的「9¾月台🚂」就對了！！

(2)「⚠️Google map」
會「導航到1F餐廳店面❌」。
反而霧煞煞！

(3)所以，
「直接以7-11🏪為目標」，
「再轉往酒吧🍸」會更方便容易。

---------------------------------------------

2.環境🛋️：
A.⬇️B1「入店前🛋️有過渡空間」，
「轉換心情+隔絕外界打擾💯」。

B.店內空間：前+後2部分
主要都是集中在後面部分。
(1)前面：
比較算是等人⌛、講電話📱用途。

(2)後面：
空間很大，主要範圍。

(3)整間店面的空間都很寬敞，
「不會太緊湊，沒有壓迫感🛋️。」
不會1桌挨著1桌。

---------------------------------------------

2.服務🛎️：
A.親切又迅速。

B.店員都很年輕有朝氣，
妹子很可愛🙈！?

---------------------------------------------

3.調酒🍸：🈵
非常滿意！

A.基本調酒全都有

B.店家有許多特色調酒🍸，
並有詳細的介紹，
(1)風味👃、基酒🍾
(2)風味濃淡👃、酒體輕重👄等，
更詳細的區分都有。

(3)有自己一套分類和圖解📋，
非常用心！

C.「㊙️Bar Special🍸」！
(1)可為「每位客人」，
「現場獨家」「調製專屬酒款」。
只需「告知需求」即可！

(2)特別不特價💸，
價格💸=一般調酒。

---------------------------------------------

4.特色：
A.最特別的當屬「吧檯上方」
的「🪸🐠水族箱🐚🐟」。
店家的知名招牌🖼️！

B.其實，
調酒🍸、環境🛋️和店員服務🛎️等，都很棒！","""🐒🐒🐒 趴 趴 p p"" part 2!
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------—

低 💸 💸 💸
1. On weekdays: 300 yuan
(Day ~ 4)

2. Holiday: 500 yuan
(Five, Sixth+National Holiday ""Naval Correction"")

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------—

feature:
1. 🐚🐟 Aquarium 台: above the bar counter
2. ""b️Bar Special🍸"":
a. Can be ""every guest"",
""Exclusive"" and ""Modify Exclusive Wine"".
b. ""Just inform the needs""!
c. Special special offer,
Price 💸 = General bartending.

3. Location ️ = ""Taiwan version of Harry Potter 🪄"" --- ""Between""

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------—

1. Location ：️: 1️B1

A. To be precise,
(1) 7-11边 Next to
(2) 1F is a restaurant: other shops
(3) ""Store Entrance"" happens to be there
--- Original site 63 and 65 ""Between""

B. Imagine it ~~
(1) ""Taiwan version of Harry Potter 🪄""
The ""9 -¾ 对 对 对"" is right!Intersection

(2) ""⚠️Google Map""
Will ""navigate to the 1F restaurant store"".
Instead, the fog is shame!

(3) So,
""A goal directly 7-11标"",
""Turn to a bar again"" will be more convenient and easy.

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------—

2. Environment ：️:
A. 入️B1 ""Before entering the store 🛋️ There is a transition space"",
""Converting mood+isolation of external disturbances.""

B. Inside the store: front+behind 2 parts
Mainly concentrated in the latter part.
(1) Earlier:
It is more waiting for people to talk about the use of calls.

(2) Later:
The space is large and the main range.

(3) The space of the entire store is very spacious, and
""It won't be too compact, there is no sense of oppression 🛋️.""
There will be no one table next to one table.

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------—

2. Service ：️:
A. Kind and fast.

B. The clerk is very young and energetic,
The girl is cute!What's more?

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------—

3. Blooming 🍸: 🍸
Very satisfied!

A. Basic bartend

B. The store has many specialty bartending 🍸,
And there is a detailed introduction,
(1) Flavor 酒 酒 酒 酒 酒 酒 (
(2) The flavor is strong and light, the bodies are proud of the body, etc.,
There are more detailed distinctions.

(3) There is a set of classification and illustration 📋,
Very careful!

C. ""b️Bar Special🍸""!
(1) Can be ""each guest"",
""Exclusive"" and ""Modify Exclusive Wine"".
Just ""inform the needs""!

(2) Special special offer,
Price 💸 = General bartending.

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------—

4. Features:
A. The most special is the ""above the bar""
""🐚🐟 箱 的 的"".
The well -known signboard of the store 名️!

B. Actually,
Blooming 🛋, environment 店️ and clerk service 🛎️, etc., are great!"
"造訪時間：2024/06/05
支付方式：可刷卡
餐點：任性小粉紅、daiquiri、柯夢波丹（總共1230）

不同於週末，週間只有幾隻小貓，氣氛也安靜放鬆得多，第一杯點了之前點過的任性小粉紅，雖然名字有點尬，不過很喜歡上面覆盆子口味的泡泡、本身有梅酒，也是我的菜，算是輕鬆的一杯。daiquiri甜度較低、酒感也偏重，當天有點輕忽自己的情況，大概是因為整天沒吃什麼東西，喝完柯夢波丹已經有點輕飄飄到不行了，bartender還來問我今天的酒還好嗎？他覺得我看起來有點開心，應該是已經上頭了ＸＤ

招待的小點心是氣炸的鱈魚香絲，也很喜歡","Visiting time: 2024/06/05
Payment method: credit card
Meals: willful pink pink, Daiquiri, Ke Mengbo Dan (total 1230)

Different from weekends, there are only a few kittens during the week, and the atmosphere is much more relaxed. The first cup ordered the willful little pink pink. Although the name is a bit embarrassing, I really like the bubbles of the taste of raspberry. Plum wine is also my dish, which is a relaxed cup.Daiquiri has a low sweetness and a sense of wine. It was a bit neglected that day, probably because I didn't eat anything all day. After drinking Ke Mengboan, it was a bit light to flutter. Bartender came to ask me today's wine. IntersectionHe thinks I look a little happy, it should be that XD is already on the top

The snacks of the entertainment are qi fried cod flavor, and I also like it very much"
"環境舒服 服務一流 調酒很特別 值得一試
叫了四杯Cocktail還有小食才1500~Twd","Environmental comfortable service first -class bartending is particularly worth trying
Calling four cups of Cocktail and snacks only 1500 ~ TWD"
"在地下室，一樓是別家餐廳！超多人打錯
調酒類平均3-500，我們一桌點都無雷！
氣氛熱鬧
炸物拼盤999很大份，六人分食也很爽的那種！","In the basement, the first floor is an other restaurant!A lot of people make mistakes
The average bartender is 3-500, and we have no thunder at a table!
Atmosphere
The frying platter 999 is very large, and the six people are also very good!"
我來這邊3次了 每次都喝不同的調酒 餐點這家好吃  調酒對我來說還不錯 價錢貴了一點點 昨天幫我們服務的一位男生態度也不錯,"I came here 3 times, every time I drink a different bartending meal, this delicious bartender is pretty good for me. It is a little more expensive. Yesterday, a boy who helped us serve us was good."
"繼續第二攤，偏氣氛較吵鬧的bar，服務人員滿親切的，假日低消500，吧台上有水族箱覺得很特別，menu設計的部分很喜歡，圖示頗有可愛感❤️
🍸酒的部分點了「小草地」、「任性小粉紅」、「救贖」，除任性小粉紅外，其他兩杯酒感較明顯，整體來說味道普通，沒有特別突出。加點炸物拼盤，分別為雞米花、🍟薯條及🧀️起司條，沒有酥脆的感覺，味道偏鹹，酒不要喝太快😂
另外招待的部分，不太知道是魷魚條還是什麼，但脆脆的很好吃👍還滿開心的
整體來說只適合朋友偶爾聚會聊天，也很難得遇到bartender都是女生的bar，私心喜歡某一位，但是忘記名字了，一直覺得調酒很帥，先給愛心❤️","Continue to the second stall, the atmosphere is more noisy BAR, the service staff is full of cordial, the holiday is 500, the aquarium on the bar feels very special, the Menu design part is very cute, the icon is quite cute ❤️
The part of the wine ordered the ""small grass"", ""willful pink pink"", and ""redemption"". In addition to the wayward small pink, the other two glasses of wine were more obvious. Overall, it tastes ordinary and has no particular prominent.Add some frying platter, which are chicken rice flowers, fries and 🧀️ cheese strips. There is no crispy feeling, the taste is salty, do not drink it too fast 😂
In addition, the part of the entertainment doesn’t know if it is squid or something, but the crispy is delicious and delicious.
Overall it is only suitable for friends to meet occasionally, and it is difficult to encounter Bartender's BAR. I like a certain person, but I forget the name. I always feel that the bartender is very handsome."
"初次造訪，環境、氣氛、服務都很不錯
店內選歌好聽!!
廁所很大間, 舒適😆 可以再訪","For the first visit, the environment, atmosphere, and service are very good
The selection of songs in the store sounds good !!
The toilet is very large, comfortable 😆 can be visited again"
"酒吧位於地下室一樓，環境很寬廣，燈光屬於較昏暗的那種，氛圍蠻棒的，吧台上面還有水族箱，音樂也很chill。

調酒部分還不錯，特調很多選擇，也有經典調酒可以選擇。當天點了一杯有紫蘇跟檜木香味的，木質香跟香料味的平衡，非常喜歡。

服務方面，去吸菸室抽完菸後，未經通知原本坐的位置突然被調換到吧台邊邊，有點突兀，其他都ok","The bar is located on the first floor of the basement, the environment is very wide, the lights are darker, and the atmosphere is great. There is also aquarium on the bar, and the music is also very easy.

The bartender part is not bad. There are many options for special adjustments. There are also classic bartenders to choose from.On the same day, I ordered a cup of perilla and citrus scent. The balance of wood and spice flavor, I like it very much.

In terms of service, after going to the smoking room to smoke, the position where the original sitting was not notified was suddenly changed to the edge of the bar."
因為朋友的after party初次到訪，環境讓人非常放鬆，酒水好喝，最重要的是老闆娘非常友善親切，是一間值得五星級的酒吧！,"Because my friend's After party visited for the first time, the environment was very relaxed, and the wine was delicious. The most important thing was that the boss was very friendly and kind. It was a five -star bar!"
"點了幾杯酒感比較重的酒，味道喝起來真的酒感很重，沒有藏住酒味。
爆米花、雞米花很普通。
低消一人500，總和超過就可以。
我們有訂位，人數也沒變少變多也準時，一開始店員帶我們到有沙發的地方，結果過五分鐘跟我們說抱歉因為假日人比較多，要把我們換到一般桌子，五個人擠在一張桌子實在有點擠，結果到我們離開的時候沙發座位都還是空的？
優點大概就是外面有花草的地方蠻好拍照的。","I ordered a few glasses of wine. The taste was really heavy and did not hide the taste of the wine.
Jump rice flowers and chicken rice flowers are very ordinary.
500 lows one person, the total is exceeded.
We have a reservation, and the number of people has not become less and more. It was a bit squeezed on a table. As a result, the sofa seat was still empty when we left?
The advantages are probably good to take pictures of flowers and plants outside."
