Original,EN
信義店介紹，很熱鬧的日式水煙酒吧，老闆闆闆娘的調酒一級棒得絲，來林森北一定要來！超推,"According to Xinyi Store, the lively Japanese -style water cigarette bar, the bartender of the boss Ban Niang's bartender is very silk, and it must come to Linsenbei!Overshoot"
沒有點吃的 但水菸跟唱歌都很讚整體氣氛很好 大推🥰🥰也不會很貴兩個人來也可以 就算一個人低消也很佛！,"There is no ordering, but the water cigarettes and singing are very exciting and the atmosphere is very good."
喜歡這裡簡簡單單，店員的服務很好也很專業親切，喝酒配水煙再來點小點，跟朋友聊聊天，享受啊～,"I like it very simple here, the clerk's service is very good, very professional, drink with water smoke and then a little bit, chat with friends, enjoy it ~"
"這裡真的超讚，可以唱歌又可以跟店員玩~整個氣氛真的嗨到爆炸😍
暢飲2小時有非常多種酒可以選，鹹酥雞也很好吃！！❤️","It's really amazing here, you can sing and play with the clerk ~ The whole atmosphere is really hi to the explosion 😍
There are many kinds of wine to choose for 2 hours, and salty crispy chicken is also delicious!Intersection❤️"
"太有趣，太新奇，太好玩，太好笑

推薦水煙當中的愛情，第一次嘗試，總是有無限的幻想，大家一起來打打鬧鬧，很好笑。
日式的KTV充滿神妙與新奇，人生當中一定要來嘗試一次

我決定命名為

Jojo奇幻冒險之愛情初體驗","It's so interesting, too novel, so fun, so funny

Recommended love in water smoke, the first attempt, always has unlimited fantasies. Everyone came together to make trouble, very funny.
Japanese -style KTV is full of magic and novelty, you must try it in your life

I decided to name it

Jojo Fantasy Adventure Love First Experience"
那邊的shisha位置十分狹窄，空調也不夠冷，只有ktv，設備十分舊。煙壼煙經常掉下。總括而言這是一個不好的體驗,"The location of the Shisha over there is very narrow, and the air conditioner is not cold enough. Only KTV is very old.Smoke smoke often falls.In summary, this is a bad experience"
來過兩三次，很喜歡這邊的水煙口味很多種，還有送特調shot ~點了菜單沒有的調酒也很好喝完全不雷，酒味不重但喝酒很強很喜歡🥳🥳 …,"I have been here two or three times, I like the taste of the water cigarettes here, and I also send a special adjustment Shot ~ After ordering the menu, the tuning is also very delicious."
下班適合小酌放鬆的好地方，調酒可以客製化還能唱唱歌，每次來都很開心🥳店員校Johnny Ronnie 服務很好很周全，喜歡～ …,"It is suitable for a good place to relax from get off work. Bart -up can be customized and can sing. Every time I come, I am very happy. 🥳 Johnny Ronnie service is very good and comprehensive, I like it ~ ..."
"和女朋友原本是在圓山酒吧喝酒突然想抽水煙，結果搜尋google map水煙館就推薦了這間，真的完全不後悔！
Xiao 和靖的服務超好，很好聊天服務也超棒，一路從10點聊到打烊，大推晚上想來喝酒聊天的朋友！人超好 很好聊 以後還會來這間","I had a girlfriend who suddenly wanted to smoke the smoke in the Yuanshan Bar. As a result, I recommended this while searching for the Google Map Water Tobacco Pavilion. I really do n’t regret it at all!
The services of Xiao and Jing are super good, and the service is very good. It is also great. From 10 o'clock to snooze, I push friends who want to drink and chat at night!People are so good and good, I will come here and I will come here"
"放長假結束回台北的時候
老婆說想嘗試看看日式酒吧
剛好看到這家有水煙
覺得蠻新鮮的就來嘗試看看
店員很親切的跟我們介紹水煙的抽法
蠻好玩的一次體驗
調酒和水煙都蠻不錯的
重點是卡拉ok的日文歌很豐富
老婆唱得很開心
店裡的氛圍也感覺像是跟陌生人一起唱歌一起嗨的感覺
蠻不錯的小酌唱歌地點
推薦給大家來試試","When the long holiday ended back to Taipei
My wife said I want to try to see a Japanese -style bar
I just saw this water smoke
I feel pretty fresh and try to see it
The clerk introduced us to the pumping method of water smoke
A fun experience
Blooming and water cigarettes are pretty good
The point is that Karaoke's Japanese song is rich
Wife sang very well
The atmosphere in the store also feels like singing with strangers.
Pretty good drinking location
Recommend for everyone to try"
不得不說這家店氣氛好，酒也特別好喝，有還能能唱歌真的特別的屌，而且這裡的水煙真的是屌打台中的任何一家店不愧是我大天龍國，這家店只有能說超級棒以外真的沒有了超級推薦大家來。,"I have to say that the atmosphere of this store is good, the wine is particularly delicious, and can still sing really specially, and the water smoke here is really a shop in Taichung. It can only be said that there is really no super recommended super recommended everyone to come."
"水菸館 cozy lazy friendly
我認為是滿適合2-10人都可以來的地方。
水菸味道以及酒都很不錯呢
店外抽菸、店內水菸，讚","COzy Lazy Friendly Water Tobacco Pavilion
I think it is a place where 2-10 people can come.
Water smoke taste and wine are very good
Smoking outside the store, water cigarette in the store, praise"
超棒的酒吧 店長夜月調的酒超好喝 超開心的體驗,The great bar shopkeeper Yeyue's wine is super delicious and happy experience
店員夜月服務超好，大家玩得很開心,"The clerk's Yeyue service is super good, everyone has a good time, everyone is very happy"
