Original,EN
"100暢飲很划算，暢飲算整桌人數，不喝酒也有飲料暢飲，選擇不多就是

每道菜都不錯吃，不太有雷，續湯免費很讚！

現場免費停車很方便，Live演唱超HIGH🤣","100 drinking is very cost -effective. Drinking the whole table is the number of people. There are drinks for drinking without drinking.

Each dish is good, not very thunderous, the soup is free of charge!

It is convenient to park on the spot."
"位處在台北市區，享有交通便利的天然優勢，但是廠區的寬闊，卻可以讓人有離開台北的感覺。

現場的Band演唱功力及炒熱氣氛的功力很不錯，讓身處其中可以得到活絡氣氛又不令人煩躁。

餐廳的菜肴以偏向下酒菜居多，但是在啤酒廠的餐廳擁有喝不完的絕對新鮮啤酒之優勢，搭配稍重口味菜肴卻是絕配。

是一間值得我推薦的好餐廳，納入口袋餐廳。","It is located in the city of Taipei and enjoys a natural advantage of convenient transportation, but the wideness of the factory area can make people feel like leaving Taipei.

The BAND singing skills and the atmosphere of the atmosphere at the scene are very good, so that the atmosphere can be obtained in the body and it is not irritating.

The restaurant's dishes are mostly biased towards wine and dishes, but in the restaurant in the beer factory, the absolute fresh beer has the advantage of drinking. It is perfect with a slightly heavy flavor dish.

It is a good restaurant worthy of my recommendation, which is included in a pocket restaurant."
"啤酒無限暢飲
餐點部分還不錯吃
晚上有Live演唱
整個氛圍很歡樂","Beer unlimited drinking
The meal part is not bad
Live singing at night
The whole atmosphere is very happy"
"餐點很不錯，大推炸雞，超軟嫩，晚上七點半有Live 可以利用左右兩側螢幕的QR Code點歌，然後兩位主唱也好活潑，女生好可愛
建議要去的話先打電話訂位","The meal is very good, the big push of fried chicken, super soft and tender, there is a LIVE of 7:30 in the evening, you can use the QR Code song on the left and right screens. Then the two lead singers are also lively. The girls are so cute.
If you are recommended to go, call the position first"
有生啤、有駐唱（很好聽）、有美食，室內場地又大冷氣又夠涼，很適合聚餐推推！,"There are raw beer, singing (very nice), gourmet food, the indoor venue is heavy and cool enough, it is very suitable for dinner push!"
"空間寬敞挑高舒服
氣氛好 下酒菜對味
生啤酒超級順口好喝
回家的路都走不直😅","Spacious and highly comfortable and comfortable
The atmosphere is good and the wine is right
Raw beer is super smooth and delicious
The way home can't go straight"
Live 現場樂團表演超讚！！非常有氣氛～喝酒到飽～喝到飽費用還可以抵餐點～！！菜不錯吃！,"Live live orchestra performance is superb!IntersectionVery atmosphere ~ drinking enough to drink, you can also get a meal when you drink full cost ~!IntersectionGood dishes!"
帶公司同事來聚餐，大家非常開心歡樂共度美好時光！,"Taking a company colleagues for dinner, everyone is very happy and happy to spend a good time together!"
美食好酒音樂聚會的好去處！18天喝到飽加上 LIVE Band 加持，不 High 也很難!!,"Good place for food and wine music party!Drinking 18 days to full plus LIVE BAND blessing, it is difficult to not high !!"
"現場演唱音樂非常大聲
不適合聊天 適合暢飲和嗨歌
餐點以創意料理居多
很有特色但都不大盤
座位和車位都蠻多的","Singing music on the spot is very loud
Not suitable for chatting suitable for drinking and hi songs
Most of the meals with creative cooking
Very distinctive but not big disk
There are quite a lot of seats and parking spaces"
公司聚餐，餐點、啤酒讓大家都十分盡興，現場演唱氣氛超棒！,"The company's dinner, meals and beer are very happy, and the atmosphere of singing on the spot is great!"
氛圍好～餐點美味,The atmosphere is good ~ delicious meals
餐點很棒，喝酒喝到飽，晚上七點有Live表演，可以用兩側螢幕的QR Code點歌，DNA主唱好可愛♡,"The meal is great, drinking and drinking is full. At 7 o'clock in the evening, there is a live performance. You can use QR Code on both sides of the screen to sing. The DNA lead singer is so cute."
第一次來這家店，蠻驚艷台北有這種場地，現場樂團歌唱水準高，帶動現場氣氛高潮，餐點不錯吃因為是啤酒喝到飽所以剩很多，大推,"The first time I came to this shop, there was such a venue in Taipei. The level of the orchestra's singing level was high, driving the atmosphere of the scene, and the meal was good because it was beer."
"Live氣氛極好，非常適合團體聚餐或大型包場活動。

停車方便
忠孝復習捷運步行約11分鐘","The LIVE atmosphere is very good, which is very suitable for group dinners or large -scale charter activities.

Convenient parking
Loyal and filial piety review MRT walk for about 11 minutes"
18生啤酒暢飲！食物好吃，吃完身上也不會有一般熱炒店的臭味，遇到十週年慶，樂團的演出超棒！會與觀眾互動，超推薦‼️,"18 Studius Drink!The food is delicious, and there will be no smell of general hot -fried shops after eating. When you meet the tenth anniversary celebration, the performance of the orchestra is great!Will interact with the audience, super recommended 互️ ️"
環境很不錯還有歌手駐唱不怕乾；打卡還有美味薯條😍,"The environment is very good, and there are singers who are not afraid of drying; punch cards and delicious fries 😍 😍"
第一去，啤酒餐食真的很棒，生啤酒真的很新鮮好喝；那天去是禮拜四，當天的樂隊是三個人，很厲害，三個人就可以把氣氛炒的很嗨，有要慶生過節日的真的是很棒的場所,"First, the beer meals are really great, and the raw beer is really fresh and delicious. It was four worship that day. The band of the day was three people. It was very powerful. The celebration of the festival is really a great place"
"18天尚青
Live band超好聽
餐點也好吃
嗨爆","18 days Shangqing
Live band super nice
The meals are delicious
Hi explosion"
"氣氛很好的餐廳！ 非常適合朋友聚會～
不適合悄悄聊天 適合大聲乾杯🍻

樂團演出很精彩喔！什麼點歌都行！
韓文、日文、台語英語樣樣來～","The restaurant with a good atmosphere!Very suitable for friends to party ~
Not suitable for quietly chatting suitable for loud toasts 🍻

The orchestra performance is wonderful!It's OK!
Korean, Japanese, and Taiwanese English comes ~"
便宜大碗，食材新鮮，有現場演唱，想聊天的不建議，因為現場很熱鬧，100元18生喝到飽超划算，因為新鮮所以我沒有脹氣，極限只能喝兩公升，因為一個人去！有低消。。,"Cheap large bowls, fresh ingredients, some singing on the spot, I do n’t recommend chatting, because the scene is very lively, and it ’s great to drink it at 100 yuan and 18 students. Because I do n’t have flatulence, I can only drink two liters of the limit because I go alone. IntersectionThere is a low.Essence"
真的太吵了，現場都100～120分貝，完全不適合聊天，只好移到外面桌子去，不知道餐廳音控耳朵是不是有問題才開那麼大聲？這樣的音樂真的好聽嗎,It's really noisy. The scene was 100 to 120 decibels. It was not suitable for chatting at all. I had to move to the outside table. I don't know if there is a problem with the restaurant's sound control ears to open so loudly?Is such music really nice?
餐點好吃～還有駐唱！超👍,The meals are delicious ~ There are also singing!Superb
一個可以讓人開心暢飲的地點，餐點差強人意、但18生啤酒絕對是沒話說，服務生會自動來幫忙續“ 啤酒塔 ”，服務真是一級棒！現場live音樂演唱、音效震撼、氣氛熱鬧又歡樂！,"A place that can make people drink happily, the meal is very unsatisfactory, but the 18th beer is definitely nothing to say. The waiter will automatically help to continue the ""beer tower"". The service is really a great!Live music singing, shocking sound effects, lively and happy atmosphere!"
現場演唱的水準讚👍，菜色口味佳、醬料調配也很對味！環境寬敞、乾淨，啤酒順口好喝，朋友揪一揪，搭配暢飲的方案CP值高！營業時間大約到晚上21:00，此前做最後點餐，是個適合下班後小聚&小酌的好地方！,"The level of singing on the spot, good dishes, and sauces are also very right!The environment is spacious and clean, and the beer is delicious. Friends are stubborn, and the CP value of the solution with a smooth drink is high!The business hours are about 21:00 pm. Before the last order, it is a good place suitable for a small gathering after get off work!"
有好吃熱炒 還有現場樂團 英語台語都唱得很好聽 真是太讚了！,"There are delicious hot fry, and the English and Taiwanese on the scene of the band are very good. It sounds good!"
餐點份量足，啤酒夠冰，但是人太多，冷氣有點不夠強。歌手會帶動氣氛，觀眾也會起身跳舞，還不錯！,"The meal is sufficient, the beer is ice, but there are too many people, and the air -conditioning is a bit not strong enough.The singer will drive the atmosphere, and the audience will get up and dance, pretty good!"
地板黏黏的，感覺清潔要加強，沒遇到樂隊表演，餐廳的音樂開很大聲，聊天都需要講很大聲，菜色都還不錯，口味偏鹹，很好下飯。,"The floor is sticky, and it feels that cleaning should be strengthened. I did n’t encounter the band performance. The music of the restaurant was loud. The chats need to be loud. The dishes are not bad. The taste is salty and good."
氣氛佳 酒水喝到飽 服務人員態度親切,The atmosphere is good at drinking the service staff with a kind attitude
"我們一行人是點暢飲方案，799元+10%，啤酒都是當天現釀的，沒有苦味相當順口好喝，而菜餚的部分也是相當有水準，喜歡他的黑胡椒骰子牛、串燒拼盤、瓜片蒜泥白肉、椒麻油雞及沙茶魚頭火鍋！吃喝方面完全很可以～

現場演唱的兩位主唱都會跟台下觀眾互動，個人覺得音響效果，可以再調整的更好一些，也許是場地開闊，造成音響聲音有些散掉，聽起來後頭音樂聲比較含糊，但整體氣氛還是非常可以的，我們在下面唱唱跳跳的，一整個很嗨的夜晚！非常好玩！大推～","Our group is a drinking plan, 799 yuan+10%, beer is brewed on the same day. It is not bitter and delicious, and the dishes are quite standard. Gourd sliced ​​garlic white meat, pepper sesame chicken and sand tea fish head hot pot!Eating and drinking is completely possible ~

The two lead singers singing on the spot will interact with the audience in the audience. Personally, I feel that the sound effect can be adjusted better. Perhaps the venue is open, causing the sound sound to spread a bit. Very ok, we sang below, a very hilarious night!Very fun!Big push ~"
熱炒份量不多，口味偏重，暢飲+100/人很超值！,"The hot speculation is not much, the taste is too heavy, and it is very value for drinking+100/person!"
餐點好吃女主唱唱歌很好聽,"The meal is delicious, the female lead singing and singing is very nice"
經朋友推薦前來探索的新地方，蠻適合年前跟朋友小聚的地方，外觀似乎文創感稍重，但裡面似乎是高級熱炒店感！似乎還有live band!整體上氣氛不錯，食物也還算好吃，比一般熱炒店質感又提升些，花枝丸會爆汁有點驚豔，皮蛋系列的熱炒個人也很愛！！但最愛的是啤酒柱！！每人加100元似乎就可以無限暢飲！喝到一個不要不要！！18天很順口，配合下酒菜相當棒！！只是蠻奇妙位置竟然在松江南京的附近！沒想到再一堆高樓大廈中還隱藏著這個奇妙的地方！！捷運站差不多要10-15分！！開車或許會方便些，裡面有停車場不算太難停，建議聚餐找位不喝酒的朋友，這樣喝掛還能有人可以協助運送回家，不然不喝真的有點可惜這樣！,"The new place recommended by friends to explore is quite suitable for the place where I have gathered with friends. The appearance seems to be a little heavier, but it seems to be a high -end hot -fried shop!There seems to be Live Band! The whole atmosphere is good as a whole, the food is also delicious, and the texture of the hot stir -fry shop is a bit more amazing.IntersectionBut the favorite is the beer column!IntersectionPutting 100 yuan per person can drink unlimitedly!Drink one, don't!IntersectionIt is very smooth for 18 days, and it is great to cooperate with the wine!IntersectionIt's just near the Songjiang Nanjing!I didn't expect this wonderful place in a bunch of high -rise buildings!IntersectionThe MRT station is almost 10-15 points!IntersectionIt may be more convenient to drive. It is not too difficult to stop in the parking lot. It is recommended to find friends who do n’t drink. This way, some people can help to transport home, otherwise it ’s a pity not to drink it!"
光看這個就讓人開心，整體氣氛也很不錯，但菜比一般的熱炒貴。,"Just looking at this is very happy, and the overall atmosphere is also very good, but the vegetables are more expensive than the ordinary heat."
食物部分還不錯吃，但主要在如果喜歡多喝幾杯的朋友可以選擇他們喝到飽的方案，會比去熱炒店便宜許多，Live部分唱的都不錯，但就是演唱者照片跟本人有點差異.......,"The food part is pretty good, but if you like a few more cups of friends, you can choose the solution they drink. It will be much cheaper than going to the hot -fried shop. difference......."
食物屬於台式熱炒，中規中矩沒有扣分，低消699加100就有啤酒喝到飽。19:30開始有現場有唱歌表演，到了2100之後基本上都在開小型演唱會而不是在吃飯了，是聚會的好地方!,"Food is a desktop hot frying, and there is no deduction in the same way. The low 699 plus 100 is beer to drink.At 19:30, there were singing performances at the scene. After 2100, I basically opened a small concert instead of eating, and it was a good place for the party!"
上菜速度快，餐點都很下酒。週四當天表演的樂團跟台下互動關係很好。只可惜10點打烊，9：40會開始來收桌子打掃，直接放費玉清的晚安歌。,"The food is fast, and the meals are very good.The orchestra performed on Thursday was very interactive.Unfortunately, it will be closed at 10 o'clock, and 9: 40 will start to collect the table to clean it, and directly release the good night song of Fei Yuqing."
餐點夠味！下酒菜超讚，喝酒可以喝好幾柱！,"The meals are enough!The wine and vegetables are superb, you can drink several pillars when drinking!"
"食物質素高，有live band，可以點歌，任飲啤酒👍👍亦提供冷茶，檸檬水和柳橙汁。
啤酒偏清甜，waiter主動更換。
如小童有任飲更佳。","The quality of the food is high, there are live band, you can order songs, and drinking beer 👍👍 also provides cold tea, lemonade and orange juice.
Beer is sweet, and Waiter takes the initiative to replace it.
It is better to have any drinking."
喝啤酒熱熱鬧鬧聚會的地方，12月天氣冷的酒趴，除了砂鍋魚頭、絲瓜是熱食外，其他菜包含三杯中卷、烤肉、炒螃蟹、羊肉、烤魚等等全部都是冷的，不知道是不是外送過來的食物，勉強只能給3.5個星。,"Drinking beer where the party is lively, in December, the cold wine party, in addition to the casserole fish head and loofah are hot foods, other dishes include three cups of rolls, barbecue, fried crabs, lamb, grilled fish, etc. Cold, I do n’t know if it ’s a delivery of food, barely can only give 3.5 stars."
