Original,EN
小小純Piano酒吧，小酌又可琴師伴唱,"Xiaoxiao Chun Piano Bar, you can sing with the pianist"
氣氛高雅卻不失奢華，舒適的座椅，讓人呆再久也不累，老師現場彈奏鋼琴，也會穿插吉他等其他樂器，真的是朋友唱歌小酌一杯的最佳去處。,"The atmosphere is elegant but luxurious, comfortable seats, which makes people not tired for a long time. The teacher plays the piano on the spot, and will also intersperse other instruments such as guitar. It is really the best place for friends to sing a drink."
很單純溫馨的好地方，喝小酒，唱歌，交朋友皆宜。我至少來過五十次啦，還要再來。,"Very simple and warm place, drink small wine, sing, and make friends.I have been here at least 50 times, and I have to come again."
"燈光美氣氛佳～
老師也很厲害～","The lights of the lights are good ~
The teacher is also very powerful ~"
初體驗，很棒！,"First experience, great!"
乾淨舒適音樂,Clean and comfortable music
愛唱歌人的好去處,A good place for singers
老琴師 老朋友,Old pianist and old friend
我喜歡 Swing，不錯的鋼琴酒吧🍷 …,"I like swing, nice piano bar 🍷 ..."
好地方，服務周到，價格合理！,"Good place, thoughtful service, reasonable price!"
