Original,EN
餐點不錯但份量很剛好，所以我們一共六人點了很多怕吃不飽🤣酒的部分啤酒很多，朋友表示想喝很多調酒🍸但誤會了🤣雖然有限時2小時，但謝謝店家沒有趕我們走，大家聊天聊的很暢快！適合🈴沒有很餓，相熟老友聚會的店🤭,"The meal is good but the portion is just right, so we have a total of six people who are afraid of eating and wine. Friends said that they want to drink a lot of bartending. We go, everyone chats and chats very much!Suitable for 饿 is not very hungry."
"⭐️供應水煙 ⭐️餐點多樣化

❌️對我而言一次店
💰平價位 <1人/700~800$ >
🌟整體3.5/餐點3/環境3/服務4.5

一直都在我的探訪名單內，可惜有點失望。
先說說調酒，種類很少，
根據我的雷達經驗談應該不會太理想，
索性不點。
飲料部分...則很普通。

餐點還算尚可，燉牛肉是不錯的選擇！
其餘餐點都是中規中矩沒什麼記憶點。

優點是價位便宜，缺點則是沒特色
環境小裝潢普通，服務員增加了4分！

💡個人建議：不適合約會，朋友聊天可","⭐️ Supply water smoke 餐️ Diversified meals

一️ For me a shop
/Passage location <1 person/700 ~ 800 $>
Overall 3.5/meals 3/environment 3/service 4.5

I have always been on my visit list, but unfortunately a little disappointed.
Let's talk about bartending first, there are very few types,
Based on my radar experience, it should not be too ideal,
Simply.
The drink part ... is very ordinary.

The meal is still available, stewed beef is a good choice!
The rest of the meals are quite satisfactory.

The advantage is that the price is cheap, and the disadvantage is that there is no characteristic
The small environmental decoration is ordinary, and the waiter has added 4 points!

合 Personal suggestion: Not suitable for dating, friends chat"
"布娜飛餐酒館
熱紅酒 210$ 其他餐點大概在200-300左右
人均消費500-700

酒的選擇以啤酒為主，另有威士忌、清酒與熱紅酒做選擇
在1月冬天喝到熱紅酒份外有聖誕氣氛！
這間餐酒館是走小酌路線，音樂以流行的英文歌曲為主，稍為大聲一點。
食物份量：除了炸物以外，千層麵與薄餅不算大，大概為一人份量。最後的千層餅甜點可惜因為醬太重的關係掉下來沒有拍到照😭
店內以手機點餐為主，很酷的點是可以多台手機同時一起點，我個人覺得店內員工的服務態度都非常不錯，也會適時過來收餐盤。
總體氣氛不錯！適合小聚小飲的地方","Bana Flying Restaurant
Hot red wine 210 $ other meals is about 200-300
Per capita consumption 500-700

The choice of wine is mainly beer, as well as whiskey, sake and hot red wine for choice
There is a Christmas atmosphere outside the winter of January to drink hot red wine!
This restaurant is a drinking route. The music is mainly popular English songs, and it is a little louder.
Food amount: Except for fried objects, the thousands of levels are not large and pancakes, and they are about one person.The last thousand layer of cake desserts is a pity that because the sauce is too heavy, I didn’t take a picture.
The store is mainly based on mobile phones. The cool point is that you can order multiple mobile phones at the same time. I personally think that the service attitude of employees in the store is very good, and I will come to collect the dish in time.
The overall atmosphere is good!Suitable for small gathering and drinking"
"路過幾次都沒進來，一家啤酒選擇蠻多的店。
可以來跟朋友聊一聊喝一杯！😆😆","I didn't come in a few times, and a shop with a lot of beer.
You can talk to your friends about a drink!Bleak"
"推 Triporteur from Heaven 天堂金生
跟 StrawberryNo.1草莓生

Ipa的話 ...
我還是比較喜歡美式風格🤣","Push Triporteur from Heaven Paradise Golden Sheng
Follow Strawberryno.1 Strawberry

IPA ...
I still prefer American style 喜欢"
整體來說不錯，但餐點的量稍微偏精緻，是個喝酒聚會的好地方。,"Overall is good, but the amount of meals is slightly exquisite, and it is a good place for drinking gatherings."
第一次體驗…朋友說的沒錯耶。優！！！,The first experience ... Friends are right.excellent!IntersectionIntersection
"本來要用折價券才發現去錯店好尷尬，才知道原來不同分店特色不同，這家算是主打啤酒很多種類，餐點較少沒付開水因為是小酒館不是餐酒館(問服務生得到的答案)，服務非常好，很仔細介紹，上菜也會簡單介紹餐點跟酒。
鴨胸不好吃，蝦子很彈還不錯，牛肉很讚入口即化，啤酒點了生啤派對組，每個味道都很特別，草莓那個不像是啤酒 哈哈，都還算不錯啦，但沒特別喜歡。
位置有一樓跟地下室，適合專門來喝酒的人，氣氛不錯，服務又好，肚子很餓要想吃飯就要去餐酒館比較好了。","I had to use a discount coupon to find that it was embarrassing to go to the wrong store. I realized that the original characteristics of different branches were different. This is the main type of beer. There are fewer meals. ), The service is very good, and if you introduce it carefully, you will briefly introduce meals and wine.
The duck breasts are not delicious, the shrimp is very good and good, the beef is very good at the entrance, and the beer ordered the beer party group. Each taste is very special. Strawberry is not like beer haha. I especially like it.
There is a basement on the first floor. It is suitable for people who specialize in drinking. The atmosphere is good and the service is good. It is better to go to the dining tavern if you want to eat."
"地理位置不錯 就在台北車站旁 一開始以為是在地下街 結果是在外面馬路上
餐廳有室外區 看起來也滿舒適的
室內佈置的海報都很有特色
我們這次沒有吃飯 主要是去喝喝小酒
整體還不錯 啤酒調酒很特別 啤酒冰沙很大杯哈哈哈","The geographical location is good, but at the beginning of Taipei Station, I thought it was on the underground street on the outside road.
The restaurant has an outdoor area and looks comfortable
The interior layout posters are very distinctive
We didn't eat this time mainly to drink small wine
Overall is not bad beer bartending, very special beer smoothie, big cup hahaha"
"點了番茄海鮮干貝義大利麵
明顯番茄口味偏淡 麵份量十足
但這個價位的確偏貴
辣味雞翅炸物 口味偏甜 還不錯 有韓式的味道
小卷是服務員推薦 口味尚可 現烤再炸
蛤蜊義大利麵蛤蜊份量十足 味道偏淡
加購番茄海鮮濃湯 濃湯味道不ok 超級淡","Ordered tomato seafood scripts and pasta
Obviously, the tomato taste is lighter
But this price is indeed expensive
Spicy chicken wings Fried taste is sweet and pretty Korean -style
Small roll is the waiter's recommendation taste can be baked and fried
Clade Italian Noodle Clam Cement is full of flavor
Purchase tomato seafood soup thick soup taste is not ok super faint"
