Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"老闆人超好, 煮的東西好好吃! 妹妹也很正, 很懂酒! 非常適合聚會小酌","The boss is so good, the cooking things are delicious! My sister is also very positive, knows wine very well! It is very suitable for party drinking",False,0.44,0.0,0.56,0.9537
環境好，氣氛佳，是三五好友聚會品酒的好地方，他們的紅白酒CP值很高，跟朋友來聚餐，也可以自己帶食物來，或請老闆幫忙安排，只要有消費產品，還不錯！,"The environment is good and the atmosphere is good. It is a good place for the three or five friends to gather wine. Their red and white wine has a high CP value. Came meal with friends, or you can bring food by yourself, or ask the boss to help arrange. good!",False,0.345,0.0,0.655,0.969
老闆人超好！酒種很多價格也很友善～,The boss is super good!Many wines are also very friendly ~,False,0.461,0.0,0.539,0.8264
老闆很實在。門市小姐超專業。價格公道。溫馨舒適喝小酒的好地方。,The boss is very real.Miss store is super professional.Fair price.Warm and comfortable to drink small wine.,False,0.34,0.0,0.66,0.802
"老闆很nice, 室內開酒聊天氣氛很好，很適合下班後聊天玩玩桌遊",The boss is very nice.,False,0.436,0.0,0.564,0.4754
"餐酒可以過來嘗試看看,離捷運站不遠,到師大或台大也在合理步行距離之內","You can come and try meals. Not far from the MRT station, and the University of Normal University or the National Taiwan University is also within a reasonable walking distance.",False,0.0,0.0,1.0,0.0
很棒的紅酒專賣店,Great wine store,False,0.672,0.0,0.328,0.6249
"買酒的好去處
葡萄酒的選擇多樣
店長很專業","Good place to buy wine
Various choices of wine
The manager is very professional",False,0.182,0.0,0.818,0.4404
12:00開門 到現在還不開 請問是要開門做生意嗎？,12:00 open the door so far. Is it going to open the door to do business?,False,0.0,0.0,1.0,0.0
門市小姐你好,Hello Miss Store,False,0.0,0.444,0.556,-0.1531
舌頭跳舞的好窩,Good nest of dancing tongue,False,0.42,0.0,0.58,0.4404
不錯,good,False,1.0,0.0,0.0,0.4404
精選有趣的葡萄酒！,Selected interesting wine!,False,0.599,0.0,0.401,0.4574
👍👍 …,👍👍 …,False,0.0,0.0,1.0,0.0
