Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"總評：🌕🌕🌕🌖🌑
消費：$2400TWD

位在光華商場附近的小餐酒館
食物的種類還算多元
雖然整體來講食物應該不是其主打的特色
但是還是很適合來這邊吃個幾道菜填飽肚子

至於酒的方面
並沒有酒單
可以依照需求跟酒保服務生視需求幫你調酒
這邊的酒很多是以茶酒為主
並且可以按照你的需求
結合其他的基酒以及口味包含水果，甚至其他的風味來組合出特色調酒

酒的部分還蠻推薦的
但是店家的空間不算大
所以可能需要預先訂位或者是來碰碰運氣囉

食物：🌕🌕🌕🌘🌑
酒飲：🌕🌕🌕🌕🌑
氣氛：🌕🌕🌕🌕🌘
服務：🌕🌕🌕🌕🌗
價格：🌕🌕🌕🌑🌑
位置：🌕🌕🌕🌕🌘

⭐️食物方面
👉鴨胸飯 $300
以味道方面其實還不錯，配上幾塊鴨胸
但是份量確實有點太少了
不管是飯的份量或者是鴨胸的份量
大概都不能稱作是一份主食

👉綜合滷味拼盤 $190
滷味拼盤的種類還蠻多的
但可惜口味都蠻沒有特色
吃起來都算是吃同一種滷味味的感覺
份量不算少

👉酥炸雞軟骨 $220
很像路邊鹹酥雞攤販的一份雞軟骨
但當然份量比鹹酥雞攤販的多了一點
不過當然以這個價格還是略高
整體來說就是一份炸雞軟骨

👉風味布丁 $120
個人覺得算是這裡面當天吃到最棒的一份
布丁的甜味剛剛好
不會太硬，也不會太軟

⭐️酒飲部分
當天大概點了四杯調酒
在點餐之前可以先跟服務生表明自己想要的口味
以及酒感需要多重
看似需要水果口味或者是茶的口味都可以選擇

⭐️氣氛部分
這間店分為1樓以及2樓
1樓主要是吧台區
以及有兩到三張的小桌子
2樓的空間就比較大一點
大概有四五張桌子可供比較多的人入座

當然1樓的空間比較狹窄
只是吧台區比較可以與店員互動
整體的感覺氛圍是蠻溫馨的
尤其是店員都很熱情

所以氣氛其實還不錯
看得出來有很多常客會回來光顧
店內的風格也走一個偏昏暗的風格
很適合帶妹子或是朋友來這邊喝一杯

而在吧台區，也可以與旁邊的朋友聊聊天
或者是旁邊的陌生人，也有可能成為你的新朋友呢！

⭐️服務部分
店員都10分的熱情
尤其是調酒師
邊調酒會邊跟你一直喇賽
而且講的話也都蠻好笑的
外場的服務員也非常的熱情
看到你有什麼需要補水或者是收盤子的部分就會馬上過來

⭐️價格部分
以食物來講C P值偏低，所以價格可能是小小小小的略高
至於酒的部分就是台北價格吧～

⭐️位置部分
其實位置非常得好，因為就在捷運站旁邊
如果要是喝醉的話，還可以搭末班的捷運回家
並且在光華商場附近，如果晚上逛完也可以過來喝一杯
附近的吃的也蠻多的
旁邊甚至還有漢堡店

⭐️總體而言
總體而言是一個可以路過經過就來喝一杯的地方
尤其是變成常客的話，感覺還可以跟酒保以及服務生打打鬧鬧討好關係
酒保請shot也是蠻大方的
如果想要喝茶酒系列非常適合來這邊！","General Comment: 🌕🌕🌕🌖🌑
Consumption: $ 2400TWD

Small dining taverns located near Guanghua Mall
The type of food is quite diverse
Although the food should not be the main characteristics as a whole
But it is still very suitable to come here to eat a few dishes to fill the stomach

As for the aspect of wine
No wine list
You can help you bartender according to your needs and wine warranty waiters.
Many of the wine here are mainly tea wine
You can follow your needs
Combined with other base wines and flavors, including fruits, and even other flavors to combine special bartending

The wine part is quite recommended
But the space of the store is not large
Therefore, you may need to book a place in advance or come to touch your luck

Food: 🌕🌕🌕🌘🌑
Jiu drink: 🌕🌕🌕🌕🌑
Atmosphere: 🌕🌕🌕🌕🌘
Service: 🌕🌕🌕🌕🌗
Price: 🌕🌕🌕🌑🌑
Position: 🌕🌕🌕🌕🌘

⭐️ Food
3 Duck breast rice $ 300
In terms of taste, it is actually good, with a few duck breasts
But the portion is really a bit too little
Whether it is the amount of rice or the weight of the duck breast
It may not be called a staple food

Comprehensive Lifei Platter $ 190
There are quite a lot of types of lovry platter
But unfortunately the taste is quite unique
It tastes like eating the same kind of braised flavor
There is not much portion

软 Crispy fried chicken cartilage $ 220
It's like a chicken cartilage of the salted chicken vendor on the roadside
But of course, the amount is a bit more than the salty crispy chicken vendors
But of course, this price is still slightly higher
Overall is a fried chicken cartilage

$ Flavor Pudding $ 120
Personally, I think it is the best part of the day that day
The sweetness of pudding is just right
It won't be too hard, and it will not be too soft

⭐️ ⭐ 饮 part
About four cups of bartending on the same day
You can show the taste you want before ordering
And the wine feeling requires multiple
It seems that the taste of fruit or the taste of tea can be selected

⭐️ The atmosphere part
This store is divided into the first floor and the 2nd floor
The first floor is mainly the bar area
And two to three small tables
The space on the second floor is relatively large
About four or five tables are available for more people.

Of course, the space on the first floor is relatively narrow
It's just that the bar area can interact with the clerk
The overall feeling atmosphere is quite warm
Especially the clerk is very enthusiastic

So the atmosphere is actually pretty good
It can be seen that many frequent customers will come back to patronize
The style in the store also takes a dim style
Very suitable for bringing girls or friends to come here for a drink

In the bar area, you can also chat with friends next to it
Or a stranger next to it may also be your new friend!

⭐️ Service part
The clerk is enthusiastic about 10 points
Especially bartender
Along with you, I have been racing with you
And the words are quite funny
The waiter in the field is also very enthusiastic
Seeing what you need to replenish or the closing of the market, you will come here immediately

⭐️ The price part
In terms of food, the C p value is low, so the price may be slightly higher
As for the part of the wine, it is the price of Taipei ~

⭐️ location part
In fact, the location is very good, because it is next to the MRT station
If you are drunk, you can also take the MRT in the last class home
And near Guanghua Shopping Mall, if you go shopping at night, you can come over to have a drink
There are quite a lot of food nearby
There is even a burger shop next to it

言️ In general
Overall is a place where you can pass by a drink
Especially when it becomes a frequent visitor, I feel that I can also fight with the wine insurance and waiters to disappointed the relationship
Ask the wine insurance, please shot, it is also quite generous
If you want to drink a tea and wine series, it is very suitable to come here!",False,0.114,0.021,0.865,0.9979
"水果類調酒還可以，茶類調酒太慘了，所謂特調茶的 Negroni，結果酒體很水、尾韻爆苦，一般 Negroni 酒體渾厚且會有 Campari 苦後的回甘、以及琴酒的香氣，整體品飲過程應該要是香氣豐富，且苦甜平衡有前中後段的層次感。但這特調完全沒有，就是喝進去很水，然後苦苦苦苦苦一路下去，沒了。另外點了一杯經典，Morning Glory Fizz，但喝起來像是檸檬或柑橘水，一樣很水很水。

結帳時被問味道如何，我們面露難色，結果調酒師居然酸言酸語說有問題就應該早點下樓來找他，說我們應該拿刀威脅他才對，然後又罵我們為什麼不反映。呃，所以客人有義務一定要反映不然就是客人的錯，然而店家躺著等 feedback 就好？不太確定為什麼會有這種譴責受害者的態度跑出來，我們只是想放鬆喝一杯，錯了嗎？先不論店家並沒有主動來詢問味道感受，外場訓練本身就很有事，同一位服務生剛幫我們點完酒，又再跑來問我們點酒了沒（座位不多，有這麼失憶嗎？）接著又有另一位服務生來問我們點酒了沒……店內空間不大座位不多，建議可以分配外場每人固定負責桌位，應不致於如此金魚腦。

調酒師可能想做點表示，於是說請我們喝 shot，但卻說杯子是熱的，一拿還真的很燙，不論是不是免費請的，一般吧台都會把關自己遞出去的作品吧？熱杯適不適合使用？我想以上很多細節處就可以觀察到為什麼調酒會那麼悲劇。喔對了，我們說 Negroni 尾韻太苦且前中段太水，他居然反駁說一般的 Negroni 更苦。哇，看來是當我們剛滿 18 歲沒去過酒吧是吧？

這家店值得誇獎的是北非烤蛋，很少在台北看得到 Shakshuka，味道很不錯。但為了這個蛋來訪？大可不必。","Fruit bartending is okay. Tea bartending is too miserable. The so -called special tea Negroni, as a result, the wine is very water and the rhyme is bitter. Generally, Negroni has a strong body and there will be Campari. The aroma of wine, the overall drinking process should be rich in aroma, and the bitter and sweet balance has the layered sense of the front, middle and back.But this special tone is completely absent, it is to drink very water, and then go down the way, gone.In addition, I ordered a cup of classic, Morning Glory FIZZ, but it tastes like lemon or citrus, and it is very water.

When asked about the taste at the checkout, we were embarrassed. As a result, the bartender actually went downstairs to come to him early, saying that we should threaten him with a knife, and then scold us why we didn't reflect.Uh, so guests have the obligation to reflect or be the fault of the guests, but the store is lying down and wait for feedback?I'm not sure why there is such a condemnation of the attitude of the victim, we just want to relax a drink, is it wrong?Regardless of whether the store did not take the initiative to ask for the taste, the field training itself was very troublesome. The same waiter just helped us order the wine, and then came to ask us if there were not many seats, is there such amnesia?) Then another waiter asked us if we ordered a drink ... There are not many seats in the store. It is recommended that each person can be fixed to the desk in the field, which should not be so golden fish brain.

The bartender may want to do something, so I said that we asked us to drink Shot, but they said that the cup was hot, and it was really hot. Whether it was free or not, the general table would check the works that we handed out?Is the hot cup suitable for use?I think there are many details of the above details.Oh, right, we say that Negroni's tail rhyme is too bitter and the front and middle are too water. He actually refuted that the average Negroni was even more bitter.Wow, it seems when we have just been at the age of 18, haven't we been to the bar?

This shop is worthy of praise from North African grilled eggs. It rarely can see Shakshuka in Taipei, and it tastes very good.But for this egg visit?No need.",False,0.083,0.09,0.827,-0.8121
因為常喝coffee Sind 注意到這個酒吧。 水果調酒超好喝，第一次喝無酒單酒吧～甜點布丁也很讚😎 喜歡！ 料理很像也很不錯，下次再來吃,"Because I often drink Coffee Sind notice this bar.Fruit alcohol is super delicious. For the first time, I drink a wine -free bar. The dessert pudding is also very good!The cuisine is very similar and very good. I will eat again next time",False,0.269,0.0,0.731,0.937
酒普通 食物餐點不錯 位置稍小（高腳椅太高 腳懸空有點不舒服 建議可以加一個小踏板,The meal for ordinary foods is a good position (high chair is too tall and too high to hang out. It is a bit uncomfortable. It is recommended to add a small pedal,False,0.126,0.07,0.804,0.2732
餐點跟調酒都相當有水準，可告知服務人員今天想喝什麼風味的調酒，盲開調酒師的成品，是我個人比較喜歡的無酒單酒吧,The meal and bartending are quite standard. You can inform the service staff what flavor of bartending today. Blind the finished product of the bartender.,False,0.0,0.101,0.899,-0.4019
"來了春花幾次，一直很喜歡他們家的水果調酒，今天晚上喝了蜜瓜酒，真的是齒頰留香，香瓜的果香和琴酒搭配真的好喝，只是酒量不佳只能喝一杯調酒配烤雞。

N訪，愛沙尼亞出產的琴酒很特別，玫瑰果的香味讓人很驚豔，經典調酒調出新口感，血與沙這杯酒是繼曼哈頓讓我很喜歡的。

食物方面是來春花喝酒時絕對不能錯過，邊喝酒邊吃食物，一個人吃掉2盤也是很Easy的事情。","I have been here a few times, and I have always liked their fruits of fruit. I drank honeydew wine tonight. It is really fragrant to teeth and cheeks. The fruity and piano wine of the melon and the piano wine are really delicious, but the amount of wine is not good. Can drink a glass of bartending with roasted chicken.

N visit, the piano wine produced by Estonia is very special. The fragrance of rose fruit is amazing. The classic bartending is brought up with a new taste. The blood and the sand of the Sausa are that I like it in Manhattan.

In terms of food, you must not miss it when you come to spring flowers. He eats food while drinking. It is also very easy to eat 2 sets of people.",False,0.149,0.02,0.831,0.9622
"調酒偏貴，點了杯Espresso Martini要400+10%
可能是因為點的口味的關係，喝來沒太驚艷，大概中偏上3.5顆星

炸杏鮑菇的流沙美乃滋好吃
伯爵茶布丁更好吃，甚至為了布丁光臨都不為過

有機會會再訪嘗試其他口味調酒","The bartending is expensive, and the cup of ESPRESSO MARTINI is 400+10%
It may be because of the taste of the taste. It is not too amazing to drink, probably 3.5 stars

The fried Pleurotus eryngii is delicious
Earl tea pudding is more delicious, and even for pudding, it is not an exaggeration

If you have a chance, visit again and try other flavors.",False,0.133,0.042,0.825,0.7664
"氣氛還不錯～二樓還有沙發桌區
有特色的是 他沒有酒單 😆
從你喜歡的口味 直接幫你調～～

建議搭捷運來
在忠孝新生站5號出口的旁邊～
出來就到了👍 地理位置還不錯","The atmosphere is pretty good ~ there is a sofa table on the second floor
What is characteristic is that he has no wine list 是
Help you directly from your favorite taste ~~

Suggest to take the MRT
Next to the exit of No. 5 Zhongxiao Xinsheng Station ~
It's not bad to come out when you come out",False,0.207,0.031,0.762,0.9091
每一樣表現都有在水準，尤其是布丁真的很驚豔，不過烤雞的份量令人可惜。,"Every performance is at the level, especially the pudding is really amazing, but the amount of roast chicken is a pity.",False,0.105,0.115,0.78,-0.0653
"酒沒有特別驚艷，男友說之前兩次來的酒都不錯，所以這種無酒單可能就很看跟bartender的默契，小失望，但很貴是真的

餐點點了擔擔麵，可是配菜感覺很不用心，還超貴

一樓看起來氣氛不錯，但坐二樓的感受很差，沙發區的桌子跟椅子高度不match，用餐體驗差，靠近樓梯的那兩個座位椅子很硬，然後燈光很像家裡書桌檯燈，很不舒服
這次遇到的服務生超級超級不會服務，要收東西前都不問，不想他打擾的時候又一直來，真的要訓練好再來服務，體驗真的很不佳⋯

總而言之，餐點跟酒雖然貴，但沒有到不能接受，只是二樓那個裝潢跟服務跟收的錢實在太不成正比，讓我不會再訪","The wine is not particularly amazing. The boyfriend said that the wine I have come twice before is good, so this kind of wine -free list may look at the tacit understanding with Bartender.

The meal ordered the side, but the side dishes felt very unhappy, and it was super expensive

The atmosphere on the first floor looks good, but the feeling of sitting on the second floor is very poor. The height of the tables and chairs in the sofa area is not high, and the dining experience is poor. The two seats near the stairs are very hard. uncomfortable
The waiter encountered this time is super super super -service. I do n’t ask before receiving things. I do n’t want him to come and come again. I really have to train and then serve. The experience is really not good.

All in all, although the meal is expensive to the wine, it is not unacceptable, but the decoration on the second floor is not proportional to the money collected by the service.",False,0.165,0.112,0.723,0.9074
