Original,EN,Needs Review,Positive,Negative,Neutral,Compound
說實話，來這專心喝調酒就好（尤其伯爵茶酒），畢竟餐點本來就是配角，搬家後的餐點完全比不上在華山時的水準。,"To be honest, come here to concentrate on drinking alcohol (especially the count tea wine). After all, the meal is originally a supporting role. The meal after moving is completely inferior to the level when it is in Huashan.",False,0.137,0.066,0.797,0.4951
"今天跟朋友前往午餐
我點了一份海鮮的烤飯
一杯伯爵茶酒

海鮮是兩隻算蠻大的蝦 是新鮮的
淡菜也是好吃的 腥味不算重
整體味道偏重
配茶酒非常適合

伯爵茶酒 味道依舊 很好喝
喜歡茶酒的朋友 推薦點一杯嘗試

第二杯調酒 向服務人員詢問是否能點沒有在菜單上的酒（服務人員會向當日調酒師確認）
最後成功點酒
點了一杯經典調酒 鳳梨可樂達
味道跟我習慣喝的店家不一樣
奶味偏重 但也喜歡！！
也許這是訪不同店家的小驚喜
即使是經典調酒 也會有不一樣的小變化
*喜歡鳳梨風味的朋友 可以點點看*

整體來說 餐點是好吃的
調酒對於喝酒精濃度偏重的我來說
蠻剛好的
調酒價格對於台北市來說
中偏低 是可以較低負擔點酒的店家","Go to my friends today
I ordered a seafood roasted rice
One Cup of Earl Tea

Seafood is two pretty big shrimp is fresh
Light vegetables are also delicious fishy smells are not heavy
The overall taste is heavy
Matching tea and wine is more suitable

Earl tea wine is still delicious
Friends who like tea and wine recommend some cups to try

The second cup of bartender asked the service staff if they could order the wine on the menu (the service personnel would confirm with the bartender that day)
Last successful wine
Ordered a cup of classic bartending pineapple Cola Da
The taste is different from the shops I used to drink
The milk taste is heavy but also likes!Intersection
Maybe this is a little surprise to visit different stores
Even classic bartending will have different small changes
*Friends who like pineapple flavor can click on*

Overall, the meal is delicious
For me, the concentration of drinking sake
Pretty
The price of bartender is for Taipei City
Low medium is a shop with lower burdens of liquor",False,0.181,0.042,0.777,0.9776
餐酒館裡面也有義大利麵！可以嚐鮮。餐廳氣氛很好～,There are also pasta in the tavern!You can try it out.The atmosphere of the restaurant is very good ~,False,0.162,0.0,0.838,0.54
"餐點跟酒都有一定水準的餐酒館，近華山商圈。請店員推薦的調酒-伯爵茶酒微酸好喝，酸味跟茶味不衝突。餐點好吃，但份量偏少。是想小酌時會來的店。下次會想嘗試甜點的部分。

海鮮烘蛋 NT$250
香煎肉串拼盤 NT$280
組合起司盤NT$350
松露牛肝蕈燉飯 NT$320

#華山美食 #餐酒館","There are a certain level of meals and wine, near Huashan business district.Ask the clerk recommended to bartender-Earl tea wine is slightly sour, and the sour taste does not conflict with the tea flavor.The meal is delicious, but the amount is small.I want to come to the shop when I want to drink.I will try to try the dessert next time.

Seafood baking egg NT $ 250
Crystal string platter NT $ 280
Combination Qi Duan NT $ 350
Tulu beef liver stewed rice NT $ 320

#Huashan Food #",False,0.103,0.0,0.897,0.6889
"創意調酒是這裡的亮點之一，每一杯調酒都蘊含著調酒師的巧思，味道也很好。

儘管主打調酒，但這裡的餐點也不容小覷喔～不論是精緻的開胃菜還是豐富的主菜，每一道都令人讚不絕口。

特別推薦他們的燉飯，不僅味道出眾，還比我在國外吃到的還好吃。要說缺點的話就是份量不多，食量大的人需要多點幾道菜來享用。

店內環境雅致舒適，無論是輕鬆小酌還是浪漫約會，都非常適合。音樂選擇恰到好處，增添了用餐時的愉悅氛圍。

服務人員親切有禮，對於酒品和菜單有詳細介紹。對於問題和請求反應迅速，展現出專業的服務態度。

總的來說，三重奏比特司是一家值得推薦的餐廳，無論是尋求高品質調酒還是想享受美味晚餐的朋友，這裡都是很不錯的選擇。","Creative bartending is one of the highlights here. Each cup of bartending contains the ingenuity of the bartender, and it tastes good.

Although the main wine adjustment, the meals here should not be underestimated ~ Whether it is exquisite appetizers or rich main dishes, each one is praised.

Special recommendation of their stew, not only the taste, but also better than what I ate abroad.If the disadvantage is, there is not much portion, and people with a large amount of food need a few more dishes to enjoy.

The environment in the store is elegant and comfortable. Whether it is easy to drink or romantic dating, it is very suitable.The choice of music is just right, adding a pleasant atmosphere during the meal.

The service staff is kind and polite, and has a detailed introduction to the wine and menu.The response to questions and requests is rapid, showing a professional service attitude.

In general, Triple Betta Special Division is a recommended restaurant. Whether it is to seek high -quality bartender or friends who want to enjoy delicious dinner, this is a very good choice.",False,0.297,0.016,0.687,0.9965
喝到各式茶葉的調酒，突出各式纖細茶葉美味，四季春紅玉大禹嶺鐵觀音茉莉花茶伯爵，很厲害！Mojito也喚醒了古巴之旅。力推！,"Drink the bartending of all kinds of tea, highlighting all kinds of slender tea delicious, the four seasons of spring red jade, Daying Yingying Tieguanyin, Earl, is very powerful!Mojito also awakened the Cuban journey.Push!",False,0.115,0.0,0.885,0.6467
水果調酒跟shot超級好喝的~大推,Fruit alcohol and shot are super delicious ~ big push,False,0.487,0.0,0.513,0.8225
"#服務很好。這樣的印象想說在前頭。從一開始的LINE訂位到現場的整體服務感覺是舒服的，有趣的是在點餐時，女服務員沒有像認知的帶著點菜單或平板，朋友問：我這樣點妳記得？女服務員點頭笑著說可以的，一連串下來的菜名她一個不漏，正確的記下了👏
巷弄裡的三層樓小酒館，晚上七點半裡面座位幾乎全滿，微暗的燈光。愉快的交談聲，整體氣氛很適合周末的夜晚與朋友聚會。
同行的友人們點了很多食物，實在來不及一一拍照，但每道菜的味道都很好，至少沒有明顯的雷點，其中「蒜酥Prime牛小排手工麵」和下酒菜鴨肉很好吃，我們意猶未盡點了二次。酒的部份，點了「調情」，巨峰葡萄的口感很濃純，酒味不重，甜甜的微醺（邊喝才發現其他桌有好多人點了這杯酒）。友人之前來過，他點了「琴酒」，喝了一口感動的說，和以前的味道一樣好，喝完還再續了一杯。
這次同行還有個小學的學生，蔓越莓汁與炸薯條已完全擄獲她芳心，除了朋友聚會也是個可以與家人們共享慵懶放鬆時光的餐酒館。","#The service was excellent.Such an impression is to be said to be ahead.From the beginning of LINE booking to the overall service of the scene, it feels comfortable. Interestingly, when ordering, the female waiter did not bring a menu or tablet like a cognitive. Friends asked: I want to remember this?The female waiter nodded and smiled and said yes. She did not miss a series of dishes.
The three -story tavern in the alley, the seats were almost full at 7:30 in the evening, and the dark light was slightly full.A pleasant conversation, the overall atmosphere is very suitable for weekend nights to meet with friends.
Friends who have ordered a lot of foods are too late to take pictures one by one, but the taste of each dish is very good. At least there is no obvious lightning point. Eat, we still did not do it twice.The part of the wine ordered ""flirting"". The taste of Jufeng grapes is very pure, the wine taste is not heavy, and the sweetness is sweet (while drinking, I found that many people ordered this glass of wine).Friends have been here before, he ordered ""Qin Liquor"", and touched it. He said that he was as good as the previous taste. He continued another drink after drinking.
There is also a elementary school student in this peers. The cranberry juice and French fries have completely captured her heart. In addition to friends, she is also a restaurant that can share laziness and relax with family members.",False,0.198,0.01,0.792,0.9938
"今天再次來到心中最愛且排名第一的Bitters，但今天部分的餐點跟之前吃的差很多，很失望。
酒部分：
水果酒系列跟伯爵茶酒依舊非常有水準👍，很讚，但B&T跟之前的味道完全不同，詢問過後才得知原來裡面的某某酒（英文太長拼不出來😅）更換了，酒體味道、香氣跟之前落差太大，還是以前的好喝。
餐點：
雞肉燉飯很不錯，上面的雞肉非常嫩，大家都很喜歡。
牛小排方面，肥肉太多（真的非常非常多），感覺肉的部位沒有先仔細篩選，而生、熟度方面，前頭的很生，尾巴又太熟，可能是控溫沒控好。
炸魚條方面：魚條又小又少，還以為來了一盤純炸薯條😓，魚條部分可能只有4、5「小小」條。

希望下次再去的時候，餐跟酒都可以恢復原來的水準及味道💪💪💪💪💪","Today I came to my favorite and ranked first bitters again, but some meals today are much worse than before, and they are very disappointed.
Wine part:
The fruit wine series is still very standard with the count tea wine, which is very good, but B & T tastes completely different from the previous taste. After asking the question, I learned that the original wine in it (the English can not be spelled too long). The wine body is replaced. Taste and aroma are too gaplated with the previous gap, and it is still delicious before.
Meal:
Chicken stewed rice is very good. The chicken on it is very tender and everyone likes it.
In terms of Niu Xiaoling, there are too many fats (really very many). I feel that the part of the meat is not carefully selected first, but in terms of raw and maturity, the front is very raw, and the tail is too cooked. It may be that the temperature control is not controlled. Essence
In terms of fried fish bar: The fish bar is small and small, and thought that a plate of pure fried fries was here. The fish bar may only have 4 or 5 ""small"" strips.

I hope that when you go again, the meals and wine can restore the original level and taste 💪💪💪💪💪",False,0.122,0.044,0.835,0.9697
食物好吃，氣氛好，二、三樓陽台很美,"The food is delicious, the atmosphere is good, the balcony on the second and third floors is beautiful",False,0.412,0.0,0.588,0.8885
