Original,EN,Needs Review,Positive,Negative,Neutral,Compound
老闆人太好了..！很捨不得五星..！怕下次我來就客滿了..！🤣🤣 酒好喝 店內音樂好聽..！想一人獨飲也能靜靜獨飲，偶爾搭話聊天也能很隨心的聊..！謝謝shot..!,"The boss is so good ..!I can't bear five stars ...!I'm afraid I will be full next time ..!乐 乐 乐 🤣🤣 内 🤣🤣 🤣🤣 🤣🤣 🤣🤣 🤣🤣 ...!If you want to drink alone, you can drink it alone, and occasionally you can talk about chatting and chatting ..!Thank you shot ..!",False,0.336,0.029,0.635,0.9918
"餐點很多樣有小菜、炸物，首推薯條！

飲料品質如常，這次點Mojito、奇奇、冰奶茶、Vodka+7-up（還是最愛這款）

環境部分，很多座位，音樂風格也很讚，但偏大聲（下次會鼓起勇氣跟老闆反應的哈哈）

值得一再回訪","There are a lot of meals with side dishes and fried items.

The quality of the beverage is as usual.

The environment part, many seats, the music style is also very good, but it is loud (next time I will fight the courage to respond to the boss)

It is worth visiting again and again",False,0.139,0.054,0.808,0.6538
氣氛好，酒好喝，小菜好吃，老闆人又nice，一定會二訪的🤩🥳🥹,"The atmosphere is good, the wine is delicious, the side dishes are delicious, and the boss is nice, and the second visit will definitely visit",False,0.441,0.0,0.559,0.9413
"整體是舒服的酒吧
酒也夠冷
只是朋友喝的酒杯裡面有不知道甚麼東西
店員有問要不要換一杯，我們沒有換
直接點下一杯
排除這個問題，其他都很好","Overall is a comfortable bar
Wine is also cold enough
It's just that there is something in the wine glass that friends drink.
The clerk asked if he wanted to change a cup, we didn’t change it
Click the next cup directly
Excluding this problem, everything else is good",False,0.162,0.054,0.784,0.7331
"音樂非常大聲簡直噪音，講話都需要用吼的……＋1
鄉村復古裝潢棒👍可惜音樂太吵雜有點像夜店。噪音會讓人心煩意亂、無法休息、放鬆，有點可惜。否則會讓人想每天來💗
其實有去這種美國鄉村復古風的酒館～播放《美國鄉村民謠》氣氛真的會很棒👍 …","The music is very loud and noisy, and the speech needs to be shouted ... + 1
The rural retro decoration stick 惜 Unfortunately the music is too noisy and a bit like a nightclub.It is a pity that noise can be upset, unable to rest, and relax.Otherwise it will make people want to come every day
In fact, there are taverns in the retro style of American rural villages ~ Playing the atmosphere of ""American Village Village"" will really be great ...",False,0.105,0.115,0.78,0.0296
老闆人很讚 會喝醉都是因為他👍🏼👍🏼👍🏼,The boss is very commendable to get drunk because he is,False,0.0,0.194,0.806,-0.34
"從一樓其他店面上樓
生啤在晚上八點前買一送一
CP值挺高的酒吧
餐點比較少 但是都還算好吃 比較適合當下酒菜","Upstairs from other stores on the first floor
Buy one get one get one free before eight o'clock in the evening
Bar with a high CP value
The meals are relatively small but it's delicious and more suitable for the current wine and vegetables",False,0.178,0.0,0.822,0.836
"本來因為情傷來喝一杯，雖然過程中有許多眼淚，但沒想到最終一群人哈哈大笑的下樓回家。

「城市諮商所」這個名號不是假的！謝謝老闆的陪伴，讓我們破涕為笑。","Originally, I had a drink because of love. Although there were many tears in the process, I did not expect that a group of people laughed and went home with a laugh.

The name ""Urban Consultation"" is not fake!Thank you for your companionship, let us break the nose.",False,0.195,0.033,0.772,0.8805
酒吧其實很寬敞，還有兩層，有基本酒品和飲料，也很乾淨，炸物也可以不錯吃。調酒也不錯喝👍👍,The bar is actually very spacious. There are two floors. There are basic wines and beverages.Drink bartending 不,False,0.0,0.0,1.0,0.0
"平價、高CP值美味餐點。💕座位多、環境優、地點佳。可預訂奧地利手工麵包！🥰 🤩  小驚喜：每週一天免費算塔羅牌👍 （11：00-17：00，早午餐、午餐、下午茶）每逢週一休息。
45 Brunch Cafe~ 💕
Great food with inexpensive price.
Friendly & warm service.
Nice environment & location.","Affordable, high CP value delicious meals.There are many seats, excellent environment, and good place.You can book Austrian handmade bread!每 ： ： 🥰 🥰 🥰 一 ： 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 👍 👍 👍 👍 (11:00-17: 00, brunch, lunch, afternoon tea) rest every Monday.
45 brunch cafe ~ 💕
GREAT FOOD with Inexpensive Price.
Friendly & Warm Service.
Nice environment & local.",False,0.584,0.0,0.416,0.9991
cp值高 老闆人超熱情,CP value high boss is super enthusiastic,False,0.704,0.0,0.296,0.8591
調酒不錯，價位大多落在200元到300元之間，下酒菜則推薦他們的薯條和洋蔥圈，份量相當慷慨。整體而言值得推薦，和朋友喝酒聊天的好地方。,"The bartender is good. Most of the prices fall between 200 yuan and 300 yuan. Jiujiu is recommended for their fries and onion rings. The portion is quite generous.Overall, it is worth recommending, drinking and chatting with friends.",False,0.222,0.0,0.778,0.8271
"有看How I Met Your Mother的人
應該都很羨慕他們一夥人可以常常去MacLaren's瞎混吧
45就是這樣的一個地方
調酒就真的是不好喝
喝啤酒或是簡單的威可就好
但這個價位 又令人舒適放鬆的Irish Bar
真的不用太苛求~
想喝精緻的調酒你知道信義安和有很多
再找不到可以去一趟台南

從古亭中藥房搬走以後
心裡覺得超級可惜
很喜歡以前的空間
看到搬到公館以後
也提不起勁走進去
覺得肯定沒有之前的味道了
結果店家把原本的味道原汁原味的搬過來
空間甚至變寬敞
價格也沒有太明顯的調漲
覺得佛心
平日的happy hour也非常划算","Someone who watched how I met your mother
They should be envious of their group of people who can often go to Maclaren's blindly.
45 is such a place
I am really not good for bartending
Just drink beer or simple prestige
But this price is comfortable and relaxed. Irish Bar
Don't really need to be too demanding ~
If you want to drink exquisite bartending, you know that Xinyi'an and there are a lot
If you can't find it again, you can go to Tainan

After moving from the ancient pavilion Chinese medicine room
I think it's a pity in my heart
I really like the previous space
After seeing moving to the mansion
I can't mention it hard to walk in
I feel that there is definitely no previous taste
As a result, the store moved the original taste of the original flavor
Space even becomes spacious
The price is not too obviously increased
I feel Buddhism
HAPPY HOUR on weekdays is also very cost -effective",False,0.201,0.066,0.733,0.9858
