Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"朋友推薦的餐廳
位置不多 需要預定

燉飯真的好吃！不是台式那種軟爛的米，是義式米心微硬（？）的口感，當天點的兩樣都很讚！味道都相當濃郁，三個人分著吃一下就搶完了，鴨肉也很軟嫩多汁，沒有腥味。
但是做意外的餐點是娃娃菜，沒想過看起來很普的菜可以這麼好吃，多汁又帶著炙燒的獨有的香氣，好像有撒糖？非常驚艷的一道。 好好粗ㄛ🙂‍↕️

紅椒豬偏辣，不嗜辣的朋友不要小看，我看我朋友吃得津津有味的，但我被辣到了狂喝水，沒能好好品嚐它的美。 蒜蝦也好吃，有撥殼了很讚，不過跟能吃到的份量相比下來會覺得貴了些，CP比較低，可以當成不撥蝦的懶惰費。
義大利麵我覺得有點偏軟，吃起來有點像炒油麵，配上鹹豬肉味道比較重，容易吃膩。
松露薯條的醬是現煮的，也是有點偏鹹，薯條分量較小，一下就搶光光ㄌ。
這間店的酒都很好喝！也算有特色
酒感都不會很重 愛喝妹酒的可以放心

此行遺珠是沒點到甜點 下次再來

廁所非常乾淨且寬敞😎
算是適合約會也適合少數朋友聚會的店","Recommended restaurants recommended by friends
There is not much position to reservation

Stew rice is really delicious!It is not the soft and rotten rice, it is the taste of the Italian rice heart slightly (?), The two of them are very good!The taste is quite strong. The three people were grabbed after eating them. The duck meat was very soft and juicy, without fishy smell.
But the accidental meal is a baby dish. I never thought that the dishes that looked very universal could be so delicious. They were juicy and with the unique aroma of burning. It seemed to have sugar?Very amazing.Good rough ㄛ🙂‍↕ ️

Red pepper pigs are spicy. Friends who are not spicy should not underestimate. I think my friend eats and tasteful, but I was spicy to drink water and I couldn't taste its beauty.The garlic shrimp is also delicious, and it is very good to have the shell, but it will feel more expensive compared with the amount of portion that can be eaten. The CP is relatively low, and it can be used as a lazy cost of not dialing shrimp.
I think it is a bit soft, and it tastes a bit like fried noodles. It tastes heavy with salted pork and is easy to eat.
The sauce of truffle potato strips is cooked, and it is a bit salty.
The wine in this shop is delicious!It is also distinctive
I do n’t feel very much like to drink girls. I can rest assured

There is no order to this trip to the dessert next time I will come again next time

The toilet is very clean and spacious
It is a shop suitable for dating and suitable for a small number of friends",False,0.186,0.035,0.779,0.995
"接近捷運古亭站六號出口，步行6到8分鐘。食材新鮮，東西口味偏重，但蠻好吃，料理蠻用心，食物價格略高，但尚可接受。

調酒就稍嫌普通，就喝起來很像一加一，層次感略為淡薄，酒感處理的不太細緻，酒類層次備品很大眾，偏普。挑選的house 紅白也稍稍無聊，特色不太高，但紅白酒價格不會太誇張。

但廚房看起來很爽👍","Close to the exit of No. 6 of the MRT Guting Station, walk for 6 to 8 minutes.The ingredients are fresh and the taste of the things is very delicious, but it is quite delicious.

The bartending is slightly ordinary. It is very like one -added. The layers are slightly weak. The wine feel is not very detailed.The selected house red and white is also slightly boring, and the characteristics are not too high, but the price of red and white wine is not too exaggerated.

But the kitchen looks very refreshing",False,0.14,0.056,0.804,0.8338
"小酒館,極低調的門面,進去後有吧台座和靠牆的座位,店裡裝潢氛圍-暗色調風格.
廚房採開放式,客人直接看到主廚處理各項餐點.
主廚和可愛的服務員妹妹都很親切.

餐點食材品質都很好. 料理水準不低.
椒麻花菜松阪豬,裡面所有的食材和調味香氣,口味及口感的料理和搭配設計都很完美,第一次吃到這樣的組合,有驚豔到.
台式濃湯倒不特別覺得是絲瓜,比較像是蔬菜,喝得到蛤蜊的鮮甜味,喝起來口感類似西式的南瓜濃湯,味道香濃.
脆煎牛小排外皮真的有微焦脆,內嫩,火候控制的非常好.
紅酒燉牛肉,牛肋條極軟嫩,風味完全的吸收進去,搭配的蒜香烤麵包也烘烤的超香酥,外酥內Q,醬汁和肉都充滿紅酒香氣.

調酒都是主廚自己設計,都蠻特殊的口味,個人酒量較差,所以覺得酒精濃度不低.

提拉米蘇,算創意式,酒香濃重,不錯~

餐點都蠻好吃的,調酒建議和主廚討論自己喜歡的風味.
整體來說,低消為:一個時段/每人120分鐘/一杯飲品.
這次三人用餐近新台幣5200.
價格較高,大家就自行斟酌.","Small tavern, extremely low-key facade, after entering, there are bar seats and seats against the wall. The decoration atmosphere in the shop-dark tone style.
The kitchen is open, and the guests directly see the chef's processing of various meals.
Chefs and cute waiter sisters are very kind.

The quality of the ingredients is very good. The standard of cooking is not low.
Jiao Ji cauliflower pine pigs, all the ingredients and flavor aroma in it, the taste and taste of taste and taste are perfect. For the first time, I ate such a combination. It was amazing.
The desktop soup does not think it is loofah, which is more like vegetables. It can drink the sweetness of the clams. It tastes like Western pumpkin soup, which has a strong flavor.
The crispy beef's small row of the outer skin is really slightly crispy, tender inner, and the heat control is very good.
Red wine stew beef, beef ribs is soft and tender, and the flavor is completely absorbed. The matched garlic grilled bread is also roasted super crispy, outer crispy inner Q, sauce and meat are full of red wine aroma.

The bartending is designed by the chef's own. It has a special taste. The personal wine is poor, so I feel that the concentration of alcohol is not low.

Tiramisu, creative, strong incense, good ~

The meals are pretty delicious. I recommend the bartending suggestion and the chef to discuss the flavor of their favorite.
Overall, low disappearance is: a period of time/120 minutes per person/a cup of drink.
This time, the three meals were nearly NT $ 5200.
If the price is higher, everyone will consider it by themselves.",False,0.187,0.023,0.789,0.9944
"燉飯超⋯好⋯吃⋯
本來是看朋友來吃，好奇也預約了一攤來吃，結果超級優秀！老闆也很客氣，如果有少人的約會一定會推薦！","Stew rice is super ... eat ...
Originally, I saw friends who came to eat, and I was curious to make an appointment to eat, but it was super good!The boss is also very polite. If there are few people's date, it will be recommended!",False,0.263,0.0,0.737,0.9229
"愛透！
食物對的起它的價格
歌單多元
忘了拍調酒🤣 但⋯ 荔枝紫蘇/葡萄軟糖/西西里咖啡👍
放心的來吧！","Love!
The price of food is right
Diversified songs
Forgot to shoot alcohol ⋯ but lychee perilogi/grape soft glucose/Sicily coffee 👍
Come on!",False,0.118,0.063,0.818,0.3578
店面不大，沒辦法容納太多人，但餐點很好吃，調酒也好喝。,"The store is not large, there is no way to accommodate too many people, but the meal is delicious and the bartending is also delicious.",False,0.3,0.047,0.653,0.8885
"這是一家被調酒耽誤的西餐廳
調酒有特色又好喝，餐點非常好吃
超級適合約會的好地點","This is a western restaurant delayed by bartender
The bartender is characteristic and delicious, the meal is very delicious
Super place for dating",False,0.362,0.058,0.58,0.8995
"二訪也好吃
喜歡一切青醬系列
老闆少喝點 保重身體哈哈哈","The second visit is also delicious
Like all green sauce series
The boss drinks less and take care of your body hahaha",False,0.414,0.0,0.586,0.9142
老闆很會做菜，氣氛十分有十分，客人們也互相都很熱情，一定會再去一次,"The boss is very good at cooking, the atmosphere is very good, and the guests are very enthusiastic, and they will definitely go again",False,0.386,0.0,0.614,0.9114
如果你跟我說你能找到別間酒吧的料理比這間好吃，我永遠會覺得你在騙人,"If you told me that you can find the dishes of other bars than this, I will always feel that you are deceiving",False,0.0,0.098,0.902,-0.34
"節瓜必點
當天還吃了松露白, 九層青以及椒麻紅, 都非常好吃/有特色
松露白的鴨胸是我這輩子吃過最好吃的了
另外很加分的是有無酒精紅白酒, 讓戒酒已久的我可以回味喝酒的滋味","Mourn melon must be ordered
I also ate truffle white, nine layers of green, and pepper red, all of which are very delicious/distinctive
Tulu white duck breasts are the best I have eaten in my life
In addition, there is a bonus is whether there is a wine -oriented red liquor.",False,0.132,0.048,0.821,0.7096
"味道好 羊排需要提前預定
值得推薦好友來這裡聚餐或約會","The taste of good lamb chops needs to be booked in advance
It is worth recommending friends to come here for dinner or date",False,0.273,0.0,0.727,0.7845
"超級驚艷
松露白燉飯：口感味道用很多巧思，老闆（？）還偷偷揭露了隱藏在飯中脆脆的秘密㊙️，好奇的自己快去找老闆吃
第二名🥈限定版冰淇淋
又忘了確切名稱，只是剛好最近老闆創造的新點心，只能說好吃😋老闆您可以放在固定點心上了

調酒還沒點到杏仁茶，所以下次來吃燉飯再順便點一下","Super stunning
Tulu white stewed rice: The taste tastes a lot of ingenuity, the boss (?) Also secretly revealed the crispy secret hidden in the rice ㊙️, curious to find the boss to eat
The second place 版 limited edition ice cream
I forgot the exact name, but just the new snacks created by the boss recently, you can only say that the delicious boss you can put it on the fixed snack

I haven't ordered the almond tea yet, so I come next time to eat stewed rice and order it by the way",False,0.127,0.014,0.859,0.9001
"本來點得很保守，吃了第一道燉飯以後開始狂看單點有什麼，烤櫛瓜和娃娃菜真滴是被驚艷到！！！
燉飯味道濃郁，口感是我超愛的那種把米芯煮透又不會太軟爛的剛剛好
提拉米蘇很幸運點到最後一份，也好吃
調酒都超讚😍 要濃要淡都可以跟他們說
本來看到店內規則偏多微害怕，但其實氣氛滿chill的，店員動作很快，也都是順風耳，我們在討論要點什麼酒的時候，很快就來問口味😆 一定會回訪♡
PS，老闆註冊的公司名稱超級逗","Originally how to be very conservative, eat the first stew meal in the future began to look at the single order what point, roasted guava and doll cabbage real drip is amazing!!!
The stewed rice tasted rich, the taste I was super loved. The rice was cooked through and not too soft. It was just right
Tiramisu is very lucky to the last part, and it is delicious
Barks are super praise 😍 To be strong to be light can tell the things
Originally saw the rules of the shop is more afraid of, but in fact, the atmosphere is full, the clerk moves quickly, and is also surfing the wind ears
PS, the boss registered the company name is superb",False,0.207,0.0,0.793,0.9786
"吃飽想說去喝杯酒🍷
但餐點看起來很好吃 所以點了蒜炒蝦🦐跟娃娃菜 都很香很好吃～～下次想試試主餐！

調酒跟老闆說想要百香果、蜂蜜、茶酒的調酒，調出來也超好喝🥹

老闆要開二店了！希望生意興隆㊗️","I want to drink a glass of wine 说 说 说 说 说 说 说 说
But the meal looks delicious, so I ordered garlic fried shrimp and dolls. It is very delicious ~~ I want to try the main meal next time!

Bart -up and boss told the boss to bartender, honey, tea and wine.

The boss is about to open the second shop!Hope business is booming 隆️",False,0.174,0.0,0.826,0.929
"古亭捷運站附近的小餐館，店內的餐點好吃，有不同的調酒跟紅白酒可以選擇，氣氛也很好，是可以舒服聊天的地方。店內的空間不大，比較適合兩個人一起來，不建議多人聚餐。
可以直接線上預約很方便，刷卡付現都沒問題，還有年輕有為的老闆會來聊天，不知道要去哪裡喝酒聊天的可以來試試。","The small restaurants near the Guting MRT station have delicious meals in the store. There are different bartending and red liquor to choose from. The atmosphere is also very good. It is a place where you can chat comfortably.The space in the store is not large, and it is more suitable for two people to come together. It is not recommended to have a meal for multiple people.
It is convenient to make an appointment online. There is no problem with swiping cards. Young and young bosses will come to chat. I do n’t know where to drink and chat.",False,0.086,0.015,0.899,0.8205
"【一間充滿驚喜又讓人不小心入迷的店】
店內位置偏窄，喜歡寬敞空間的真的要三思，但你就會錯過一間好店。

來店前詳閱了店內規範，被老闆無厘頭幽默式敘述搞的更加期待，鉅細靡遺的文字一大串看完，紮實感受到老闆的用心。

焦慮壓抑放鬆難（松露白醬鴨胸燉飯）
吃第一口燉飯就哭了，大概像一個禮拜沒吃東西終於吃的食物的那種的救贖感，超級好吃調味平衡的恰到好處，鴨胸的肉質也是剛剛好的多汁Q彈。

辣盡成灰淚始乾（麻辣松阪豬義大利麵）
味道相當多層次的一道，大概有十層，先吃到蕃茄紅醬的酸甜，中味竄出椒麻辣感，最後又出現溫和的香料味把這一切都包容在一起，而松阪豬在裡面是最佳配角。

店內低消一人一杯飲料
這裡的調酒好喝到我點了四杯

茉莉香片/桂花烏龍/冬瓜檸檬/英倫伯爵
身為茶酒愛好者，每一杯都喝的有夠開心，比起台北某些酒吧的酒一樣400一杯，這裡的好大杯好喜歡，酒感還給的誠意十足。

即使坐在遠遠的牆邊，老闆及店員總是能在第一時間感受到你求助的眼神，完全不用擔心自己會被冷落。

最後激推店內歌單，實在太喜歡了💛
無意義是一間只要你頻率對了，氣場合拍就會想一去再去的隱藏小店。

（同桌友人又立刻訂了下一次）","[A shop full of surprises and accidental fascination]
The location of the store is narrow. Those who like spacious space really need to think twice, but you will miss a good shop.

I read the specifications in the store before coming to the store. The boss's nonsense humorous narrative was more expected. After reading a large string of fine texts, I felt the boss's intentions solidly.

Anxiety and depression of loosening (truffle white sauce duck breast stewed rice)
I cried after eating the first sip of stew, probably like the kind of redemption of the food that I finally eaten in a week. The super delicious and seasoning balance is just right.

Spicy into gray tears and dryness (spicy Matsusaka pig pasta)
The taste is quite layered, there are about ten layers. First, eat the sweetness of tomato red sauce, the spicy flavor of the Chinese flavor, and finally a mild spice to include it all together. Best supporting role.

Low the store in the store, one person, a drink
The bartender here is so delicious that I ordered four cups

Jasmine Fragrant Fragrant Fragrant Fragrance/Osmanthus Blossom/Winter Melon Lemon/Earl of British
As a tea lover, every cup is happy enough. Compared with the wine in some bars in Taipei, 400 cups are like the wine. The big cup here likes it.

Even if you sit by the far wall, the boss and the clerk can always feel your asks for help in the first time, and you don't have to worry about it.

Finally, I push the song list in the store, I really like it too much 💛
It is meaningless. As long as your frequency is right, the aura will want to go to a hidden shop again.

(Friends at the same table immediately booked the next time)",False,0.23,0.068,0.703,0.9968
"香菜青/紅酒燉牛肉/煎櫛瓜
每道菜都很令人驚艷，尤其是香菜青，我們一致覺得好吃又有創意

調酒我點了蜜桃烏龍，雖然老闆說偏甜，但我覺得很剛好，相較朋友點的，酒感不會太重，很適合女生

那天吃完大家都覺得菜色很特別又很好吃，連普通的煎櫛瓜都有走出自己的路線，氣氛和服務都很好，像老闆自己FB寫的適合2-3位的聚會聊天，會想再來的地方","Coriander green/red wine stewed beef/fried melon
Each dish is amazing, especially coriander green, we agree that it is delicious and creative

I ordered the peach oolong. Although the boss said it was sweet, I thought it was just right. Compared with friends, the wine would not be too heavy. It is very suitable for girls.

After eating that day, everyone felt that the dishes were particularly delicious and delicious. Even ordinary fried melon had their own routes. The atmosphere and services were very good. Where you want to come back",False,0.282,0.0,0.718,0.9841
"意外發現的餐酒館，大門很隱密，店面裡面以吧台跟兩人座為主，位置不算多，建議來之前要訂位呦～
老闆年輕幽默風趣超有才，一個人供餐、調酒加陪聊（？菜單一個月可能會換一次，餐名都是老闆超級精心策劃的，餐廳名稱雖然叫無意義，但是餐點名稱都很有意義！
台灣在地食材蹦出義式料理，尤其是義大利麵的鴨胸肉跟燉飯的蛋白霜，真的很驚艷😋調酒沒有酒單，交給老闆自由發揮，也是沒有失望，很棒的用餐體驗☺️五星評論刷起來👍👍
-
二訪沒有遇到老闆，稍微少了當初的感動🥹不過菜單變成網頁上直接看，還可以查餐廳現在播的歌曲，感受到老闆的貼心，重點是餐點一樣很好吃！！","The restaurant that was discovered unexpectedly was very secretive. The shop was mainly based on the bar and two people in the store. There were not many locations. It is recommended to book a place before coming.
The boss is young and humorous, super talented, and a person for meals, bartending and chatting (? The menu may be changed once a month, and the name of the meal is super carefully planned. Although the restaurant name is meaningless, the name of the meals is all Very meaningful!
Taiwan's ingredients popped out of Vanguistic dishes, especially the egg creams of the duck breasts and stewed rice -stewed rice noodles. It is really amazing. Meal experience ☺️ Five -star comments brush up 👍👍
-
I did n’t meet the boss in the second visit. I was a little less touched. But the menu became directly watching the webpage. You can also check the songs broadcasting the restaurant now. You can feel the intimateness of the boss. The focus is that the meal is as delicious!Intersection",False,0.098,0.01,0.891,0.9096
餐點都很好吃，調酒也都不會苦（酸甜百香果、荔枝紫蘇）～優優優👍🏻老闆也很客氣～～～剛好口味有合，會再訪～,"The meals are delicious, and the bartending will not be bitter (sweet and sweet passion fruit, lychee azu) ~ Youyou Youyao boss is also very polite ~~~ Just happen to have a good taste, and you will visit again ~",False,0.29,0.048,0.661,0.9091
