Original,EN,Needs Review
"當天和朋友在平日晚上11點以後入場，暢飲價還打折超划算。
各種酒類、無酒精都用力點起來，酒精味很夠讚👍推一個
有桌遊、射飛鏢、運動轉播大螢幕，氣氛歡樂，很適合來認識新朋友、迎新⋯
可惜餐點美中不足只有炸薯條，但是可以自己叫吳柏毅或其他外送餐點來吃。
下次要跟朋友再來喝飽飽🤣🤣","On the same day, I entered the venue after 11 pm on weekdays, and the discount on the smooth drinking price was super cost -effective.
All kinds of alcohol and alcohol have been used for strength. The taste of alcohol is enough to push one
There are board games, darts, and sports broadcast big screens. The atmosphere is happy. It is very suitable to meet new friends and welcome the new ...
Unfortunately, there are only French fries in the meal, but you can call Wu Baiyi or other food delivery sites to eat.
Next time, I will have a full drink with my friends 🤣🤣",False
"年輕老闆很有趣，有空時會與我朋友們同樂玩飛鏢，技術深藏不漏😂
店內設備有乒乓桌檯，只要開台還有神秘活動（詳情請詢問老闆當下活動），朋友們是玩得不亦樂乎，雖然我們屬於商務人士，但是是我們會再回訪聚會的店。（列入公館愛店）
---
也感謝帥老闆幫忙在凌晨時刻幫外地人的我呼叫小黃～服務💯滿分❤️

---
店內環境乾淨舒適，想看球賽還有大螢幕。","The young boss is very interesting. When you have time, you will play darts with my friends, and the technology will be hidden.
There are ping -pong tables in the store. As long as there are mysterious activities (please ask the boss's current activities), friends are happy. Although we belong to business people, it is the shop where we will return to the party.(Intellectual store in the Mansion)
---
I also thank the handsome boss for helping me to help foreigners in the early morning.

---
The environment in the store is clean and comfortable, and there are big screens in the game.",False
去過幾十家餐酒館這家目前還是第一名欸 炸物不油很下酒，調酒都超炫砲，重點不像其他家都偏飲料，這家酒感比較重喝很爽，重點還可以打標跟其他遊戲，聚會活動超推這家,"I have been to dozens of dining taverns. At present, the first fried fried object is not oily, and the bartending is super dazzling. The focus is not like other homes. You can also label to follow other games.",False
"2023.10

包場慶生，服務人員態度都蠻好的，酒水飲料餐點也出很快，也有不少娛樂設施，很棒的場地！

惟整體收費與提供之餐飲不相稱，價錢與食物的品質落差甚鉅，供未來想包場的客人參考。","2023.10

The service staff has a good attitude, and the meals of drinks and drinks are also very good. There are also many entertainment facilities, great venues!

However, the overall charges are not commensurate with the catering provided. The price and the quality of the food are huge, and the guests who want to contract the market in the future.",False
聚會聊天好場所！老闆跟調酒師很幽默！,Good place for party chat!The boss and the bartender are very humorous!,False
"4/3
調酒師很帥 當天服務的女店員也很親切❤️
還有招待酒&當月壽星的香檳🍾
喝得很多酒👍希望下次來有東西可以吃🤣","4/3
The bartender is very handsome, the female clerk served the day is also very kind ❤️
And entertaining wine & Shouxing's champagne 🍾
Drink a lot of wine 👍 I hope there is something to eat next time.",False
"《更》看了您的評論 想詢問一下 在我們的對話中 請問第四點 《我要去告你、檢舉之類的》請問是否屬實呢 請好好回想 本人只是說 消費者保護法中這應該是消費者的保障 上句疑似威脅性的言論 是否屬實 恕難接受 若是惡意評論 餐點就不會說好吃了 另外在談話過程 請問是誰在談話中一直說 只是討論 不用大聲說好好講 若是挑釁 何來之說？ 但餐點真的很好吃 重點在於標示卷應影印清楚而非是由他人轉述
原本是愛店 結果這次的消費感受極差
領到優惠卷 開開心心的前來消費 結果結帳的時候被告知這是舊版的 現在有消費金額的前提，消費者要自行詢問？？就事論事與老闆和調酒師討論 對我而言我是在這消費 我在這有消費糾紛 不懂的為什麼要推卸責任 另外調酒師真的態度很差 食物酒都不錯 給了五星 但那態度真的不敢恭維 希冀未來所有貴店的優惠卷都要標示清楚","""Yu"" reads your comments. I want to ask in our conversation. In our conversation, I would like to ask if I want to sue you, report or the like. ""Is it true? Is the consumer's guarantee that the suspected threatening statement of the previous sentence is really forgiven if it is difficult to accept it. If the meal is a malicious comment, it will not be delicious. In addition, who is in the conversation? I have always said in the conversation. Come on?But the meal is really delicious. The focus is on the sign of the signing of the volume.
Originally it was the result of the love shop. This time the consumption experience is extremely poor
When the discount volume is happy, when the consumption results are coming to check out, this is the prerequisite for the old version of the consumption amount. Consumers should ask by themselves?IntersectionDiscuss with the boss and the bartender for me in terms of the matter. I am here to consume. I do n’t understand. Why do n’t you know the responsibility of the bartender. I dare not compliment the preferential volumes of all the expensive stores in the future must be clearly marked",False
"今天平日晚上8點半
服務費要一成10%
夏娃的誘惑 檸檬跟蘋果結合 喝起來酸酸的第一口有植物感 微苦 是小清新的飲品！後勁很強酒精味很重
蜜桃成熟時：第一口直接榮獲第一名 莓果甜甜的很順口 喝起來很舒服 嘴裡散發清香
閨蜜：上層玫瑰花瓣超漂亮！喝起來莓果香甜甜的 女生應該都會喜歡吧🥹超好喝的
優格優格 清甜的優格奶昔！微酒味
提拉米蘇：店員說有90%的還原度 上層的奶泡和可可粉很溫順 下層喝起來偏辣不是那麼順
摸摸茶：很清香的金桔檸檬味 好喝！
綠帽子：酸酸的 很清香但酒精味蠻重的
炸物任選5樣399 我們選不要薯條 雞柳條兩份 還有炸豆腐 雞米花 雞柳條 脆皮雞塊等等
豆腐屬於脆但不是酥的那種 加柴魚粉很香 想到章魚燒的味道
披薩點了夏威夷和總匯口味 起司+20
要吃一定要提前點不然現烤要等一陣子！
餅皮是比較厚比較鬆軟的那種 總匯比較鹹
不管是撲克牌 骰盅遊戲還是桌遊都很適合來這
當月壽星還有送調酒 超酷的杯杯+乾冰
喝起來像氣泡飲😝","Today today, 8:30 pm today
The service fee is 10% 10%
Eve's temptation lemon and apple combined with the first bite of sour is the slightly fresh drink!The stamina is very strong alcoholic taste and heavy taste
When the peach mature: the first bite was directly awarded the first berry, sweet and smooth.
Girlfriend: The upper rose petals are super beautiful!Girls who drink berries and sweets should like it.
Yogurt Gegely Gegate!Micro -wine flavor
Tiramisu: The clerk said that 90%of the reducing upper layer of milk foam and cocoa powder is very darker and the lower layer is not so smooth.
Touch the tea: The delicious kumquat lemon flavor is delicious!
Green hat: sour is very fragrant but alcohol is quite heavy
Select 5 -like fried objects 399 We choose not to fries, chicken willow strips, and fried tofu chicken rice, chicken willow bars, crispy chicken nuggets, etc.
Tofu is crispy but not crispy, the kind of flavored flavor is very fragrant.
Pizza ordered Hawaii and Tonghui flavor cheese +20
Be sure to eat it in advance, otherwise you have to wait for a while!
The cake is thicker and soft, the always remittance is relatively salty
Whether it is a poker dice cup game or a board game, it is very suitable for coming here
In the month, Shouxing also had a cool cup+dry ice
Drink like a bubble 气 气 气 气 气",False
暢飲價錢合理，但我們2300後到廚房已關沒有餐點可點。環境上老實說非常骯髒，廁所流理臺發霉到黑也不處理，應該不會再來第二次了。,"The price of drinking is reasonable, but after 2300, we have no meals at the kitchen.In the environment, it is very dirty. The toilet mildew is moldy and black is not handled. It should not come again for the second time.",False
"環境舒適乾淨
可自帶外食
適合朋友一起聊天小酌","Clean and clean environment
You can bring your own food
Suitable for friends to chat together",False
"酒類超多 店員說有上百種
也很有創意 尤其是壽星還有送酒的部分 只是酒瓶形狀如果是女生喝會滿尷尬的哈哈
第一次來酒吧喝調酒 整體氛圍印象還不錯","There are many wine clerks who say there are hundreds of kinds
It is also very creative, especially Shouxing and the part of the wine delivery is just the shape of the bottle. If it is a girl, it will be embarrassing. Haha
The first time I came to the bar to drink alcohol, the overall atmosphere was not bad",False
