Original,EN,Needs Review
"環境很像台南的氛圍
飛超可愛～尤其還有二樓小空間！
有獨立空間可以和朋友相聚真的很棒！

酒都很好喝！

喜歡：
▪️Ruby Negroni

常態型：

還有喝Amber street
很像甜點蠻好喝ㄉ！","The environment is very similar to Tainan's atmosphere
Flying super cute ~ especially small space on the second floor!
It is great to have independent space with friends!

The wine is delicious!

like:
▪️Ruby Negroni

Normal type:

And drink Amber Street
Very like desserts, it's so delicious!",False
"很想再訪的酒吧，有好的音樂品味。很想坐樓上有投影機的房間，感覺很舒服。

Bartender都很好友善，但女店員很不耐煩，可能很忙（？）飲品好喝，我這個茶cocktail的泡沫打得很厚～最好提前預約","I really want to visit the bar, have good music taste.I really want to take a room with a projector upstairs, and it feels very comfortable.

Bartender is very friendly, but the female clerk is very impatient, and it may be very busy (?) The drink is delicious. My tea cocktail foam is very thick ~ It is best to make an appointment in advance",False
挑高的空間給人很舒適的感覺，是酒吧少有的，氣氛、音樂給人一種愜意的氛圍，鴨腿非常出色，基本上是厲害餐廳等級，調酒也很精緻，層次豐富，會想二訪,"The tall space gives people a very comfortable feeling. It is rare in the bar. The atmosphere and music give people a pleasant atmosphere. The duck legs are very good. Basically, the level of the restaurant is very delicate. Want to visit",False
"點了三杯; 都很喜歡

老闆招待的
- 氣炸鱈魚香絲
- 琴酒梅酒
讓我印象深刻

店裡面的選歌很喜歡
(忍不住一直用 google 找歌...)
兩顆巨大音箱 感覺很厲害

""老闆 / 店員""都很專業+親切

很舒服的店
偶爾想喝一杯會再來 🙏","I ordered three cups; I like it very much

Boss entertainment
-Forf fried cod flavor
-Qinjiu plum wine
Make me impressed

I like song selection in the shop very much
(I can't help but use Google to find a song ...)
Two huge speakers feel very powerful

""Boss / Storer"" is very professional+kind

Very comfortable shop
Occasionally I want to drink a drink and will come again",False
"在這實在太棒太美了
裝潢也好氛圍也好
加上有專業的調酒師
真的愛到不行

分別點了”摩登女孩淡香水”跟”蜜與奶”
都很有味道跟特色
配上店內的音樂
整個放鬆到不行

最後
跟可樂來個合照
非常感謝🙏
這裏我好喜歡
下一次一定再來","It's great and beautiful here
The decoration is good or the atmosphere is good
Plus a professional bartender
I really love it

Ordered ""Modern Girl Light Percerament"" and ""Honey and Milk""
They are all tasteful and characteristic
With the music in the store
The whole relaxation is not possible

at last
Take a photo with Coca -Cola
Thank you very much
I like it here so much
Must come again next time",False
超級舒服的空間，沙發區真的必推!!最推薦點法式油封鴨腿，鴨皮酥脆可口，而內裡的肉質則軟嫩到能夠輕易用叉子撥開，沒想到在這裡也能吃到高級餐廳的料理~,"In the super comfortable space, the sofa area will really push !! The most recommended French oil -seal duck legs, the duck skin is crispy and delicious, while the meat inside is soft and tender enough to easily remove it with a fork. Restaurant's cuisine ~",False
"Here I am, finally!

走進HI NE NI，我立刻被其摩登復古的氛圍所吸引。無論選擇坐在挑高的空間或特色的包廂，只要手中有杯精心調製的雞尾酒，工作一天的疲勞立刻煙消雲散。

Negroni這款經典的意大利開胃調酒在此得到了新生，搭配濃郁鮮甜的慢燉洋蔥湯可謂相得益彰。

Hi-Pop Sour很值得酒客嚐鮮，各派茶酒匠心獨具，在這我體會到了琴酒尾韻與抹茶香回甘的平衡，再嚐一口油封鴨腿特別爽口。

我以Milk & Honey作結，嘴饞來點玉米片，香氣層次豐富又別具存在感，結完帳也能回味再三。","Here I am, finally!

Entering Hi Ne Ni, I was immediately attracted by its modern retro atmosphere.Regardless of whether to sit in a high space or characteristic box, as long as you have a cup of cocktails carefully prepared in your hands, the fatigue of work will disappear immediately.

Negroni's classic Italian appetizer and bartender have been new here. With the rich and sweet slow -stewed onion soup, it can be described as complementary.

The Hi-Pop Sour is worthy of drinking. Each tea wine is unique. Here I have experienced the balance between the tail rhyme and the matcha fragrance back.

I made Milk & Honey, and my mouth was some corn slices. The aroma level was rich and unique.",False
"HI NE NI酒吧是我最近發現的一個真正令人印象深刻的地方。它的空間環境絕對令人驚艷。從你踏進這家酒吧的那一刻起，你就會感受到一種獨特的氛圍。酒吧的設計充滿了現代感和藝術感，融合了木質元素和金屬細節，營造出一種極具吸引力的氛圍。無論你喜歡坐在吧台邊品味美酒，還是在舒適的沙發上放鬆身心，這裡都能滿足你的需要。

此外，HI NE NI酒吧的氛圍也是其獨特之處。音樂輕快而時尚，但不會過於吵雜，讓你可以與朋友們暢所欲言，同時也能感受到一種放鬆的氛圍。員工服務也非常出色，他們總是以微笑和熱情的態度迎接客人，讓你感受到家的溫暖。

總的來說，HI NE NI酒吧給人的印象是一個非常值得一遊的地方。它的空間環境和氛圍絕對會讓你流連忘返，無論是與朋友一起度過愉快的時光，還是獨自來此放鬆，都會讓你感受到一種獨特的魅力。","The Hi Ne Ni bar is a truly impressive place I have recently discovered.Its space environment is absolutely amazing.From the moment you step into this bar, you will feel a unique atmosphere.The design of the bar is full of modernity and artistic sense, combining wooden elements and metal details, creating a very attractive atmosphere.Whether you like to sit on the bar on the bar, or relax your body and mind on a comfortable sofa, you can meet your needs here.

In addition, the atmosphere of the Hi Ne Ni bar is also unique.The music is brisk and fashionable, but it will not be too noisy, so that you can speak with your friends, and at the same time you can feel a relaxed atmosphere.The employee service is also very good. They always meet the guests with a smile and enthusiasm, so that you can feel the warmth of the home.

Overall, the Hi Ne Ni bar gives people a very worthwhile place.Its space environment and atmosphere will definitely make you linger. Whether you have a pleasant time with your friends or relaxing here alone, you will feel a unique charm.",False
整體環境非常的舒適，氛圍很好適合約會或是自己來喝酒。酒非常的有水準，食物選擇不算多但都滿好吃的。bartender友善可以多聊天，店內空間不大但是很溫馨。,"The overall environment is very comfortable, the atmosphere is very good suitable for dating or drinking by yourself.The wine is very standard, and the food choices are not much but delicious.Bartender is friendly to chat more. The space in the store is not large but very warm.",False
"可樂的調酒都是酒（意思是,都是酒加酒🤭
酒精拉滿超酒超好喝的啦，店裡的音響效果也很棒，就算一個人下班後去聽著音樂小酌一杯也是超棒的，大❤️ 推👍🏻
還有時時更新又創意十足的酒單，尤其適合喜歡驚喜的飲酒人，會忍不住一直去一直去一直去⋯⋯😂","Cola's bartending is wine (meaning, all wine and wine 🤭 🤭 🤭 🤭 🤭
The alcohol is full of super wine, and the sound effect in the store is also great. Even if a person goes to get off work, it is great to listen to a music drink.
Sometimes updated and creative wine lists, especially suitable for drinking people who like surprises, I can’t help but go all the way to go all the way to go.",False
