Original,EN,Needs Review
"老闆非常親切，介紹的非常詳細
店內裝潢非常有氣氛，每個角落感覺都不一樣，好喜歡復古感！
餐點都好好吃，甜點也好棒，
主要點啤酒的時候，老闆會詢問你的喜好幫選酒，真的好貼心。","The boss is very kind, and the introduction is very detailed
The interior decoration of the store is very atmospheric, and every corner feels different. I really like retro!
The meals are delicious, and the desserts are also great.
When the main order is beer, the boss will ask your preferences to help choose wine, which is really intimate.",False
"隱身在二樓的不限時複合式咖啡廳🍴
有鹹食·甜點·咖啡·還有調酒&精品釀啤酒🍻😍
.
｜當天點的品項｜
▪️焗烤鮪魚軟法佐莎莎醬
▪️酥炸花枝
▪️午茶組合(巴斯克起司蛋糕·焦糖奶酪·香草巧克力冰沙）
▪️廷曼斯覆盆莓
▪️調酒
-
酥炸花枝
炸的超級酥脆
很喜歡旁邊的醬料 很清爽不會膩

焗烤鮪魚軟法佐莎莎醬這道也很讚
本人超級漂亮的😍😍
莎莎醬微酸辣 很爽口
吃了直接開胃啦🤤🤤

甜點很推薦點他們的午茶組合🍰
巴斯克蛋糕是紮實口感
起司味很濃郁 🧀

焦糖奶酪超級好吃⋯
是這間的必吃品項🥰
.
酒精類最喜歡精釀啤酒了
女生完全會喜歡的莓果香氣
而且啤酒味不會太濃🍻
調酒也很好喝
漸層色超級美的 🩷

推薦喜歡複合式餐廳的朋友可以去！！
而且這間店還不限時
老闆很親切💯👍🏻👍🏻","Unlimited -time compound cafe hidden on the second floor 🍴
There are salty food, desserts, coffee, and bartending & boutique brewing beer
Then, then
｜ The items of the day ｜
▪️ Baked grilled catfish soft method Zosha sauce
▪️ Crispy fried flower branches
▪️Onart Tea Group (Basque cheese cake · caramel cheese, vanilla chocolate smoothie)
▪️ Tingmans raspberry
▪️ bartender
-
Crispy fried flower branches
The fried super crispy
I really like the sauce next to it, very refreshing, I don’t get tired

Baked grilled catfish soft method Sasha sauce is also very good
I am super beautiful
Sasha sauce is slightly hot
Eat directly appetizing 胃 胃 胃 胃 胃

Desserts are very recommended to order their afternoon tea combination 🍰
Basque cake is a solid taste
The cheese flavor is very strong

Caramel cheese is super delicious ...
This is the must -eat item of this 必
Then, then
Alcohol favorite craft beer
Girls will like the aroma of berries that girls like
And the beer taste is not too thick 而且
Alcohol is also very delicious
Gradual color super beautiful 色

It is recommended that friends who like composite restaurants can go!Intersection
And this store is not limited time
The boss is very kind 切",False
"主餐選擇不多，下酒菜跟跟酒的選擇比較多，不過長島冰茶太淡了。

#粉嚐鮮 #邏思粉吃吃吃","There are not many choices for the main meals, and there are more choices for drinking vegetables and wine, but Long Island ice tea is too light.

# #",False
服務很好，很貼心。週五晚餐來用餐，很舒服，安靜的空間。青醬義大利麵很好吃，起士薯條可以建議把醬用另一個小碟子裝喔！,"The service is very good and intimate.Come to dinner on Friday dinner, very comfortable, quiet space.The green sauce Italian noodles are delicious. The cheese fries can be recommended to put the sauce with another small dish!",False
隱藏在巷子裡面2樓的咖啡廳，逛過公館這麼多次，第一次來這家用餐，老闆人很好的輕切，環境整潔我也覺得很棒，重點是店裡的氣氛很舒服，很適合拍網美照！偷偷跟你們說..回去整理照片發現拍了快300多張照片🤣  真的很好拍啦！餐點的部分也很符合我的胃口。很適合朋友聚餐、情侶約會、家人聚會，自己一個人也可以來享受在自己的獨處世界唷。 …,"Hidden in the cafe on the second floor inside the alley, I have visited the mansion so many times. For the first time to come to this dinner, the boss is very light and light, and the environment is clean. The point is that the atmosphere in the store is very comfortable. Very suitable for taking beautiful photos!I secretly told you .. I went back and sorted out the photos and found that I took more than 300 photos.The meal part is also in line with my appetite.It is very suitable for friends to dinner, couple dating, family gatherings, and you can also come to enjoy the world alone.Mowing",False
"炸物跟飲料都很讚！價格也不貴
老闆人很nice～～～","Both fried and drinks are very good!The price is not expensive
The boss is very nice ~~~",False
環境安靜，餐點好吃，適合週未和朋友一起來,"The environment is quiet, the meals are delicious, suitable for Zhou Wei with friends",False
"在喧鬧的商圈裡有著一家咖啡小酒吧，店家在二樓，找的時候要比較仔細一點，樓下路口有時會被割包排隊人潮擋住。
店內有位阿姨服務熱情，氣氛燈光佳，有提供免費插座及wifi，還有室外吸煙區就不用跑到樓下了，算是蠻方便的！一份主餐加套餐有濃湯、甜點、還可以選飲料只要250算還可以，只是店內人手不多，等餐時間較久。
早上就是很安靜的咖啡館適合來用餐用電腦讀書，晚上則有小酒吧的感覺，有眾多調酒及比利時啤酒選項，適合跟35好友一起來。
重點！既然沒有用餐時間！也沒有收服務費！","There is a small coffee bar in the noisy business district. The store is on the second floor. When you look for it, you must be more careful. The intersection of the downstairs is sometimes blocked by the crowd.
There is a aunt in the store enthusiastic, with good atmosphere lights, free sockets and WiFi, and outdoor smoking areas without going downstairs. It is quite convenient!A main meal and set meal include soup, desserts, and can also choose drinks as long as 250, but there are not many people in the store, and the meal time is long.
In the morning, there is a very quiet cafe suitable for meals to read computers. In the evening, there is a small bar. There are many bartending and Belgian beer options, which are suitable for 35 friends.
The point!Since there is no meal time!There is no service fee!",False
掛包樓上有個小公館，有意大利食物，啤酒調酒，氛圍算是公館鬧區小雀幸，地點隱秘，也沒限時，早午餐200左右，不算太吵，因為座位沒有很近，來公館常拜訪的其中一家店！,"There is a small mansion upstairs, with Italian food, beer bartending, and the atmosphere is a small bird in the downtown area. The place is secretly, and there is no time to break at about 200. It is not too noisy because the seat is not very close. One of the shops that I often visit!",False
氣氛不錯而且老闆親切，位置有點不好找在藍家割包左邊的樓梯上去，一份餐都250付湯，飲料，酒要另外點約210左右,"The atmosphere is good, the boss is kind, and the location is a bit difficult to find the stairs on the left of the Blue family cut. A meal is 250 paid soup, drink, and the wine should be ordered about about 210",False
