Original,EN,Needs Review
"雙北最屌的水煙 老闆跟每一位員工都很好相處
調酒也很棒 很舒服的空間 二樓很適合包場聚會","Shuangbei's most stingy water cigarette owner is very good at each employee
The bartending is also very comfortable and very comfortable. The second floor is very suitable for charter party",False
"身為一名酒精愛好者，平常最愛就是下班後跑不同的酒吧，最近發現家附近開了這家新店，今天下班就約朋友來喝幾杯。

聽老闆說這邊其實是水煙酒吧，不僅有調酒、特色啤酒、滷味，還有水煙可以抽！我們抱着嚐鮮的心態點了一壺，結果一抽就整個愛上😆配上好幾杯特調，躺在沙發上真的蠻爽的，會是想要揪朋友來的小天地😻

可惜我們今天太飽沒吃到滷味（點暢飲直接猛喝好幾杯…）但聽旁邊客人說很好吃，下次再來試！

也謝謝熱情老闆們的招待，今天真的玩得很開心🥹✨不然平常都不太想要評論的","As a alcohol enthusiast, the most favorite is to run different bars after get off work. Recently, I found that this new store was opened near the home.

Listening to the boss said that this is actually a water cigarette bar, not only alcoholic, special beer, braised, but also water smoke to smoke!We ordered a pot with an early -minded mentality. As a result, we fell in love with several cups of special tunes as soon as we were drawn. Lying on the sofa is really cool.

Unfortunately, we are too full today and we haven't eaten Lifi (drink a few drinks directly to drink directly ...) But listening to the guests next to me saying that it is delicious. Let ’s try it next time!

Thank you for your hospitality for the enthusiastic bosses. Today I really have fun. Otherwise, I usually don’t want to comment.",False
二樓包廂冷氣涼，氣氛佳，是聚會的好選擇！,"The second floor is cold and cool, and the atmosphere is good. It is a good choice for the party!",False
整間店用心裝飾，音樂與風格好讚，音樂也很會，推推✨,"The whole store is decorated with heart, the music and style are well praised, and the music is also very good.",False
Bartender Kevin 超級友善 店內環境好,Bartender Kevin Super Friendly Store has a good environment,False
燈光好、氣氛佳，調酒好喝！,"Good lights, good atmosphere, sake of bartending!",False
老闆親切 用餐環境非常優質,The boss's cordial dining environment is very high quality,False
Bartender Kevin 超級帥！,Bartender Kevin is super handsome!,False
Kevin 超級帥,Kevin super handsome,False
超棒好地方,Great place,False
