Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"環境好 氣氛佳
吃過兩次
晚餐很推
天空樹下午茶一般般 不會再吃

要吃還是推薦吃正餐","The environment is good
Have eaten twice
Dinner is very pushed
Sky tree afternoon tea is generally not eaten again

I want to eat or recommend dinner",False,0.218,0.0,0.782,0.6908
"sean帶位到介紹菜單都非常仔細 講話很溫柔也很客氣 cathy又漂亮人又好 中途一直麻煩他幫我處理桌面跟驚喜的部分他都面帶微笑的幫我安排好 上菜也會仔細為我們介紹餐點內容跟吃法 ><❤️（我願意為了他們兩個再度光臨ce la vi 拜託幫他們加薪！）
餐點整體口味也都不錯 不會偏鹹或偏淡 份量很足夠 吃得很飽","SEAN brought to the introduction menu very carefully, very gentle, very polite Cathy, beautiful, and good people. He has always troubled me to help me handle the desktop and surprise. Introduce the content of the meals and eating> <❤️ (I am willing to visit CE LA VI again for the two of them to help them pay!)
The overall taste of the meal is also good, it will not be salty or lighter.",False,0.249,0.048,0.703,0.9559
"秋天的夜晚來這邊的露天雅座慶生，可以看到很大根的完整101，喝著白酒，吃著美食，伴著48樓微微一夜風和君臨天下的夜景，真是舒服愜意極了！

這就是人生啊～CÉ LA VI ❤️","The open -air and elegant seats that come here on the autumn night, you can see a large root 101, drink white wine, eat food, accompany the 48th floor, the light one night wind and the night view of the world, it is really comfortable!

This is life ~ Cé la vi ❤️",False,0.118,0.0,0.882,0.7897
"2020/8月初
帶著大人和小三來慶祝偉大的日子,擺盤很精緻,餐點很好吃,店經理很熱情,服務很優,環境極佳,來瓶香檳CHILL一下~
餐後本想喝二杯,但人太多也沒位置了,只好作罷~@@","2020/2 August
Celebrate the great days with adults and primary three, the plate is very delicate, the meal is delicious, the store manager is very enthusiastic, the service is excellent, the environment is excellent, come to the champagne chill ~
I wanted to drink two cups after a meal, but there were too many people, so I had to stop it ~ @@",False,0.231,0.038,0.731,0.8818
燉飯真的超級好吃！和既定映像中的燉飯完全不一樣！非常推薦。還有鴨胸也是，一點都不乾！非常軟嫩,"Stew rice is really delicious!It is completely different from the stew in the established image!Very recommended.There are duck breasts, not at all!Very soft and tender",False,0.0,0.0,1.0,0.0
雖然下雨還是特別選用了可以坐在戶外用餐的套餐，6600還含一瓶白酒/紅酒（任選），一整個套餐吃下來我覺得很飽也很滿足，唯一美中不足就是外面感覺因為下雨悶悶的，如果夏天我應該無法在外面用餐，感覺室內冷氣舒服多了，但是春天、秋天，涼爽的不悶熱的季節應該可以，而且我也很擔心戶外的蚊蟲。餐點本身沒有不好吃的地方，連最後熔岩巧克力我都覺得驚艷。,"Although it is raining, I still choose a package that can be sitting outdoors. 6600 also contains a bottle of white wine/red wine (optional). I feel very full and satisfied with a whole package. Stuffy, if I can't eat outside in summer, I feel that the indoor air conditioning is much more comfortable, but in spring and autumn, the cool and hot season should be fine, and I am also worried about outdoor mosquitoes.The meal itself is not bad, even the lava chocolate in the end I feel amazing.",False,0.179,0.027,0.794,0.9398
"餐點美味又好吃，大推鴨胸義大利麵👍🏻
服務人員態度親切，觀察敏銳，發現熱茶水已倒完，主動上前詢問要添加熱水！
廚師也很親切優質，四目相交時會給予一個燦笑😊","The meal is delicious and delicious, and the big push duck breasts are spaghetti.
The service staff has a kind attitude, observes keen, and found that hot tea has been finished. He stepped forward and asked to add hot water!
The chef is also very friendly and high -quality, and will give a Chanxiao when the four eyes intersect.",False,0.24,0.0,0.76,0.9523
"幫朋友慶生第一次來，三個人點了雙人餐再單點雞肉；食物份量不少，很有飽足感，味道還行
服務人員加水很勤，該做的都有做，但少了一點親切感
晚餐的座位在廚房旁邊，其實看不太到101，酒吧時段才會到外面位置的樣子
食物和服務不差，但有更好的選擇；如果只是想要景觀，可能其他時段來更好","For the first time to help friends celebrate the birthday, three people ordered a double meal and order chicken; the food has a lot of weight, very satiety, and the taste is okay.
The service staff is very diligent, and everything should be done, but it is less intimidating
The seat of dinner is next to the kitchen. In fact, it doesn’t reach 101, and it will be like the outside time.
Food and services are not bad, but there are better choices; if you just want the landscape, it may be better in other times",False,0.221,0.03,0.749,0.956
"東西漂亮也好吃，服務生也貼心
風景更不用講就是美
羊排辣版的真的是有辣😂 讚的","The things are beautiful and delicious, the waiter is also intimate
Not to mention the scenery, it is beauty
The spicy version of the amneys",False,0.341,0.0,0.659,0.9081
感謝CÉ LA VI 台北讓我有難忘的生日體驗，下午茶很美味、別具特色，服務人員帥哥美女態度優良親切、外面露天區能見到壯麗的台北之景，再次感謝❤️,"Thanks to Cé La VI Taipei for my unforgettable birthday experience. Afternoon tea is delicious and unique, the service staff is handsome and beautiful, and the magnificent Taipei scene can be seen in the open -air zone outside. Thank you again ❤️",False,0.352,0.0,0.648,0.9643
"之前來光顧時都是晚上的酒吧型態
與這次的午餐時段截然不同的風格
一直都很喜歡這高舉臨下的用餐環境

最驚豔的一道料理是厚切牛舌（圖三）
未入口之前覺得應該蠻普通的
沒想到吃下去後那軟嫩的口感 直接愛上 推一個

個人偏愛～生～豪～ 真的是很鮮甜美味
提拉米蘇與我想像當中的不一樣
還以為會是海綿基底或是酥脆餅乾的底
這個造型直接捨不得破壞掉
裡頭是帶有果凍口感與外皮的巧克力搭配
口裡的層次感很豐富( ᵒ̴̶̷໐ᵒ̴̶̷ ))","When I came to patron
The style that is completely different from this lunch time
I have always liked this dining environment that has been raising

The most amazing dish is a thick cut tongue (Figure 3)
I think it should be quite ordinary before I enter the entrance
I didn't expect that the soft and tender taste after eating

Personal preference ~ Live ~ Hao ~ It's really delicious and delicious
Tiramisu is different from what I imagine
I thought it would be the bottom of the sponge base or crispy biscuits
This shape is not reluctant to destroy
Inside is the chocolate with jelly taste and outer skin
The layering in the mouth is rich (ᵒ̴̶̷໐ᵒ̴̶̷))",False,0.17,0.016,0.814,0.968
"好久好久的二訪
環境依舊舒服
但又新認識了一些好的服務人員
所以就更開心的一起喝起來","The second visit for a long time
The environment is still comfortable
But I also met some good service staff
So I just drink happily together",False,0.322,0.0,0.678,0.8979
"美味的特色料理
讓101陪襯著用餐，需要天時地利人和呀😂","Delicious special dishes
Let 101 accompany meals, it takes time and place to benefit people",False,0.439,0.0,0.561,0.8555
"10/7 晚上帶北上度假的岳母前來用餐。
入場報到時，負責報到的接待人員不知道是不是受到前面一直想要參觀民眾心情的影響。臉色不是很好看，包含用餐完畢後我們要離場按電梯。看到客人離去也沒有反應（印象當中高級餐廳服務人員應該是都會打招呼的）
入場後的服務就不同了，非常的棒！無論介紹菜色、導引或是解決問題，都非常出色。我們點的菜如我照片。如果說要講到美味讓我印象深刻的就是烤雞串。牛排我認為以價位來說，是有改善空間的。無論是肉質或是烹飪的口感。不知道是否油溫不夠，或是油品關係，並沒有把牛排的肉香味帶出來。魚排也略顯單調，吃不出層次或是食材本身的美味。生蠔、燉飯還有甜點的表現我覺得比主食要好很多，這是讓我覺得比較奇怪的地方。3大1小9千多的用餐，我認為主食的部分是可以加強的。餐廳的景色我想可以眺望信義區夜景以及101是個賣點。如果是約會用餐來說，個人認為與隔壁桌距太小了。隔壁坐一桌外國人說話我們都聽得一清二楚，建議至少要保有一定的桌距維持一定的隱私感。","10/7 evening, the mother -in -law who brought north vacation came to dine.
When the entrance was reported, the reception staff in charge did not know if it was affected by the mood of the people who had always wanted to visit.The face is not very good, and we will leave the elevator after the meal is completed.Seeing the guests left without response (impressive of the high -end restaurant service staff in the impression that they should say hello)
The service after entering the venue is different, very good!Regardless of the introduction of dishes, guidance, or solving problems, it is very good.The dishes we ordered like me.If you want to talk about deliciousness, it is the roast chicken skewers.I think there is room for improvement in steak.Whether it is meat or cooking.I don't know if the oil temperature is not enough, or the relationship between the oil, and does not bring out the flavor of the steak.The fish row is also slightly monotonous.I think oysters, stewed rice and desserts are much better than staple foods. This is where I feel strange.3 big 1 small meals, I think the staple part can be strengthened.The scenery of the restaurant I want to look at the night view of Xinyi District and 101 is a selling point.If it is a dating, I personally think that the distance from the table next door is too small.We can listen to a table of foreigners sitting next door to talk about it. It is recommended that at least a certain table distance to maintain a certain sense of privacy.",False,0.086,0.038,0.875,0.8902
"跟姊妹淘一起去吃下午茶，天氣超好、看得到難得的藍天，戶外的座位很舒服、氣氛也好。剛好這次點餐碰巧遇到他們推出的葛馬蘭威士忌下午茶餐點，不管鹹食甜食都帶點濃郁的酒香，配上TWG經典茶，非常美味。

是個拍照打卡過癮，又可以吃得飽的好餐廳、好下午茶👍","Go to eat afternoon tea with sister Amoy. The weather is super good and the rare blue sky can be seen. The outdoor seats are very comfortable and the atmosphere is good.It happened that this meal happened to meet them with the afternoon afternoon tea for the Pharams. No matter the salty sweets, there was a strong wine fragrance and a TWG classic tea, which was very delicious.

It's a good restaurant that can be enjoyed, and you can eat a full restaurant, good afternoon tea 👍 👍",False,0.27,0.01,0.72,0.9833
