Original,EN,Needs Review,Positive,Negative,Neutral,Compound
氣氛很好！Aki 人超好又貼心，很多細緻的小動作，看到我們蛋糕放地上，主動問慶生的事，還cue 歌手唱生日快樂歌～ 超級值得推薦！🥹 …,"The atmosphere is good!AKI people are super good and intimate, many detailed small movements, seeing our cakes on the ground, actively asking about celebration, and Cue singer singing a happy birthday song ~ Super worth recommending!🥹 🥹 ...",False,0.375,0.0,0.625,0.9595
新開幕的live band餐酒館，店內氣氛極好，餐點精緻好吃配上美酒，以及現場演唱的live band，三五好友相聚起來全無冷場，歌手都超級會唱，也很適合帶長輩來放鬆，地點也超級方便，大推薦☺️,"The newly opened Live Band Restaurant, the atmosphere in the store is excellent, the meals are delicate and delicious with wine, and the live band sang on the spot. There is no cold field when three or five friends meet. The singers are super sung. Relax, the location is super convenient, big recommendation ☺️",False,0.345,0.03,0.625,0.9726
"豬腳跟麵麵好好吃
Monica好熱情
特調shot口味都好好喝
下次想要假日來玩","The heels are delicious
Monica is so enthusiastic
Special SHOT taste is good
I want to play on holidays next time",False,0.588,0.0,0.412,0.9583
環境舒服，調酒和餐點都不錯，合理價位，九點有駐唱加分，愉快的夜晚,"The environment is comfortable, the bartending and meals are good, the price is reasonable, there are bonus points for the singing at nine o'clock, a pleasant night",False,0.361,0.0,0.639,0.9186
"今年在這慶生🎂🥳💖燈光美氣氛佳，又有優質會唱歌的歌手演唱還會與我們互動🎵🎶來很多次了😍，，很推薦來這吃飯，喝酒，聽歌，還有美麗的店長Monica服務及介紹各類我愛的酒精😃
會再帶朋友來的👍👍","This year, the beautiful atmosphere of the birthday is good, and there are singers who can sing with high -quality singers. Singing will interact with us many times. It is recommended to come here for dinner, drinking, listening to songs, and beautiful shops. Long Monica service and introduce all kinds of alcohol I love 😃
Will bring friends again 来 来",False,0.278,0.0,0.722,0.9694
"氣氛很好 還有Live band現場演奏🎶
很適合跟朋友來小酌聽音樂🩵","The atmosphere is very good, and there is live band live performance 🎶
Very suitable for friends to listen to music with friends 🩵",False,0.305,0.0,0.695,0.8643
"燈光美 氣氛佳 食物好吃 調酒好喝👍
可以點歌~好有互動感
Live演奏很棒","Lighting beautiful atmosphere, good food, delicious bartending, delicious and delicious 👍
You can click the song ~ So interactive
Live performance is great",False,0.55,0.0,0.45,0.9719
"氣氛很好的餐酒館
有酒 有水煙 餐點好吃
值得再來","The atmosphere is very good dining tavern
There are wine and water cigarette meals delicious
Worth coming again",False,0.37,0.0,0.63,0.8313
吃完隔壁的酸菜魚，來續攤，調酒好讚，大推催狂魔😍😍😍,"After eating the sauerkraut fish next door, come to the stall, bartender and praise, push the urging madness 😍😍😍",False,0.305,0.114,0.581,0.836
歌好聽 東西也不錯 氣氛很好,The song is nice and the atmosphere is good. The atmosphere is very good,False,0.447,0.0,0.553,0.8357
"在旁邊吃酸菜魚也可以聽live band, 女主唱還跑到酸菜魚這帶動唱，讓我忍不住給這間餐酒館5星好評，就算我沒在餐酒館消費～",You can also listen to Live Band by eating sauerkraut fish next to it.,False,0.0,0.0,1.0,0.0
"很適合週末來放鬆一下
週五週六有完整編制的 live band
東西也不錯吃","Very suitable for relaxation on weekends
There is a completely compiled Live Band on Friday and Saturday
Things are also good to eat",False,0.238,0.0,0.762,0.7624
"餐點好吃
調酒好喝
水煙好抽
表演好看
一定要來
約會首選
ପ(๑•̀ᴗ-♡ॢ)fෆr yෆu೨⋆✩","Meal delicious
Blooming is delicious
Water smoke is so smoking
Performance looks good
Must come
Preferred
̀ᴗ (• • ♡ॢ- ♡ॢ) f ෆ r y ෆ u೨⋆✩",False,0.3,0.0,0.7,0.8834
這個豬腳超好吃的，強烈希望大家來都可以點,"This pig's feet are so delicious, I hope that everyone can come and order",False,0.397,0.0,0.603,0.8362
環境舒適服務態度親切餐點美味值得推薦,"Environmental comfort service attitude, cordial meal, delicious, worth recommending",False,0.574,0.0,0.426,0.7964
店員態度很差，沒有顧到我們這桌，一直找不到服務生可以幫我們點餐，面對我們也一直臭臉…,"The clerk's attitude was very poor. He didn't care about our table. He couldn't find a waiter to help us order me. Facing us, we have been stinky ...",False,0.075,0.235,0.69,-0.7023
"服務生會根據你的需求推薦適合的酒，也的確很好喝
水煙品質不錯","The waiter will recommend suitable wines according to your needs, and it is really delicious
Water smoke quality is good",False,0.356,0.0,0.644,0.8553
很歡樂，慶生很適合來，調酒又好喝,"Very happy, the birthday is very suitable, bartender and delicious",False,0.49,0.0,0.51,0.8268
大推店員Aki！很用心在觀察客人的需求 服務非常好 是會讓我想再訪的原因之一！,Dajie store clerk AKI!I am very careful to observe the needs of the guests' needs. It is one of the reasons for me to visit again!,False,0.09,0.0,0.91,0.3563
食物好吃，酒也好喝，音樂表演也很棒,"The food is delicious, the wine is delicious, and the music performance is great",False,0.511,0.0,0.489,0.91
歌手超會唱❤️很喜歡餐廳氛圍,Singer super can sing ❤️ I like the restaurant atmosphere very much,False,0.368,0.0,0.632,0.7506
餐點好吃，現場氣氛相當不錯,"The meal is delicious, and the atmosphere at the scene is quite good",False,0.385,0.0,0.615,0.7841
氣氛讚，不會很吵，適合跟朋友來小酌一杯,"The atmosphere is not very noisy, suitable for a drink with friends",False,0.326,0.0,0.674,0.5906
"氣氛佳音樂好聽，食物也好好吃🤤
8:30開始有現場表演喔！喜歡聽音樂的不要錯過了！！","The atmosphere is good, the food is good, and the food is delicious.
At 8:30, there are on -site performances!Don't miss it if you like to listen to music!Intersection",False,0.369,0.0,0.631,0.919
"氣氛超好 好吃 好喝 好好玩
店家突然送上驚喜來慶祝生日
太讚了","The atmosphere is super delicious, delicious, delicious, so fun
The store suddenly sent a surprise to celebrate the birthday
Too much",False,0.635,0.0,0.365,0.9761
"駐唱讚👍
萬聖節還可以有地方喝酒真的太棒了","Singing 唱 唱 唱 唱
It's great to have a place to drink in Halloween",False,0.227,0.0,0.773,0.6249
"場地漂亮，店長超正人熱情❤️
大推♡","The venue is beautiful, the manager Super is enthusiastic ❤️
Big Push",False,0.524,0.0,0.476,0.9001
蒜味蝦跟波特酒炒蘑菇超好吃，忍不住再點了一個麵包籃配著吃😋,"Garlic shrimp and Potter fried mushrooms are super delicious, I can't help but order another bread basket with eating 😋",False,0.189,0.064,0.747,0.489
音樂演出很棒呦🎉  歌手、場地音響都很優，整體氣氛很舒服😌,"The music performance is great 手 Singer and venue audio are excellent, the overall atmosphere is very comfortable 😌",False,0.471,0.0,0.529,0.9357
環境舒服，調酒和餐點都不錯，九點有駐唱加分。,"The environment is comfortable, the bartending and meals are good, and there are bonus points at nine o'clock.",False,0.393,0.0,0.607,0.8658
"今天是雙人組合
唱得太好了
開心","Today is a double group
Singing so well
happy",False,0.49,0.0,0.51,0.773
"餐點好吃！氣氛很好！
店長服務很親切！會願意再訪👍","The meal is delicious!The atmosphere is good!
The manager's service is very kind!Will be willing to visit again",False,0.182,0.0,0.818,0.5826
食物好吃，很棒推薦,"The food is delicious, it is greatly recommended",False,0.491,0.0,0.509,0.6997
環境餐點優質👍,Environmental meals high -quality 优,False,0.0,0.0,1.0,0.0
"氣氛很好 現場還有表演
下班小酌一下很適合","The atmosphere is very good and there are performances on the spot
It is very suitable for a drink after get off work",False,0.127,0.0,0.873,0.4927
"氣氛超好
人員也親切
下次還會再來","The atmosphere is super good
Personnel is also kind
Will come again next time",False,0.481,0.0,0.519,0.8807
氣氛很好，餐點好吃😋,"The atmosphere is very good, the meals are delicious 气",False,0.463,0.0,0.537,0.7841
固定有樂隊表演，很有氣氛的一間店👍👍,"A shop with a fixed band performance, a very atmosphere 👍👍",False,0.0,0.0,1.0,0.0
燈光美氣氛佳 餐點不輸米其林 店長還超漂亮,Lighting and beautiful atmosphere Better Meal is not lost in Michelin store manager and is super beautiful,False,0.58,0.0,0.42,0.9482
"大拇哥的啦
燈光美氣氛佳
五告讚
飲料很好喝","Brother Brother
Beautiful light atmosphere
Five praise
Drinks are delicious",False,0.615,0.0,0.385,0.9042
食物好吃 歌手唱歌好聽～ 適合約會或是家庭聚餐,Food delicious singers sing well ~ suitable for dating or family dinner,False,0.367,0.0,0.633,0.7003
晚上有駐唱 氣氛很棒❤️,There is a good atmosphere at night ❤️,False,0.266,0.0,0.734,0.4404
"服務人員態度親切、熱心、漂亮！
值得再來！","The service staff attitude is kind, enthusiastic, and beautiful!
It's worth come again!",False,0.591,0.0,0.409,0.9183
餐點好吃 調酒也很厲害👍👍,The meal is delicious and sibacy is also very good 👍👍,False,0.365,0.0,0.635,0.7841
沙發超好坐 駐唱歌手好聽 餐點好吃,"The sofa is super easy to sit in the singer, a good meal, delicious meal",False,0.549,0.0,0.451,0.9246
駐唱好會好聽、櫃檯小姐姐人好好,"Singing well will sound good, the younger sister at the counter",False,0.357,0.0,0.643,0.6124
駐唱歌手顏值高 歌聲好好聽 水很好喝,"Singing singer's face value high singing sounds well, the water is delicious, it is delicious",False,0.52,0.0,0.48,0.8979
食物好吃，酒好喝，服務佳，適合約會,"The food is delicious, the wine is delicious, the service is good, and it is suitable for dating",False,0.407,0.0,0.593,0.8834
服務好好！調酒&水煙都超棒😍,The service is good!Alcohol & water cigarettes are superb 水,False,0.328,0.0,0.672,0.6588
餐點好吃 氣氛好 環境很優 放鬆的好去處,The meal is delicious and the atmosphere is good.,False,0.485,0.0,0.515,0.765
服務好 週末有駐唱很讚,"The service is good on the weekend, there are so good singing",False,0.399,0.0,0.601,0.7678
餐點音樂氣氛都極棒,The atmosphere of the meal is great,False,0.406,0.0,0.594,0.6249
❤️,❤️,False,0.0,0.0,1.0,0.0
活動多，服務人員態度佳👍🏻👍🏻,"There are many activities, good service staff attitude 活动",False,0.266,0.0,0.734,0.4404
氣氛很棒 Aki很貼心,The atmosphere is great aki very intimate,False,0.406,0.0,0.594,0.6249
氣氛好服務也很好很親切,The atmosphere is also very good and good,False,0.514,0.0,0.486,0.7474
下班放鬆好去處,Relax at get off work,False,0.42,0.0,0.58,0.4404
餐廳氣氛佳 服務人員親切,The restaurant atmosphere is good service staff,False,0.326,0.0,0.674,0.4404
氣氛超讚老闆人超好～～,The atmosphere is super nice ~~,False,0.626,0.0,0.374,0.7717
"公關姊姊很親切
水煙好好玩","Public relations sister is very kind
Water smoke is so fun",False,0.469,0.0,0.531,0.8374
燈光優美，食物好吃～,"Beautiful lights, delicious food ~",False,0.717,0.0,0.283,0.8225
女店長親切 人美,Female store manager kind Hitomi,False,0.459,0.0,0.541,0.5267
駐唱好會唱 好好聽,Singing can sing well,False,0.412,0.0,0.588,0.2732
吃飯聽音樂的好地方,Good place to eat and listen to music,False,0.293,0.0,0.707,0.4404
服務很好 餐點好吃,The service is very good meals and delicious,False,0.535,0.0,0.465,0.7841
店員帥！店員美！超讚！,The clerk is handsome!The clerk is beautiful!It's amazing!,False,0.4,0.0,0.6,0.6884
紅酒不錯,Red wine is good,False,0.492,0.0,0.508,0.4404
很親切服務 很周到！,"Very kind service, very thoughtful!",False,0.696,0.0,0.304,0.7832
歌手唱歌很好聽,Singers sing well,False,0.512,0.0,0.488,0.2732
聊天好去處,Chat where to go,False,0.0,0.0,1.0,0.0
👍好吃 歌好聽,👍 Good songs and good songs,False,0.537,0.0,0.463,0.7003
這邊超嗨的啦🎉🎉🎉 …,"Here is super hi, 的 的 ...",False,0.394,0.0,0.606,0.5994
駐唱聲音好聽,Singing sounds nice,False,0.583,0.0,0.417,0.4215
熱鬧有氣氛,Live and atmosphere,False,0.0,0.0,1.0,0.0
很棒的聚會場所💕,Great party,False,1.0,0.0,0.0,0.7783
很有氣氛,Very atmospheric,False,0.0,0.0,1.0,0.0
氣氛很棒,The atmosphere is great,False,0.577,0.0,0.423,0.6249
👍,👍,False,0.0,0.0,1.0,0.0
氛圍很棒！,The atmosphere is great!,False,0.594,0.0,0.406,0.6588
服務很周到,The service is very thoughtful,False,0.42,0.0,0.58,0.4391
夭壽讚,Shouzanzan,False,0.0,0.0,1.0,0.0
氣氛好,Good atmosphere,False,0.744,0.0,0.256,0.4404
五星送東東,Five stars send Dongdong,False,0.0,0.0,1.0,0.0
讚喔👍 …,Praise 👍 ...,False,0.545,0.0,0.455,0.5574
讚,praise,False,1.0,0.0,0.0,0.5574
優秀,excellent,False,1.0,0.0,0.0,0.5719
讚讚讚,Praise,False,1.0,0.0,0.0,0.5574
氣氛很棒酒也好喝，駐唱好有氣氛太棒了！,"The atmosphere is great and delicious, the atmosphere is great!",False,0.635,0.0,0.365,0.9215
來這裡聽歌 好吃又有sense,Come here to listen to songs delicious and have ance,False,0.291,0.0,0.709,0.5719
歌很好聽 食物也很好吃！,The song is nice food and delicious!,False,0.576,0.0,0.424,0.7777
床不錯,Good bed,False,0.744,0.0,0.256,0.4404
舒適又好聽的現場音樂~,Comfortable and nice live music ~,False,0.604,0.0,0.396,0.7269
非常好的放鬆的地方。,Very good place to relax.,False,0.67,0.0,0.33,0.7264
氣氛很好,The atmosphere is very good,False,0.444,0.0,0.556,0.4927
喝酒好地方,Good place,False,0.744,0.0,0.256,0.4404
