Original,EN,Needs Review
"市政府站 交通方便
還有happy hour","Municipal government station traffic is convenient
And Happy Hour",False
一個人平靜地喝了兩杯啤酒。,Drinking two cups of beer alone.,False
"音樂很好聽
平日 6點到8點
是happy hour(週二整日都是)
價錢優惠很多 （右下變成右上)

對喜歡喝精釀啤酒的人
真的是好地方
現打種類很多 ipa ,pale ale,porter,lager都有","Music is nice
6 o'clock to 8 o'clock on weekdays
It is happy hour (all day on Tuesday)
There are a lot of price discounts (the bottom right becomes upper right)

For those who like to drink craft beer
Really good place
There are many types of iPa, Pale Ale, Porter, Lager",False
Beer Geek每個禮拜二晚上整晚都是Happy Hour，生啤酒都是特價，剛剛嗑了兩倍，一杯180另一杯150😄 超級划算的🍻🍻🍻 …,Beer Geek is Happy Hour every night of Two nights. Beer raw beer is special offer. It has just been twice as much as a cup of 180 another 150😄 🍻🍻🍻 🍻🍻🍻 🍻🍻🍻 🍻🍻🍻 🍻🍻🍻 ...,False
難得跟朋友見面，好久不見的朋友，可以有一個不錯的地方坐下來喝杯啤酒敘敘舊，這是以前我覺得蠻不錯的酒吧，裡面的酒類也很多，有生啤也有精釀啤酒，精釀啤酒的種類真的滿多的，另外因為我們是坐在外面，外面的座位空間稍嫌窄了一點但是還算OK，但是不知道因為我們是坐在外面的關係，還是說裡面因為其實也沒有放很大聲，我覺得不會有讓人很吵雜而導致跟朋友聊天的時候的不方便，有些酒吧音樂放很大聲那再加上裡面很多人聊天的聲音很大聲，造成每次講話都要用喊的用吼的，到後面好喉嚨都很不舒服，但這一家我覺得很OK，另外還有一點稍微比較可惜的地方就是他們的happy your 時間稍微早了一點，我記得好像到八點就結束了,"It's rare to meet with friends. Friends who haven't seen you for a long time, you can have a good place to sit down and drink a glass of beer to narrate the old. This is a bar that I think before. There are many wines in it. There are really many types of beer brewing. In addition, because we are sitting outside, the seat space outside is a little narrower, but it is still OK, but I don’t know if we are sitting outside, or because it is actually actually because we are actually in fact, it is actually because we are actually in fact because we are actually in fact because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually in fact, it is actually because we are actually because we are actually in fact because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually in fact, it is actually because we are actually because we are actually in fact because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually because we are actually in fact, it is actually because we are actually because we are actually because we are actually in fact. Without loud, I don't think there will be noisy when chatting with friends. Some bar music is loud, and the sound of many people in it is loud. It is very uncomfortable to use shouting, and the throat in the back is very uncomfortable, but I think this family is OK. In addition, there is a little bit more unfortunately their Happy Your time. Point is over",False
"舒服的小酒吧，啤酒價格合理適中。
建議可以利用happy hour的時候多喝幾杯。","A comfortable bar, beer price is reasonable and moderate.
It is recommended to drink a few more glasses when you use Happy Hour.",False
"星期二整天都是happy hour
可以選的酒不少，而且常常有新品項
下班來喝個兩三杯很舒服","All day on Tuesday is happy hour
There are a lot of wines that can be selected, and there are often new items
It's very comfortable to have two or three cups after get off work",False
"這是我來過最棒的一家酒吧,啤酒好喝種類多元,老闆跟店員都很親切,還有專業的啤酒知識,更棒的是店裡氣氛非常好,總之非常推薦這家店! 我會常常來的,謝謝老闆款待!","This is the best bar I have been here. Beer is delicious and diverse. The boss and the clerk are very kind. There are also professional beer knowledge. The better thing is that the atmosphere in the store is very good. In short I often come, thank you boss for waiting!",False
"脖子有刺青的女店員
好有魅力唷
帥慘了
芭樂酒真的有夠好喝","Female clerk with tattoos on the neck
So charming
Handsome
Bruce wine is really delicious enough",False
"很chill的啤酒吧
常常會換一些不同的酒

店員老闆人都很好 英文不好沒關係
當然能用英文溝通會更聊得來😂","Very Chill Bar
I often change some different wines

The clerk boss is very good in English, it doesn't matter
Of course, you can communicate in English and you will be more talked about 😂",False
"已經二訪
離我家很近的酒吧
老闆客人都很nice
會常來的：）","Has two visits
Bar that is very close to my house
Boss and guests are very nice
Will come often :)",False
環境輕鬆可以，不少的品項可以慢慢選。,"The environment is easy, and many items can be selected slowly.",False
第二次來訪了，非常適合不喜歡煙味以及需要補血的地方父母，精釀每只都滿意～,The second visit is very suitable for parents who do not like smoke and need blood. Each of the crafts is satisfactory ~,False
想要輕鬆自在小喝一杯時的好地方，有Happy hours!,"If you want to easily drink a cup, you have a good place, there are happy hours!",False
"第一次來到這酒吧，是店內常客幫我們介紹她喜歡的啤酒，以及親切詢問我們喜歡什麼類型啤酒，然後在幫我們推薦，每一款啤酒都讓人驚奇。
是會讓人一直光顧的好店！","The first time I came to this bar is the frequent customers in the store to introduce her favorite beer, and to ask what type of beer we like, and then I recommend it for us. Each beer is surprising.
It is a good shop that will always patronize!",False
第一次來，一個很精緻小巧的bar，啤酒很有特色，適合三五好友聚會聊天,"For the first time, a very delicate and compact BAR, beer is very distinctive, suitable for three or five friends to chat and chat",False
"離市政府站很近的佛心精釀
6-8點的happy hour 非常適合附近的下班族
生啤選項雖然偏少，但都是一時之選，讚讚
櫃子也有can可供選擇
店裡外國朋友很多
喜歡跟外國朋友聊天練英文的朋友，別錯過這間好店家！","Buddha Heart Brewery, which is close to the municipal government station
HAPPY HOUR at 6-8 o'clock is very suitable for nearby office workers
Although the options for birth beer are small, they are all a temporary choice, praise
Cabinet also has Can to choose from
There are many foreign friends in the store
Friends who like to chat with foreign friends and practice English, don't miss this good shop!",False
氣氛不錯的小酒吧！,Bar with good atmosphere!,False
各國人士聚集的好地方，，老闆有自己獨特的幽默感，客人們常常一起喝在一起，很棒的小酌暢飲空間。,"The good places gathered by people of various countries, the boss has their own unique sense of humor. Guests often drink together, and they have a great drinking space.",False
"位置有點「偏僻」，雖然離捷運站的距離不算遠，但是附近沒有商家很孤立，加上晚上過去附近少燈巷弄陰暗，地點上真的不優。
只使用現金消費不提供刷卡。","The location is a bit ""remote"". Although the distance from the MRT station is not far away, there are no merchants nearby. In addition, the nearby small lanes nearby are dark, and the location is really not good.
Use only cash consumption and do not provide a credit card.",False
"很想給5顆星，但是彈珠檯都是壞的不能玩，傷心。
有許多不統款式的啤酒來自世界各地，常常都會更換新款式的啤酒，所以不管你喜歡的是哪一種基本上都可以找到你要的。
店東有養了一隻黑色波士頓很友善(忘了牠的名字)，喜歡波士頓犬的可以去看看呢~","I really want to give 5 stars, but the marbles are bad and can't play, sad.
There are many uniform beer from all over the world, and new styles of beer often replace, so no matter which one you like, you can basically find what you want.
The shop owner has a black Boston very friendly (forgot its name). Those who like Boston can see it ~",False
異國風情小店，旁邊熱炒完續攤好點，喝過九點，劉媽媽涼麵開門到隔天九點(週二晨只到五點)，完成三攤滿意回家！,"The exotic shop, after the hot stall next to the hot stall, drink nine o'clock, Mother Liu opened the door until 9 o'clock the next day (only to five in the morning on Tuesday) to complete the three stalls to go home!",False
"酒類種類多,6-8點的歡樂暢飲去很超值,不收服務費，還有大電視可以看運動比賽,下次還會想在去！","There are many types of alcohol, and the joyful drinking of 6-8 points is very good value. It does not charge the service fee. There is also a big TV to watch sports competitions. I will want to go next time!",False
方方正正的格局 大約三十坪算是小中店面 客層以老外為主 台人沒有見過 英文裝潢 因為有桌椅空間走道只有一人空間 店中間有一小部份射飛鏢區 一台格鬥遊戲機 一台彈珠台 老闆一男一女 男的外國人 算是洋化的店面,"The Fang Fang's positive pattern is about thirty pings. The guest layer of the small and middle store has not seen the English decoration because the foreigner has not seen the English decoration because there is a table and chair space aisle. There is a small part of the space shop in the middle of the space shop. The foreigner of the boss of the bounce beading bead, a man, a woman, a woman is a well -known store",False
非常英式的酒吧，精釀啤酒價格合理好喝，店內還有相當復古的遊樂機可以打發時間，不過這裏比較適合單純喝酒而非用餐，非常適合當作餐後續攤的酒吧。,"Very British bar, the price of craft beer is reasonable and delicious. There is also a very retro play machine in the store to pass the time, but here is more suitable for simply drinking alcohol instead of dining.",False
和朋友一起去的，老闆很親切的讓我們試喝各種啤酒，店內的酒類也很多，不過因為配的小點種類不多，還是吃過東西再去比較好一點,"With friends, the boss was very kind to let us try to drink all kinds of beer, and there are many wines in the store, but because there are not many types of small dots, it is better to eat things.",False
店內的音樂很好聽，晚上一個人來也不無聊，已經變成固定去小酌的老地方了！,"The music in the store is very nice, and it is not boring to come alone at night, and it has become a fixed old place!",False
"This place definetely has a certain mojo, i never leave sober. Even if I want to.
這個地方的確有咒，每次來每次醉。啤酒選擇超廣。","This place definetely has a certain mojo, I never leave salber. Even if I want to.
There is indeed a curse in this place, and every time I get drunk.Beer chooses super wide.",False
"非常多啤酒種類, 十分推薦愛喝啤酒的你!!
常有不同的節目, 還有直播英超及其他運動賽事....
聊天喝酒的好地方!!","There are many types of beer, and you are very recommended for you who love to drink beer !!
There are often different programs, as well as live Premier League and other sports events ...
A good place for chatting and drinking !!",False
"酒吧音樂不錯👍🏻
中性女店員人很好很有魅力
我是為了她去的⁽⁽ૢ(⁎❝ົཽω❝ົཽ⁎)✧ …","Bar music is good
Neutral female clerk is very good and attractive
I am for her (去 ω❝ົཽ⁎) ✧ ...",False
推薦的酒品不錯，吃的部分偏普通。適合喝酒聊天觀察周遭路人的酒吧，吃飽再去會好些。,"The recommended wine is good, and the part of the food is ordinary.Suitable for drinking and chatting to observe the passers -by of the surrounding passers -by. It will be better to eat again.",False
"好喝到爆，很適合聚餐聚會
下班後小酌非常適合！
一定會在找朋友去！","It's so delicious, very suitable for dinner party
It is very suitable after get off work!
I will definitely find a friend!",False
"音樂有點吵，跟朋友講話要有點大聲，
下酒輕食種類不太多，好吧，是 micro pub","The music is a bit noisy. Talk to friends a little loud,
There are not many types of liquor to eat, okay, it is Micro PUB",False
"Best beers and pub in Taipei ever!
啤酒種類最多，男生女生都可以在這找到喜歡的啤酒，我本來不喝啤酒的人，竟然可以在這找到好多種喜歡的啤酒!!","Best Beers and Pub in TAIPEI EVER!
There are the most types of beer. Boys and girls can find the beer I like here. People who do n’t drink beer can find many kinds of favorite beer here !!",False
今天總共點了7杯手拉精釀 加上一盤水餃只要1260 坦白說我覺得十分划算,"Today, I ordered a total of 7 cups of hand pulling the brewed and a plate of dumplings. As long as 1260, I think I think it is very cost -effective",False
品項齊全，又有happy hour，是下班喝兩杯的好地方,"The items are complete, and there are Happy Hour, which is a good place to drink two glasses after get off work",False
氣氛佳，加拿大啤酒好喝，店員漂亮又親切,"The atmosphere is good, Canadian beer is delicious, the clerk is beautiful and kind",False
