Original,EN,Needs Review
"豆芽菜跟餃子很讚，滷味拼盤配啤酒涮口
味增湯、豬血糕還行、調酒一般，花干挺不錯
蠻多道都有香菜，討厭香菜的人需要小心","Bean sprout vegetables are very good to dumplings.
Weizheng soup, pig blood cakes are okay, alcoholic, dry flowers are pretty good
There are a lot of coriander, those who hate coriander need to be careful",False
食物普通，份量不多，酒也還好，可能不合個人胃口,"The food is ordinary, the portion is not much, and the wine is okay, it may not be in your own appetite",False
很久沒來調酒跟食物還是一樣美味，今天點的這個我可以阿薩姆茶味跟檸檬搭配的好好👍,"I haven't been alcohol for a long time, it is still as delicious as the food.",False
夏天很熱，不調整冷氣就算了，飲料酒還很慢上，菜色還行，份量跟價格不成正比，份量超少，還超貴，完全無法靠服務來拉提，基本上不推薦來（畢竟下班時間還沒辦法做滿，也應該是有原因）,"It is hot in summer. If you do n’t adjust the air conditioner, the drink wine is still very slow. The dishes are okay. The weight is not proportional to the price. There is no way to do it after work, and there should be a reason)",False
"店員超有人情味，就愛這麼chill又不吵的環境
自在又舒服😌","The clerk is so humane, just love such a chill and not noisy environment
Freedom and comfortable 舒",False
氣氛很好，餐點好好吃，酒好喝特別,"The atmosphere is very good, the meal is delicious, the wine is delicious and special",False
"老闆有請一杯shot(荔枝
我點了兩杯調酒+兩個小菜（豆乾絲+烤雞翅*2）
這樣才860欸
而且沒有服務費超讚！","The boss has a cup of shot (lychee (lychee (lychee (lychee
I ordered two cups of sake+two side dishes (dried bean shreds+grilled chicken wings*2)
This is only 860 0
And there is no service fee!",False
"生啤酒蠻好喝的！
尤其推薦小麥啤酒，麥子的香氣很濃郁，相較一般的啤酒，小麥啤酒的口感更滑順～

小菜的部分滷味很香，應該也是渣男的招牌餐點，之前也吃過幾次，幾乎都沒有雷，而且處理得很到位，調味方面辣度與鹹味恰到好處，也不會有膩口的感覺，唯一小小缺點是價格稍高且份量沒有很多，建議還是要先在別的地方吃點東西再過來。

補充一個80元的毛豆，朋友推薦點的，他說他每次來都會點，吃了幾口確實相當開胃，很適合當下酒菜😂😂

另外這裡的shot很有特色！推薦大家沒點過可以試試看😍","Beer raw beer is pretty delicious!
It is especially recommended for wheat beer. The aroma of wheat is very strong. Compared with ordinary beer, wheat beer has a smoother taste ~

The part of the side dishes is very fragrant, and it should also be the signature meal of the scumbag. I have eaten several times before, almost no thunder, and the treatment is in place. It feels that the only small disadvantage is that the price is slightly higher and the portion is not much. It is recommended to eat something elsewhere before coming over.

Supplement a 80 yuan Maodou, friends recommend some points. He said that he would order every time he came, and a few mouthfuls were really appetizing.

In addition, the shop here is very distinctive!I recommend that you have n’t ordered it, you can try it 过",False
"1.進去的時候告知有訂位，長髮先生引導我們去裡面坐，短髮先生看到我們往裡面走就問我們要幹嘛，後來又叫我們到吧台滷味區坐，內部並沒有協調好定位區的位置。眼睛直視著滷味髮，油煙明顯，旁邊還一直有機器噪音，導致我們不是很好聊天，這個位子也很近戶外吸煙區一開門都會聞到煙味。跟他反應沒有菜單酒單短髮先生又一直說前面就有，請問前面就有問你幹嘛？上酒的時候還上錯酒堅持我們是點那個品項，我們就請你拿菜單出來，才說抱歉送錯了。整體感受很差。
2.調酒非常非常雷，自製的茶酒特調，很不順口，3人品嚐一致雷。
3.滷味就像大家說笑算好吃，但是我是來喝酒的…….，你真的要來的話拜託你喝啤酒就好，不要浪費錢喝調酒。三顆星是給滷味的。要去的人請慎選。我極少評分這麼低😮‍💨😨","1. When you go in, inform the reservation. Mr. Long Hair guides us to sit inside. Mr. Short Hair saw us and asked us what he was going to do. Later, we told us to sit in the bar. The location of the area.Eyes looked directly at Lifi, the oil fume was obvious, and there was always a machine noise next to us, which caused us not to chat well. This seat will smell the smell of smoke as soon as it opens the door of the outdoor smoking area.I reacted to him without the menu, the short hair, and the short hair, and always said that there is before. What are you asking you to do before?When I was in the wine, I also insisted that we were ordered that the item, so we asked you to get the menu out, so I said sorry to send it wrong.The overall feeling is poor.
2. The bartending is very very very thunderous. The homemade tea and wine is special, and it is not smooth.
3. Lifei is like everyone says that it is delicious, but I am here to drink .... If you really want to come, please ask you to drink beer, do n’t waste money to drink alcohol.Three stars are for four.Those who want to go, please choose carefully.I rarely score so low 分 分 分 分 分 分",False
"餐點好吃，但份量很可憐而且不便宜
生啤真的優秀","The meal is delicious, but the portion is very pitiful and not cheap
Life beer is really excellent",False
"東西超好吃！
調酒師超帥超親切
會跟客人互動
來的話指名小豪大帥哥！","The things are so delicious!
The bartender is super handsome and kind
Will interact with guests
If you come, you are named Xiaohao handsome!",False
四年前已經去過其他分店，「渣」系列的店該怎麼表達，提供餐點的量、內容及味道都讓人搖頭嘆息。店內服務還算客氣，但菜品的擺盤方式、味道 都讓消費者感受不到店家的廚藝及誠意，唯一加分項；啤酒杯有凍過。加油👏,"I have been to other branches four years ago. How should the shops in the ""scum"" series express and provide the amount of meals, content, and tastes that make people shook their heads and sigh.The service in the store is pretty polite, but the dishes and tastes of the dishes make consumers feel the cooking skills and sincerity of the store.Come on",False
酒非常好喝，下酒菜也超適合！100分,"The wine is very delicious, and the wine and vegetables are super suitable!100 points",False
"2023.10 初訪

滷味拼盤、牛三寶拼盤都很入味、

脆皮豬血糕有特色、

整體評價：⭐️⭐️⭐️⭐️⭐️⭐️⭐️","2023.10 First visit

Lochi platter, Niu Sanbao platter are all delicious,

Crispy pig blood cake is characteristic,

Overall evaluation: ⭐️⭐️价️⭐️⭐️⭐️⭐️⭐️",False
餐食跟酒品都是一等一，很推薦朋友聚餐來,"Both meals and wine products are first -class, and friends are very recommended for friends to eat meals",False
裝潢很有居酒屋的氛圍，但餐點以台式滷味為主，另外有酒類飲品，點了3杯調酒，覺得價錢稍微有點高，喝起來不順口，像是西瓜、烏梅。滷味拼盤很普通，價格高。鹹豬肉份量也是非常少。,"The decoration is very atmosphere of izakaya, but the meal is mainly desktop. In addition, there are alcoholic drinks. I ordered 3 glasses of alcohol. I feel that the price is slightly high and not drinking smoothly, such as watermelon and black plum.Payon platter is very ordinary and high in price.The amount of salted pork is also very small.",False
"招牌1號男女都適合，
很有水準的一家酒吧","Signboard No. 1 is suitable for men and women,
A very standard bar",False
"90年代的朋朋來這裡應該會覺得很親切🎵
料理很傳統台式美食
牛筋是嚼勁的那種，不是媽媽燉軟爛的那種
渣男烏梅醉有宿醉感，夠渣
然後烤餃子好吃👍🏽","Friends in the 1990s should feel very kind when they come here
Cooking is very traditional table food
Beef tendon is the kind of chewy, not the kind of soft stewing
The scum man Wu Mei has a sense of hostess, enough scum
Then roast dumplings are delicious 子",False
"氣氛很好～調酒很好喝～
調酒師也很好聊天～
尤其是小豪😂","The atmosphere is very good ~ bartender is very delicious ~
The bartender is also very good to chat ~
Especially Xiaohao 小",False
點了滷味 煎餃米血  乾麵都不錯吃 但是康普茶好恐怖 份量跟價格差異很大 感覺沒有這個價值 不會二訪,"I ordered Jiewei fried rice and dried noodles, but they are good to eat, but Connca tea is good and the price is very different from the price. I feel that there is no such value.",False
"氣氛不錯，口味不錯，價格稍高，可能是適合外國人的觀光景點。
大概要開店兩小時後啤酒才夠冰，謝謝服務人員告知，但沒啤酒可配菜真的都太鹹了點🤣","The atmosphere is good, the taste is good, and the price is slightly higher, which may be a tourist attraction suitable for foreigners.
It is about two hours after opening the shop to be frozen. Thank you for the service staff, but the side dishes are really too salty.",False
"特製乾麵150💰有用蒜泥調味，很香。寬麵，有半顆蛋、三塊肉、還有一些菜菜
滷味拼盤兩人份400💰 （有什麼拼什麼）
吃到了海帶、雞胗、百頁豆腐、甜不辣
涼拌豆芽菜70💰 豆芽菜有麻油味，鹹度適中，很開胃
嫩滷牛腱150💰 麻辣口味
第一口吃下去整個熱🔥 有附洋蔥跟菜菜
覺得辣的時候就吃洋蔥解膩，醬好好吃
牛腱很有嚼勁，厚度也剛剛好
地瓜稀飯50💰 加了一匙砂糖，好吃😋

🍷渣男烏梅醉280💰
🍷這個我可以280💰
感覺這兩杯調酒的酒感都中等，隔天要上班小酌一杯沒問題滴😍😍🥰 烏梅味道淡淡的，還有果乾可以吃😎
Shot ：1⃣️珍珠奶茶🧋 好烈！珍珠放久了會變硬 不過不是手搖店我覺得這沒差🤪
2⃣️日本櫻花shot :店員強調真的是日本櫻花🌸喝起來沒有很烈，酸酸的應該是有加檸檬","Special dry noodles 150 It is seasoned with garlic, which is very fragrant.Wide noodles, half eggs, three pieces of meat, and some vegetables
Two people in the back of the back 400💰 (what to fight)
I have eaten kelp, chicken buns, 100 pages of tofu, sweet and not spicy
Cold bean sprouts 70 豆 bean sprouts have sesame oil, moderate saltiness, very appetizing
Tender Bull tendon 150 口 Spicy taste
The first mouth is eaten, the whole hot 附 has onion and vegetables
When you feel spicy, eat onions and get tired of getting tired, and the sauce is delicious
The beef tendon is very chewy, and the thickness is just right
Sweet potato porridge 50 一 add a spoonful of sugar, delicious 😋

2 2 🍷 乌 乌 🍷 🍷 280🍷
💰 I can 280 我
I feel that these two cups of bartending wine feels medium. The next day I have to go to work and drink a drink. There is no problem.
SHOT: 1珍️ Pearl milk tea is hard!The pearls will harden for a long time, but it is not a hand -shaking shop. I don't think it's bad.
2⃣️ Japanese cherry blossoms: The clerk emphasized that it is really that the cherry blossoms are not very strong.",False
這家酒吧的滷味深受顧客喜愛，風味獨特，香氣誘人。新鮮的食材和精心挑選的調味料結合，呈現出口感豐富的滷味，讓人回味無窮。無論是香辣、麻辣還是清淡口味，都能滿足不同口味的顧客。現場氛圍熱鬧，搭配美味的滷味，成為顧客聚會、小酌的理想場所。,"This bar is loved by customers with unique flavors and seductive aromas.The combination of fresh ingredients and carefully selected seasonings shows the richness of the output feeling, which makes people have an endless aftertaste.Whether it is spicy, spicy or light taste, it can satisfy customers of different flavors.The atmosphere at the scene was lively, and with delicious loquat, it became an ideal place for customer gatherings and drinking.",False
店家服務超好 調酒和滷味拼盤好棒 喜歡😍,The store service is super good and bartending and lovry platter is great. I like it 😍 😍 😍 😍,False
"很放鬆的好地方！
因為是週日晚上，特別安靜一些，不過店員人非常好，服務品質和態度都很讚！
還招待了Shot ！

菜色也都不錯，色香味俱全～～

推！推！推！鹹豬肉👍","Very relaxed place!
Because it was Sunday evening, it was particularly quiet, but the clerk was very good, and the service quality and attitude were great!
Also entertain Shot!

The dishes are also good, and the color and fragrance are all ~~

push!push!push!Salted pork",False
"牛肉滷味拼盤、牛肚必須點
酒類很多可以選，非酒精飲料也有
門口沒有停車位建議可以停信義路五段150巷
信義區信義路五段150巷360號停車場
值得再訪","Beef Jelly Platform and beef belly must be ordered
There are many wines to choose from, and there are non -alcoholic beverages also
There is no parking space at the door, it is recommended to stop the letter of Lane 150 Lane 150
No. 150 Lane 150, No. 150, Section 50, Xinyi District, Xinyi District
Worth visiting",False
"點了綜合拼盤2人份
麻辣烏龍麵
肝連
玉米筍
猛甲楊桃冰
渣男烏梅醉

交通方便對面就有ubike停靠站

餐點全部完食，滷味真的好吃
流行音樂是每個年代的經典歌曲
氣氛好，聊天放鬆好地方
店員也很有型
推薦","Ordered a comprehensive platter of 2 people
Spicy oolong noodle
Liver
Corn bamboo shoot
Mengjia Cafei Bing
Scum man Wu Mei drunk

Convenient traffic is on the other hand, there is a stop at Ubike

The meal is finished, and the fingwei is really delicious
Popular music is a classic song of each age
The atmosphere is good, the chat is relaxed
The clerk is also very stylish
recommend",False
"在象山步道附近的台式小酒吧，餐點都不算貴，不收服務費，只收現金，不提供刷卡。位置雖然不少但還是建議先訂位。

菜色都算台式滿常見的食物，調味中規中矩不搞怪，出餐速度很快，幾乎不需要等待，酒類品項也滿豐富，調酒會稍微等久一點。

初訪感受的缺點大概是兩點，防疫期間有拉開坐位距離，但客人會朝旁邊座位咳嗽，客人也會走動到吧台點餐沒戴口罩直接對著坐在吧台的客人噴口水有點驚嚇，而店員沒有請對方戴上，也沒有請客人不要朝空位咳嗽，雖然營業時間很忙碌，但防疫期間忽視客人不在意防護措施，在店內空間恣意不戴口罩、咳嗽不掩嘴，實在不太妥。（至少客人當下感受跟看到狀況都感到不快）

再來是店內的烹調食物味道會稍微留在身上，可能要請介意服裝有食物味道殘留的朋友稍微注意。

基本上餐點跟酒品還有服務態度都很不錯，推推！","In the small barbar bar near Xiangshan Trail, the meal is not expensive. It does not charge the service fee, only collects cash, and does not provide a card.Although there are many positions, it is recommended to order first.

The dishes are considered to be full of common foods. The seasoning is not funny, the meal is fast, there is almost no need to wait, the wine items are full, and the bartending will be slightly waiting for a long time.

The disadvantage of the initial visit is about two points. During the epidemic prevention period, the seat distance was opened, but the guests would cough at the seat next to the side, and the guests would walk to the bar on the bar. The clerk did not ask the other party to wear it, nor did he invite guests not to cough at the empty level. Although the business hours were busy, the guests ignored the protective measures during the epidemic prevention. Essence(At least the guests' feelings and seeing the situation are unhappy)

Then, the taste of cooking food in the store will stay slightly on the body. Please mind that friends who have food with food and food may pay a little attention.

Basically, the meals, wine and service attitude are very good, push!",False
"食物價格偏高，味道普通
吃到一半的時候突然地板漏水，弄濕我們放在地上的背包，告知服務人員後他們也沒什麼反應，只派了一個人去拖地。
我們還要自己把背包跟餐點搬到另外一桌，後續也沒有其他補償，還滿傻眼的。","The price of food is high and the taste is ordinary
When I ate halfway, I suddenly leaked the floor and wet the backpack we put on the ground. After informing the service staff, they did not respond, and only sent one person to mop the floor.
We also have to move the backpack and meals to another table by ourselves, and there are no other compensation in the follow -up, and it is dumbfounded.",False
氣氛好，價格實惠，東西很好吃！,"The atmosphere is good, the price is affordable, and things are delicious!",False
"跟朋友小聚的好地方！

尤其是白天要上班的人
晚上下班後可以喝酒吃個下酒菜

我們最晚待到凌晨1點多
店家就差不多要打烊了

不過我是甚少喝酒
對就不多做評價了
心想就是酒精飲料🥤

下酒菜我倒是滿驚豔的
尤其泡菜跟鹹豬肉，都好搭酒唷！
本來想說減肥不要吃太多
結果一口接過一口
再配上酒……一週的減肥努力就飛了😭

——————————————

整體環境非常舒服
稍微大聲一點，好像也還好
不至於吵到外面
喝酒聊天的好地方🤩","A good place to gather with friends!

Especially people who are going to work during the day
After get off work at night, you can drink and eat wine and vegetables

We stay at the latest until 1 am
The store is almost going to snooze

But I drink less
Don't evaluate more if you don't do much
I thought it was alcoholic drinks 酒

I'm amazing
Especially kimchi and salted pork are easy to drink!
I wanted to say that I did n’t eat too much to lose weight
As a result
With wine again ... the week of weight loss work will fly 😭 😭 😭

———————————————————————

The overall environment is very comfortable
A little louder, it seems okay
Not to be noisy
Good place to drink and chat 天",False
"在這小巷子裡，有著小小居酒屋🏮
餐點很棒很台式，但是菜單選擇偏少，希望可以有更多選擇。整理來說還蠻棒👍，渣男烏梅醉調酒好喝🍸","In this alley, there is a small izakaya 🏮
The meal is great and the tabletop is great, but there are fewer menu selection, I hope there can be more choices.In terms of finishing, it is quite good, scum man Wu Mei drunk alcohol is delicious 🍸",False
氣氛好，餐點美味，值得推薦👍,"The atmosphere is good, the meal is delicious, it is worth recommending 👍",False
店內光線很不錯拍照好看，座位舒適音樂氣氛尚可，室外有吸煙區，服務不錯。麻辣肝連好吃😋，鴨血正常米血正常台式泡菜正常，啤酒種類多也有軟飲。冰凍生啤不夠冰😭,"The light in the store is very good to take pictures, the seats of comfortable music are acceptable, there are smoking areas outdoors, and the service is good.The spicy liver is delicious, the duck blood is normal rice blood, the normally table kimchi is normal, and there are many types of beer.Frozen raw beer is not enough ice 😭",False
"店裡氣氛超好！
店長帥，店員更帥～
調酒師很～～可愛☺️
小周末來鬆一下","The atmosphere in the store is super good!
The shop chief is handsome, the clerk is even more handsome ~
The bartender is very ~ ~ cute ️
Come to pine a small weekend",False
"氣氛一流，和朋友三五知己進餐不二之選。
每一個餐點的名字也精心設計過，很有趣。
P.S 我是渣男LOL","The atmosphere is first -rate, and you have a good choice with your friends.
The name of each meal has also been carefully designed, which is very interesting.
P.s I am a scum man lol",False
"推薦滷味拼盤與香腸，其他就普普。
（沒喝酒就不評點）

總體來說，以用餐來說，CP 值不高，但若有三五好友聚聚可以當成宵夜場或第二攤的地方。","It is recommended to be a loquat platter and sausage, and the others are Pop.
(Don't comment without drinking)

In general, in terms of dining, the CP value is not high, but if there are three or five friends gathering as a place for supper or the second stall.",False
小豪老闆很帥 生啤很好喝！,Xiaohao's boss is very handsome and raw beer!,False
"夏日的夜晚，在這裡享用精心製作的台式滷味和冰涼的生啤酒，享受放鬆的時刻，店裡播放的是從小聽到大的台灣歌曲，隨興哼歌也很開心！
酒保說我們點的份量剛剛好，但我們點的大概可以給四個人吃：滷味拼盤、乾麵、地瓜粥、牛筋、牛腱、鴨血臭豆腐、手拌干絲、甜不辣，別人點的份量大概一人一份乾麵加上滷味拼盤，以這點來說，酒保給的意見很糟。
優點是，每一道菜都很好吃。尤其手拌干絲是涼拌豆干，孔隙較多而飽飽的吸滿花椒油和辣油，香氣十足，在咬下去的時候醬汁充滿嘴巴，鹹淡適中。
我個人喜好的甜不辣，搭配酸洋蔥（？）（酸菜）也是很美味。
酒的部分，印象最深刻的是小麥生啤酒。","In the summer night, enjoy the carefully made desktop loquat and cold raw beer here. When you enjoy the relaxed time, the shop has been broadcast on a large Taiwanese song since he was a child.
Jiu Bao said that the portion of our order is just right, but we can order about four people: loquat platter, dried noodles, sweet potato porridge, beef tendon, duck blood odor tofu, hand -mixed dried silk, sweet and not spicy, others are not spicy, others are not spicy, others are not spicy, others are not spicy. The amount of order is about one person, one dry noodles plus a loquat platter. In this regard, the opinions given by the bartender are very bad.
The advantage is that every dish is delicious.Especially the hand -mixed dried shredded shredded beans, the pores are more and full of pepper oil and spicy oil. The aroma is full. When the bite is bitten, the sauce is full of mouth and salty.
My personal preference is not spicy, and it is also delicious with sour onion (?) (Sauerkraut).
In the wine part, the most impressive is wheat beer.",False
醉美人很好喝，推薦！,"Drunk beauty is delicious, recommended!",False
店員態度很好，去過古亭、木柵的渣男，這裡服務態度是遇過最好的。很適合聊天配下酒菜，挺舒服的，干絲好好吃，還有鹹豬肉🥹點了兩盤，只是啤酒不夠冰😂其餘沒毛病！👌💕,"The clerk's attitude is very good. He has been to the scum man who has been to the ancient pavilion and Muzha. Here, the service attitude is the best.It is very suitable for chatting with wine and vegetables. It is very comfortable. The dried shreds are delicious, and the salted pork has two plates, but the beer is not enough to be ice.Bleak",False
十分有氣氛的地方，位子不多盡可能先預約，價位稍高但可接受,There is a very atmospheric place. There are not many seats as much as possible as much as possible. The price is slightly higher but acceptable,False
"東西超好吃，滷味超入味👍
酒就不用說了，喝酒的好所在呀😆
CP值棒棒的💯💯💯 …","East -stuff is super delicious, lohous melody is super in -flavor 👍
Needless to say, drink good at drinking 😆 😆 😆 😆
CP value is awesome ...",False
今天爬完象山來小酌，台式滷味的餐酒館，滷味不錯吃，店內復古氛圍，不斷循環周杰倫的老歌，店員超熱情拍照，拍照還幫忙想構圖👍🏻,"Today, I finished the Xiangshan to drink, the tabletop and tavern of the desktop, good meal, the retro atmosphere in the shop, constantly circulating Jay Chou's old song, the clerk is very enthusiastic about taking pictures, and helping to see the picture 👍🏻",False
"超台式的居酒屋，氣氛很熱鬧
適合聚會 (約會的人好像比較少)

可以吃得滿飽的，麻辣烏龍湯麵很讚
有飽足感
最讓我驚艷的是 滷牛筋/滷牛腱
平常超怕吃牛筋的口感，但滷牛筋超入味但又不會死鹹，口感上很入口即化
超級喜歡的😍(吃太快，整個沒拍到)","Ultra -platform izakaya, the atmosphere is very lively
Suitable for party (there seems to be less people who dates)

You can eat full, spicy oolong soup noodles are very good
Fullness
What surprised me the most is the braised beef tendon/braised beef tendon
I am usually afraid of eating beef tendon, but the braised beef tendons are super flavor but will not die salty.
I like the super favorite (eat too fast, I haven't taken the whole)",False
"調酒由左至右為：渣男烏梅醉、渣男吸引機、醉美人
以及百頁豆腐、甜不辣和杏鮑菇
餐點和酒都在水準之上，服務費態度也很好，還意外被請shot☺️","The bartending is from left to right: the scum man Wu Mei drunk, the scum man attracted machine, the drunk beauty
And 100 pages of tofu, sweet and not spicy and Pleurotus eryngii
The meals and wine are above the standard, and the service fee attitude is also very good. It is unexpectedly invited to be shot☺️",False
"氣氛很好 滷味 米血 乾麵都超好吃！！！
啤酒和調酒都不錯～喜歡這隻小滿
不會有啤酒的苦味也不會太甜
這間很適合三五好友一起來～～推～","The atmosphere is very good, the blood dry noodles are all delicious!IntersectionIntersection
Beer and bartending are good ~ I like this little Man,
There will be no beer's bitterness and it will not be too sweet
This is very suitable for three or five friends to come together ~~ Push ~",False
"看到有些人負評一兩顆星，在說又貴又普通，還是我剛好遇到超好吃的一次，在平日店剛開的六點就來用餐所以有五顆星的感受？

個人是覺得整體很不錯：
生啤很順口好喝、酒杯也是冰過的，牛三寶每部位都很軟好入口，牙套妹說讚，搭配店內的辣醬好吃（不是一般滷味攤辣醬），友人點的台式泡菜也很好吃，口感清脆超爽口、味道不會過酸，

店名取做渣男，但店員穿紳士簡服，餐酒館的燈光與氛圍但融入了許多台式元素比如花玻璃窗、台灣早期藍花紋餐盤、台灣流行樂與老歌，門口還貼有歪歪的春聯等。

至於整體貴的問題，這裡是居酒屋吧？如果只是當作滷味攤，有滷味攤會裝潢成這樣提供不錯的啤酒然後給你冷氣吹還不收服務費？","Seeing some people negatively commented on one or two stars, it is expensive and ordinary, or I just encountered a super delicious one. When I just opened it at six o'clock in the weekday store, I felt like five stars?

Personally I think the overall is very good:
The raw beer is very smooth and delicious, and the wine glass is also ice. Each part of the Niu Sanbao is very soft and the entrance is very soft. The braces girl praises it. It is delicious with the spicy sauce in the store (not a general stall spicy sauce). Eat, the taste is crispy and refreshing, the taste is not too acidic,

The store name is taken as a scum man, but the clerk wears gentleman's simplicity. The lighting and atmosphere of the dining tavern has incorporated many desktop elements such as flower glass windows, early blue pattern dishes in Taiwan, Taiwanese pop music and old songs. Spring Festival couplet and so on.

As for the overall expensive problem, this is izakaya?If it is just as a loquat stall, there will be a good beer to provide a good beer and then give you a service fee without air -conditioning?",False
"簡單說： 台灣人生氣，外國人開心。

裝潢有感覺，氣氛好，算是有創意的翻新台灣小吃文化，吃氣氛打卡OK,肚子餓的時候來會生氣。

餐點沒誠意，食材普通，醬料沒特色，基本功夫也差，重點吧台的服務態度散漫，衛生也不太好。

但低消一瓶飲料，啤酒都180起，牛腱約8小片120肉超老，百葉大腸小腸都普通，唯一OK是地瓜稀飯。整體CP值低，想吃滷味建議去大賣場都贏這裡。","Simply put: Taiwanese are angry, foreigners are happy.

The decoration has a feeling, the atmosphere is good. It is a creative renovation of Taiwanese snack culture. The atmosphere of eating is ok. When you are hungry, you will be angry.

The meal is not sincere, the ingredients are ordinary, the sauce is not unique, the basic kung fu is also poor, the service attitude of the key bar is loose, and the hygiene is not very good.

However, a bottle of drinks are low, and 180 beers are from 180 beer. There are about 8 small slices of beef tendon, 120 meat are super old, and the louver's large intestine is ordinary. The only OK is sweet potato porridge.The overall CP value is low, I want to eat loquat melody, I suggest to win here in the hypermarket.",False
"好適合和朋友閒聊、小酌的「類」居酒屋。
因為不是真的居酒屋，沒有任何日式居酒屋餐點，但風格有ㄧ點點像。
這裡最特別的是 餐點是像 #黑白切 #台式街邊風味料理 很可以當宵夜來聚ㄧ下！
#滷味拼盤 2人份 $360 份量挺多的下酒菜！
然後調酒價錢很佛心，挺好喝的！來個5杯也不會醉那種，哈（我老是覺得酒不夠濃🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️可能以前是酒鬼的關係 ）
和朋友分別點了
#我愛夏天 $250 酸酸甜甜的很夏天（女生應該都很愛吧）
#袖子酒 $200
#癡情男子漢 $250
#鬼島冰茶 $250 有冬瓜茶的fu很特別，朋友覺得很好喝！
初訪滿喜歡的，離家近，又不像附近夜店bar那麼吵，可以盡情聊天，很棒！推！
也滿適合ㄧ個人去也不尷尬的店喲！","It is suitable for ""category"" izakaya that is suitable for friends and drinking.
Because it is not a izakaya, there is no Japanese izakaya meal, but the style has a little bit like.
The most special thing here is that the meal is like #这里 这里 这里 这里 这里 这里 这里 这里.
#2 people are $ 360 and a lot of alcoholic dishes!
Then the bartending price is very good, it is very delicious!I won't be drunk if you come here, ha.
Order with friends
#I love summer $ 250 Sour sweet and sweet (girls should love it very much)
#$ 200
#$ 250
#$ 250 is very special with winter melon tea. Friends feel delicious!
I like it for the first time, close to home, and I am not as noisy as nearby nightclub Bar. I can chat with it. It is great!push!
It is also suitable for shops that are not embarrassing to go!",False
