Original,EN,Needs Review
"綠洲酒館真是個適合與好友大聊特聊的地方，調酒師很親切，會依照客人的喜好，而調出適合客人的酒！
不喝酒的我也可以幫忙調出好好喝的氣泡飲料
還有超療癒的可愛杯墊可以帶回家當紀念喔！
他們的炸雞跟三杯乾麵都很好吃
店門口就有公車站牌交通也便利","The Oasis Paper is really suitable for chatting with friends. The bartender is very kind and will call out the wine suitable for guests according to the preferences of the guests!
If you don’t drink alcohol, I can also help call out a good bubble drink
There are also super -healing cute coasters to take home as memorial!
Their fried chicken and three cups of dry noodles are delicious
At the entrance of the store, there is a public bus station license.",False
"調酒好喝、炸雞好吃、三杯雞炒麵也好吃！
bartender都好熱情，根據每個人的喜好推薦好喝的酒👍🏼👍🏼","Blooming is delicious, fried chicken is delicious, and three cups of chicken fried noodles are delicious!
Bartender is so enthusiastic, recommend delicious wine according to everyone’s preferences 👍🏼👍🏼",False
是個適合紓壓、放空、聊天的地方，調酒師會依照我們的喜好幫忙調出適合我們的酒❤️另外綠洲地段非常好及方便！推薦給大家,"It is a place that is suitable for relief, empty, and chatting. The bartender will help me with the wine that suits us according to our preferences ❤️ In addition, the oasis are very good and convenient!Recommend to everyone",False
"經典調酒味道非常正宗好喝👍🏻🍸
下酒菜必點麻辣滷牛雜❤️🐮
Like whisky sour and gin sour","Classic bartending tastes very authentic and delicious 👍🏻🍸
Drives must be spicy braised beef miscellaneous ❤️ 下
Like whisky sour and gin sour",False
很棒的一家店，酒好喝食物好吃服務好，食物必點麻辣蒸餃炒麵薯條，下次要再去現場聽音樂❤️位置不多，一定要先訂位哦,"A great shop, good wine, food, delicious food, good food, food must order spicy steamed dumplings fried fried fried fried fried fried fried fries. I have to go to the scene to listen to the music on the spot.",False
優質舒適氣氛佳燈光美的聽歌喝酒環境~來這邊看了我喜歡的駐唱歌手數次體驗都非常棒~店家態度親切隨和~,The high -quality and comfortable atmosphere is beautiful and the light listening to the song and drinking environment ~ I came here to see my favorite singer's singer several times.,False
"舒服的店。偶爾會有些展覽和live house
調酒以經典為主。也會有客人喜好做調整
以在信義區，價格實惠，品質穩定
吃的部分也不馬虎。看得出用心","A comfortable shop.Occasionally some exhibitions and live house
The bartending is mainly classic.There will also be guests like to adjust
In Xinyi District, the price is affordable and the quality is stable
The part of eating is not sloppy.See",False
"讚到不行的吧⋯⋯週五偶然經過，在此獲得很多快樂的酒吧
店內客人每個人臉上也都洋溢著笑容，酒喝多了的下場就是這樣：「快樂」！
Bartender都非常友善且充滿智慧😂

奉勸酒量普通的朋友們少點長島冰茶，我只喝了半杯隔天宿醉到傍晚，喝完整杯的朋友則是宿醉一整天，讚👍","Just praise it, let's pass by accident on Friday, get a lot of happy bars here
Everyone in the store is filled with a smile on the face, and the end of the drink is like this: ""Happy""!
Bartender is very friendly and full of wisdom 😂

I advised friends with ordinary alcohol to be less long island ice tea. I only drank half a glass of hangover the next day until the evening. Friends who drank the full cup were drunk for a whole day, praise.",False
"已經二訪的好店👍🏼
竹籃炸雞必點的好吃😋推薦搭配白啤酒一起享用！也喜歡玉荷包shot，帶著玉荷包香氣，入口香甜不膩不辣口，不專業的我覺得是清酒之類的米香做底～
老闆店員服務都超級友善人很好，店內空間舒適洗手間也很乾淨喔！ …","A good shop that has been visited 访
Bamboo basket fried chicken must be delicious. It is recommended to enjoy with white beer!I also like Yuhebao SHOT, with the aroma of the jade purse, the mouth is sweet, not greasy, and not spicy.
The owner's service service is very friendly, and the space in the store is comfortable to wash your hands!Mowing",False
調酒好喝，選用的基酒都很不錯，炸物小點也好吃，店內整體氛圍很舒適自在！,"The bartending is delicious, the selected base wine is very good, the fried small points are delicious, the overall atmosphere in the store is very comfortable!",False
"酒好，食物好，氣氛好，店員的表達也很細緻
店長真的讚，老闆請加薪😆","Good wine, good food, good atmosphere, and the expression of the clerk is also very detailed
The shop chief really praised, the boss please raise salary 店",False
"營業到兩點，最後加點到1:30
酒單上有多款經典調酒可以選擇，沒有看到的也可以詢問調酒師

店員都很熱情好客，不錯的酒吧","Open until two o'clock, and finally add points to 1:30
There are a number of classic bartending on the wine list to choose from, and those who have not seen can also ask the bartender

The clerk is very enthusiastic, a good bar, a good bar",False
調酒好喝熟食也好吃！店員會主動關心調酒合不合胃口很貼心～經典賽台灣贏義大利還有shot喝！讚！,Blooming is delicious and delicious!The clerk will take the initiative to care about the unsuccessful appetite and the appetite is very intimate ~ The classic competition has won the SHOT drink in Taiwan to win Italy!praise!,False
"與文藝結合的酒吧，愛慘這裡！已是口袋名單
bartender 的特調，杯杯驚艷！
重點，酒吧裡面賣的蒸餃！真的很值得品嚐。","Bar that combines with literature and art, love miserable here!Already a list of pockets
Bartender's special adjustment, the cup is amazing!
The point, steamed dumplings sold in the bar!It's really worth tasting.",False
"位置不算多，但空間和燈光讓人很放鬆，再搭配大黑的調酒，絕對 Chill~

餐點部份，炸雞和麻辣蒸餃必推👍 …","There are not many positions, but the space and light make people very relaxed. With the big black bartending, it is absolutely chill ~

For part of the meal, fried chicken and spicy steamed dumplings will push ...",False
"食物好吃，調酒很好喝
老闆親切，而且老闆推薦的私房調酒很有層次，希望老闆把它放到菜單上...
小酌的好地方","The food is delicious, and the bartender is delicious
The boss is kind, and the private room recommended by the boss is very layered. I hope the boss will put it on the menu ...
Good place to drink",False
"長島冰茶 好喝！
Bartender 都好聊
還要炸雞 跟 麻辣蒸餃都好吃！
值得每天晚上都來喝一杯！","Long Island ice tea is delicious!
Bartender is good to talk
Also fried chicken and spicy steamed dumplings are delicious!
It is worth drinking a drink every night!",False
"酥炸生蠔好吃到爆炸
瑪格麗特披薩也是 吃完覺得人生很幸福
竹籃炸雞也豪好吃ㄡ🤩 …","Crispy oysters are delicious and explosive
Margaret pizza also feels very happy after eating
Bamboo basket fried chicken is also delicious ...",False
"調酒超讚
食物也好吃

感謝老闆的招待
原來只想坐一下，沒想到一眨眼就到半夜了

位置不多，想聚就要先訂位
，但值回票價","Bartender
Food is also delicious

Thank you boss for your hospitality
It turned out that I just wanted to sit for a while, but I didn't expect to get in the middle of the night in the blink of an eye.

If there are not many positions, you must book a place first if you want to gather
, But the fare",False
"好酒，好氣氛，重點是：餐點水準根本屌打一般酒吧啊，可以來這邊吃晚餐啦。
麻辣蒸餃，炒麵一絕，必點。","Good wine, good atmosphere, the point is: the meals are at all, and you can call the bar, you can come here for dinner.
Spicy steamed dumplings, stir -fried noodles must be ordered.",False
不錯喝吧台跟店長很會帶氣氛,"Good drink, the table and the store manager will have the atmosphere",False
"點了一杯Blue Hawaii配店裡播放的音樂非常適合
Bartender威廉和三毛老闆都很熱情好聊","Ordered a cup of music played in the Blue Hawaii with the store is very suitable
Bartender William and San Mao boss are very enthusiastic about talking",False
酒沒喝多，喝不出什麼，但三杯炒麵很好吃！,"I did n’t drink too much wine, I ca n’t drink anything, but the three cups of fried noodles are delicious!",False
