Original,EN,Needs Review
"訂位每位訂金300
餐點跟調酒都還不錯！
時不時服務人員會來拉酒嘴😂
用餐時間有限制～～～
但氛圍還不錯有現場演唱🥰🥰","Each deposit of 300 binding
Meals and bartending are pretty good!
From time to time, the service staff will come to pull the wine 时
There are restrictions on meals ~~~
But the atmosphere is not bad, there are live singing 🥰🥰",False
"久聞隱世餐酒館盛名，這次藉著到松仁威秀看電影順便覓食晚餐的機會來訪，適逢「原住民之夜」活動，在人聲鼎沸的客區，除了震撼滿點的現場演唱外，還獲得了本土風情滿點的招待品「保力達 + 莎莎亞椰奶 + 辣芒果乾」（笑）！

對我而言，料理部分味道都不錯，就是份量都偏多，要人多才好吃；酒水部分就差強人意了，幾乎都是添加物的味道，不是我的菜；不過看在料理多樣又不錯吃的份上，覺得這一趟還是挺不錯的。

----------
【黑魚子蒸燒賣】
紮實的豬絞肉裡還有蝦仁塊，上方以魚卵點綴，好吃且彈牙。

【松露蟹滑蛋】
蟹味棒的甜味和松露醬挺搭配，佐以滋味濃郁的土雞蛋，還不錯吃。

【茶餐籠蒸雙豚】
香腸和肉餅都很好吃，蒸飯略乾不濕黏，我還挺喜歡。

【綻青】
主體是琴酒與柚子風味，可說是杯略帶青茶茶感與紫蘇香氣的Gin Fizz，酒感很輕。

【茉莉雨】
太過酸甜，酒感都被蓋掉了，不推。

【艋舺】
滋味偏苦，茶感不明顯，杯緣的鹽還挺適合這酒水的滋味，酒感中等偏輕。

【梅乃宿柚子酒】
連喝了三杯調酒都覺得雷，乾脆點杯安全牌的柚子酒來喝喝。

【保力達 + 莎莎亞椰奶 + 辣芒果乾】
店家贈送的招待品，保力達 + 莎莎亞椰奶 + 檳榔是貨車司機上路前常在檳榔攤購買的標準提神配備，只不過裝在清涼檳榔盒裡的不是檳榔，是辣芒果乾。
我還是第一次喝保力達，酸酸甜甜的滋味、像沒有氣泡的維大力汽水，和莎莎亞椰奶也挺搭的，真是讓人印象深刻的招待品（笑）。","Jiuwen Hidden World Dinner Restaurant is famous. In addition to singing, it also won a little local entertaining product ""Polyda+ Sashaya Coconut Milk+ Spicy Mango"" (laughs)!

For me, the cooking part of the taste is good, that is, there are too many portions, and more people are delicious; the alcohol part is poor, almost all of the additives, not my dish; I think this trip is pretty good.

-----------
[Black caviar steaming and sale]
There are shrimp pieces in the solid pig twisted meat, which are embellished with fish eggs above, delicious and elastic.

【Rulu Crab Slip Egg】
The sweetness of the crab flavors and truffle sauce are very well matched, and the taste of the soil eggs is pretty good.

[Tea meal steamed double dolphin]
Sausage and meat pie are delicious, and the steamed rice is slightly dry and sticky. I like it quite.

【Blooming】
The main body is the flavor of piano wine and grapefruit. It can be said that the GIN FIZZ with a slightly green tea tea and the aroma of perilla is very light.

【Jasmine Rain】
Too much sweet and sour, the wine feels covered and not pushed.

【艋舺】
The taste is bitter, the tea feel is not obvious. The salt of the cup is quite suitable for the taste of the wine.

【Mei Naisu Grapefruit wine】
Even after drinking three glasses of alcohol, I felt thunder.

[Polyda + Sashaya coconut milk + dried mango]
The hospitality presented by the store, Polyda + Sashaya Coconut Milk + betel nut is the standard refreshing equipment often purchased at the betel nut stalls before the road driver, but it is not betel nut in a cool betel nut box, but dried spicy mango.
I still drink Polyda for the first time. The sweet and sour taste, like Vicated soda without bubbles, and Sashaya coconut milk, it is really impressive for hospitality (laughs).",False
"比其他家分店氣氛更好，品項也更吸引人，選在週五晚上前往，駐唱歌手很會帶氣氛，只是相較之下不好聊天但可以很嗨
餐點還不錯，只可惜有限時間，待到不想走
雖然餐廳規範多，但實際體驗是很不錯，會想再來","The atmosphere of other branches is better, and the items are more attractive. Choosing to go on Friday night. The singer is very atmospheric, but it is not easy to chat but it can be very hi.
The meal is pretty good, but unfortunately a limited time, I don’t want to leave
Although the restaurant has many specifications, the actual experience is very good, I want to come again",False
雖然不是一般餐廳，但菜色完全不輸，尤其是鮭魚卵蒸蛋必點，不只酒的種類多樣，菜色也會選擇障礙。,"Although it is not a general restaurant, the dishes are not lost at all, especially if the salted egg steamed eggs must be ordered. Not only the types of wine are diverse, but the dishes will also choose obstacles.",False
"🍴餐廳：
隱世餐酒館（永春店）

🧹環境：
店址在地下一樓，室內光源可能是因為有live band的關係調得很暗，店內有許多高高低低的階梯，需要小心腳步。（很笨的我在同一個地方跌倒了三次）整體環境乾淨且空間規劃蠻寬敞舒適，我們坐的位置剛好可以很清楚地看到live band，是一個視覺與聽覺的享受。

💁服務：
店內客人很多，服務生需要東奔西跑，但還是很敬業的時不時的注意我們的需要，最棒的是有時候就會突然跑來拉酒水，差點被搞死😂

🥘餐點：
這次點的食物有點多，就不一一評價了，整體來說我蠻喜歡他們家的味道，去過兩間不同的隱士及隱世餐酒館，雖然店內低消一人800，但我覺得每道餐點對應上它的價格是有其價值，在水平之上，是一間我會推薦的餐廳。

🍸飲品：
精釀啤酒 - 很清爽的口感，但我忘記名字了⋯請原諒我的不專業
穆赫12年 - 很喜歡的一支酒

⭐️：4.5/5
人均：2000+","🍴 Restaurant:
Hidden World Restaurant (Yongchun Store)

🧹 Environment:
The site is on the first floor of the ground. The indoor light source may be because the relationship with Live Band is very dark. There are many high and low stairs in the store, and you need to be careful.(Stupid, I fell three times in the same place.) The overall environment is clean and the space planning is quite spacious and comfortable. We can see the Live Band very clearly, which is a visual and auditory enjoyment.

💁 Service:
There are a lot of guests in the store, and the waiters need to run eastward and west, but they still pay attention to our needs from time to time. The best thing is that sometimes they suddenly run to pull the wine, and they are almost killed.

🥘 Meal:
There are a lot of food this time, so I do n’t evaluate them one by one. Overall, I like the taste of their family. I have been to two different hermits and hidden world restaurants. Although the store is 800 low in one person, I think every time I feel It corresponds to the price of the meal point. It has its value. On the level, it is a restaurant I will recommend.

🍸 Drink:
Craft beer -very refreshing taste, but I forgot the name, please forgive me for unprofessional
Much 12 years -I like a wine very much

5️: 4.5/5
Per capita: 2000+",False
"很有氣氛的餐酒館
服務也是特別的好
還有很棒的現場演唱
每天都有三場
19:30
20:30
21:30
都不同人唱喔
餐點價錢雖然高
但是都很大份又好吃CP值很高喔
只有酒稍嫌貴了點，但是偏偏也很好喝，小小喝還行的
一定會再訪","Very atmospheric dining tavern
The service is also particularly good
There are also great live singing
There are three games a day
19:30
20:30
21:30
Different people sing
Although the price of meals is high
But they are very large and delicious CP value is very high
Only the wine is a bit expensive, but it is also delicious, and it is okay to drink a small drink.
Will definitely visit again",False
"食物好吃，雖然有一點點偏油，但是配上酒很適合，表演不錯，酒好喝，吧檯也很友善。

如果是要一個Hi的場合，非常合適

可惜我今天是要談話交流的場合，但訂到的是喇叭下方的吧檯位。","The food is delicious. Although it is a little bit oily, it is very suitable for wine, the performance is good, the wine is delicious, and the bar is also very friendly.

If it is a hi occasion, it is very suitable

Unfortunately, I am going to talk and communicate today, but I ordered the barrities below the speaker.",False
"服務絕對是無庸置疑的五顆星
非常聰明、處理事情有彈性的服務人員，真的太喜歡他們了！完全站在客人立場著想，整個晚上都覺得心暖暖的🫶🏻

氣氛非常棒就不用說了，歌手很優秀，也很會帶氣氛

餐點也真的好吃，好幾道都點了好幾次，我們這群朋友太餓了，菜一上桌迅速分食完畢😂可惜只拍到幾道跟大家分享

下一次還要再去的餐酒館❤️","The service is definitely the five stars that are unquestionable
Very clever and elastic service personnel who do things really like them!Standing all from the guest stand and thinking, I feel warm throughout the night.

Needless to say, the atmosphere is great, the singer is excellent, and it will also have the atmosphere

The meal is really delicious. I ordered several times a few times. Our groups of friends are too hungry. After the dishes are on the table, the food is quickly divided into food. Unfortunately, I only took a few to share with you.

I will go to the restaurant next time ❤️",False
駐唱的都超會唱，餐點好吃，但酒待加強，經典調酒喝起來全是酒味沒特色，特調又太果汁沒酒感,"The duan is super singing, the meal is delicious, but the wine is to be strengthened.",False
氣氛很讚，餐點真的很好吃，完全不踩雷。現場live band與演唱很high。每位演唱歌手都實力派,"The atmosphere is very good, the meal is really delicious, and I do n’t step on the mine at all.Live Band and singing are very high.Each singer is powerful",False
