Original,EN
新菜單真的深得我心 價錢合理 味道特別 聽說後續還有新菜色會新增 這次是荷蘭鬆餅有甜有鹹真的喜歡 還會再來,"The new menu really won the reasonable price of my heart. Specialty. I heard that there are new dishes. This time, it will be added. This time, it is sweet and salty in the Netherlands."
"我們辦活動所以在這裡包場
事先點了餐點 但有幾桌先到
請他們先上炸薯條 他們說不行要炸的話
要全部一起上 我覺得超怪的
啊如果有單點的客人不是也一份一份上的嗎

飲料的部分：啤酒滿推的 其他飲料有點慘不忍睹

餐點：沙拉推推 但牛排超不推 擺盤很美
但是真的太像在吃橡皮筋了🥲 第一次上來太生有貼心的幫我們二次加熱 但還是一樣啦
感覺不太值得

甜點：三種甜點我們都有點 都滿不錯的 特別是提拉米蘇跟熔岩巧克力布丁口感見仁見智","Our activities, so we will package the field here
I ordered a meal in advance but there were a few tables first
Please go to the fries first, do they say what they want to fry
I think it's super weird to go together
Ah, isn't there a single -point guest?

Part of the drink: The other drinks full of beer are a bit terrible

Meal: Salad push but the steak is super beautiful.
But it's really too much like eating rubber bands. For the first time, I came up and helped us to heat it twice, but it's still the same.
It's not worth it

Dessert: We are a bit good for three kinds of desserts, especially Tiramisu and lava chocolate pudding mouth."
空間環境挑高，還有大螢幕，若是看球賽很舒服。餐點牛舌寬麵必點，鮮釀啤酒口味多樣，搭配餐點啊之後輕爽,"The space environment is high, and there are big screens. It is very comfortable to watch the game.Meal the beef tongue wide noodles must be ordered, fresh beer has a variety of flavors."
"二訪樹懶基地🦥
依舊坐在有夜店風格的二樓

🥬 烤蔬菜：無功無過 茄子沒什麼味道
🦀 蟹黃燉飯：每一粒米都有裹上蟹黃，還有整隻肉很多的軟殼蟹點綴 驚艷
🐄 牛舌寬扁麵：炸牛蒡在一旁增加口感，麵條雖粗但很入味，牛舌軟嫩

桌和桌之間實在太近
隔壁桌講話會干擾 希望可以改善","Two Visit Tree Base 懒
Still sitting on the second floor with a nightclub style

无 Baked vegetables: No meritorious or eggplant, no taste
每 Crab yellow stewed rice: Each grain of rice is wrapped with crab yellow, and a soft shell crab with a lot of meat is amazing
The beef tongue wide flat noodles: fried beef gruel adding taste on the side. Although the noodles are thick but very delicious, the beef tongue is soft and tender

The table and table are too close
Speech next door will interfere with hope and hope to improve"
"鮭魚義大利麵
比較重口味
微微辣

松露薯條
外酥內鬆軟
餐點都不錯吃

價位稍微高一些
義大利好像460左右
搭配套餐+180左右

午餐用餐在二樓
座位稍微有點擁擠
和鄰桌距離太近","Salva Italian Noodles
Heavier taste
Slightly spicy

Truffle fries
Crispy and soft inside
The meals are good

The price is slightly higher
Italy seems to be around 460
Set up meals +180

Lunch dinner on the second floor
The seat is a bit crowded
The distance from the neighboring table is too close"
牛舌麵味道個人無法接受，開胃菜份量都很少，飲料加了很多冰塊喝起來跟水一樣很沒有誠意，來這邊人均至少一千，但餐點品質真的很普，可以來跟朋友吃氛圍，但是就品質和價格來說，這個價位有更多更好的選擇。,"The taste of beef tongue is unacceptable, and the appetizers are very small. The drink adds a lot of ice cubes to drink as sincere as water. At least 1,000 people come here, but the quality of the meal is really universal. You can follow it. Friends eat atmosphere, but in terms of quality and price, there are more and better choices at this price."
酒不錯喝，但3樓不如照片漂亮，旁邊東西雜亂堆了很多東西，而且樓下的人都在3樓抽菸，有夠臭！在這邊喝酒真的不推，有點失望。,"The wine is good to drink, but the 3rd floor is not as beautiful as the photo. The things next to it have a lot of things, and the people downstairs smoke on the 3rd floor. It is smelly!Drinking here is really not pushed, a little disappointed."
"套餐附的水果狀況很糟，像是撞傷和冷藏過久。
主餐燉飯的溫度不夠，溫溫的熱度。手工寬義大利麵還不錯吃，牛舌薄片軟嫩好吃，但是塊狀部位偏硬難咬，我才應該是前端部位，需要更多時間燉煮。","The fruits attached to the package are very bad, like injuries and refrigeration for too long.
The temperature of the main meal stew is not enough, warm and warm.Hand -wide and long noodles are not bad. The beef tongue is soft and delicious, but the block -shaped part is hard and difficult to bite. I should be the front -end part, and it takes more time to stew."
看了好久的店，真的沒讓人失望，軟殼蟹燉飯很好吃，生菜沙拉比較特別，是一整顆生菜在裡面，醬料不錯，松露薯條味道很夠，餐廳服務也很好，推薦！,"After watching the shop for a long time, it is really not disappointing. The soft -shell crab stew is delicious. The lettuce salad is more special. It is a whole lettuce inside. The sauce is good. Okay, recommend!"
用餐環境很 chill，整體燈光氛圍是偏昏暗的，每樣料理都很好吃，松露薯條份量真的太小了，店家賺爛。,"The dining environment is very chill. The overall lighting atmosphere is dim. Each dish is delicious. The amount of truffles is really small, and the shops make rotten."
頂樓似乎沒有什麼裝潢，算是一間簡單的酒吧，調酒並沒有很多種類，比較像是local bar的感覺,There seems to be no decoration on the top floor. It is a simple bar. There are not many types of bartending.
天氣好可以訂位戶外座位吧檯，氣氛輕鬆好聊天,"If the weather is good, you can book outdoor seat bar, the atmosphere is easy to chat"
"跟朋友們來，一致覺得牛排很好吃值得推薦。但牛排要等比較久，可以來之前先告知預定。店員（店長？）說是請到某知名牛排餐廳的廚師過來。
青醬干貝燉飯也很不錯，干貝新鮮帶著煎出焦香。烤蔬菜好吃值得點。三樓的bar 有部分露天的桌椅與植栽，滿適合聚會聊天～","Come with friends, unanimously feel that the steak is delicious and recommended.But the steak should be waited for a long time, you can inform the book before you come.The clerk (store manager?) He said he was invited to the chef of a well -known steak restaurant.
Green sauce dried scallops are also very good. The scallops are fresh with a fragrant fragrance.Baked vegetables are delicious.There are some open tables and chairs and plants on the third floor, which is suitable for party chat ~"
"松露薯條可以、辣雞翅的醬真的有辣，配地瓜很特別。飲品普普～
但服務很好","Todgeflains can be spicy, spicy chicken wings sauce is really spicy, and the sweet potatoes are very special.Drink Pupu ~
But the service is very good"
我們有事先在網路訂位，但用餐時仍有滿多空位～雖然店家有收服務費，但是服務都蠻被動的，入座後並不會主動提供水，要自己跟服務人員要才會有，當天觀察到其他桌的客人也有遇到這個問題，而且也完全不會幫忙補水，需要一直找服務員…，然後餐點也是等了世界久🫠我點的酪梨吐司很好吃，但是份量少，甜點提拉米蘇的酒味較重，不過很好吃是大人的口味，酒漬櫻桃熔岩蛋糕上桌前會加熱十分鐘，味道不錯，可是挖下去完全沒有熔岩流心，裡面還是固體的巧克力蛋糕，吃起來也溫溫的，最後的泰奶布丁上面加了椰子片，我們都沒有很喜歡，不喜歡椰子相關製品的朋友要注意哦⚠️整體CP值偏低，不會再訪～,"We have booked a place on the Internet in advance, but we still have a lot of vacancy during the meal ~ Although the store has a service fee, the service is quite passive. After the seat, we will not actively provide water. The guests who observed other tables on that day also encountered this problem, and they would not help to replenish water at all. I needed to find a waiter ... Then the meal also waited for the long -lasting avocado toast. Without the taste of dessert Tiramisu, it is very delicious, but it is the taste of adults. The wine -stained cherry lava cake will be heated for ten minutes before serving. The chocolate cake is also warm. The last Thai milk pudding is added with coconut slices. We do n’t like it very much. Friends who do n’t like coconut -related products should pay attention ⚠️ The overall CP value is low, and we will not visit again ~"
