Original,EN
"關東煮吃了好多年還真沒點過炸豬排😆

—富士蘋果醬炸豬排—

平常來通常只會點關東煮，大不了加一些烤物，完全沒想過要點炸豬排，沒想到吃了之後驚為天人，甚至比很多豬排專賣店還要強，豬排本身麵衣不算厚也不刮嘴，單吃調味不太重，加上旁邊的蘋果醬後味道變得很有趣，微甜蘋果味的炸豬排意外的還蠻順口的。中間還可以搭配旁邊的生菜絲與蘋果片轉換一下口感，但烤吐司串就不知道在幹麻了，口感上感覺應該是烤得不夠酥，導致整個口感很尷尬😅。

—特撰燒雞串—

口味上一串是鹽烤，另一串是醬燒。烤製的火候把控的很好，外皮微焦的狀態下，內部已經熟了且仍飽和水份。醬燒也不是走重鹹派的，醬香微甜還帶有炭香。若只點關東煮再點上一份也是很爽的！

#富士蘋果醬炸豬排 #特撰烤雞串
#豚カツ #焼き鳥 #關東煮
#定番 #太鼓判 #太鼓判關東煮
#台北美食 #雙北美食 #內湖美食","Kanto has been cooking for many years, I really haven't ordered fried pork chops 😆

- Fuji apple sauce fried pork chop-

Usually, I usually only order Kanto cooking. I have added some grilled objects. I never thought about the main point fried pork chops. I did not expect to be shocked after eating. It was even stronger than many pork chop stores. Scrape your mouth, the seasoning is not heavy, and the taste becomes very interesting after the apple sauce next to it. The slightly sweet apple -flavored pork chop is unexpectedly smooth.In the middle, you can also use the lettuce shreds and apple slices next to the taste, but the grilled toast skewers do not know that they are dry and numb. The taste should not be baked enough, which makes the whole taste embarrassed.

- Special roast chicken skewers-

The flavor is roasted with salt, and the other is sauce.The baking heat controlled very well. In the state of slightly scorched the outer skin, the interior was cooked and still saturated water.The sauce is not heavy and salty, and the sauce is slightly sweet and has charcoal fragrance.It would be very cool if you just order Kanto to cook again!

# #Special grilled chicken skewers
# # #
# #Tai Dan Judging #
#Taipei Food #Double North Food #Neihu Food"
"內湖這邊很知名的關東煮名店，位在金湖路上，門口旁邊擺著幾桶大型的日本清酒，配上低調的招牌，還有櫃檯旁琳瑯滿目的酒牆，再再表明這裡是個有吃有喝的好地方（？！）

由於也不會特別限制用餐時間的關係，所以尖峰時段想來內用的話，必須要先在櫃檯旁排隊等待。不過這時候可以先看看菜單想一下要點什麼就是了，這裡覺得一個讓我印象很深刻的應該就是煮蘋果了，看著被關東煮湯汁泡得有點淡紅色與褐色的蘋果在湯裡面載浮載沈的樣子，一開始還真的看不出這是什麼，不過吃起來卻意外的非常好吃～

店裡面的座位有很多種，比較低的多人木桌木椅（甚至可以拿塑膠製的玻璃瓶收納箱來當椅子，超浪漫😂）、類似吧台的單人高腳座位區、還有多人聚餐用的高腳鐵桶桌。讓人看了覺得真的很有日本下町的燒烤店風格，因為自己在日本待過一段時間所以對這種氛圍還有裝潢真的非常懷念☺️。

食物的部分，我覺得最棒的是湯頭跟醬料，這兩樣對了，基本上配什麼都可以非常好吃，當然這裡的用料也是非常高水準，不管是菜的品質甚至是量都非常有誠意。那個茭白筍的大小真的是令我瞠目結舌，搭配上特製的抹茶鹽，真的是吃得非常滿足😚

週末的夜晚，喝著熱熱的關東煮湯頭、跟身旁的人開心的聊天，我真的是心滿意足🥰

非常推薦這裡～

🍢🍺","The well -known Kanto cooking shop in Neihu is located on Jinhu Road. There are a few barrels of large barrels of large Japanese sake, with a low -key sign, and a variety of wine walls next to the counter. Good place to drink (?!)

Because the relationship between dining time is not particularly limited, if you want to use it in the peak period, you must line up next to the counter.But at this time, you can look at the menu and think about what the main point is. Here I feel that one thing that impressed me is to cook the apples. Looking at the cooked soup by Kanto, the red and brown apples are raging in the soup. The sinking look, I really can't see what it was at first, but it was very delicious to taste ~

店里面的座位有很多种，比较低的多人木桌木椅（甚至可以拿塑胶制的玻璃瓶收纳箱来当椅子，超浪漫😂）、类似吧台的单人高脚座位区、还有多Human meal tall iron barrel table.It makes people feel that it really has the style of barbecue restaurants in Shima -cho, Japan, because I have been in Japan for a while, so I really miss this atmosphere and decoration ☺️.

In the food part, I think the best is the soup and sauce. These two are right. Basically, everything can be delicious. Of course, the ingredients here are also very high. Sincere.The size of the white bamboo shoots really made me startled, and with the special matcha salt, it really was very satisfied with 😚

On the weekend night, drinking the hot Kanto boiled soup head, and chatting with the people beside me, I am really satisfied with

I recommend this very much ~

Bleak"
"東湖的關東煮名店 #太鼓判 ODEN BAR，以特色日式食材關東煮、和美女老闆闖出名號，從原本的小攤車，到金湖路的大店面，還賣起燒烤和清酒，生意好到傍晚一開店就開始排隊了！

先排隊候位，再依續點關東煮、和燒烤類。關東煮的精髓在於湯頭，蔬果熬煮的湯頭口感清爽甘甜，喝完不夠還可加湯。

關東煮有蠻多日式食材，像是整顆蘋果下去熬的蘋果煮，還有鱈魚豆腐、高山娃娃菜、魚子福袋等。

不過最愛的還是牛蒡天婦羅，乾吃或是泡湯吃，都有不同風味口感，有海味的香甜，非常涮嘴。

店內的氛圍就是寬敞版的日式居酒屋，很適合搭配燒烤或熱炒，一夜干和炒烏龍都不錯，再點杯啤酒暢飲一下，頗消暑。還蠻多住附近的家庭客和學生，上班族下班後小酌的也不少。

太鼓判 ODEN BAR
營業時間：1730-2300
地址：台北市內湖區金湖路377號

#台北探店 #台北美食 #關東煮","Donghu's Kanto Boil Store#Tai Dujie Oden Bar, with the special Japanese ingredients Kanto Boil, and the beauty boss, from the original stalls, to the large stores in Jinhu Road, they also sold barbecue and sake. The business is good in the evening As soon as you open a store, you start to line up!

Stay in line first, then cook at the point of Kanto, and barbecue.The essence of Kanto is the soup head. The soup with fruits and fruits is refreshing and sweet. You can add soup without enough drinking.

There are many Japanese -style ingredients in Kanto, such as apples cooked by the whole apple, as well as cod tofu, alpine dolls, caviar bags, etc.

However, the favorite is the cowboya tempura. It has different flavors of taste, and has different flavors. It has the sweetness of seafood and is very pouting.

The atmosphere in the store is a spacious version of Japanese -style izakaya, which is very suitable for grilling or hot stir -fry. It is good to dry and fried oolong overnight. Then order a cup of beer to drink, which is quite summer.There are quite a lot of family customers and students nearby, and the office workers have a lot of drink after get off work.

Taigan judge lyn bar
Business hours: 1730-2300
Address: No. 377, Jinhu Road, Neihu District, Taipei City

# #Taipei Food #"
內湖關東煮名店也有日式串燒。因住在附近常到訪小酌。先到前台點餐再入座。座位有圓桌跟吧台。此次點關東煮溏心蛋，豆皮，菜卷，黑輪跟牛蒡天婦羅。關東煮湯頭為柴魚帶出鮮甜味，很清爽。 牛蒡天婦羅好吃必點。 另外點番茄沙拉，雞肉串（醬燒跟明太子口味）跟節瓜串搭配柚子啤酒。蕃茄沙拉整顆切薄片淋上紫蘇芥末油醋醬，外加上面點綴海苔。 一定要讚賞蕃茄沙拉，看似簡單味道卻不簡單。 醬汁微酸微芥末，再加上海苔融入鹹味，很是跟番茄合拍，另外值得提是擺盤精美。 雞肉串多汁外搭上醬汁跟明太子很香。,"Neihu Kanto Boiled Store also has Japanese skewers.I often visit nearby.Go to the front desk for dinner and then take a seat.The seat has a round table.This time, the cooked eggs, bean skin, vegetable rolls, black wheels and cow cowo.Kanto boiled soup head brought fresh sweetness to firewood, which is very refreshing.The cow's tempura must be delicious.In addition, order tomato salad, chicken skewers (sauce and prince flavor) with melon skewers with grapefruit beer.Tomato Salad split a thin piece and drenched with perilla mustard oil vinegar sauce, and the surface is decorated with seaweed.Be sure to appreciate the tomato salad, but it seems simple but not simple.The sauce is slightly sour and slightly mustard, and the sea moss is integrated into the salty taste. It is very good to shoot with tomatoes. In addition, it is worth mentioning that it is exquisite.The chicken skewers are sauce and the sauce is very fragrant with Prince Ming."
"女兒極力推薦的關東煮名店，才17:30已經需要排隊半小時才輪到我們。
日系裝潢，但我覺得太昏暗了！
關東煮、炸物、烤串應有盡有，清爽的湯頭，帶出蔬菜的甜味，請無限自取。
自製梅酒盛酒器皿優美，但酒就不如我自釀的。🤭🤭🤭
烤魚、炸雞軟骨都是我最喜歡的。","The Kanto Boiled Store, which my daughter highly recommended, only needed to queue for half an hour to turn at 17:30.
Japanese decoration, but I think it's too dim!
Kanto boiled, fried, and skewers should be available. The refreshing soup head brings out the sweetness of vegetables. Please take it infinitely.
The self -made plum wine is beautiful, but the wine is not as good as I brewed.Bleak
Baked fish and fried chicken cartilage are my favorite."
"生意超好的內湖宵夜名店，確定有位置後再排隊點餐(燒烤畫單、關東煮排隊)，價格稍高，三個人沒喝酒就點了18XX😂 店內氣氛很好，店員看我們在猶豫要點什麼還會主動推薦，而且推薦的都很好吃！

整體口味偏清淡，關東煮的湯很甜、不過鹹，喝完可以自己續湯，醬料也很不錯😆；當天幾乎菜單上的都點過一遍，基本上每樣都很有水準，不會踩雷！燒烤我覺得就偏普通一些，可以把預算放在關東煮上哈哈哈😂

😊📍特別推薦：(關東煮) 鱈魚豆腐、蘋果煮、福袋、溏心蛋。","Inner lake supper shop with super good business, after confirming that there is a location, line up to order (barbecue painting list, Kanto boiled queue), the price is slightly higher, the three people ordered the atmosphere of 18xx😂 in the shop. The clerk see us hesitating I will take the initiative to recommend something, and the recommendation is delicious!

The overall taste is light. The soup cooked in Kanto is very sweet, but salty. You can renew the soup by yourself after drinking. The sauce is also very good. thunder!I think the barbecue is more ordinary. You can put the budget on Kanto on the Kanto hahaha 😂

东 Special recommendation: (Kanto cooked) cod tofu, apple cooking, blessing bag, and heart egg."
"關東煮及串燒都好吃。

番茄沙拉擺盤很漂亮也很爽口，人很多，開始營業沒多久就客滿。","Kanto and skewers are delicious.

The tomato salad plate is beautiful and refreshing. There are many people, and it will be full after it starts."
"從年輕在路邊擺攤車吃到現在有店面很久，來吃過的次數數不清，還帶親朋好友來吃，總之就是很喜歡很常來。

以為之前做過評論都沒拍，只拍了之前沒吃過的烤皎白筍，沒想到沾粉是抹茶，非常特別，配起來無違和感。

關東煮幾乎都喜歡，湯頭很甜是用蔬菜熬的，很多人時會點炒烏龍麵，很Q喜歡。還有牛蒡天婦羅也愛點。基本上沒吃過難吃的，所以想吃什麼就點，都推。

老闆娘依然年輕貌美又和藹可親，之前帶狗來，老闆娘還幫忙安排適合放狗的位子，而且常看到老闆娘也在外場幫忙，完全沒老闆架子。

雖然價格偏高，但很舒服的環境，讓我想來就來，只是熱門時段可能需要排隊等待，可以刷卡，不怕現金不夠。","I have been eaten on the roadside stalls for a long time, and the number of times I have eaten is unclear. I also take relatives and friends to eat. In short, I like it very often.

I thought that I hadn't made a comment before, and I only took the roasted white bamboo shoots that had never been eaten before. I did not expect that the dipping powder was matcha, which was very special, and it was worthless to match.

Kanto almost likes to cook. The soup is very sweet and boiled with vegetables. Many people will order oolong noodles when they are very q.There is also a cow's tempura.Basically, I haven't eaten difficulties, so just push whatever you want to eat.

The boss is still young, beautiful, and kind. Before he brought dogs, the boss also helped arrange the seat suitable for dogs, and often saw the boss's help in the field, without the boss's shelf.

Although the price is high, it is a very comfortable environment that makes me want to come, but it may need to wait in line during the hot period. You can swipe your card, not afraid of not enough cash."
"太鼓判
曾在附近工作生活一段時間，還沒造訪前總覺得奇怪這家店沒什麼顯眼招牌，但每每到晚上總會有大排長龍的人潮排隊進而吸引目光。
ㄧ試成主顧時常和親友造訪聚餐，是我們忙碌生活消除工作疲勞的好去處。相隔多年這次與姐妹們約來附近飯店住，晚上當然首選就來太鼓判「解憂」一番。
餐點大致分為關東煮與燒烤，和另外廚房製作的餐點，店面有多種「酒精飲品」可以配，搭配美味餐點小酌一番，再配一些親友練蕭喂是人生一大享受～～
店內座位不多，環境像是韓劇裡面的燒烤店，排隊點餐是必然的，關東煮口味清甜，有很多市面上不是常見的，很特別 ，像是鱈魚豆腐就好好吃 口感細緻 白嫩白嫩的，在關東煮前直接點，另外也有可以點的菜單是燒烤類與廚房製作的，每一項都在水準之上，燒烤技術真的是一流，吃得到炭香，配上消暑啤酒🍻真的很讚！燒烤類我大推烤魷魚～～還有一定要另外點牛蒡天婦羅，越嚼越香～
整體而言環境舒適、氛圍滿分；其他餐點也都超級好吃，我個人是⭐️⭐️⭐️⭐️⭐️大堆！
至於有多好吃大家自己來體驗吧！","Taller judgment
I have worked and lived nearby for a while. Before I visited, I always felt strange that this shop had no conspicuous signboards, but at night, there would always be a lot of people in line to attract attention.
ㄧ Try to visit and visit dinner with relatives and friends, which is a good place for our busy life to eliminate work fatigue.For many years, this time with the sisters, I came to the restaurant nearby. Of course, I would like to ""solve the worries"" at night.
The meal is roughly divided into Kanto cooking and barbecue, and the meal made of another kitchen. There are a variety of ""alcoholic drinks"" to match the store. With a delicious meal, it is a lot of enjoyment in life with some relatives and friends ~ ~
There are not many seats in the store, and the environment is like a barbecue restaurant in Korean dramas. It is inevitable to line up and order. The taste of Kanto is sweet and sweet. There are many common ones on the market. It is very special. Speak directly before the Kanto cooking, and the menu that can be ordered is made of barbecue and kitchen. Each item is above the standard. The barbecue technology is really first -rate. praise!Barbecue, I push grilled squid ~~ There must also be another cow cow macarolic, the more chewed the more fragrant ~
Overall, the environment is comfortable and full of atmosphere; the other meals are also super delicious. I personally ⭐️⭐️⭐️⭐️⭐️ ⭐️ A lot of!
As for how delicious you are, let's experience it yourself!"
喜歡關東煮口味鮮美好吃😋，小卷一夜干必點，明太子雞肉丸對不配酒的人來說略鹹，每次都搭了幾碗關東煮湯😃 …,I like Guodong to cook fresh and delicious. Small rolls must be ordered overnight. Ming Prince Chicken Ball is slightly salty for people who do not match alcohol. Every time I put a few bowls of Kanto boiled soup ...
