Original,EN
"「經典大拼盤」
有著豬五花、松阪豬、牛小排與些微的青菜
愛肉肉的夥伴肯定會喜歡

「部隊鍋」
特色就是午餐肉、熱狗、年糕和韓國人最愛的泡麵
其實不會辣，加了高麗菜讓湯頭更鮮甜，好喝！

「魚板湯」
魚板使用的魚漿用料實在，每一口都非常Q彈

「石鍋拌飯」
韓式料理必點品項之一，鍋底微微鍋巴的米飯
搭配韓式辣醬，完美的組合

「海鮮煎餅」
煎餅厚薄度和食材比例拿捏剛好
外酥內嫩，絕對是必點品項！

「起司蛋捲」
一口咬下濃郁的起司在嘴中蔓延
還可以拉長到天際呢

「韓式炸雞」
有著些微厚實的麵衣，但依舊酥脆好吃","""Classic Grade""
There are pork pork flowers, Matsusaka pigs, Niu Xiaopu and some small vegetables
Partners who love flesh will definitely like

""Army Pot""
Features are lunch meat, hot dogs, rice cakes and Korean favorite instant noodles
In fact, it will not be spicy. Add Korean cuisine to make the soup fresh and delicious!

""Fish Board Soup""
The fish slurry used in fish plate is real, and each bite is very Q bombs

""Stone pot bibimbap""
One of the must -order items of Korean cuisine, rice with a slightly pot of pot
With Korean spicy sauce, perfect combination

""Seafood pancakes""
Pancake thickness and the proportion of ingredients are just right
The outside is crispy and tender, and it is definitely a must -have item!

""Cheese Egg Roll""
Bite a strong cheese spread in the mouth
Can you still be stretched to the sky?

""Korean fried chicken""
Have a little thick noodle, but still crispy and delicious"
"雙人套餐

1️⃣豬肉石鍋拌飯- 還可以正常發輝

2️⃣部隊鍋-很好吃 不過不知道為啥這家的午餐肉根本不吸湯汁 我去過好多家都會吸欸

3️⃣爆魚卵起司🧀烘蛋-很好吃 至少口味偏清淡

總結：價格便宜 附近一下就是西湖捷運站 位置也不會太滿","Dual set meal

1️⃣ Pork and stone pot bibimbap-can also make good hair normally

2️⃣ The troops pot-very delicious but I don’t know why this lunch meat doesn’t suck soup at all.

3️⃣ Blasting fish egg cheese 🧀 baked egg-very delicious and at least the taste is light

Summary: The location of the West Lake MRT station is not too full."
在瑞光路巷內的韓式餐廳，停車蠻方便的，菜色多有些辣，也尚可接受的辣度，菜色感覺不多，不限量的小菜好吃，主食感覺份量略少，餐廳即使在平日生意也很好，需要訂位較適合，餐點對我個人感覺尚可,"Korean restaurants in Ruiguang Road Lane, parking is quite convenient, the dishes are a bit spicy, and they are still acceptable spicy. The dishes are not much. Unlimited side dishes are delicious. The business is also very good, it is more suitable for ordering, and meals feel that I personally feel that it is acceptable."
剛好來附近，時間已是下午一兩點了，幸好此店3：00休息，趕緊來午餐，猶如置身在很有特色的韓國餐廳，服務人員幾近休息吃飯中，依然很客氣熱心為我們服務，點了商業套餐，服務人員還會詢問是否需要續加小菜，感到很窩心，因為太愛不鹹膩的小菜，因為不太能吃辣，點個原味韓式炸雞，本以為自己點錯了，結果吃起來外酥內肉多汁鮮嫩美味，雖然有附胡椒鹽，但自己發明配上韓式拌飯的紅辣醬，也是很好吃，不會太辣，很棒的午餐，吃得飽飽吃得開心,"It happened to be nearby. The time was already one or two in the afternoon. Fortunately, this shop rest at 3:00, and hurry up for lunch. It is like being in a very distinctive Korean restaurant. After ordering the commercial package, the service staff will also ask if you need to add small dishes, and you feel very worried, because you love too much salty side dishes, because you are not very spicy, or order a Korean fried chicken. After that, it tastes delicious and delicious and delicious. Although there are pepper pepper, the red spicy sauce with Korean bibimbap is also delicious. It will not be too spicy. Happy to eat"
"小菜多樣化
炸雞不錯吃
海鮮豆腐鍋很普通但可以換冬粉很謝謝
冷氣可能開太久了會滴水😅","Various dishes
Fried chicken is good
Seafood tofu pot is very ordinary, but it can be changed to winter powder. Thank you
The air -conditioning may be dripping for too long 😅"
"食物不錯吃，適合聚餐享用。服務人員態度良好。
食物打包回家吃也好吃。","Food is good, suitable for dinner.The service staff has a good attitude.
It ’s delicious for food to eat home."
連平日都容易客滿的店，蠻受年輕人喜歡的，料理種類並不多，但也算有特色，份量不多，不限量的小菜好吃。,"Even the shops that are easy to be full on weekdays are quite popular with young people. There are not many varieties of cooking, but they are also distinctive. They are not large. Unlimited side dishes are delicious."
"內用過還ok,這次點外送點了2500左右，送來竟然是一大個塑膠袋裝所有食物，而不是用有底座的紙袋裝，沒有底座的塑膠袋食物送來都打翻，外送員有告知可能店家也沒包裝好，打電話去店家轉了兩次人員才聽懂我在說什麼… 店家說可以退款，高金額不想影響店家及外送員，所以沒有申請退款，希望你們外送包裝能改善，整個影響味覺口感","I have used it in the inside, and I sent about 2500 this time. The sending turned out to be a large plastic bag all over all foods instead of using a paper bag with a base. The dealers have notified the store that the store may not be packaged. I called the store and transferred two personnel to understand what I was talking about ... The store said that it can be refunded, and the high amount does not want to affect the store and the delivery staff, so there is no application for refund. Models, I hope you can improve the packaging packaging, and the whole affects the taste of taste"
"價格雖然略高
但完全符合他的價值
小菜還能無限續
餐點美味如同置身韓國
非常推","Although the price is slightly higher
But it fully meets his value
Small dishes can still be infinitely continued
The meals are delicious like being in Korea
Push"
首訪輪流請客韓式料理，小菜非常推薦，柚香蘿蔔薄片非常清爽開胃，魚板異於其他韓式料理餐廳，海帶也是清爽可口，小菜可追加續用，韓式拌飯跟辣炒年糕口味中規中矩，馬鈴薯燉排骨鍋內配料豐富，烤牛小排的份量略少，套餐價格設定上有很多需要加價，點餐時需要留意一下！,"The first visit turns to popular Korean cuisine. The side dishes are very recommended. The pomelo fragrant radish slice is very refreshing and appetizing. The fish plate is different from other Korean cuisine restaurants. The kelp is also refreshing and delicious. Regardless, the potato stewed bone pot is rich in ingredients, the roasted beef steak is slightly less, and there are a lot of price increase in the setting price setting. You need to pay attention when ordering!"
餐廳應該來過5-6回了，這次跟家人點了三人套餐，但海鮮煎餅居然有異味，還好反應後服務人員快速處理，慶幸我們三人高強肚。,"The restaurant should have been here for 5-6 times. This time, I ordered a three-person package with my family, but the seafood pancakes have a odor. Fortunately, the service staff quickly handled it. Fortunately, the three of us were highly strong."
"美味的韓式料理 韓式烤豬 泡菜海鮮
韓式煎餅 多種特色小菜
雖然熱量很高但真的讓人欲罷不能。","Delicious Korean cuisine Korean roasted pig kimchi seafood
Korean pancake -style specialty dishes
Although the calories are very high, it is really indispensable."
"從點菜開始就傻眼，有一半的餐點都售完，要不是跟朋友一起聚餐，不然真想直接走人，覺得太誇張啦！想吃的餐點全都售完。
馬鈴薯排骨湯：沒有馬鈴薯的馬鈴薯排骨湯，我們怎麼都撈不到馬鈴薯，後來請服務人員來撈，也撈不到馬鈴薯，最後服務人員去廚房裝了六小塊的馬鈴薯來加進湯裡，一鍋880元的湯，裡面除了排骨根本沒什麼料，不是太值得，還好排骨夠爛，湯頭也還可以。
海鮮煎餅：吃了滿嘴油！裡面沒甚麼料，又薄，但是油卻滿滿的，是我們吃了1、2片就無法吃完的餐點。
辣炒年糕：第一次吃到顏色這麼淡的辣炒年糕，應該是改良台灣人能吃的口味吧！味道尚可，但是沒有韓國味。
蔬菜雜菜：是整桌最好吃的一道餐點，只是還是有點偏油，尚可接受。
魚卵起司蛋：熱熱很好吃。
總結....這是間不是道地韓國味的韓國餐廳，連小菜都不是很道地的味道，但是台灣人接受度應該會蠻高的，這樣的價位，份量跟配菜不是太值得，但是服務人員的服務真的很不錯，這個很讚美。
有些餐點食用很容易噴灑出來或需要用到雙手食用，建議可以提供圍兜兜跟濕紙巾。","Since ordering, I have been dumbfounded. Half of the meals have been sold. If you have not gathered with friends, otherwise you really want to leave directly and feel too exaggerated!The meals you want to eat are all sold out.
Potato pork ribs soup: Potato pork rib soup without potato, how can we not get potato, and later invite the service staff to fish, and the potato cannot be caught. Finally, the service staff went to the kitchen to install six small pieces of potatoes to add it into the soup. A pot of 880 yuan soup, there is nothing except the pork ribs, it is not too worth it. Fortunately, the ribs are rotten enough, and the soup is okay.
Seafood pancakes: Eat mouth full of mouth!There is no material inside, thin, but the oil is full. It is a meal that we can't eat after eating 1 or 2 tablets.
Spicy fried rice cake: For the first time, I eat such a light spicy fried rice cake, which should be the taste that Taiwanese can eat!The taste is okay, but there is no Korean taste.
Vegetables and vegetables: It is the best meal for the whole table, but it is still a bit oily and acceptable.
Fish Eggs Egg: Hot is delicious.
Summary .... This is a Korean restaurant that is not authentic Korean. Even small dishes are not very authentic, but the acceptance of Taiwanese should be quite high. Such a price, the amount and side dishes are not worth it. But the service staff's service is really good, this is very praised.
Some meals are easy to spray out or need to be eaten with both hands. It is recommended to provide a bib and a wet tissue."
店內不知道是不是空調壞掉，有很多電風扇放在地上吹，整個很熱。點了松阪豬但真的超油，韓式炸雞的醬是另外給一個碟子，沒有和炸雞混在一起。另外辣炒年糕令我太失望了，跟菜單照片差非常多。,"I do n’t know if the air conditioner is broken. There are many electric fans on the ground and blowing. The whole is very hot.I ordered the Matsusaka pig but it was really oily. The Korean fried chicken sauce was given another plate, which was not mixed with the fried chicken.In addition, the spicy fried rice cakes disappointed me, and they were very different from the menu photos."
"….這個蝦子怎麼這樣子…🥹 比較不解的是怎麼三月自己有訂過再訂一次會是這樣的體驗🥹💔
建議外送包裝需要調整！送到家的時候湯全部在塑膠袋中灑出來 拿外送時可以直接從塑膠袋滴在地板上襪子上……💔💔💔","… Why this shrimp is like this ... 🥹 🥹 is more puzzled, how can I have a book again in March, it will be like this 🥹💔
It is recommended that delivery packaging needs to be adjusted!When you get home, all the soup can be sprinkled in a plastic bag to get the socks on the floor when you get out of the plastic bag ... 💔💔💔"
今天第一次和家人來用餐，餐點的部分今天點了四樣菜一個鍋還不錯吃小菜的部分也還不錯，但是（空間感非常的狹隘）走路進出大門走道都非常的小、最美中不足的是非常的熱裡面的空調真的很不OK，但是值得稱讚的事，服務人員態度佳。,"Today, I came to dine with my family for the first time. The meal section ordered four dishes today. One pot is not bad. It is very hot air conditioner inside, but it is really praised and the service staff has a good attitude."
