Original,EN
兩年沒來了，這次大改觀，換了廚師，變得好好吃喔！大推👏必再訪,"It hasn't been here for two years. This time, I changed the chef and became delicious!Great push 访 will visit again"
小朋友很喜歡這個地方，來好幾次了，這次來慶生，還有生魚片蛋糕喔！,Children like this place very much. I have been here several times.
"進去就有個煙味🤪
先被帶到廁所旁的位置
服務人員很好 有空位 主動幫我們更換位置
服務很好 問問題都很有耐心解答
生意很好捏 到了九點 還是有客人進來用餐
生蠔 很大顆 但有一點腥味 之前在美川吃的更新鮮
鮭魚不錯吃 滿大片的
整體食物偏鹹
烤天使紅蝦 和烤魚 都好鹹 蝦烤完只剩一點點🤣
烤魚 是我們第一次沒吃完的
之前在無盡藏吃的cp 值更高ㄧ點
其他的烤串也都不錯吃 但有點膩
生啤酒有點小杯🤣
今天就嚐鮮 應該有很久才會再來🤪","There is a smell of smoke in entering 个
Before being taken to the position of the toilet
The service staff is very good and has a vacant position to actively help us replace the position
The service is very good to ask questions, and they are patient with patient answers
The business is very good to squeeze at nine o'clock or guests come in for dinner
The oysters are very large but a little fishy smell is fresher before I eat in Michigawa
Salmon is good to eat large blockbusters
The overall food is salty
Both the roast angel red shrimp and grilled fish are all salty shrimp, only a little bit of roasting 🤣
The grilled fish was the first time we haven't finished eating
The CP value that had been eaten in the endless hidden before was higher.
Other skewers are also good but a little greasy
Summary beer is a little cup 有
It should be a long time to take a long time today. I will come again."
餐點味道都很剛好，尤其炙燒鮭魚蝦壽司非常讚，必點！一開始跟店員說要燒啤，結果第一位店員推薦用生啤來做，送上來的時候第二位店員說生啤建議直接喝，我們表示這是前一位店員建議之後，第二位店員也很爽快的說第一位還不熟，直接幫我們換成罐裝啤酒，處理方式很好👍🏻店內唯一的小小小缺點是音樂有點太大聲，但完全不影響會想再來的機會！推推,"The taste of the meal is just right, especially the burning salmon shrimp sushi is very good, must be ordered!At the beginning, I told the clerk to burn beer. As a result, the first clerk recommended it to make raw beer. When it was sent, the second clerk said that the birth beer was advised to drink it directly. The clerk is also very refreshing to say that the first place is not familiar, and it directly helps us to replace it with canned beer. The only small disadvantage in the shop is a little loud that the music is too loud, but it does not affect the will want to come again. Chance!Push"
"生日有生魚片🎂
蛋捲很厚 紫蘇梅番茄很開胃！
推推！","There are sashimi in the birthday 生
Egg rolls are very thick, perilla plums are appetizing!
Push!"
櫛瓜不知道為啥吃起來都是苦的，其他餐點口味都還不錯，鮮魚湯和蛤蜊湯很清甜。,I do n’t know why it tastes bitter. The taste of other meals is not bad. Fresh fish soup and clam soup are very sweet.
"餐點好吃 服務很好
很喜歡的一家店
家庭或朋友聚餐都很適合！
羊筋串大推👍

隔壁桌客人 帶鳥來有點吵一直發出噪音
店家也有去勸導 但還是沒什麼效果
帶寵物來餐廳用餐 就不要影響他人
辛苦店員了～🙏","The meal is delicious and the service is very good
I like a shop very much
Family or friends are suitable for dinner!
Big push of sheep bands 大 大

The guests next door are a bit noisy to bring birds to make noise
The store also has to persuade but it still has no effect
Do not affect others with pets to eat in the restaurant
Hard the clerk ~ 员 员"
"好吃，當月壽星有招待生魚片蛋糕
👍","It's delicious, the Shouxing has a pawn of sashimi cakes in the month
Bleak"
鮭魚🍣味增火鍋 料好實在鮮度超讚👍 意猶未盡 配上梅酒 日式感🈵🈵！ 五星推薦👈,Salmon 味 好 ingredients are really fresh and superb.Five -star recommendation 👈
上菜速度快，用餐環境良好。會讓人再次用餐,The food is fast and the dining environment is good.Will make people dine again
