Original,EN,Positive,Negative,Neutral,Compound
"玉子燒
滑順且很有水份，味道也很鮮，配合明太子醬非常剛好

鮭魚子炒飯
中規中矩，不過加上鮭魚卵不錯吃

奶油蟹肉可樂餅
偏奶油濃湯的口味，容易燙口建議慢點吃

串燒
算中規中矩，份量偏小

明太子炒魷魚
味道意外的合，搭配旁邊的醬非常好吃

昭和布丁
口感紮實味道濃厚，帶點微微蛋香
焦糖搭配鮮奶油香味更上一層
值得一試👍","Yuzi
Smooth and water, the taste is also very fresh, and it is very just with the Ming Prince Sauce.

Salva Salmon fried rice
It is satisfactory, but the salmon eggs are good

Cream crab meat cake
The taste of cream soup is easy to hot and it is recommended to eat slower

Skewed
Counting it is quite satisfactory, the portion is small

Prince Ming Prince fried squid
The taste is unexpectedly closed, and the sauce next to it is very delicious

Showa Pudding
The taste is strong and strong, with a little bit of egg fragrance
Caramel with fresh cream fragrance is one more layer
It's worth trying 一",0.273,0.0,0.727,0.9893
"北投幾家居酒屋，
這家的烤串最高分，
希望店家多一點雞類烤串，
我們會常上門。","A few houses in Beitou,
The highest score of this skewers,
I hope the store is a little more chicken skewers,
We will always come to the door.",0.097,0.0,0.903,0.4404
環境乾淨舒適，餐點價位偏高。生魚片新鮮但量很少，焗烤櫛瓜濃郁好吃，其他餐點則較無記憶點。,"The environment is clean and comfortable, and the price of meals is high.The sashimi is fresh but the amount is very small. Baked roasted melon is rich and delicious, and other meals are less memory.",0.342,0.0,0.658,0.9393
"不是什麼五星評價送東西！是真心覺得餐點吃得出對食材的用心又是寵物友善！讓毛寶可以一起吃飯，是世界上最重要的小事。謝謝藏馬！
來到這你只需要擔心胃不夠大！沒辦法全部點來吃，不用擔心不好吃吃不飽^_^
服務親切，第一次來仔細的介紹超級棒！季節限定的商品都超級好吃的啦！還有好多好吃的沒吃到^_^下次絕對要再來的啦","It's not a five -star evaluation to send things!I really feel that the meal can be used to be friendly for the ingredients!Mao Bao can eat together is the most important little thing in the world.Thank you Tibet!
When you come here, you just need to worry about the stomach!There is no way to eat all, don't worry if you are not good to eat^_^
Careful service, come to introduce superb!The seasonal products are super delicious!There are a lot of delicious food and I don’t eat it.^_^I will definitely come again next time",0.187,0.067,0.746,0.9226
"生魚片和肉串不錯 炒青菜....味道還不錯但我不喜歡油菜而且有點鹹
一夜乾肉少刺多是今天最後悔的   松露雞肉串不錯
今天最滿意的是炸豬排井
然後  價格蠻貴這樣要一千六喔~~","Ruins and skewers are good to stir -fry vegetables ... The taste is not bad, but I don’t like rapeseed and a bit salty
Dry meat and less thorns overnight are the last rejuvenic chicken skewers that regret today
Today is the most satisfied with the fried pork row well
Then the price is quite expensive. It costs one thousand or six ~~",0.184,0.075,0.741,0.8055
"得知此店家的原因是
親友某次來訪想外帶在外晃等店家開店營業
剛好遇到老闆在外 老闆特邀進店點餐
離開時提供了一張名片
也就正是因為這張名片以及外帶餐點好吃
特別再次帶我們來店用餐

點了菜單上的鹽燒雞腿肉串、醬燒雞腿肉串、雞肉炒野菜、明太子透抽！
還有定時更新的牆面菜單✨
嗆辣角椒皮蛋這真是敢吃辣的人必點推薦
還有適合夏季胡麻味適中的辛胡麻牛肉冷烏龍

就連看似普通的若雞茶泡飯也是讓人印象深刻的有味道👍🏻份量一人份
以及海味蝦蝦炒飯！份量四個人吃非常可以

吃到最後才想到要拍照但只剩下海味蝦蝦炒飯沒上而已，所以就拍此道當作紀錄
整體從進門服務到餐點都是非常棒的
服務人員耐心介紹且貼心服務推推🎉
這店家完全是可以再次來訪的👍🏻","The reason why I know this store is
A visit to relatives and friends wants to take off the stores and other stores to open the store business
I happened to meet the boss who was invited to order in the store.
Provided a business card when leaving
That's why this business card and meals are delicious
Take us again for a meal again

Ordered the salt roasted chicken leg skewers, roasted chicken leg skewers, chicken fried wild vegetables, and a prince of Ming!
And the regular updated wall menu ✨
Pepper pepper preserved eggs are really recommended for people who dare to eat spicy food
There is also the cold oolong oolong that is suitable for summer flavor in summer

Even the seemingly ordinary Ruo chicken tea rice is impressive.
And seafood shrimp fried rice!Four people can eat very well

At the end of the food, I thought of taking pictures, but only the seafood shrimp fried rice was not on, so I took this way as a record.
The overall service from entering the door to meals is great
The service staff patiently introduces and the intimate service is pushed 🎉
This shop can be visited again",0.1,0.0,0.9,0.9597
"車站5分鐘內路程、店內氣氛烈烈、台灣當地人區多、亦有不少日本人、用餐極體體驗良好、店員都有主動互動。
食物質素中上性價比高🙌🏻","Within 5 minutes of the station, the atmosphere in the store, many local people in Taiwan, many Japanese people, a good meal polar body experience, and the clerk have actively interacted.
Food quality is high in cost performance high 食 食 食 食 食",0.11,0.0,0.89,0.6369
"部門聚餐，跟老闆說每人350元的預算
店家就幫忙配好套餐定食
甜點、開胃菜、主餐、湯
親子丼的豬肉超好吃（但忘記拍了😅
肉質鮮甜搭配醬料超棒👍
松露的茶碗蒸也大推
雞腿醬料獨特，有點醬燒搭甜辣醬的味道
同事們吃滿兩極，有人覺得特別、有人不喜歡
見仁見智，但若不吃辣的朋友建議避免，有一咪咪的小辣）同桌同事反饋）

可惜味增湯比較鹹，喝到1/3喝不下
可能比較適合喝酒的時候當下酒菜

店裡乾淨、老闆親切、菜場服務人員也很棒
會讓人再訪的居酒屋🏮","The department dinner, told the boss to budget 350 yuan per person
The store will help with a set meal to settle food
Dessert, appetizers, main meals, soup
Parent -child pork is super delicious (but forgot to shoot 😅
Fresh and sweet meat with sauce is superb 👍
Tulu's tea bowl steam is also pushed
Chicken leg sauce is unique, a bit of sauce and sweet spicy sauce flavor
Colleagues are full of poles, and some people feel special and some people don't like
Seeing wisdom, but if you do n’t eat spicy friends, it is recommended to avoid it, there is a small spicy) colleagues at the table) feedback)

It's a pity that the flavor of the soup is relatively salty, and it can't be drunk until 1/3
It may be more suitable for drinking

The shop is clean, the boss is kind, and the service staff of the vegetable farm is also great
Izakaya that will make people visit again",0.247,0.07,0.683,0.9904
"歡迎喜愛美食的同好追蹤IG:jjiiee._☺️

中秋節就是要吃烤物!

🔸我們點(超多):
蒜香松露雞生蠔串(必點！超嫩！）
鹽烤牛肋串
醬烤雞腿蔥串
辛味噌豬五花串
豚肉炒水蓮
起司焗櫛瓜
炭燒杏鮑菇
和風章魚燒
廣島牡蠣(炸)
酒蒸蛤蜊
鮮魚味噌湯
和風豚肉炒烏龍

以上總金額大約為新台幣3000元唷（因為太多道所以偷懶直接打總價😂）

🩵私心推推:
每道我都好愛!每道都好好吃!
蔬菜、菇類都有維持它本身的清甜和爽脆!讚讚!!

這間店的雞肉類真的很猛!嫩度非常讓人驚艷!非常值得大推!(畢竟我不是很愛雞肉類的烤物，因為很容易太乾)

絕對是一間會回訪的店家!","Welcome to the fellows who love food to track ig: jjiiee._☺️

The Mid -Autumn Festival is to eat roasted objects!

:: 🔸 🔸 (super):
Garlic loquat chicken skewers (must be ordered! Super tender!)
Salt grilled beef rib skewers
Sauce roasted chicken leg skewers
Xin Miso Pig Five Banquet
Dolphin fried water lotus lotus
Cheese baked melon
Carbon -roasted Pleurotus eryngii
Hefeng octopus burning
Hiroshima Oyster (Fried)
Steamed clam
Fresh fish miso soup
Wind dolphin fried oolong

The total amount above is about NT $ 3,000 (too much because of too many channels, so lazy to play the total price directly)

🩵 Push selfish push:
I love every way! Everything is delicious!
Vegetables and mushrooms have maintained the sweetness and crispy of its itself! Praise !!

The chicken in this shop is really fierce! The tenderness is very amazing! It is worthy of push! (After all, I don’t love chicken roasted objects, because it is easy to be too dry)

Absolutely a shop that will return to visit!",0.288,0.029,0.684,0.9955
"生魚片新鮮好吃
燒烤的部分調味得宜、但火候稍稍過頭
茶碗蒸口味、餡料都很棒
是一個不錯的宵夜喝一杯的好地方","Girl slices are fresh and delicious
Part of the barbecue is suitable for seasoning, but the heat is slightly too much
The tea bowl is steamed and the filling is great
It's a good place to drink a cup of supper",0.267,0.0,0.733,0.926
"昨日二訪，點了10道菜完全無雷
不只東西好吃服務人員也很親切，店裡用餐氣氛很好。

個人最愛海鮮茶碗蒸、鱈魚肝沙拉、 還有烤串（但牛肉烤串有點過熟）","Yesterday's second visit, I ordered 10 dishes to have a thunderbolt at all
Not only are things delicious service staff, but also very kind, the meal atmosphere in the store is very good.

Personally love seafood tea bowl steamed, cod liver salad, and baking skewers (but beef baked skewers are a bit too familiar)",0.263,0.0,0.737,0.9632
餐點很棒，出身也很快。店員看我們兩個人會主動說：點太多了！🤣真的吃不下,The meal is great and the birth is fast.The clerk sees the two of us and will take the initiative to say: too much!🤣 I really can't eat it,0.192,0.0,0.808,0.8221
"很意外來吃到好吃的居酒屋，實惠美味…
也度過一個開開心心的慶生夜晚！","It is very unexpected to eat delicious izakaya, affordable and delicious ...
Also spend a happy birthday night!",0.432,0.0,0.568,0.908
