Original,EN,Needs Review
"☕️x🍸有賣咖啡也有賣酒，很舒服價格也很親民的一個空間！

✅不限時。
✅低消=100元。
🛜有Wi-Fi。
🔌應該所有座位都有插座（有拉延長線）。
💰目前好像只能付現金。
🍴有賣正餐、鹹食。
🍹有賣酒。
🍰甜點類看櫃檯有當日甜點。
🕛營業到午夜。

相當特別的一間店，座落的地點離市區的鬧區稍有距離，似乎也是這附近極少營業到這麼晚的店家。好像是私宅或工作室改裝一部分空間而變身成的小店，因為店後面看起來是私人空間。
店內座位不多，大概只能容納得了五組左右的客人，不過環境是真的蠻舒適愜意的，店內提供的餐飲種類蠻多元的，而且價格都不貴，低消也很便宜。

這次點了一杯鮮奶茶和蜂蜜鬆餅，鮮奶茶預設無糖，我是有另外加糖，加糖後還蠻順口好喝的，鬆餅現烤很酥脆，雖然我是比較喜歡肥且不健康的楓糖漿派的，但加蜂蜜也很好吃就是了，畢竟他們的鬆餅是真的烤得每一口咬下去都很脆。

老闆很親切，而且感覺是個相當爽朗的人，會主動跟你搭話聊天，或許也因此，店裡面感覺大部分是熟客常客，如果住附近的話感覺也會蠻想常常來的，可惜我只是過客😆
順帶一提，菜單上的公約雖然有寫要注意音量，但實際上應該是避免「喧嘩」，其實店內大家聊天的音量並不低，也因此，我其實覺得比較像「聊天型的咖啡廳」，當然如果能在這種環境內讀書或工作的話，畢竟這裡有插座也有Wi-Fi，要帶個筆電來工作也是沒問題的。","咖 ️X 卖 has a space for selling coffee and selling wine. It is very comfortable and very close to the people!

✅ Unlimited time.
元 Low elimination = 100 yuan.
There are Wi-Fi.
有 All seats should have sockets (there are extension lines).
现 seems to only pay cash.
咸 Sell meals and salty food.
🍹 Selling wine.
柜The dessert views the counter on the same day.
。 Open until midnight.

A special shop, the place where the seats are located are slightly far from the downtown area, it seems that it is also a very few shops that are very rarely opened to such a late nearby.It seems to be a small shop that transformed into a private house or studio modification, because the behind the store looks like a private space.
There are not many seats in the store. It can only be accommodated to the five groups of guests, but the environment is really comfortable and comfortable. The types of catering provided in the store are quite diverse, and the price is not expensive, and low consumption is also cheap.

This time I ordered a cup of fresh milk tea and honey muffins. Fresh milk tea was preset sugar without sugar. I have another sugar. After adding sugar, it is quite delicious. The muffins are very crispy. Although I prefer fat and fat Unhealthy maple moltites, but honey is also delicious, after all, their muffins are really crispy every bite.

The boss is very kind and feels a very hearty person who will take the initiative to talk to you. Maybe because of this, most of the shops feel like cooked frequent customers. If you live nearby
By the way, although the convention on the menu has to pay attention to the volume, it should actually avoid ""noise"". In fact, the volume of chatting in the store is not low. Therefore, I actually feel that it is more like a ""chat coffee shop"". Of course, if you can study or work in this environment, after all, there are sockets and Wi-Fi here. It is okay to bring a laptop to work.",False
"這家個性咖啡館開到半夜，
如果經過流行音樂中心可以順路
去喝杯咖啡小酒：
飲料大都好喝，甜點就比較不推

今日最愛：
愛爾蘭咖啡
奶油是主角
以威士忌咖啡 來襯托香醇的奶油，十分順口

鍋煮奶茶也喜歡","This personalized cafe opened until midnight,
If you pass through the Popular Music Center, you can go along
Go to drink a glass of coffee wine:
Most of the drinks are delicious, and desserts are less pushing

Favorite today:
Irish coffee
Cream is the protagonist
The whiskey coffee is used to set off the mellow cream, which is very smooth

I like cooked milk tea too",False
"老闆人很好
氣氛也不錯
很適合坐坐和喝酒","The boss is very good
The atmosphere is also good
Very suitable for sitting and drinking",False
"拿鐵口感溫潤帶柑橘果香，奶泡綿密好喝
客製化調酒很能捕捉當下的心境與風味喜好需求","Take the iron taste warm citrus fruity aroma, milk foam dense and delicious
Customized bartending can capture the current mood and flavor preference needs",False
"有調酒咖啡嗎？ 有 (好像日劇Hero)
推薦大家點這一杯~(非菜單喔)
橙酒+氣泡水+美式咖啡
非常好喝
酒量不好的我也沒喝醉

五號出口咖啡館
入口不顯眼要找一下
裡面卻非常的顯眼包
各年份混搭風格
各年齡話題都聊
療癒感十足

下次見囉","Is there a bartender coffee?Yes (like Japanese drama Hero)
Recommend everyone to order this cup ~ (non -menu)
Orange wine+bubble water+American coffee
Very delicious
I am not drunk if I have a bad amount of alcohol

No. 5 Exit Cafe
The entrance is not conspicuous and find it.
It is very conspicuous inside
Mix and match style of each year
Talk about all ages
Healing

See you next time",False
"這是一篇發生在2023年的個人經歷:

老闆與店裡的其他夥伴都是很熱情親切且與任何人幾乎都能侃侃而談的人。
即便店內熟客居多，卻不曾讓獨自到訪的客人感到一絲尷尬或不適。我很喜歡店裡這樣令人放鬆的氛圍，所以偶爾會來喝杯咖啡做自己的事。

有次我進到店內發現店裡只有老闆一人，老闆也開始與我攀談抬槓。「還單身嗎?」我永遠記得老闆突如其來迸出這句問話，當時認為只是閒聊，難免會涉及一點個人隱私，所以並沒多想。

一直到某日，我照常一個人踏進店內發現已經客滿，
老闆開玩笑地跟我說「只能坐他腿上」，
他幫我挪出一個空位後再度補上一句「差點就要坐我腿上了」。
雖然知道是幹話，但我一點都不覺得好笑，反而覺得非常不舒服
我只是個偶爾會出現的客人，跟老闆並沒有熟到可以開這種玩笑的地步。

自此之後我再也沒有踏進這家店。","This is a personal experience that took place in 2023:

The boss and other partners in the shop are very enthusiastic and kind and can almost talk to anyone.
Even if most of the customers in the store have not made guests who visit alone feel embarrassing or uncomfortable.I like such a relaxed atmosphere in the store, so I occasionally come to drink a cup of coffee to do my own business.

Once I entered the store and found that there was only the boss in the store, and the boss began to talk to me.""Are you single?"" I always remember that the boss suddenly burst out of this question. At that time, it was thought that it would be just a gossip, which would inevitably involve a little personal privacy, so I didn't think much.

Until one day, I stepped into the store as usual and found that it was already full.
The boss joked to me, ""I can only sit on his legs.""
After helping me move out of the empty position, he made up the sentence, ""Almost sit on my leg.""
Although I know it is to speak, I don’t feel funny at all, but I feel very uncomfortable
I am just a guest who occasionally appears, and I am not familiar with the boss to start such a joke.

Since then, I have never stepped into this shop again.",False
"當天去聽Live
午場結束後想找地方吃點東西

這間店的標示很不醒目
需要耐心看一下騎樓才會發現

店內的座位不多
但氣氛很好，菜單上有不少酒類","Listen to live that day
After the afternoon, I want to find a place to eat something

The label of this shop is not eye -catching
You need to take a look at the riding building before you will find it

There are not many seats in the store
But the atmosphere is very good, there are many wines on the menu",False
"結合咖啡、調酒、攝影、催眠…等等元素的一間工作室 別期待服務 屬於聊天休息取向

店內雜亂 像住家 老闆咖啡知識不寡 願意分享
濃縮萃取似乎少了一些 肉桂卷有些許薑味(應該…)

如果多聊天可能會有許多好玩的玩具","A studio combined with coffee, bartending, photography, hypnosis ... and other elements. Don't expect the service to be a chat and rest orientation

The clutter in the store is like a living owner coffee knowledge is not willing to share
The concentrated extraction seems to have a little cinnamon roll a little ginger flavor (should ...)

If you chat more, there may be many fun toys",False
很棒的體驗，老闆很健談，一個人來喝酒很舒服。但是太能喝老闆會搞你自己小心。,"A great experience, the boss is very talkative, and it is very comfortable to drink alone.But if you can drink the boss, you will be careful.",False
"也是看到評論很高分，剛好人在松山火車站附近就來了。

感覺都是老闆朋友或是熟客居多，那個氛圍，他們應該會很快樂，但第一次去的人會有點覺得不自在。

那天點了拿鐵跟檸檬咖啡，都非常傻眼的喝不完.......，但老闆態度很好很親切。

只能說適合的人就適合，可惜我不適合。","I also saw that the comments were very high, and people came near the Songshan Railway Station.

It feels that they are all bosses or friends. At the atmosphere, they should be very happy, but the first time people will feel uncomfortable.

That day, I ordered Latte and Lemon Coffee that day, and I couldn't finish drinking very dumbly ... but the boss was very good and kind.

It can only be said that suitable people are suitable, but unfortunately I am not suitable.",False
