Original,EN,Needs Review
"生日當天送六寸蛋糕
很讚耶
海鮮燉飯很好吃
剛好那週有酒買一送一 連組合的也有
季節啤酒是百香果的
也還不錯喝
啊最愛還是蜂蜜啤酒","Six inch cakes on your birthday
Very good
Seafood stewing rice is delicious
It happened that there was a combination of wine to buy one free and one -to -one combination that week.
Seasonal beer is Passion fruit
Also good to drink
Ah favorite is honey beer",False
"整個氛圍不錯
感覺是可以邊看比賽
喝酒吃東西的地方

第一次來😀
透過code點了一些餐點
才剛點完，一盤炸物立馬上桌
特快～（所以應該是都炸好的⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄）

基本上東西都蠻好吃但不到驚艷
有種這樣的價格就是這樣的FU😅

為了啤酒的半價吃到15:00🤣
點了甜點～霜淇淋和蛋糕
（結果霜淇淋機故障～需等待）

等到機器好了但是服務員忘了🤣🤣
由於沒有任何可以聯絡服務員的方式
所以假如坐比較遠的人客
可能會需要自己去搜尋服務員🤪","The whole atmosphere is good
It feels like you can watch the game
Where to drink and eat

Come for the first time
Ordered some meals through code
Just after ordering, a plate of fried objects immediately described it immediately
Express ~ (So it should be all fried ⁄ (⁄ ⁄ ⁄ ω⁄ ⁄) ⁄)

Basically everything is delicious but not amazing
There is such a price that is like this FU 有

Eat 15: 00🤣 for the half price of beer
Ordered dessert ~ Cream and cake
(As a result, the frost cream machine fails ~ need to wait)

Wait until the machine is fine, but the waiter forgets 🤣🤣
Because there is no way to contact the waiter
So if you sit far away
You may need to search for the waiter yourself 去",False
"我們是來喝酒聊天的！

服務人員很忙，要叫很久才會出現。

很有復活節的氣氛，榴槤批薩很好吃。","We are here to drink and chat!

The service staff is very busy, and it will only appear for a long time.

There is a very atmosphere of Easter, and the durian criticism is delicious.",False
"服務生超友善
環境乾淨，座位寬敞，不太會被旁邊的聊天影響
轉播螢幕超大
麵包意外好吃
當日壽星蛋糕超大
當月壽星的提拉米蘇好吃
無低消就可以換
冷氣剛好","Worship is super friendly
The environment is clean, the seat is spacious, and it will not be affected by the chat next to the side.
Broadcast screen is large
Bread is unexpectedly delicious
Shouxing cake was too large on the day
Tiramisu of Shouxing in the month was delicious
You can change without low elimination
Air conditioning",False
"每年生日月超愛來金色三麥
今年誠品信義收掉，轉戰南港站店
當天點的生菜沙拉不盡理想
第一次上餐只有半碗左右
店員的解釋是因為預先做好淋醬放入冰箱冰，葉子濕潤塌了，看起來份量較少，重新做了一份菜量加1.5倍的沙拉送上，看起來份量足夠，可惜的是下層鋪底的奶油白菜都是不新鮮的黃梗，還有幾片葉子邊邊有爛掉黑黑的地方，真的是令人失望....
跟店經理反應問題的結果是這份生菜招待，然後會跟廚房告知以後要多加注意，整體處理還算讓人滿意，希望下次來能吃到品質水準穩定的餐點啊","Every year, the sun and the moon love to come to the golden three wheat
This year, Eslite Xinyi closed, and moved to Nangang Station
The lettuce salad that day is not ideal
Only about half a bowl of meals for the first time
The clerk's explanation is because the sauce is put into the refrigerator in advance, the leaves are moist and collapsed, and they seem to have a small amount. Re -made a salad with 1.5 times the amount of dishes. The cream cabbage at the bottom is not fresh yellow stalks, and there are a few leaves that are rotten black and black, which is really disappointing ...
As a result of reaction with the store manager, this lettuce is entertaining, and then you will notify you to pay more attention to the kitchen. The overall treatment is quite satisfactory.",False
"去過3家分店，南港店算是最好的。
無時間的限制，成為我們朋友聚餐的好選擇地方。
比起德州、星期五、GB 這些美式風格的餐廳還好吃（個人覺得）。
如果朋友聚餐蠻值得推薦炸物大拼盤、凱撒沙拉、酥炸椒麻雞、pizza類、照燒酥配啤酒暢飲。
墨西哥雞肉餅（放涼皮會變硬），燉飯溫度不夠，不過整體來說，乾淨、溫馨、位置多、空間都很舒適，停車也方便，也可搭捷運抵達。","I have been to 3 branches, and Nangang Store is the best.
There is no time to become a good choice for our friends to dinner.
Compared to Texas, Friday, and GB's American -style restaurants are delicious (personally think).
If a friend's dinner is pretty worth recommending fried large platter, Caesar salad, crispy fried pepper chicken, pizza, and beer with beer.
Mexican chicken cakes (the cold skin will harden), the temperature of the rice stew is not enough, but overall, it is clean, warm, more location, and comfortable in space. It is convenient to park. You can also arrive in MRT.",False
"週五晚上到訪 沒有訂位只有沒有冷氣的地方可以坐
客人很多 才七點感覺隔壁桌就喝醉了🤣
晚上有駐唱的 大概一個小時唱幾首歌 蠻好聽的
因為是奧運期間 所以也一直都有播奧運賽事
前一天剛好台灣銅牌 還送了一人一杯啤酒！
東西好吃 不過價格還是不便宜⋯⋯","When you visit on Friday night, you can sit without any reservation.
Many guests only feel drunk at the next table at seven o'clock.
It is pretty good to sing a few songs in one hour at night
Because it is the Olympic Games, there have always been a broadcast of the Olympic Games
The day before, the Taiwan bronze medal was also given a cup of beer!
It is delicious but the price is still not cheap ...",False
"以前的金色三麥，似乎消失了⋯
🌸西班牙海鮮燉飯，剛端上桌，就是溫溫的，而且香氣不再
🌸大搖大擺烤肋排，肉的中間含脂肪⋯居然是冷的😱
我沒請服務員，再重新加熱，因為如果只是要微波加熱，其實我也蠻會的😏，這餐2千多，就當是謝謝辛苦的外場服務員❤️","The previous golden three wheat seemed to have disappeared ...
饭 Spain seafood stewed rice, just served at the table, is warm, and the aroma is no longer
排 Da Shao Big Baked ribs, the middle of the meat contains fat, it is actually cold.
I didn't ask the waiter, and re -heated again, because if I only needed microwave heating, in fact, I would also be pretty good. This meal was more than 2,000.",False
"餐廳空間很寬敞舒適，萬聖節環境佈置的非常用心，帶侄子/爸媽來吃，大家都非常開心！推薦南港金色三麥，很適合團體聚餐！
PS.投影布幕很大，觀看球賽非常棒！","The restaurant space is very spacious and comfortable. The Halloween environment is very careful. Bringing nephew/parents to eat, everyone is very happy!Recommended Nangang Golden Sanmai, which is very suitable for group dinner!
PS. The projection curtain is very large, watching the game is great!",False
場地很大，點餐很不方便，舉手也沒人看到，建議設置桌上服務鈴。,"The venue is very large, and it is inconvenient to order. No one can see it. It is recommended to set up a table service bell.",False
"現場有駐唱歌手 餐點還不錯
美式餐廳就是超極熱鬧
當日剛好有麟洋配球賽
全場客人嗨翻天
我們這桌8月壽星有四位
甜點的蛋糕 超滿意
有機會來南港金色三麥 品味吧！","There is a dinner at the scene that is not bad
American restaurant is ultra -extremely lively
There is just a Linyang match game that day
The audience's guests are overwhelming
Our table has four in August Shouxing
Dessert cake is super satisfied
Have the opportunity to come to Nangang Golden Sanmai taste!",False
