Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"我是昨天2024/10/27剛辦完婚禮的新人☺️

從確定要辦婚禮那刻，我們就決定要辦一場派對式、輕鬆自在的戶外美式婚禮！

由於看到朋友在陽明山wonderland 仙境區辦晚宴，覺得很不錯👍🏻就私訊場地的臉書粉絲專頁預約參觀，剛好接待我們的是其婚顧「毛毛」，清楚、用心的為我們介紹仙境區及天使區兩個場地，各有特色～最後我們選擇「天使區」，（很有勇氣的選擇～因為大家都選仙境區
，天使區是第一次呢！但我們就是喜歡特別！）

貼心的毛毛聆聽我們的需求、想法，給予最實際的經驗分享，包含推薦適合我們婚禮風格的主持人「Bella」，互相認識、對此雙向溝通，直到婚禮當天替我們瞻前顧後，溫柔體貼的陪著我們完成終身大事～謝謝你們！有你們真好～

超級推薦喜歡戶外證婚、美式婚禮的這位新人們，從零到有一點一滴完成夢寐以求的婚禮不是夢，wonderland 真的可以陪你一起實現。","I am a newcomer who just finished the wedding yesterday at 2024/10/27 ☺️

At the moment of determining the wedding, we have decided to have a party -style, relaxed outdoor American wedding!

Because I saw my friends holding a dinner in the Wonderland Wonderland in Yangmingshan, I felt very good. I made an appointment for the Facebook fan page on the private message venue. Introduce the two venues of Wonderland and Angel District, each with its own characteristics ~ Finally, we choose the ""Angel District"" (very courageous choice ~ because everyone chooses of Wonderland Area
The first time is the angel area!But we just like special!.

The intimate Mao Mao listens to our needs and ideas, and gives the most practical experience sharing. It includes the host ""Bella"" who is recommended for our wedding style. They know each other and communicate with each other. We have done life -long events ~ Thank you!It's nice to have you ~

The newcomers who are super recommended for outdoor syndrome weddings and American weddings are not dreams from zero to a bit of dreaming wedding from zero to a drop. Wonderland can really accompany you to implement it.",False,0.191,0.019,0.789,0.9891
"仙境真的是戶外婚禮場地首選❣️❣️
從開始找場地就對照片裡的景色所吸引，停好車走入場地的小路彷彿是前往某個世外桃源，一進門是漂亮的大草地，再往前就是以台北市為背景的證婚儀式場地。
除了新娘我本人對芒草過敏之外，這場地簡直就是為了我的婚禮而設計，一切硬體設備都很完整不需要操心。

由於是舉辦與朋友派對式的婚禮，許多國外的朋友回台灣狀況不定、我們對酒水的要求也比較高，毛毛 (我們的婚顧) 很貼心的盡可能給予最大的彈性幫我們調整出最合適的方案。在整個過程中，毛毛都主動提早提醒我們什麼事情該確認該提供，確保我們沒有遺忘該處理的事情。

雖然一直都規劃在戶外證婚，讓賓客可以看著夕陽和台北夜景，但豪雨來得太突然我們最後將所有環節都移到用餐區。好在用餐區超級大，證婚背板、拍照機器、遊戲桌、所有的酒水等等都放得下。就算是下大雨，所有人當天還是玩得很盡興開心，整個氛圍該浪漫浪漫該歡樂歡樂。除了下大雨有些人提早離開並山上比較難叫車之外，朋友們對於婚禮讚不絕口，謝謝毛毛&仙境團隊❤️❤️","Wonderland is really the first choice for outdoor wedding venues ❣️❣️
From the beginning of finding the venue, it attracted the scenery in the photo. The road where the car was stopped into the venue seemed to go to a paradise. When you entered the door, it was a beautiful grassland.
Except for the bride, I am allergic to Miscantillery, the venue is designed for my wedding. All hardware equipment is complete and does not need to worry about it.

Because it is a wedding with a party -style party, many foreign friends return to Taiwan to return to Taiwan, and our requirements for drinking and drinking are relatively high. Plan.Throughout the whole process, Mao Mao took the initiative to remind us what should be confirmed to be provided to ensure that we have not forgotten what to do.

Although it has always been planned to marry outdoors, so that guests can watch the sunset and Taipei night view, but the heavy rain came too suddenly, we finally moved all the links to the dining area.Fortunately, the dining area is super large, the proxy backplane, the camera machine, the game table, all the wine, etc. are put down.Even if it was raining, everyone was very happy that day, and the whole atmosphere should be romantic and romantic.In addition to heavy rain, some people leave early on the mountain that is difficult to call a car, friends praise the wedding, thank you Mao Mao & Wonderland Team ❤️❤️",False,0.17,0.026,0.804,0.9911
"20241019晚宴
與 Wonder.land 仙境 的婚顧[毛毛]相談甚歡，不會讓人覺得有距離感或是一直在推銷，提出的要求都會很認真幫忙達成，個人很看重第一次溝通的感覺，誠實、積極。所以即使真的偏貴還是決定要在陽明山腰上辦~當然也為了超美夜景，為了仙女棒~空間上，人數在200人左右都算舒適，婚宴場地本身就提供花朵裝飾，桌上擺飾還有主視覺背景，這些都不用再額外花費，夜景真的很棒，菜色也很多樣，不過熱茶可以再多一點，當天聽說熱茶有點不夠~

一年多來~非常感謝毛毛總是能站在我的角度替我解決一大堆問題~包括很煩人的排桌子，抓人數，還有餐點的協調，特別是在我們飲食葷素都需要有的狀況下~給我很多方便，叫其他素食與燒烤外燴進來還不用額外加價真的很感人~毛毛還拍了5:30陽明山夕陽的短影片安撫焦慮新娘~雖然那天烏龜燒不夠~還是有下雨就是了

感謝[主持人Bella]，確認流程跟音樂總是不厭其煩，也會適當提供我們一些想法，我們是沒怎麼想玩遊戲的新人，即使這樣，還讓我們的婚禮能夠溫馨有趣，性別揭曉活動拜託Bella幫忙準備也令人放心，我們那天真的是放空聽指揮，一切都很美好~~~","20241019 dinner
Talking about the marriage of Wonder.land Wonderland [Mao Mao] is very happy, it will not make people feel a sense of distance or always sell, the requests will be very serious, and I personally value the feeling of the first communication, honesty, honesty, honesty ,positive.Therefore, even if it is really expensive, it is decided to do it on the mountainside of Yangmingshan ~ Of course, for the super beautiful night view, for the fairy stick ~ the number of people is about 200 people, the wedding banquet venue itself provides flowers decoration, and the table is placed on the table. There are also the main visual background. These do n’t need to spend additional extra. The night view is really great, and the dishes are also diverse. However, hot tea can be a little more.

For more than a year ~ I am very grateful to Mao Mao who can always solve a lot of problems for me from my perspective ~ including very annoying tables, the number of people, and the coordination of meals. Especially in our dietary vegetarian, we need to eat vegetarian vegetarian food. In some cases ~ Give me a lot of convenience, calling other vegetarian and barbecue braised sauce, you do n’t need to increase the price, it ’s really touching ~ Mao Mao also shot 5:30 Short video of Yangming Mountain sunset. ~ It's still raining

Thank you [Moderator Bella], confirming that the process and music are always annoying, and we will provide some of our ideas appropriately. We are newcomers who do n’t want to play games. Even so, our wedding can be warm and interesting. Helping to prepare is also reassuring. We really listen to the command that day, everything is beautiful ~~~",False,0.176,0.03,0.794,0.9924
"我是2024/09/25的新娘～

一直想要辦一場戶外的婚禮，看到wonderland 第一眼就覺得是他了！期間，也看過很多戶外婚禮，對於這個場地一直念念不忘。 我喜歡他們一次只接一組新人，讓每個新人在那個場地都是最特別的存在，我也喜歡在這個場地不論白天還是下午甚至晚上都可以一望無際台北市的景觀。停車場可以容納20幾台車子，讓不飲酒的賓客不用找停車位或是跟其他新人的賓客搶車位。謝謝Wonderland 提供給我們最完美的婚禮場地💖💖💖

我的婚顧是-毛毛， 因為很臨時決定才舉辦的婚禮（大概準備三個月），所以很多細節都沒有想仔細。謝謝毛毛花了好多時間一個一個活動跟我們對細節，也提供活動的想法跟音樂幫我們解決各種疑難雜症，讓我們可以當一對無腦新人。結束之後還會幫我們收拾，讓我們快速可以打包回家。👍👍👍

辦了這個婚禮真的沒有後悔，每個賓客都稱讚場地很驚豔，說是一個很令人難忘的婚禮。一開始以為價格不菲，但是卻包含很多項目，計算完並跟一般戶外婚禮差不多價格但有比別人更好的景觀。

謝謝各位辛苦的活動人員，讓我有一個完美夢想中的婚禮👍👍❤️❤️😍😍🥰","I am the bride of 2024/09/25 ~

I have always wanted to have an outdoor wedding, and I thought it was him at first glance when I saw Wonderland!During this period, I have also seen many outdoor weddings, and I have been thinking about this venue.I like only one group of newcomers at a time, so that every newcomer is the most special existence in that venue. I also like to look at the landscape of Taipei in this venue, no matter day, afternoon, afternoon, or even night.The parking lot can accommodate more than 20 cars, so that non -drinking guests do not have to find a parking space or grab the parking space with other newcomers.Thank you Wonderland for providing our most perfect wedding venue 💖💖💖

My marriage is-Mao Mao, because the wedding that was temporarily decided (for three months), many details did not want to be careful.Thank you Mao Mao for spending a lot of time one by one, one by one, and the details of the activities with us, and also providing activities with music to help us solve various difficulty diseases, so that we can be a couple of brainless newcomers.After the end, we will help us clean up, so that we can pack home quickly.Bleak

I really did not regret this wedding. Every guest praised the venue is amazing, saying that it was an unforgettable wedding.At first I thought the price was expensive, but it included a lot of projects. It was calculated and was about the same price as the general outdoor wedding but it was better than others.

Thank you for your hard work personnel, let me have a perfect wedding 👍👍❤️❤️😍😍🥰",False,0.186,0.016,0.798,0.9951
"非常喜歡仙境的團隊，從一開始接待我們介紹場地的球球，到協助我們處理各種婚禮流程細節的婚顧Cara和當天主持人Bella，每個人都非常專業，讓忙到焦頭爛耳、常常忘東忘西的新人可以沒有後顧之憂的享受婚禮XD

Cara協助籌備婚禮流程時，總是能很快回應新人的需求，提供能讓流程或是畫面感加分的活動～因為我們準備的周邊小道具很多，因為要化妝採排來不及去檢查現場要擺放的物品，很擔心該準備的東西沒擺出來，但Cara都有記得，而且還佈置的很漂亮🤩

最後接近宴客階段和Bella核對流程時，都能夠很快地就抓住每個活動的核心，主持氛圍簡單溫暖也讓賓客樂在其中，玩QA問答遊戲時一度淘汰了9成的參加者差點以為遊戲要結束了XD 好在Bella隨機應變讓遊戲沒有太快結束哈哈哈哈

整個婚禮過程從籌備到宴客當天，都可以感受到團隊滿滿的用心，開會討論過程也很愉快～時間掌控也不會過於冗長，也會適時引導新人去思考想要的方向！

場地、婚顧、主持人、主視覺佈置都包含在方案裡面，省去新人自己比較、找廠商

仙境真的～～～大推！","The team who likes Wonderland very much. From the beginning, we received the ball of the venue to the venue to help us handle the details of various wedding processes. Newcomers who often forget the Dong and forget the West can enjoy the wedding XD without worries

When CARA assists in preparing for the wedding process, it can always respond to the needs of newcomers quickly and provide activities that can make the process or the sense of screen feel. Because there are many small props around us prepared, because we have to make up for makeup and tie up. The items are worried that the preparation should not be put out, but the CARA has remembered it, and it is also very beautifully arranged.

Finally, when approaching the banquet stage and Bella checking the process, they can quickly seize the core of each activity. The simple and warm atmosphere and warmth also make guests enjoy it. I thought the game was over. Fortunately, Bella's random response made the game too fast. Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha

From the preparation of the entire wedding process to the day of the banquet, you can feel the team's full intentions. The discussion process is also very happy. The time control will not be too lengthy, and it will also guide the newcomers to think about the direction they want!

The venue, marriage, host, and the main visual layout are all included in the plan, eliminating newcomers to compare themselves, find manufacturers

Wonderland is really ~~~ Push!",False,0.126,0.016,0.858,0.9834
氣氛佳，夜景迷人，且交通方便，仰德大道上去五分鐘就到了，有停車場，停個十幾台不是問題。餐點尚可，但選擇有限，且份量較少，一份義麵男生是吃不飽的，價位就是一般景觀餐廳的價位，整體而言值得一去。,"The atmosphere is good, the night view is charming, and the traffic is convenient. It will arrive in Yangde Avenue for five minutes. There is a parking lot. It is not a problem to stop a dozen units.The meal is acceptable, but the choice is limited, and the portion is small. A man of rosette is not full. The price is the price of a general landscape restaurant. It is worth one to go.",False,0.123,0.049,0.828,0.6161
"朋友婚宴選在此地，總結幾個推薦和需要考慮的理由。
推薦：
1. 無敵景觀，還有夜景
2. 半室外的開放空間，就算天候不佳
也不用太擔心。
3. 戶外的場地可以讓小孩有可以奔跑
活動的空間，大人也不用尷尬的一直
座在餐桌，可以隨性三五成群的坐在
階梯式露台聊天。

需要考慮：
1. 山上蚊蟲多，怕叮咬的只能多噴點
防蚊液。
2. 場地在山坡上，空間規劃上對行動不便
的人會比較不友善。
3. 餐食澱粉類較多，對於現代人的飲食
習慣上感覺有點脫節。","Friends wedding banquets are selected here to summarize several reasons for recommendations and need to be considered.
recommend:
1. Invincible landscape, and night view
2. Open space outside the outdoor, even if the weather is not good
Don't worry too much.
3. Outdoor venues can allow children to run
In the space of activity, adults don't need to be embarrassed all the time
At the dining table, you can sit in groups of three or five
Chatting on step -type terrace.

Need to consider:
1. There are many mosquitoes on the mountain, and you can only spray more if you are afraid of biting
Anti -mosquito liquid.
2. The venue on the hillside and the space planning are inconvenient to move
People will be less friendly.
3. There are many meal starch, for the diet of modern people
It feels a bit disconnected in habit.",False,0.085,0.073,0.842,0.4516
"這若不是祖產，就是下重本了；優點真可列約一百條，但列缺點以下三條：

1.餐點味道真的有倒扣分效果，口味就是吃起來怪怪的，覺得挑泰式為主打應該是有做過市調，但就是吃起來要泰式也不泰、要台味也不是，覺得可惜。

2.擦桌抹布真的太臭了啦～

3.室內室外沙發真的靠北難坐，變成有舒適的環境卻坐不久。

以上個人感想，給四星稍嫌少，五星又過多，因為沒4.5顆可選所以這裡備註一下。

其實回顧以前消費者負評的地方，店家幾乎都有改善到，真的值得鼓勵，每個改善動作都是成本，加油。

總結：不錯的地方，會約朋友來或推薦給他人。","If this is either ancestral production, it is a heavy -duty. The advantages can really list about 100, but the following three shortcomings:

1. The taste of the meal really has a inverted deduction effect. The taste is strange. I think that picking Thai style should be made of market tunes, but it is not Thai to eat. No, it is a pity.

2. Wipe the table and wipe cloth is really stinky ~

3. Indoor and outdoor sofas really sit in the north, and it becomes a comfortable environment but soon.

The above personal feelings are a little less than the four stars, and there are too many five -star, because there are no 4.5 options, so take notice here.

In fact, looking back at places where consumers were negative, the stores almost improved. It is really worthy of encouragement. Each improvement action is cost, cheer.

Summary: A good place, you will ask friends to come or recommend it to others.",False,0.189,0.082,0.729,0.9734
來了一次，環境其實很漂亮，但是看夜景不是首選，婚宴、辦活動的話比較適合，原本水池有座位區被拿掉了，菜單普通，沒有點就離開了，所以餐點跟服務沒有評分,"It is here once, the environment is actually very beautiful, but it is not the first choice to see the night scene. It is more suitable for wedding banquets and activities. The seat area was removed from the original pool. The menu was ordinary.",False,0.117,0.0,0.883,0.6753
"我是9月份的新娘
很開心選到了這個場地
也很感謝準備的過程中有婚顧Cara的細心協助
叮嚀我們準備的進度
對於我們突然的要求
也都很盡力的幫忙

雖然當天風雨很大
但謝謝細心的Cara的幫忙
讓婚禮能圓滿完成

主持人Bella也用她的專業
營造很棒的婚禮氛圍

很推薦大家選擇這邊完成人生大事","I am the bride in September
I was very happy to choose this venue
Thank you very much for your careful assistance in the process of preparing for the prepared process
The progress we are preparing
For our sudden request
They also do their best to help

Although the wind and rain were great that day
But thank you for your careful help
Make the wedding complete complete

Moderator Bella also uses her professionalism
Create a great wedding atmosphere

I recommend everyone to choose here to complete life events",False,0.325,0.0,0.675,0.9851
