Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"一家很道地的居酒屋
氣氛很好～～
雖然沒訂位，
但是店員人非常好的幫我們找了兩人的位子
而且餐點很美味喲！","A very authentic izakaya
The atmosphere is very good ~~
Although there is no reservation,
But the clerk helped us find the seat of the two people very well
And the meal is delicious!",False,0.25,0.038,0.712,0.8729
這家居酒屋，我超推！10年來始終如一，特色美食，一定要點豬舌，豬舌超好吃，很脆，口感像雞珍，還有雞皮，雞皮炸的酥脆、灑上胡椒鹽，還有牛肉丸子搭配起司，起司淡配上牛肉丸，最後推薦巧克力波波球，不甜又好吃，爆漿巧克力。,"I am super!In the past 10 years, it has been consistent. Special food, be sure to order pork tongue, the pig tongue is super delicious, very crispy, tastes like chicken treasures, chicken skin, chicken skin fried crispy, sprinkled with pepper and salt, and beef balls with cheese, starting up Si Dan is paired with beef balls, and finally recommended chocolate wave balls, not sweet and delicious, burst chocolate.",False,0.239,0.065,0.696,0.9297
"鄰近士林夜市，周邊有付費停車場非常便利。餐點口味不錯、但有時會不穩定是小瑕疵。近期份量變少也是扣分項。

餐點部分推薦，明太子雞翅、明太子雞肉串，烤七里香、烤牛小排、鹽烤雞肉串、都是推薦品項。","Near Shilin Night Market, there is a paid parking lot in the surrounding area. It is very convenient.The taste of meals is good, but sometimes unstable is a small flaw.Recently, the amount of portion has also been deducted.

Recommended meals, Ming Prince Chicken Wings, Crown Prince Chicken skewers, roasted Qiche, grilled beef steak, salt grilled chicken skewers, all recommended items.",False,0.097,0.05,0.854,0.2732
用餐時間有限制，炒麵涼拌菜還有烤魚七里香算上的快，後面入座了一個小時其他串燒才上桌，調味上個人覺得不夠入味，牛舌部分偏硬牙口不好的人不適合（有點跟價格過不去😔),"There are restrictions on the meal time. The fried noodle cold dishes and the seven miles of grilled fish are calculated fast. After one hour of skewer, other skewers are taken on the table. The seasoning personally feels not enough to taste. It's a bit and the price can't be too much)",False,0.0,0.0,1.0,0.0
"雖然是連鎖居酒屋，但菜色用料不含糊
酒類選擇不少，串燒菜色也多
吃過不少居酒屋，這家炭烤花魚超棒
午仔魚、各類雞、牛串燒也很棒
價錢合理，這家晚餐宵夜聚會很適合，推推","Although it is a chain izakaya, the dishes are not vague
There are a lot of wine selection, and there are many skeleton boiled dishes
I have eaten a lot of izakaya, this charcoal grilled flower fish is super stick
Noon fishes, all kinds of chicken, cow skewers are also great
The price is reasonable, this dinner party is very suitable, push push",False,0.169,0.0,0.831,0.9
餐點種類很多，當天吃的串燒熟度都烤得很剛好，餐廳氣氛不錯，旁邊有停車場，離士林夜市很近，吃完還可以去逛士林夜市。,There are many types of meals. The skewers they ate that day are very delicious. The atmosphere of the restaurant is good. There is a parking lot next to the restaurant. It is very close to the Shilin Night Market. You can also go to Shilin Night Market after eating.,False,0.126,0.0,0.874,0.7841
服務很好，沒訂位所以坐外場沒冷氣，後有內場空位，詢問是否移入，因為下雨不太熱也就不動了。食物整体不錯，但牛肉我個人覺得有點硬，喜歡嚼勁就不錯，雞肉烤物很佳，上菜有點錯，所以飲料兩杯給免了，建議點完的清單是否給客人桌上一份，這樣方便核對，不然點一堆有時真給忘記點了啥，整體不錯，還會再來，要記得預約 !,"The service is very good, there is no order, so there is no air -conditioning in the field, and there is an inner space in the back. Ask if it is moved in, because it is not too hot to rain.The food is good as a whole, but I personally feel a bit hard, and I like chewing. It is good to chew. Chicken grilled items are very good. It is a bit wrong to serve. This is convenient for verification, otherwise you can really forget something, and the overall is good, and you will come again. Remember to make an appointment!",False,0.16,0.097,0.743,0.866
"台北市士林區｜大武村串燒居酒屋

連鎖居酒屋，店面設計非常溫馨可愛，裝潢以原木材料為主調，帶有濃濃日本鄉村居酒屋的風情，空間分成前段的吧檯區部分以及後段的座位區部分。在居酒屋中，價格平實。

今天點的料理裡面，烤午仔魚一夜干和蛤蜊湯最喜歡！！
午仔魚的魚肉鮮嫩多汁，火候控制絕佳，外皮烤的香氣四溢 內裡的魚肉細滑 飽含滿滿的湯汁，非常鮮甜 僅以胡椒鹽提味 就能完美呈現鮮魚的美味，超級好吃！！💗💗

蛤蜊湯的蛤蜊肉煮到每顆都晶瑩飽滿，一口吃下會爆汁，簡單的薑絲調味，湯頭鮮美，很幸福💗

另外點了炒麵和串燒；份量都很實在 皮脆肉厚，烤雞腿和烤豬肉看起來也都是彈嫩多汁。

很平易近人的居酒屋，環境舒適，料理都在水準之上，推薦囉！

#日式居酒屋 #台北餐廳推薦 #台北美食 #士林美食 #捷運美食 #網美餐廳 #打卡餐廳 #連鎖居酒屋 #燒肉 #士林居酒屋 #士林串燒 #士林區餐廳 #美食推薦 #台北景點 #台北居酒屋","Taipei City Shilin District ｜ Dawu Village skewers roasting izakaya

Chain izakaya, the storefront design is very warm and cute. The decoration is mainly based on log materials. It has the style of a strong Japanese rural izakaya. The space is divided into the bar area in the previous section and the seat part of the seat area.In the izakaya, the price is flat.

In the cuisine ordered today, the longitudinal fish and clam soup are the favorite!Intersection
The fish's fish is tender and juicy, and the heat is controlled well. The grilled flavor of the outer skin is smooth and full of soup. It is very fresh and sweet. tasty!IntersectionBleak

The clam meat of the clam soup is cooked until each one is full of crystalline, and the juice will be bursting with a bite.

In addition, I ordered fried noodles and skewers.

The izakaya that is very approachable, the environment is comfortable, the cooking is above the standard, it is recommended!

#Japanese -style izakaya#Taipei Restaurant Recommended#Taipei Food###网##Chain izakaya#酒#酒 酒 酒###Food recommendation# Taipei Scenic Spot#Taipei izakaya",False,0.118,0.0,0.882,0.967
"必點！韭菜豬肝💖配生啤
Oh lalala!
烏龍麵裹著美味的醬汁，ㄙㄨ ㄙㄨㄙㄨ的吃進嘴裡去頓時覺得工作的辛勞都不見了！

美味的料理可以撫慰被社會毒打的身心靈✨✨✨","Must order!Leek pork liver 啤 beer
Oh lalala!
Oolong's noodles were wrapped in delicious sauce, and I ate it into my mouth and immediately felt that the work was gone!

Delicious dishes can soothe the body and mind of being beaten by society.",False,0.205,0.053,0.742,0.8392
之前到總店吃過，覺得超棒就來造訪士林店。平日的18:00剛開店是一個很舒適的用餐環境，推推！,"I have been ate at the head store before, and I feel that I will visit Shilin Store.At 18:00, just opening a shop is a very comfortable dining environment, push!",False,0.118,0.0,0.882,0.5974
