Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"位於芝山站附近的台式酒吧，跟一般餐酒館很不一樣，是以台式菜為主的酒吧，有滷味、一些涼拌菜等等的選擇，酒類選擇也非常多，種類也很特別，跟一般西式餐酒館很不一樣，烏梅醉的烏梅味非常濃郁，如果不愛久違的烏梅醉是不錯的選擇，癡情男子漢的話裡面有兩顆梅子，不過酒味比較重一點，另外還有醉美人，是以荔枝酒為主的，酒味不會到很重，但喝起來很順口！
店內環境很舒服愜意，是個放鬆很不錯的去處！！滷味拼盤也很不錯吃，米血糕跟鹹豬肉都超推，泡菜也很清爽，滷味拼盤也很好吃！！而且兩人份的量也給的很大方！！是很不錯的台式酒館～～真的很讚","The desktop bar located near Zhishan Station is very different from the general dining tavern. It is a bar, which is mainly desktop dishes. There are choices such as savory, some cold dishes, etc. There are many choices. Western -style dining tavern is very different. The black taste of black plum drunk is very strong. It is a good choice if you do n’t love the darkness that you do n’t have a long dislike. There are two plums in the words of an infatuated man, but the taste of the wine is relatively heavy, and there are drunk beauty. With lychee wine, the taste of wine will not be very heavy, but it will be smooth!
The environment in the store is very comfortable and comfortable, it is a very relaxing place!IntersectionLochi platter is also very good. Both blood cakes and salted pork are super pushed, kimchi is also very refreshing, and the lochi platter is also delicious!IntersectionAnd the amount of the two is also very generous!IntersectionIt's a very good desktop tavern ~~ It's really great",False,0.224,0.037,0.739,0.9931
台式居酒屋，香腸滷味可口，調酒取名很有趣，酒類價格不貴，生意很好，店內很熱鬧，一定要先訂位，營業到很晚,"The desktop izakaya, the sausages are delicious, the name of the bartender is very interesting, the price of the alcohol is not expensive, the business is very good, the store is very lively. Be sure to order first.",False,0.322,0.0,0.678,0.9397
如果不是去飲酒這是一間食物普通的餐廳，滷味味道一般，餐點又貴，即使你有點餐外還得規定每人要再點一杯飲料。,"If you are not drinking alcohol, this is an ordinary restaurant with food. It tastes like the taste of lochi, and the meal is expensive. Even if you have a little meal, you have to stipulate that each person has to order another drink.",False,0.055,0.0,0.945,0.3612
"極具創新，調酒融合台灣文化，我點了一杯鬼島冰茶，似乎以long island基底去做變化，結合冬瓜茶口感，蠻新奇的。
另外作為啤酒愛好者，不得不說啤酒的三分泡也很講究。
不過點了一個薑什麼的番茄，本身番茄控，後來發現我自己只適合吃熟的番茄，沒吃完實在可惜（笑
離我家步行約7分鐘，今天是睡前肚子餓，自己一個人來，我想以後睡不著會來補一些酒精。","Very innovative, bartending integrates Taiwanese culture, I ordered a glass of ghost island ice tea. It seemed to change the base of the Long Island, combined with the taste of winter melon tea, which was quite novel.
In addition, as a beer enthusiast, I have to say that the three -pointer of beer is also very particular.
But I ordered a tomato for ginger, and I was controlled by myself. Later, I found that I was only suitable for cooked tomatoes. It was a pity not to eat it (laugh
I walk about 7 minutes from my house. Today I am hungry before going to bed. I come alone. I think I can't sleep in the future to make up for some alcohol.",False,0.079,0.052,0.869,0.5563
一個人下班放鬆小吃一下也很好，多人聚會也很可以。台式創意料理推薦大腸包小腸以及下酒小菜。,"It is also good to relax the snacks by get off work, and it is also possible to meet by multiple people.Taiwan -style creative cuisine recommends large intestine wraps in small intestine and small dishes.",False,0.255,0.0,0.745,0.8625
我點的是外賣。所以餐廳氣紛和服務都給5顆星。單純說食物。這麻辣牛健又硬又沒味道！160元有夠少，切很薄，更硬！完全不行。黃瓜也沒入味，不Ok. 唯一可以的是 花干！ 很雷！,"I ordered takeaway.Therefore, the restaurant has 5 stars and services.Simply say food.This spicy Niu Jian is hard and flavorful!There are less than 160 yuan, thin and harder!No.The cucumber is not flavored, not ok. The only thing that can be is dried!Very thunder!",False,0.0,0.059,0.941,-0.3753
女性服務人員態度差，店內感覺人手不足，上餐速度慢，整體感覺和以前相比差很多，不會再去此店了,"Women's service staff has a poor attitude, the store feels insufficient, the meal is slow, and the overall feeling is much worse than before.",False,0.052,0.216,0.732,-0.6908
"期待很久但實在滿失望的. 總共點了兩杯調酒, 滷味拼盤跟麻辣烏龍麵.
滷味拼盤($480)非常不推,  店家說裡面會有兩種肉類, 兩種蔬菜, 其他店家隨意配. 餐點到時, 肉少的可憐不說, 菜居然是生菜 (剛開始還以為本來還以為是點綴拼盤用的), 其他隨意配的是豆干, 百頁跟花干. 隨意配的滷味本身都超 級 鹹!!! 上面又淋了滿滿的醬, 鹹上加鹹. 最後試著把滷味用麻辣烏龍麵的湯先洗掉醬, 但還是鹹到不行. 尤其是豆干.
當天最滿意的是渣男烏梅醉裡的洛神. 真的是靈魂.
另一杯調酒普跟烏龍麵都很普.
整體來說不會再訪了.","I have been looking forward to it for a long time but really disappointed. I ordered two cups of bartending in total.
Lochi Platform ($ 480) is very not pushed. The store said that there will be two kinds of meat, two kinds of vegetables, and other shops with free to match. When the meal is, the meat is poor, and the vegetables are actually lettuce. I thought it was embellishment of the platter). Others were randomly equipped with dried beans, and the 100 pages and flowers were dry. The random fiddles themselves were super salty !!! The sauce is full of sauce, and the salty is added. Washed the sauce with the soup on the spicy oolong noodles, but it was still salty. Especially the dried beans.
The most satisfied thing that day was Luo Shen who was drunk. It was really a soul.
Another cup of bartender and oolong noodles are very universal.
Overall, I won't visit again.",False,0.082,0.066,0.852,0.6093
"因為很久不喝酒了，但大雨天運動完感覺很適合來一杯🍹
點了一杯majito,有滿滿新鮮薄荷的香氣，真的是太標準了，對於我這種薄荷控真是太喜歡太喜歡💕 給他🌟🌟🌟🌟🌟

滷味三拼很好吃 牛肚 牛筋 牛腱都很入味 口感很好，配上青蔥好吃 一樣🌟🌟🌟🌟🌟

麻辣鴨血豆腐有入味，鴨血也軟嫩無氣泡，但湯喝起來蠻像湯包的，少了一些香料的味道，美中不足

脆皮豬血糕因為吃不出皮哪裡有脆😭 我想我可能對豬血糕有誤會

我覺得牛三寶真的必點，麻辣鴨血想喝湯可以試試，酒好喝，很輕鬆的地方，還會再訪！","Because I don’t drink for a long time, but it feels suitable for a cup after the rainy day.
I ordered a cup of Majito, with the aroma of fresh mint, which is really too standard. I really like it for me. I really like it.

Lawei Sanpin is delicious and delicious, and the taste is very good. It is the same as delicious and delicious.

Spicy duck blood tofu has a flavor, and duck blood is also soft and tender, but the soup is quite like a soup bag. The flavor of the spice is less.

Crispy pork blood cake because I can’t eat the skin, where can I be crispy? I think I may have a misunderstanding about pig blood cake

I think Niu Sanbao is really sure to order. Trying duck blood can try soup. You can try it for drinking.",False,0.234,0.029,0.737,0.991
滷味非常好吃！調酒每一杯口味獨特，生啤順口，非常好喝！非常值得推薦的好店！,"Loi is very delicious!Each cup of bartending is unique, and the raw beer is smooth, which is very delicious!Very recommended good shop!",False,0.234,0.0,0.766,0.7284
