Original,EN,Needs Review
"Let’s just chill at night
法國風情 氣氛浪漫，老外的愛店
愛爾蘭咖啡很香
伯爵巧克力塔 ：
大人口味伯爵茶層次明顯

美酒、甜點伴隨著店裡悠揚的音樂
讓人舒服😌","Let ’s Just Chill at Night
French style atmosphere romantic, foreigners' love shop
Irish coffee is very fragrant
Earl Chocolate Tower:
Adult Piaoaro tea level is obvious

Wine and desserts accompanied by melodious music in the store
Make people comfortable",False
低消是一杯飲品，點了熱美式好喝也蠻大杯的，餐廳氣氛跟抹茶磅蛋糕都100分，義大利麵跟薄餅也很好吃。很會選歌單，面對大片玻璃窗窗外很像在看大型的電影場景，有種與現實脫離的空間隔離感，喜歡💕,"Low disappearance is a drink. It is also a big cup after ordering the hot American style. The atmosphere of the restaurant and the matcha pound cake are 100 points.I can choose a song list very much. In the face of large glass windows and windows, I am very similar to watching large movie scenes. There is a sense of space isolation that is separated from reality. I like 💕",False
是個著重在飲品、酒品、小點的餐廳。氛圍、交通、空間都很方便、寬敞、舒適。餐點也都還可以。有義大利麵、燉飯、甜品、等很多選項。服務也不錯。,"It is a restaurant focusing on drinks, wines, and small dots.The atmosphere, transportation, and space are very convenient, spacious and comfortable.The meals are okay.There are many options such as pasta, stewed rice, desserts, and so on.The service is also good.",False
"Modism Muses 摩德年代繆斯餐酒館❤️
小山園抹茶塔超級好吃～～
餐點選擇很多，味道也都不錯！
提拉米蘇下層麵包，冰的有點硬！
很適合吃個晚餐喝杯調酒。","Modism Muses Moses Muse Restaurant ❤️
Xiaoshan Garden Matcha Tower is super delicious ~~
There are a lot of meals, and the taste is good!
Tiramisu's lower -level bread, ice is a bit hard!
It is very suitable for eating a cup of sober.",False
"跟朋友來吃早午餐
很好拍照的一家店
餐點豐盛但普通
假日用餐
早午餐時段沒什麼客人
有訂位但不太需要等","Come with friends for breakfast
A shop with a good picture
The meal is rich but ordinary
Holiday meal
There are no guests during brunch period
There is a reservation but you don't need to wait",False
之前常經過，今天第一次來，真的不錯，有一點年代感，大人系的小酒館，但我點氣泡飲😂，好👍，烤餅👍，起司盤👍，下次來試試咖啡跟甜點,"I used to pass by before, the first time I came today, it ’s really good. I have a sense of age. I’ m a small tavern in the adult, but I ’m ordering bubbles to drink, good, baked cakes, cheese, next time, try coffee. Dessert",False
氣氛是不錯，但每人必需低消一杯飲料，不可以用餐點抵消，其實說不過去；餐點主要散點，沒有套餐的選項，但食物質素不錯,"The atmosphere is good, but each person must disappear a glass of drinks. Do not offset meals. In fact, you ca n’t say it; the main dispersion point of the meal, no package options, but the food quality is good",False
"服務態度很好，需要用line訂位。2樓的座位每人低消$1000但是比較安靜沒有人打擾，區域再整理一下會更完美。1樓座位桌子較小人也比較多，如果路過不訂位也可以考慮。

餐點表現中上，熱紅酒意外的非常好喝，本來以為會達不到的低消，竟然最後還超過可見太隨便點飲料的話人單還是破千。

如果恰巧在附近可以二訪，氣氛很好的店家。","The service attitude is very good, and you need to book with LINE.The seat on the second floor is $ 1000 per person, but no one is disturbed by no one.There are more small people on the first floor of the seats. If you pass by, you can also consider it.

In the meal performance, the hot red wine was very delicious. It was thought that the low disappearance that would not be able to reach it. In the end, it was better than seeing too much drink.

If you happen to be nearby nearby, the shop with a good atmosphere.",False
"餐點很好吃也很好擺拍
甜點非常推薦🫶🏻","The meal is delicious and it is easy to shoot
Dessert is very recommended 推荐",False
"✨距離捷運士林站走路大約2分鐘的距離
店內有一二樓
不過大部分都是安排在一樓的部分
整體的裝潢佈置色系偏暗
🕯️每個桌上都有裝飾的電子蠟燭
下雨的晚上很適合來這裡
👍看著窗外飄著的細雨以及行走的路人
感覺很有氛圍

❤️巴薩米醋鯷魚義大利麵$360：偏酸的口感很開胃！沒有食慾的時候推薦點這個，保證胃口大開，鯷魚的味道很鮮美，連平常不愛吃魚的我都超愛這道義大利麵

🥄菲達乳酪干貝燉飯$360：法式青豆醬類似青醬的口感，旁邊還有很多真實的一顆顆青豆，干貝有兩顆很好吃

🥤黑糖歐蕾$130：這個很好喝！黑糖的味道很不錯，配上鮮奶更多了自然的甜味

🥤約克郡紅茶+鮮奶$160：很普通，喝起來味道很淡，不推薦

😍提拉米蘇$160：超級好吃的甜點！一定要點來吃吃看，濕度很夠吃起來就是濕軟的口感，裡面吃起來冰冰涼涼的，很適合作為飯後甜點，建議可以兩個人一起吃一個","士 About 2 minutes away from MRT Shilin Station
There are first and second floors in the store
But most of them are arranged on the first floor
The overall decoration layout color is dark
都️ Each table has decorated electronic candles
It is very suitable to come here in the rainy night
飘 Looking at the drizzle outside the window and the passers -by walking
It feels very atmospheric

❤️ Barcelona vinegar catfish Italian noodles $ 360: The acidic taste is appetizing!When you have no appetite, I recommend ordering this to ensure that the appetite is open, the taste of catfish is very delicious. Even if I usually do n’t like fish, I love this pasta

贝Fefida cheese scallop stew rice is $ 360: French green bean sauce is similar to green sauce, there are many real green beans next to it, and there are two delicious scallops.

$ $ 🥤 🥤 $ 130: This is delicious!The taste of brown sugar is very good, with fresh milk, more natural sweetness

Yorkshire black tea+fresh milk $ 160: very ordinary, it tastes light, it is not recommended

$ 😍 😍 $ 160: Super delicious dessert!Be sure to click to eat. The humidity is enough to taste a soft taste. It tastes cold and cool, which is very suitable as a dessert after meal. It is recommended that two people eat one together",False
