Original,EN,Needs Review
"燈光好氣氛佳，露營椅子偏矮但還行。
三五好友或情侶非吃適合！
音樂挑選的很好，不會太吵，音響也不錯！
可以自帶下酒菜讚爆！","The lights have a good atmosphere, and the camping chair is short but okay.
Three or five friends or couples are not suitable!
The music is very good, it will not be too noisy, and the sound is good!
You can bring your own wine!",False
"裝潢跟氣氛超級好的酒吧，建議來都要先訂位～
楊貴妃非常好喝，酸甜且酒感不重，但有23%，可以享受微醺的感覺😍
沒有任何餐點所以可以帶外食進店內，總之真的是士林超級值得來小酌的寶藏地方！","Bar where the decoration and atmosphere are super good, it is recommended to book the seat first ~
Yang Guifei is very delicious, sweet and sour, and the wine feels not heavy, but there are 23%, you can enjoy the feeling of slightly 😍 😍
There is no meal, so you can bring food in the store. In short, it is really a treasure place for Shilin to have a drink!",False
店內氛圍非常好，就算是第一次來點的調酒也非常不錯，好喝，完全不會說點到不好喝的飲料，拍照也十分出片哦，強烈推薦！！！,"The atmosphere in the store is very good. Even the first time I have a little bartender is very good. It is delicious. I wo n’t say that it is not good to drink, and taking pictures is very filming. It is highly recommended!IntersectionIntersection",False
"沒有什麼吃的，因此可以外帶食物👍🏻

氣氛蠻好的，很有特色
只是剛好坐再冷氣出風口，真的蠻冷的
客人絡繹不絕，店內空間稍微擁擠
燈光較暗，走路要小心，店內有做成跟營地一樣的石頭路
有扭蛋可以扭酒品哦！看起來算是划算！
有剛好遇到活動一人喝三杯（忘記多少錢，總之又比較便宜）","Nothing to eat, so you can take food 👍🏻

The atmosphere is pretty good, very distinctive
I just sit down and then air outlet, it's really cold
The guests are endless, and the space in the store is slightly crowded
The lights are darker, so be careful when walking.
There are capsules to twist wine!It looks a cost -effective!
There are just three cups of people who just encountered an activity (how much money forgot, in short, it is cheaper)",False
"很不一樣的酒吧. 在夜市的舊民宅內. 裝修成露營區的感覺. 有一般座位區. 露營車，和帳篷區. 露營車和帳篷的低消比較高. 類似包廂.
一般座位區的低消可接受範圍.
店內不供應餐點只有飲品. 所以可以攜帶外食.
雖然是酒吧但是沒有酒吧的喧囂. 大家都很柔和的聊天. 很適合好友喝點小酒聊聊天.
建議預約再來. 需要小吃的順便買好帶來配酒.
室內燈光很暗. 需要手機照明看菜單.","Very different bars. In the old house of the night market, the decoration is decorated into the camping area. There are general seat areas. Camping cars, and tent area. Camping cars and tents are relatively high. Similar to the box.
The low consumption of the general seat area is acceptable.
There are only drinks in the store without meals. So you can bring food.
Although it is a bar, there is no hustle and bustle of the bar. Everyone chats softly. It is suitable for friends to drink a little wine and chat.
It is recommended to make an appointment again. If you need a snack, buy it by the way and bring wine.
The indoor light is very dark. The mobile phone lighting is required to see the menu.",False
"忘了拍酒照🫠
「楊貴妃」真心覺得好喝！ 若有機會二訪一定會點的品項。9.5🌟

「優心如醉」 個人覺得偏普，不是很建議點。5🌟

「陽明戲院」 算是蠻有特色的品項，味道其他餐酒館喝不太到，覺得是好喝的！ 給8🌟","Forgot to take a photo of the wine 拍 拍 拍 拍
""Yang Guifei"" really feels delicious!If you have the opportunity to visit the second visit, you will have a certain number of items.9.5🌟

""Excellent as drunk"" personally feels that it is not recommended.5🌟

""Yangming Theater"" is a very distinctive item. The taste of other restaurants is not very good, and it feels delicious!Give 8🌟",False
"很棒的環境！酒也不錯喝！希望下次有機會能坐到帳篷區或露營車～

我們沒點零食，店員還跟我們說可以出去夜市買點小東西吃🤣人超好的","A great environment!Wine is also good!I hope I will have the opportunity to take a tent area or camping car next time ~

We have no snacks, and the clerk also told us that we can go out to go out to buy a small thing for a small thing.",False
來看奧運羽球比賽～謝謝店員比我們還愛小戴🤣特地在小戴上場時把音樂關掉～調酒兩人點了四杯都很好喝👍 菜單酒感很符合實際,Look at the Olympic badminton competition ~ Thank you for the clerk to turn off the music when he loves Xiao Dai.,False
"給你滿滿的氛圍跟多巴胺
酒很好喝，6月有活動1000可以喝三杯調酒🍸沒有餐點所以可以，買外食近來食用
適合朋友來聊天小酌","Give you a full atmosphere and dopamine
The wine is very delicious. In June, there is 1,000 activities to drink three glasses of bartending.
Suitable for friends to chat and drink",False
"跟朋友們來聚會，很適合，有背景音樂，但不會壓過聊天的聲音。
也可以外帶食物，很放送。","It is very suitable to meet with friends and have background music, but will not overwhelm the sound of chat.
You can also take food, and it is very popular.",False
