Original,EN,Needs Review
"我點的是ubereats外送

很可惜 我記得前幾年3年前左右我有點過
超好吃的…

不知道怎麼回事現在吃了真的覺得很普通
尤其是藍莓的怎麼壓這麼扁 也很乾🥲🥲
以前吃的時候很蓬鬆啊😞

一個早餐吃的有點為難
500多塊一個早餐：/","I ordered Ubereats delivery

It's a pity that I remember about 3 years ago, I have been a bit
Super delicious ...

I don’t know what's going on. Now I really feel ordinary.
Especially the blueberry is so flat, it is very dry 🥲🥲
It's fluffy when I was eaten before 以

It is a bit embarrassing to eat a breakfast
More than 500 pieces a breakfast:/",False
"獵人帕尼尼跟酪梨帕尼尼
都是驚為天人的好吃～！！
但內用座位不多印象中大約四個","Hunter Panini and Avaro Panini
They are all delicious for heaven and man ~!Intersection
But there are not many impressions in the inner seats about four",False
"菜單名稱看不出來內容物，只能一個個詢問，店員的態度又讓你覺得他像在看智障，令人不愉快

義大利麵是清炒的，東西越少難度越高，香草單一缺乏風味和橄欖油的辛香，肉也沒有香氣，很是失望

事先詢問帕尼尼是否有醬、調製方法，因為我討厭的醬很多，因此問得比較詳細，但店員只說，我們不是早餐店不用擔心，也沒詳細說明（又是那種覺得你是智障的態度），很抱歉我確實就是不喜歡……
店內食物品項少，現場感覺都是熟客
連多要一隻叉子都會ㄉㄧㄤˉ你一下

不會再去了","The menu name does not see the contents, and can only be asked one by one. The attitude of the clerk makes you feel like he is looking at mentally retarded, which is unpleasant.

The pasta is stir -fried. The less things, the higher the difficulty, the lack of flavor and olive oil for vanilla, and there is no aroma of meat.

Ask Panini in advance if there are sauce and modulation methods, because I hate a lot of sauce, so I ask more details, but the clerk only says that we are not a breakfast shop, and we do n’t have to worry about it. Attitude), I'm sorry I really don't like it ...
There are few food items in the store, and the scene feels like mature customers at the scene
If you want one fork, you will ㄧ ㄧ ㄤˉ ㄤˉ you

I won't go again",False
不是真正的帕尼尼，但是是好吃的吐司，依這個價位的份量也算可以；甜的花生巧克力帕尼尼，巧克力味道較濃，好像是巧克力去融化的，吃得時候還會滴，吃得很開心。室內位置不多，人坐多一點就稍悶；好像只有老闆一人，很親切。菜單有一面的餐點幾乎沒有（水餃、蔥抓餅⋯），好像是留給預訂客人？ 建議更新菜單；因為帕尼尼取得名稱很特別，又沒註解，會不知道是什麼肉，就需要一直跟老闆詢問，問太多自己會覺得煩；紅茶滿順口；義大利麵套餐的麵口感不錯，但味道普通，有附一個小沙拉，醬滿香的。,"It is not the real Panini, but it is a delicious toast, and the amount of portion at this price is also possible; sweet peanuts chocolate Panini, the chocolate tastes stronger, it seems to be cut off by chocolate, and it will dripping when you eat it when you eat it. , Eat very happy.There are not many rooms, and people are a little bit boring; it seems that only the boss is the only one, which is very kind.There is almost no meal at the menu (dumplings, green onions and cakes), as if left for reservation guests?It is recommended to update the menu; because Panini has a special name and has no comment. I do n’t know what meat is. I need to always ask the boss and ask too much to feel annoying; the black tea is full; Yes, but the taste is ordinary, there is a small salad, the sauce is full of fragrant.",False
"今天點了酪梨雞蛋帕尼尼，平成沒在吃酪梨😂但想嘗試看看，天啊 驚為天人～很清爽好吃，但又吃的很飽！
非常適合早餐、中餐，帕尼尼的吐司吃起來甜甜的、不知道是不是外層有塗糖水？但很喜歡～

咖啡也很好喝，冰的耶加順口又不貴！

店比較小，但也沒差XD","Today I ordered the avocado egg Panini. Pingcheng was not eating avocado. But I wanted to try it. God was shocked by heaven ~ It was very refreshing and delicious, but I was full!
It is very suitable for breakfast and Chinese food. Panini's toast tastes sweet. I wonder if it is painted with sugar water in the outer layer?But I like it very much ~

Coffee is also very delicious, and the ice of Jaga is not expensive!

The store is relatively small, but there is no worse XD",False
"原本想吃酪梨帕尼尼
但老闆說沒了 便推薦了獵人帕尼尼
沒想到 無敵好吃
青菜、醬、鴨胸、水果、堅果 搭配的剛剛好
麵包的脆度也剛剛好
是吃了非常愉悅的食物

老闆人很和善 雖然店小小的
卻會讓人想再回訪
很讚～～就在戲曲中心對面而已！","Originally I wanted to eat avocado Penini
But the boss said that if he was gone, he recommended Hunter Panini
I didn't expect invincible delicious
Green vegetables, sauce, duck breasts, fruits, and nuts are just right
The crispness of the bread is just right
I ate very pleasant food

The boss is very good, although the shop is small
It will make people want to return to visit again
It's great ~~ Just opposite the center of the opera!",False
"2022/07/30

花生藍莓帕里尼：藍莓醬不會過於甜膩，吃起來有種天然的味道，內餡有完整的藍莓果粒，可以感受到老闆製作的用心，很推薦藍莓系列的帕里尼。花生味道相對就不突出，有種被蓋過去的感覺，稍微可惜，兩者配搭上沒有大於二的感覺。

火雞帕里尼：選用了許多健康的食材，吃得到火雞、生菜、堅果類，營養均衡，吃起來很清爽，適合當作早餐，很棒。

鮮奶茶：偏向茶味較濃，香氣十足，甜度剛好，很好喝。

店面小而整潔，開放式的廚房，進門就有撲鼻的茶香，環境很舒適，老闆人都很nice，會跟客人聊天，很值得推薦的一家店。","2022/07/30

Peanut Blueberry Parini: The blueberry sauce will not be too sweet. It tastes a natural taste. The filling has a complete blueberry grain. You can feel the intention of the boss to make it. It is recommended that the blueberry series of Parini.The taste of peanuts is relatively not prominent. There is a feeling of being covered in the past. It is a pity that the two do not feel more than two.

Turkey Parini: A lot of healthy ingredients are selected. They can eat turkey, lettuce, nuts, balanced nutrition, and taste refreshing. It is suitable for breakfast and is great.

Fresh milk tea: The taste of the tea is strong, the aroma is full, the sweetness is just right, and it is delicious.

The store is small and tidy. The open kitchen has the fragrance of tea in the door. The environment is very comfortable. The boss is very nice and will chat with the guests. It is worth recommending a shop.",False
"🔸獵人帕尼尼$135
偏高價，與其說是帕里尼，比較像是烤吐司夾料
🔸鮮奶茶$50 是蜜香紅茶為基底的，不錯喝

店內空間偏小位置不多，店外還有戶外座位","尼 Hunter Panini $ 135
It's a high price, not so much Parinini, it is more like a grilled toast folder
$ Fresh milk tea $ 50 is based on honey black tea, good drink

There are not many spaces in the store, and there are outdoor seats outside the store",False
"獵人這個名字真的很難想像它是什麼樣的料理，原來是帕尼尼夾著鴨肉、生菜、堅果、小橘子，跟老闆自製蛋沙拉醬，超清爽的⋯而且份量十足！

一般咖啡店老闆都不會建議客人喝冰咖啡，但這杯冰耶加雪菲，隨冰塊融化程度，喝起來風味也不同！淡淡的果香味，讓人感到舒服⋯

在悠閒的週末上午，來一份這樣的早餐，很愜意⋯
可惜就是座位比較少，所以要內用最好先打個電話詢問一下。","The name of the hunter is really hard to imagine what kind of dishes it is. It turned out that Panini sandwiched duck meat, lettuce, nuts, little oranges, self -made egg salad sauce with the boss, super refreshing and full of weight!

Generally, the owner of the coffee shop will not recommend guests to drink ice coffee, but this cup of Bingjega Snowfei, with the degree of melting of the ice, tastes different!The faint fruity aroma makes people feel comfortable ...

On a leisurely weekend morning, a breakfast like this is very pleasant ...
Unfortunately, there are relatively few seats, so it is best to use a phone call to ask.",False
"去年才開幕的帕尼尼專賣店
店裏的座位是一排扇形吧台座
可以看著老闆料理新鮮的蔬果食材
還能近距離被帕尼尼機的滋滋聲驚嚇
頗有吃鐵板燒的感覺呢！
-
整家店似乎只有老闆一人
從臉書上看起來他對食物的理念很棒
選用在地小農的新鮮食材
烹調上也不會太過油膩重口味
兼顧美味與健康
-
Tartine好像是一種
以歐式麵包切片為底
上頭隨性鋪上自己喜歡的食材的開放式三明治
不過老闆好像為了讓客人吃飽
亦或是考量到口味的接受度等等
後來改成了用吐司製作的帕尼尼
而獵人應該是以鴨胸肉來呈現一種粗獷的味覺吧
-
一上桌就讓我驚呼吐司好～大一份
都比我的巴掌都還大了
裡頭塞入大量新鮮的廣東A菜
又嫩又脆十分爽口
還有厚厚的煙燻鴨胸肉佐以美乃滋
核桃增添了口感
柑橘的加入也意外的對味而不搶戲
雖然擁有「獵人」這麼野性的菜名
卻意外地是道讓人吃起來很舒服的料理呢
-
青蔥起士鮪魚則是起士和鮪魚沙拉的完美結合
內餡之豐富
不需施加壓力起士就緩緩地流出來了
鮪魚應該是用水煮的罐頭吧
吃起來比較不油膩
蔥花的角色更是畫龍點睛
雖然用的部分較偏蔥白
但卻沒有辛辣感
只有蔥段被加熱後獨有的清香
有點像在吃蔥餅的那種感覺
配上鮪魚沙拉的微酸真是好吃
-
這家的帕尼尼真的可以用巨大來形容
對半切就跟一般吃到的差不多大了
一份吃下來不用100元卻有美味又飽食的一餐
老闆真的很佛心","Panini specialty store opened only last year
The seat in the shop is a row of fan -shaped bar seats
You can watch the boss cook fresh fruits and vegetables ingredients
Can be frightened by the nourishment of the Panini machine up close
It feels like eating iron board!
-
The whole shop seems to be the only one in the boss
From Facebook, his concept of food is great
Fresh ingredients selected in small farmers
The cooking will not be too greasy and heavy.
Take care of deliciousness and health
-
Tartine seems to be a kind of
Based on European -style bread slices
The open sandwiches of your favorite ingredients on the top
But the boss seems to be full to make guests full
Or considering the acceptance of taste, etc.
Later, it was changed to Panini made with toast
The hunter should show a rough taste with duck breasts.
-
As soon as I put it on the table, I exclaim the toast ~
It's bigger than my slap
A large number of fresh Guangdong A dish is stuffed inside
It's tender and crispy and refreshing
There are thick smoky duck breasts.
Walnut adds taste
The addition of citrus also unexpected
Although there is a wild dish name like ""Hunter""
But unexpectedly it was a very comfortable dish
-
The onion cheese catfish is the perfect combination of cheese and catfish salad
Rich filling
You don't need to apply the pressure to the cheese slowly, it flows out slowly
The catfish should be a canned food boiled, right?
It's not greasy to eat
The role of green onion is the finishing touch
Although the part used is relatively white
But there is no spicy feeling
Only the unique fragrance after the onion section is heated
A bit like the feeling of eating onion cakes
It is really delicious with the slightly sour of the catfish salad
-
This Panini can really be described by huge
The half -cut is almost the same as that of the general eaten
A meal that does not need 100 yuan but has a delicious and full meal
The boss is really Buddha",False
