Original,EN,Needs Review
"真的好吃，必需回訪！自己來或是朋友家人聚餐情侶約會都適合，店內座位不多空間偏小，建議提前預約避免向隅。

當天朋友聚餐點了將近20道，真的完全無雷！

個人大推烤茄、明太子山藥、鹽烤松阪豬跟炸雞。必點牛五花生菜捲，最後點了一道很特別在外面居酒屋幾乎沒看過的烤卡門貝爾起司，整塊卡門貝爾起司在鑄鐵鍋裡，撒上堅果、果乾米果碎最後淋上蜂蜜，一口起司配一口啤酒超搭！","It's really delicious, you must return to visit!It is suitable for your own or dinner for friends and family members. There is not much space in the store. It is recommended to make an appointment in advance to avoid going.

On that day, my friend dinner was almost 20, and it was really thunderous!

Personally push roasted eggplant, prince yam, salt grilled Songsaka pig and fried chicken.Must order cattle, penta, and rolls. Finally, I ordered a roasted Kamen Bell cheese that was very special in izakaya. Put on honey, a cheese with a beer!",False
"雖然店很小，但坐起來不會不舒服，小店的氣氛也很棒，很適合放鬆心情和朋友小酌。
餐點超乎預期美味，秋冬才有的關東煮，讓我們驚艷！雞翅，烤櫛瓜等都讓我們回味不已，我會想再去的店。","Although the store is small, it will not be uncomfortable to sit up, and the atmosphere of the shop is also great, which is very suitable for relaxation and friends.
The meal is beyond expected delicious, and the Kanto cooked in autumn and winter makes us amazing!Chicken wings, roasted melons, etc. are all aftertastes, and I will want to go to the shop.",False
"喜歡一樓室外座位很有氣氛，室內設計也看出用心。餐點好吃～現做要等蠻久的，價格偏高結帳時有驚訝，感覺沒吃什麼2人消費約1000多元，完全沒吃飽😅地點離捷運站及夜市都有點距離。
（照片只有拍前幾道，後面等太久很餓一上菜就吃掉了來不及拍）","I like the outdoor seat on the first floor. The indoor design also sees it.The meal is delicious ~ Now I have to wait for a long time. I was surprised when the price was high. I felt that I did n’t eat any more than 1,000 yuan. It was a little distance from the MRT station and the night market.
(The photo is only taken in the first few, and the back is too long to eat and eat it.",False
"位置不多最好先訂位
平日人也很多
雞肉串很好吃，雞肉的口感跟在日本吃得很像

現在店裡有三種口味梅酒推銷（三杯400元）
個人覺得有點太水了，不知道是不是冰塊放太多，雖然是三種口味但因為太稀喝起來沒有太大的區別，稍微有些可惜🥲","There are not many positions, it is best to order first
There are many people on weekdays
Chicken skewers are delicious, and the taste of chicken eats very much in Japan

There are three flavored plum wine sales in the store (three cups 400 yuan)
Personally, I think it ’s a bit too water. I do n’t know if the ice cubes are too much. Although it is three flavors, it is not much different because it is too thin.",False
"超級好吃！
氛圍也滿舒適的
但空間比較小適合2-3人用餐

推薦明太子雞肉串、鹽蔥雞腿、炸豆腐、烤櫛瓜跟松露薯條
幾乎都是兩串為一份
適合分食
白醬烏龍麵也好吃
在一樓用餐旁邊是廚房
聞到一股超香的孜然味但不知道是什麼料理

桌面不大，但店家會注意上餐順序
廁所在二樓要走出去陽台的最底部","Super delicious!
The atmosphere is also full of comfort
But the space is relatively small suitable for 2-3 people to dine

Recommended prince Chicken skewers, salt onion chicken legs, fried tofu, roasted melon and truffle potato strips
Almost two skewers are one
Suitable for splitting
White sauce oolong noodles are delicious too
The kitchen is next to dining on the first floor
I smelled a super fragrant cumin taste, but I don’t know what dish

The desktop is not large, but the store will pay attention to the order of the meal
On the second floor of the toilet, go out to the bottom of the balcony",False
來士林買西裝的等候時間，路過發現的一家小店，沒想到餐點 意外的好吃🤤環境雖然小，但整體舒適乾淨，座位數不多，適合2-3人小小聚，推推👍,"Lai Shilin bought a suit time, a small shop that passed by, but did not expect that the meal was unexpectedly delicious. Although the environment was small, the overall was comfortable and clean, and the number of seats was not large. Bleak",False
三度造訪，食物依然優秀，用餐空間不大但氛圍很好，如果到士林夜市附近很值得來這兒用餐小酌。,"Three times, the food is still excellent, the dining space is not large, but the atmosphere is very good.",False
"烤飯糰1000分
目前吃過把明太子醬做的最好吃的店～
其他串燒也都水準以上
炸物的麵衣也很用心
可惡！
好吃死了～～～～
🖤🩶","1000 points for grilled rice balls
I have eaten the best shop that made Prince Mingzi sauce now ~
Other skeletons are also level or higher
The fried noodles are also very attentive
hateful!
It's delicious ~~~~
Bleak",False
"餐點都很美味 😋😋😋，來真的需要訂位，位子比較少，非常會利用空間，廁所在二樓外面
禮拜一到禮拜四飲料會有優惠
明太子烏龍麵超好吃，好吃到我點了兩碗 ，烤飯糰也很驚豔，可以配湯弄成泡飯好有趣，豬五花生菜捲很棒","The meals are very delicious. It really needs to book a place. The seat is relatively small. It can use space very much. The toilet is outside the second floor.
On the worship from the worship, there will be discounts on the four beverages
The Ming Prince Oolong noodles are so delicious, so delicious, I ordered two bowls. The grilled rice balls are also amazing. It can be made with soup to make rice. It is great.",False
"餐點和服務感受都給五顆星！
在這個競爭激烈的士林夜市裡，餐廳乾淨舒服食物又好吃真的很推薦！串燒雞翅滿好吃！
價格上合理，服務態度也不錯！會想要再來～

美中不足的是，週一～週四指定酒類$99/杯，不知道是不是特價關係我和朋友喝都覺得偏淡，希望這點可以改進。

另外，座位真的很少，要去之前建議先詢問有無位子。","Give five stars for meals and service feelings!
In this fiercely competitive Shilin Night Market, the restaurant is clean and comfortable and delicious. It is really recommended!Stringing chicken wings are delicious!
The price is reasonable and the service attitude is also good!I want to come again ~

The disadvantage of the United States is that it is $ 99/cup specified from Monday to Thursday. I do n’t know if it ’s a special relationship. I feel lighter with my friends. I hope this can be improved.

In addition, there are really few seats, and I have to ask before asking if there is a position.",False
