Original,EN,Needs Review
酒都不錯喝！而且都很可愛漂亮，有的裝飾品還可以吃（小藍莓串、棒棒糖）吃的也都不錯吃，服務生也都很有耐心熱情服務以及貼心，真心推薦！,"Drink well!And they are very cute and beautiful, some decorations can also eat (little blueberry skewers, lollipop), they are also good to eat. The waiters are very patient and enthusiastic services and intimate, and sincerely recommend it!",False
"入口三秒內會沿著食道入喉燒下去，像是酒精著火一樣，30秒之後，會有一口氣忽然衝上來，結果衝到鼻腔馬上煞停，之後緩緩散發出來木質調的香氣出來，讓你的呼吸帶上那杯酒的煙燻香味，超絕。

我是真的覺得他的Old fashioned 很有特色，重點是在於酒精只會燒下去不會衝上來，當你以為衝上來的是酒精，結果是香氣炸彈，喝到三分之一的時候，入口的時候有一點麻痺感，卻是相當的焦苦香氣伴隨著入喉緩緩的沉降進入胃部，然後前面喝下去的幾口殘留木質調香氣隨著呼吸浸入腦子，會有一種舒緩感。

我不懂酒，但是他調出來有點意思。

值得推薦。","The entrance will be burned along the esophagus within three seconds, like alcohol to fire. After 30 seconds, there will be a breath suddenly rushed up. As a result, the nasal cavity was rushed immediately. Your breath with the smoky fragrance of the glass of wine is superb.

I really think that his Old Fashioned is very distinctive. The point is that alcohol will only be burned and won't rush up. When you think it is alcohol, the aroma bomb is one -third, and the entrance will be There is a sense of paralysis, but it is quite a boring aroma accompanied by slowly falling into the stomach with the slowdown of the throat, and then a few residual wooden tone aromas that you drink in front will have a soothing feeling with breathing into the brain.

I don't understand wine, but he is a bit interesting.

It is worth recommending.",False
士林捷運站旁隱形餐酒館，偶然路過榕樹下的神秘氛圍很吸引人，走過之後又倒退回來試看看，這次因為吃太飽只試調酒，酒單掃描LINE搜尋，想喝哪款直接告訴服務人員，印象最深刻是菲律賓長灘殭屍調酒，羅望子搭蘭姆與印度香料口味非常特別，很時尚，不膩口，價位每杯調酒介於350-420雖然是不便宜，但仍有嘗試的價值，戶外可吸菸但蚊子比較多，冬天可能比較適合，不然室內比較舒適，店家擺放酒櫥仿舊灶咖老菜櫥的拉門非常old fashion，服務人員也很熱情專業，還沒試下酒菜，但以調酒來說是具有一定水準，值得嘗試,"The invisible dining tavern next to Shilin MRT station occasionally passing by the mysterious atmosphere passing by the banyan tree is very attractive. After walking, I will retreat and try it. This time because I eat too much, I only try to adjust the wine. Tell the service personnel directly, the most impressive is that the long beach zombies of the Philippines are bartender. Luo Wangzi and Lamm and Indian spices are very special. It is very fashionable and not greasy. However, there is still the value of attempt. It can smoke outdoors but has more mosquitoes. It may be more suitable in winter. Otherwise, the room is more comfortable. , I haven't tried wine and vegetables yet, but in terms of bartending, it has a certain level and it is worth trying",False
"朋友算是這裡的常客
我第一次跟來
距離捷運士林站不遠
步行一下就到了
環境氣氛佳
酒的名字很特別
選擇障礙的我直接用名字選
跟我當天的心情一樣也很好喝
餐食也好吃
有告知戶外蚊子多，店家有點蚊香
用餐間都沒有被叮到","Friends are the frequent guests here
I am here for the first time
Not far from MRT Shilin Station
It's here to walk
Good environmental atmosphere
The name of the wine is very special
I choose the obstacle and I will choose directly with the name
Just like my mood that day and it is very delicious
The meals are delicious
There are many outdoor mosquitoes, and the store has a little mosquito coil
Nothing in the meal was bid",False
"調酒尚可⋯（除了柴魚風味調酒）
餐點風味都蠻不錯的
推薦大家可來～～","Alcohol is still available (except for the flavor of firewood)
The taste of the meal is pretty good
Recommend everyone to come ~~",False
"下班後來ㄧ杯的好地方
可以來品嚐品嚐
不同BAR的氣氛與調酒","After get off work, a good place to cup
Can come and taste
The atmosphere and bartender of different BAR",False
"士林榕YYDS，從大一來到現在大五，這裡是台北最棒的bar，老宅的裝潢和獨立樂團的音樂造就舒適的環境，適合下班下課跟朋友們來小酌一杯，搭配美味的餐點，另外不得不誇讚這裡的調酒師跟外場人員😍每個都好帥又好親切！酒超級好喝的啦(⁎⁍̴̛ᴗ⁍̴̛⁎)想喝客製化也都可以跟帥哥調酒師們說～而且食物超級好吃，沒想到經典的台式小吃可以融入酒吧，每次來吃飯品質都很穩定，讚嘆這裡的廚師們把食物做的如此好吃🤩最推麻辣炸醬麵、大腸小腸、怪味炸雞💖 大概是一個禮拜要吃2次以上的程度！

榕真的是我在台北最喜歡的酒吧🩵","Shilin Rong YYDS, from a freshman to the present year. This is the best BAR in Taipei. Meals, and I have to praise the bartender here and the staff of the field. Everyone is so handsome and kind!Wine is super delicious (喝) I can tell the handsome winers to drink it ~ and the food is super delicious. I did not expect that the classic desktop snacks can be integrated into the bar. Every time I come to eat for dinner The quality is very stable, and the chefs here make food so delicious.

Rong is really my favorite bar in Taipei 🩵",False
"榕 Ron Xinyi

『榕Ron』是一間有別於一般裝潢的酒吧
外觀看起來像一間裝潢懷舊的餐館
因士林總店門口有棵老榕樹而有此命名,

今天大陸同事提前回台 吃過晚飯後來士林續攤
好久沒來非葡萄酒的餐酒館

由同事推薦

a. 拉佛格1/4桶單一純麥威士忌🥃
泥煤味很厚實 酒體很豐富 非常耐喝

b.觀光學院 海灘救難隊 調酒🍹
琴酒|葡萄柚| 梅子| 苦橙| 金雞納 | 氣泡
Gin | Grapefruit | Plum | Bitter Orange | Cinchona | Soda

c. 餐飲學院 從0開始的烘焙王之路 🍹
威士忌| 蘭姆酒 | 馬告 | 巧克力| 咖啡| 柑橘
Whisky | Spiced Rum | Litsea | Chocolate | Coffee | Citrus

平日週四的夜晚 微風徐徐 呈現客滿狀態
坐在戶外 很適合聊天","Rong Ron xinyi

""Rong Ron"" is a bar that is different from ordinary decoration
The appearance looks like a nostalgic restaurant
There is an old banyan tree at the door of the Shimelin General Store, which is named.

Today, the mainland colleagues returned to Taiwan for dinner in advance.
I haven't come to a non -wine restaurant for a long time

Recommended by colleagues

a. Lajerge 1/4 barrel of single pure wheat whiskey 🥃
The mud flavor is very thick, the wine is rich, very rich and drinkable

b.
Qinjiu | Grapefruit | Plum | Bitter Orange | Golden Chicken | Bubbles
GIN | Grapefruit | Plum | Bitter Orange | Cinchona | SODA

c. Catering Academy's Road to Baking King from 0 🍹
Whiskey | Rim Ban | Ma Juan | Chocolate | Coffee | Citrus
Whisky | Spiced Rum | Litsea | Chocolate | Coffee | Citrus

The breeze on the night on weekdays, the breeze slowly shows a full state
Sitting outdoors is very suitable for chat",False
"燉飯還不錯
酒下面放一個打光的原本覺得很漂亮，吃到一半竟然把他收走==
2個人位子也安排的不太好安排在一個慶生桌旁邊 跟朋友聊天都聽不到 明明旁邊還有很多位子
最後半小時服務人員一直打斷
我們完全知道總體時間150分鐘
半小時催一次 結帳一次 前四分鐘一次
好像很怕我們不準時走一樣 其他位子也蠻空的不知道為什麼要這樣","Stew rice is not bad
It was very beautiful to put a shining under the wine, and after half of it, he took him away ==
The two people's seats are not arranged well to arrange at a celebration table and chat with friends who can’t hear it. There are many people next to it.
The last half -hour service staff has been interrupted
We all know the overall time 150 minutes
Improve the checkout once every four minutes every four minutes
It seems that I am afraid that we are not walking on time. Other seats are quite empty.",False
"沒有拍照但絕無不實

是個喝酒的好場合，餐點美味程度跟環境都還行服務態度也很好，只是真的太盤份量太太太少了⋯⋯麵跟米真的沒那麼貴不要為了省那點成本讓顧客吃的那麼不開心，我到現在還是不懂那個九孔寬粉！到底放了幾隻九孔放了幾根麵才可以擠到剛好放滿一個分食的小盤，份量少到旁邊的顧客都默默驚呼「也太少了吧⋯」然後還賣200多？？（寬粉是煮一點就吸水膨脹變很多的不要以為我不會煮飯啊啊）
義大利麵跟燉飯調味不錯但也是一人一口就吃完了，以380跟390的價格來看，即便不含服務費也是不合理（麵跟飯真的沒多貴啊啊啊）。
當天六個人點了六樣菜不含酒總計也有2040，即便不是追求最高的性價比，這個餐點與台北其他餐酒館仍然沒有競爭可言，誠心建議可以重擬菜單只賣下酒菜或調整份量，於此之前不會再消費也不推薦給任何人，請見諒，謝謝。","There is no photo but never true

It is a good occasion for drinking. The deliciousness and environment of the meal are still good, but the lady is really too much. So unhappy, I still don't understand that nine -hole wide powder!In the end, a few nine holes are put and put a few noodles before it can be squeezed to a small plate that is just filled with food. The number of customers who are less than the next to the side silently exclaim ""too few,"" and then selling more than 200?Intersection(Wide powder is boiled, so as to absorb water and swelling a lot, don’t think that I can’t cook rice)
The pastoral noodles and stewed rice are good, but they are also eaten in one bite. From the price of 380 and 390, it is unreasonable even if the service fee is not included (it is really not expensive as the rice and the rice).
On the same day, six people ordered six dishes and had a total of 2040. Even if they were not pursuing the highest cost performance, this meal still did not compete with other restaurants in Taipei. I sincerely suggest that the menu can only be sold or adjusted. Before that, I wo n’t consume or recommend it to anyone, please forgive me, thank you.",False
