Original,EN,Needs Review,Positive,Negative,Neutral,Compound
炒水餃是招牌～推薦必點，醬汁鹹香吃起來不油膩，點了兩款義大利麵都好吃，牛肉麵也水準之上！炸牡蠣我會過敏所以沒吃，聽說很讚，記得要帶濕紙巾跟衛生紙，因為打掃人員比較忙錄，我每次去都是找到位置，先擦桌子，自備沒煩惱😆,"Fried dumplings are signboards ~ Recommended must be ordered. The sauce is not greasy to taste. The two pasta noodles are delicious, and the beef noodles are also high!I will be allergic to fried oysters, so I do n’t eat it. I heard that it is very good. Remember to bring wet paper towels and toilet paper, because the cleaning staff is busy, I find the location every time I go, wipe the table first.",False,0.109,0.042,0.849,0.7569
氣氛很好，座位都是公共的可以自行入座（二樓的一樣）微醺花園的餐點都很好吃，義大利麵濃郁麵條不會太軟爛，生蠔很新鮮好吃（我可以吃好多好多）招牌炒水餃必點，脆脆的口味也很棒，推推,"The atmosphere is very good. The seats are publicly available (the same on the second floor) The meals of the micro -garden garden are delicious. The rich noodles of the Italian noodles will not be too soft, and the oysters are fresh and delicious (I can eat a lot of a lot There are many) Sign -up fried dumplings must be ordered, and the crispy taste is also great, push push",False,0.24,0.015,0.745,0.9652
"輕輕鬆鬆好喝的調酒 啤酒也很讚
還有遊戲可以玩！超佛的獎品～
生蠔🦪必點超新鮮 炒水餃🥟也很讚

大概第三次來 攤販終於越來越完整～
整個氣氛很棒😍","Easily bartending beer is also very good
There are games to play!Super Buddha's prize ~
Oyster 新 must be super fresh fried dumplings 🥟 🥟 is also very good

The third time when the vendors come to the third time finally become more and more complete ~
The whole atmosphere is great 氛",False,0.365,0.019,0.616,0.9725
"這時間寫評論看到照片太煎熬了吧😩
想立馬衝去碼頭全部都來一份！！！

還有真的要大推生蠔
平常怕腥不太敢主動點生蠔的我一吃就愛上
怎麼可以這麼鮮甜啦齁唷 越打越餓

店員都帥哥美女又好聊 趕快一起去喝爆☺️","I write a comment at this time, see the photo too torment 😩
Want to rush to the dock all a copy!IntersectionIntersection

And really want to push the oysters
I am usually afraid of the fishy, ​​I don’t dare to actively order the oyster, I fall in love with it as soon as I eat
How can you be so sweet and you get hungry and hungry

The clerk is handsome guys and beautiful women, so good about chatting together to drink together ☺️",False,0.256,0.02,0.724,0.9743
店門口的買一送一如果是吸引顧客的話，應該在下面註記小字，直接說明調酒價格要300，不然顧客看到菜單調酒才200的調酒只有不到100ml，要300ml的調酒才有符合買一送一的規定。這樣會有種被欺騙的感覺不太好⋯,"If you buy one free from the door of the store, if you attract customers, you should note the small characters below, directly indicate that the price of bartender costs 300, otherwise the customer will see that the menu is only less than 100ml of bartender. Only to meet the regulations of buying one get one free.There will be a feeling of being deceived very well ...",False,0.13,0.039,0.831,0.6997
"微醺系列的餐點一如往常的優秀
炒水餃換地方不換口味
炸物拼盤最划算一定要點

茶酒系列絕對需要來一杯
個人推薦烏龍口味","The meals of the Weixi series are as good as usual
Stir -fried dumplings change the place without changing the taste
The most cost -effectiveness of the frying platter must be

The tea wine series definitely needs a cup
Personally recommend oolong taste",False,0.167,0.027,0.806,0.7783
老闆彼得非常用心經營店家，餐點好吃新鮮！闆娘溫暖、貼心，開店地點超讚，在復古的大稻埕，浪漫岸邊也有微醺，下次必須再光顧店家！大推生蠔，店家不私藏，豪邁大顆！新鮮美味！,"The boss Peter operated the store very much, and the meal was delicious and fresh!Ban Niang is warm and intimate. The store opening location is superb. At the retro Dadaocheng, there will be a little stubborn on the romantic shore. Next time, you must visit the store again!Push the oysters, the store is not hidden, and the big one!Fresh and delicious!",False,0.231,0.032,0.737,0.9419
"蜜香紅茶酒好喝，招牌餐點炒水餃也好好吃～
重點是服務人員很熱情給人溫馨的感覺🥰","Honey fragrant black tea wine is delicious, and the signature meals are also delicious ~
The point is that the service staff is very enthusiastic to give people a warm feeling 🥰",False,0.427,0.0,0.573,0.9665
"炸物拼盤cp 極高。牛肉湯麵.義大利麵標準以上  重點是在宵夜場 12點後在大稻埕能吃到真的滿足。氛圍很棒很chill 。茶酒微醺招牌更不用說 三種風味別具特色
老闆親合力超強 shut起來
生蠔來自日本兵庫 單吃鮮甜爽口
還會再訪 這秘密基地","The fried platter CP CP is extremely high.Beef soup noodles. The above -mentioned priority is that you can eat it at 12 o'clock in the supper at 12 o'clock.The atmosphere is great and chill.Not to mention the three flavors of tea and wine signs.
The boss is super strong and strong.
Oyster from the Japanese hormone single eats fresh sweet and refreshing
Will visit this secret base again",False,0.243,0.0,0.757,0.9633
"每次一百的筊杯很好玩，失敗也有shot;餐點很好吃，雖然我們都不是吃招牌，可是也都有100分👍
尤其位置在大稻埕河畔，氛圍絕佳。","Every time I have a hundred cups, it is fun, and there is a shot; the meal is delicious, although we are not eating signboards, but there are 100 points.
In particular, the atmosphere is excellent.",False,0.224,0.0,0.776,0.8608
氣氛很棒！隔壁的bartender知道我只是隨便拍拍，但還是很專業帥氣的擺了姿勢👍🏻 …,"The atmosphere is great!Bartender next door knows that I just patted it casually, but still very handsome and handsome 👍🏻 ...",False,0.335,0.0,0.665,0.9017
好玩好吃 氣氛佳 店員親切活潑,Fun and delicious atmosphere.,False,0.778,0.0,0.222,0.7906
"非常棒的一個戶外喝酒的地方～
炒水餃非常好吃～
配上冰涼的獨家茶酒～
沒事可以來這坐坐","A great place to drink outdoors ~
Fried dumplings are very delicious ~
With the cold exclusive tea wine ~
It's okay to come here and sit here",False,0.321,0.036,0.643,0.8805
好吃好玩茶酒好喝👍喝到起飛✈️還有還有G納超可愛😘,It's delicious and fun tea wine.,False,0.636,0.0,0.364,0.7906
東西是真的好吃！服務讚讚！大力推推！,Things are really delicious!Service praise!Push vigorously!,False,0.346,0.0,0.654,0.3899
"氛圍絕對chill的❤️
很適合遛狗順便喝一杯","The atmosphere is absolutely chill ❤️
Very suitable for walking the dog by the way to drink a cup",False,0.0,0.0,1.0,0.0
除了酒好喝以外，水餃也超好吃😍 …,"In addition to the good drink, the dumplings are also super delicious ...",False,0.505,0.062,0.433,0.8807
"香氣十足的炒水餃
尾韻綿長的茶酒
新鮮的生蠔
搭配夕陽美景 真的很享受","Frying fried dumplings
Tea wine with long tail rhyme
Fresh oysters
It's really enjoyable with the beauty of the sunset",False,0.349,0.049,0.602,0.8399
"跟我一樣偏螞蟻人的話，真的推蜜香紅茶茶酒，甜甜的帶茶香超順😍
食物不管是炒水餃還是薯條等等都很好吃，工作人員態度也都很熱情好聊，現在一週沒去報到個一次就覺得哪裡怪怪的🤣🤣","If I am like an ant man, I really push the honey fragrant black tea wine, and the sweet tea fragrance is super smooth.
The food is delicious whether it is fried dumplings or fries, etc., and the staff's attitude is very enthusiastic. Now I do n’t go to report it once a week. I feel strange.",False,0.238,0.044,0.717,0.9381
馬鈴薯蝦好吃，炸牡蠣也飽滿好吃，店員一個人但服務還是滿分！氣氛很好，座位很乾淨，晚上適合坐在這邊吃小點小酌一杯～,"Potato shrimp is delicious, fried oysters are full and delicious. The clerk is alone but the service is still full!The atmosphere is very good, the seat is very clean, it is suitable for sitting here to eat a small drink at night ~",False,0.251,0.028,0.72,0.9148
賣酒的是欠你錢是不是，推銷不成就擺臭臉，態度超級差,"Is it owed to the wine that owed you money? The sales are not a stinky face, and the attitude is super poor.",False,0.206,0.106,0.687,0.4423
宵夜新地標！居然還有生蠔跟義大利麵🤤,New landmark for supper!There are actually oysters and pasta 🤤,False,0.137,0.0,0.863,0.1511
老闆人超級好～女生超級可愛 有博杯遊戲很特別⋯讓我們一玩再玩 有聖杯就送酒 玩9次很靈驗 7次聖杯 哈哈推薦大家試試看,The boss is super nice ~ Girls are super cute with Bo Cup games very special. Let us play with a holy grail and give wine for 9 times.,False,0.452,0.0,0.548,0.9583
餐點都好好吃！生蠔大又鮮！茶酒好有特色～ 好喜歡烏龍茶酒 喝下去「微醺」得剛好！,"The meals are delicious!Oysters are big and fresh!Tea wine is so distinctive ~ I really like oolong tea wine to drink ""slightly""!",False,0.149,0.0,0.851,0.5674
晚上在這邊喝酒氣氛很棒，老闆店員都非常神來瘋，很好玩很棒的一家店😂,"The atmosphere of drinking here at night is great. The owner is very crazy, very fun and great shop 😂",False,0.416,0.119,0.465,0.9264
"非常的嗨～服務一級棒
很懂得客人的需求
讓人來大稻埕就一定會找他們～👍👍👍","Very hi ~ service first -class
I know the needs of guests
People who come to Dadaocheng will definitely find them ~ 👍👍👍",False,0.091,0.0,0.909,0.4019
東西好吃 酒好喝 一堆shot真的好喝～～～🥳,It ’s delicious and delicious. It’ s really delicious.,False,0.655,0.0,0.345,0.908
"年輕漂亮皮膚超好的老闆娘會請我們喝酒老牛逼ㄌ
怎麼辦阿是不是要戀愛了","The young and beautiful skin -like boss will invite us to drink old cows
What to do, do you want to fall in love?",False,0.415,0.0,0.585,0.91
生蠔認真很新鮮～值得,Oyster is serious and fresh ~ It is worth it,False,0.336,0.104,0.56,0.4404
好喝好吃好玩，以後還會再來！,"It's delicious and delicious, I will come again in the future!",False,0.461,0.0,0.539,0.8268
非常喜歡這裡 調酒師都超級熱情 東西又很好吃！超推！！！,I like the bartender here very enthusiastic and delicious!Super push!IntersectionIntersection,False,0.451,0.0,0.549,0.7634
很好玩的活動，投100元ㄅㄨㄚˇ杯讓神明決定喝什麼酒。,"Very fun activities, investing 100 yuan cup to let the gods decide what wine.",False,0.217,0.0,0.783,0.5563
店員超熱情～不會不蘇胡的那種🥹12.過後還有史背秀勒😚超好玩👍👍,"The clerk is super enthusiastic ~ the kind of 🥹12 is not unprepared. After that, there is Shi Ji Xiuli 😚 😚 😚 👍👍 👍👍 👍👍 👍👍",False,0.283,0.0,0.717,0.9595
蟹～ 怎麼這謀Shuan ～,Crab ~ Why is this shuan ~,False,0.0,0.0,1.0,0.0
鮮蝦飛魚卵義大利麵很好吃👍非常推薦來嚐嚐,Fresh shrimp flying fish eggs are delicious noodles 👍 Very recommended to taste,False,0.424,0.0,0.576,0.796
