Original,EN,Needs Review
"目前此餐廳只有提供兩種牛肉麵且無酒單；紅燒湯頭讓我聯想到滿漢全席，白湯部分則是比較像排骨湯，價格讓人驚訝。

調酒部分第一杯Gin fizz 氣泡感幾乎沒有，融水過度導致味道分離；第二杯Bee's knees喝起來蜂蜜與檸檬的味道沒有銜接的很好，主角Gin味道幾乎消失。

但店員服務態度很棒。","At present, there are only two kinds of beef noodles in this restaurant and no wine list; the braised soup heads reminds me of the full seat of Manhan, and the white soup part is more like pork rib soup. The price is surprising.

The first cup of the bartender part of the GIN FIZZ bubbles are almost absent, and the excessive melting water causes the taste to separate; the second cup of Bee's Knees has no connection with the taste of honey and lemon, and the protagonist GIN tastes almost disappear.

But the clerk's service attitude is great.",False
"酒吧和咖啡廳是在同個場地，也可以選擇吧檯的位置，晚上只提供調酒，沒有咖啡。

鹹食的部分只有兩款牛肉麵，上回吃過紅燒，這回選擇清燉。
清燉的白湯比較清淡些，但麵體一樣好吃，不過我個人比較喜歡紅燒，湯頭更有味道。

調酒的部分點了一杯“西西里的天空”，威士忌的味道比較嗆。
另外，還點了一杯「無酒精調酒」AKA Bubble，作為收尾。

調酒師很親切，耐心解說menu，剛好同時段有16人在戶外花園座位，頗熱鬧！

夜晚的氛圍感和白天很不一樣，但同樣頗有氣氛。","Bar and cafes are in the same venue. You can also choose the location of the bar. It only provides bartender at night without coffee.

There are only two beef noodles in the salty food. I have eaten braised burn last time.
The stewed white soup is lighter, but the face body is as delicious, but I personally prefer braised, and the soup is more flavorful.

The bartending part ordered a cup of ""Sicily Sky"", and the taste of whiskey was more stunned.
In addition, I also ordered a cup of ""wineless"" Aka Bubble as the end.

The bartender is very kind and patiently explained Menu. It happened that 16 people were in the outdoor garden at the same time, which was quite lively!

The sense of atmosphere at night is very different from the day, but it is also quite atmospheric.",False
"喜歡老宅改建的Vibe 燈光昏暗但不至於到連菜單酒單都看不到那種 貼心
調酒的酒感偏重但是香氣與味道相得益彰 搭配的很好 不是妹酒風格 可以感受調酒師的用心 聽說也都會每幾季換一次酒單
紅燒牛肉麵的牛肉無敵軟嫩 入口即化
服務人員友善 細心 還幫我們短短介紹了老宅的歷史

有機會會再訪的好店👍🏼","The VIBE light that likes the old house is dark, but I don’t even see that kind of intimateness when even the menu liquor
The alcoholic wine feels heavy, but the aroma and the taste complement each other well, not the girl's wine style, you can feel the bartender’s heart, you can change the wine list every few seasons
The beef beef beef beef is invincible soft tender entrance
The service staff is friendly and careful, and also helped us to introduce the history of the old house shortly

Good shops that have a chance to visit again 再",False
"晚上的 AKA，變身成為酒吧
進來要按鈴等Bartender 來帶
最好先訂位
當天週六晚上21:00來都還有位子

缺點是進入後覺得網路真的超級慢
店家表示也不提供Wifi,
希望讓大家好好聊天
嗯⋯⋯好吧

裡面有些區域是沒有冷氣的
在這種天氣下真的還蠻熱的
戶外是肯定受不了
但當天來室內的吧台都有人了

Bartender 解釋的很細心
加水速度也很快
每人有低消500，要記得點到

夏季酒單上的四杯調酒還不賴
但都偏濃，不是妹子會喜歡的
要找好喝的建議問一下

整體體驗普普通通","Aka at night, transformed into a bar
Come in and lock the bell and wait for Bartender to bring
It's best to book a place first
There are still seats on Saturday night at 21:00 that day

The disadvantage is that after entering, I feel that the Internet is really super slow
The store said that it does not provide WIFI,
I hope everyone can chat well
Hmm ... Okay

There are some areas there are no air -conditioning in it
It's really hot in this kind of weather
I can't stand outdoors
But there are people who came to the room that day

Bartender explained very carefully
The speed of adding water is also fast
Each person has a low consumption of 500, remember to come

The four cups of sake on the summer wine list are not bad
But it's all thick, not a girl will like it
Suggest it for a good suggestion to ask

Overall experience is ordinary",False
第一次跟朋友來慶生就愛上這家迪化街附近的酒吧，剛好當天大稻埕煙火也能些微看見。店內裝潢很有質感且氣氛非常棒，調酒也非常好喝且不貴。壽星朋友相當滿意，大力推薦！,"For the first time, I fell in love with this bar near Dihua Street with my friends. It was just that the Dadaocheng fireworks could be seen slightly that day.The interior of the store is very textured and the atmosphere is great, and the bartending is also very delicious and not expensive.Shouxing friend is quite satisfied and highly recommended!",False
很棒的環境！酒也好喝~,A great environment!The wine is also delicious ~,False
"第一次來大稻埕一帶喝酒，來之前必須預約，到場後按下電鈴等待帶位穿過特別的小巷弄。食物和調酒都別具特色，調酒的酒都給的很實在，和旅伴一杯就歇菜了，食物上調理的不錯，可惜泰式沙拉少了青木瓜一味還是少了點甚麼。除此之外座位間的間隔和店內花的擺飾都令人賞心悅目。離開前到了吧檯參訪才知道別有洞天，吧台有自己的酒單！最後一杯茶系列的ByeBye Shot作為句點讓人很想馬上再去二訪。
不過夏季的新酒單以琴酒居多，不喜琴酒的人不要對新酒單過度期待lol","When you come to Dadaocheng for the first time to drink, you must make an appointment before you come. After arriving at the scene, press the electric bell to wait for the seat to cross the special alley.Food and bartending are unique. The bartending wine is very real. I rest in a cup with the travel partner. The food is well conditioned. Unfortunately, the Thai salad is less or less.In addition, the interval between the seats and the decoration of the flower in the shop are pleasing to the eye.I visited the bar before I left before I realized that there are no holes, the bar has its own wine list!Byebye Shot in the last cup of tea series makes people want to go to the second visit immediately.
However, there are many new wines in summer. People who do n’t like piano wine do n’t look forward to LOL too much about the new wine list",False
"很酷的老宅酒吧。
得先預約按電鈴，就有人從狹長的巷子出來接你。在古時候的豪宅喝酒，別有一番風味，調酒類口感好又漂亮，熱炒好吃。","Cool old house bar.
You have to make an appointment for the bell, and someone will come out of the narrow alley to pick you up.Drinking in the mansion in ancient times, don't have a flavor. The bartending taste is good and beautiful, and it is delicious.",False
"隱藏在大稻埕巷弄的老宅改造酒吧
要入內請先在門口按鈴等候帶位，並且需要出示兩劑疫苗接種證明，這一點做得非常好值得讚許
古色古香且結合現代的高雅室內裝潢，無論室內、吧台或戶外的座位都不錯任君挑選，但戶外的座位天氣暖的時候應該比較適合
一直以來都聽說大稻埕充滿文青咖啡廳跟酒吧，老街整體改造的很不錯，今天隨意點名了一間試試，非常慶幸沒有踩雷
如果喜歡高雅幽嫻沒有一些年紀特別小的孩子們的酒吧，那你不妨試試這間在疫情期間誕生的新店
調酒都算是滿順口的，若是吧台的酒單還會附上一份下酒一口食，整體氣氛佳，店員十分親切
是近期造訪的新店中最喜歡的一間
會再訪
人均消費約NTD1,200(兩杯酒)","Hidden in Great Inari Lane Old Houses Remodeling Bar
To enter the first place in the door of the door to the salon waiting for the seat, and need to show the two doses of vaccination certificate, a little bit worthy of praise
Ancient colors and combining modern and elegant indoor decoration, both indoor, bar and outdoor seating are not wrong to choose, but the outdoors should be more suitable for the warm seats of the outdoors
I have always heard that the Great Hips is full of hipster cafes and bars. The overall renovation of Old Street is very good, and today, as he will name a try, it is very glad to be ridden
If you like the Gao Ya Guan Yu there is an age especially small children ying bars, Gao You could not try to try the new store during the pandemic
The cocktails are quite surviving, and if the wine list will also attach a bite to eat, the overall atmosphere is good, the clerk is very friendly
One of the most popular in the new store in recent visits
Will visit again
Consumption of about NTD1, 200 per person (two glasses)",False
"老宅風格環境很典雅
吧檯酒單很值得ㄧ試
台式熱炒給上適合的搭酒
Bartender 介紹的很棒","The old house style environment is very elegant
Bar wine list is worth trying
Fry the tabletable on the table for suitable wine
Bartender introduced greatly",False
