Original,EN,Needs Review
酒不錯，老闆音樂品味很好，歌好聽。3號不錯喝，無酒精的莓果蠻好喝的,"Good wine, the boss's music tastes very well, and the song sounds good.No. 3 is good to drink, and alcohol -free berries are pretty delicious",False
"第一次到 漂浮台北 ，環境很不錯。 啤酒選擇很多，台灣跟外國的都有，店主應該很喜歡棒球吧, 有很多棒球的東西還有大谷翔平跟其他球星的簽名球衣 ，厲害。","For the first time to float in Taipei, the environment is very good.There are a lot of beer. There are both Taiwan and foreign countries. The owner should like baseball very much. There are many baseball things, as well as the signature jersey of Dawu Shinping and other stars.",False
"價位普通 啤酒很多種可選擇
店內宗旨約法三章要顧客保持一定的安寧
但即使客人酒醉講話客觀上來看已經偏用吼的 店員依然視而不見
最後，女店員態度很差 一次店","There are many options for ordinary beer
Three chapters in the store requires customers to maintain a certain amount of tranquility
But even if the guests were drunk, the clerk who had already used the roar still turned a blind eye.
Finally, the attitude of the female clerk is very poor once the shop",False
"同時是個專業的調酒吧&精釀啤酒吧
精釀啤酒的部份，老闆本身在業界從事多年，專業度無庸置疑。
17管on tap，瓶罐裝大概60款左右。
選酒以浮光跟瀇鋐代理的外國品項為主，也會有其他品項；除了特殊款之外應該都能試喝，也能將喜好告知店家請他們推薦。
餐點好吃，但對我來說量有點少，適合下酒不適合吃飽。但也有可能只是我點的剛好是量少的餐點。
特別值得一提的是，瓶罐裝外帶折扣相當大，來這邊買回家喝也不失於一個好選項。","At the same time is a professional bartending bar & craft beer bar
For the part of the craft beer, the boss itself has been engaged in the industry for many years, and his professionalism is unquestionable.
17 Tube on TAP, about 60 cans in bottles.
The selection of wine is mainly based on the foreign items represented by the floating light and the agent, and there will also be other items; in addition to special models, you should try to drink, and you can also tell the store to recommend them to recommend them.
The meal is delicious, but it is a bit small for me, which is suitable for drinking.But it may be just that I just ordered a few meals.
It is particularly worth mentioning that the bottle and cans are quite large, and it is not lost in a good option to come home and drink here.",False
台美日球星的大頭娃娃擺滿整牆，棒球迷來了會高潮,"The big dolls of the Taiwanese and American stars are placed on the entire wall, and baseball fans will climax when they are here.",False
"2023.01.04
第一次造訪，晚間7點入座，想坐在比較低的位置(因為腿比較短XD)，但店員告知那都有人訂位了，所以只好坐吧台。
一人低消500元，點了""莓有你不行""和""原來是烏龍一場"",再搭配松露薯條，調酒光在視覺上就讓人很滿意了，而且還非常好喝，很有層次，大推！
大約2個多小時後準備離開，瞄向內部桌位區都沒有客人，不解為什訂位客人都沒來？","2023.01.04
For the first visit, I took a seat at 7 o'clock in the evening. I wanted to sit in a relatively low position (because the legs were short XD), but the clerk informed that there were anyone reservation, so he had to sit on the bar.
One person eliminates 500 yuan low, ordered ""Berry to have you can't"" and ""It turned out to be an oolong"", and then paired with truffle potato strips, the bartender light is very satisfactory, and it is very delicious. There are levels, push!
After about 2 hours, I was ready to leave. There were no guests at the inner table area.",False
"蠻有趣的一間店，個人低消五百，店內的啤酒都蠻特別的，但都要兩三百起跳，個人如果要去可以考量一下。
也有提供配酒的小食，也是要一點價位，但我覺不錯吃喔！
啤酒看牆上投影，如果是調酒，就跟店家說明這次想喝的類型，由店家幫你特殊調配，假日蠻忙的，但我覺店家掌握的不錯，讓你進來後，很快拿到第一杯酒，讓人不會感受不佳，接下來就稍微等一下還可接受。
只不過有些客人酒喝多了，講話真的不得了的大聲，搞得很像熱炒店⋯，有點小可惜。
有機會在附近，想喝酒，是會再前往的店！","A pretty interesting shop, personal low, 500, beer in the store is quite special, but all have to jump in two or three hundred. If you want to go, you can consider it.
There are also snacks that provide wine with wine, and it is also a price, but I think it's good to eat it!
Beer watching the projection on the wall. If it is bartender, I will explain to the store that the type of drinking this time will be specially deployed by the store. It is quite busy with the holidays, but I think the store has a good master. After you come in By the first glass of wine, people will not feel bad, and then wait a little bit.
It's just that some guests drink too much wine, and the speech is really incredible. It is very much like a hot -fried shop. It is a pity.
I have the opportunity to be nearby, I want to drink, it is a shop that will go again!",False
"主打精釀啤酒和調酒。環境非常舒服，店員都很好客、親切。

酒釀啤酒的選擇算蠻夠的，品質上維持整的還不錯。但店面也才開始三個月而已，以後的經營有待觀察。
調酒有經典、創意跟客製，目前喝到幾款都蠻滿意的。","Main craft beer and bartender.The environment is very comfortable, and the clerk is very good and kind.

The choice of wine brewing beer is quite enough, and the quality is pretty good.But the store has only started three months, and future operations need to be observed.
Bart -up is classic, creative and customary. At present, several models are quite satisfied.",False
"價格稍高
但是酒覺得滿厲害的~
點的是 怎麼了 初戀滋味 還有一個沒有氣泡的火燒的也蠻爽的

有氣泡跟沒氣泡味道上的顯著差異真的蠻爽
喜歡燈光比較亮的酒吧
推這間","The price is slightly higher
But the wine feels full ~
What is the order is the first love taste and there is a fire that has no bubbles and it is pretty cool.

There is a significant difference in the taste of bubbles and no bubbles.
Like a brighter bar
Push this",False
"很舒服的一個地方，很放鬆，店員很專業，調酒師也非常專業。
啤酒種類很多，尤其是像我的ipa愛好者，強力推薦，也有一些罐裝啤酒，雖然不多，但是都是當季啤酒而且很優惠，推薦大家😄 …","A very comfortable place, very relaxed, the clerk is very professional, and the bartender is also very professional.
There are many types of beer, especially like my IPA enthusiast, strong recommendation, and some canned beer. Although not many, they are all seasonal beer and are very favorable.",False
18種啤酒輪換供應中，部分為固定班底，種類上IPA比例偏重一些，試喝給的很爽快，是一家可以下班經過抓個兩杯的好店！！,"Of the 18 beer turns, some of them are fixed teams. The proportion of IPAs in the type is more important. The trial drinking is very refreshing. It is a good shop that can be grasped by two cups!Intersection",False
"好喝
好玩
好拍
放鬆小酌最重要的就是氛圍
老闆長得蠻甜帥
調酒師非常專業
離開喧鬧的城市
夜晚就該給自己好好犒賞
微醺 微開心

這家主打精釀啤酒跟調酒
沒有一般市售啤酒
店內裝潢很舒服
是一家剛開幾個月的新店家
位在大同區大稻埕附近
如果想對精釀有更進一步的認識
來問老闆
老闆是精釀百科全書","Delicious
Fun
Take a good shot
The most important thing for relaxation and drinking is the atmosphere
The boss is quite sweet and handsome
Bloomer is very professional
Leave the noisy city
You should give yourself a good reward at night
Slightly happy

This main brewed beer and bartender
There is no ordinary commercial beer
The interior decoration is very comfortable
It is a new shop that has just opened for a few months
Located near Dadaoyu, Datong District
If you want to have a better understanding of the craft
Come and ask the boss
The boss is a craft encyclopedia",False
"1. 服務周到，精釀啤酒水準都很不錯！
2.氣氛非常舒服，服務賓至如歸
3. 餐點小食搭啤酒沒負擔

大推✌️","1. Through the service, the standard of craft beer is very good!
2. The atmosphere is very comfortable, the service guest is home
3. There is no burden on meals and snacks.

Big push ✌ ️",False
"東西好吃
水牛城辣翅👍🏼
酒可以按照自己需求點
偏向客製化 整體感覺很舒適
可以再訪☺️☺️☺️","What is delicious
Buffalo Hot Wing
You can follow your own needs point
It feels comfortable to prefer the customized overall feeling
You can visit again ☺️☺️☺️",False
2023年3月，第一次造訪，兩個人，一開門我們就到了，兩個人喝四杯，很輕鬆的地方，,"In March 2023, for the first visit, two people, we arrived when we opened the door.",False
酒吧很乾淨 冷氣很涼 特色調酒令人驚豔 會定期更換菜單 每次來都有不同的驚喜,"The bar is very clean and cool, cool, specialty, which is amazing.",False
"調酒好好喝，環境超質感的，精釀啤酒狠多元，拜託不要太多人知道🙏
霞海城隍牽紅線真的絕棒！！！ …","Blooming well, the environment is super quality, the craft beer is ruthless and diverse, please don’t know too much people know 🙏
Xiahai City God is really awesome!IntersectionIntersectionMowing",False
"精緻的精釀啤酒
不知怎麼挑選會幫介紹
也有不少特色調酒
店內很明亮","Exquisite craft beer
I don't know how to choose a help introduction
There are also many specialty bartender
The store is very bright",False
Hito大聯盟Adam推薦之下來小喝一杯試試，精釀啤酒的多重口感真的讓人驚艷，唯一沒有的就是苦味，搭配現炒的龍珠非常對味，店內裝潢低調奢華寬敞，吧台的投射燈角度有精心調製過，拍照滑手機眼睛也不會累，廁所還有非常貼心的漱口水提供，現在還有免費的限量口罩可以拿來紀念,"The Hito Grand Alliance Adam recommends a small drink. Try it. The multiple taste of the craft beer is really amazing. The only thing that has no is the bitter taste. It is very right to match the existing Dragon Ball. The angle has been carefully prepared, the eyes of the mobile phone will not be tired, and the toilet also has very intimate mouthwash provided. Now there are free limited masks to commemorate",False
經過被店裡氣氛吸引進來，剛好是世足期間，與女友點了兩杯精釀來小酌，與店員開心聊天，店員很好聊，精釀的滋味很不錯，我喝一款烏龍茶系列（4號），女友點了一杯需要加入梅粉的精釀，就在歡笑中邊喝邊聊，開心度過美好的週末夜😁，下次還會再來，也推薦給剛好也在寧夏附近的旅人 …,"After being attracted by the atmosphere of the store, it was just a period of time with my girlfriend. I had two cups of crafts to drink with my girlfriend. I was happy to chat with the clerk. The clerk was very good. No. 4), my girlfriend ordered a cup of crafts that needed to be added, and I talked while drinking. I was happy to spend a beautiful weekend night. I will come again next time. I also recommend it to travelers who are just near Ningxia. Mowing",False
"連喝三杯就是爽！看店家回嗆評論更爽🤣
環境優質，燈光明亮～店員的推薦都很合胃口喔！ …","Even drinking three cups is cool!Seeing the store back to comment is more refreshing 看
The environment is high -quality, the lights are bright ~ the recommendation of the clerk is very appetizing!Mowing",False
"精釀啤酒神店，常態供應18管生啤和台灣最鮮的國外罐裝，來這邊就別點調酒了吧。
（價格不一定是最便宜的，但會是最合理的）","The craft beer store, normal supply 18 tube beer and Taiwan's freshest foreign cans, don't order bartending here.
(The price is not necessarily the cheapest, but it will be the most reasonable)",False
"舒適寬敞的吧台
多樣化的酒精選擇
讓週末的夜晚在愉快的氣氛中展開
這次來之前已經喝飽
希望下次有機會嘗試餐點及調酒","Comfortable and spacious bar
Diverse alcohol choices
Let the weekend night start in a happy atmosphere
I have been full before this time
I hope I will have the opportunity to try meals and bartender next time",False
"超讚  店長創意獨特特調🍺🍾️👍
重點啤酒超好喝啦 太讚 …","Super President's Creative Creative Special Tune 🍺🍾️ 超
The key beer is so delicious that it is so good ...",False
店內空間很寬敞、舒適，買了兩瓶啤酒，味道很順口！,The space in the store is very spacious and comfortable. I bought two bottles of beer and taste smooth!,False
"隱藏菜單水牛城辣雞翅超好吃🤤
調酒超專業又美又好喝
還有很多厲害的精釀啤酒😍 …","Hidden Menu Water Niucheng Spicy Chicken Wing is super delicious 🤤
Blooming is super professional, beautiful and delicious
There are still many powerful craft beer ...",False
啤酒選擇多，食物也好吃，雞翅超推,"There are many beer selection, the food is delicious, and the chicken wings are over push",False
"整體氣氛不錯
Tap啤酒和食物的售價較高一些
不過瓶裝和罐裝啤酒外帶就相當實惠","The overall atmosphere is good
The price of TAP beer and food is higher
But bottled and canned beer takes are quite affordable",False
以精釀啤酒和調酒爲主的餐廳,Restaurants focusing on craft beer and bartending,False
"半年內來4次, 覺得調酒真的好喝, 啤酒選擇也很多~~~
但短髮女生服務員實在態度不好, 之前咳嗽口罩都不戴好, 各種不友善, 讓人實在感受很差,
希望禮貌可以再好一點, 介紹過去的朋友都有一樣的感覺, 連外國人都覺得她很扯
真心覺得可惜
不會再去了
看到其他負面評論還被店家攻擊回應
覺得真的是.........","Come 4 times in half a year, I feel that bartending is really delicious, and there are many beer choices ~~~
But the short -haired girl waiter really has a bad attitude. Before the cough mask was not worn well, all kinds of unfriendly, make people really feel bad,
I hope that politeness can be better, and friends who introduce the past have the same feeling. Even foreigners think she is very teased
I really feel a pity
I won't go again
Seeing other negative comments, it was attacked by the store to respond
I think it's really .........",False
經過的時候覺得這家店外觀很美就被吸引進門，老闆跟店員都很親切友善、顏值偏高，店內氣氛很好！低消也不高！有精釀啤酒跟調酒可以做選擇，餐點也很好吃！整家店整體而言是一個舒服且讓人很放鬆！想再二訪三訪100訪的優質店家♥️,"When I passed, I felt that the appearance of this shop was very beautiful and was attracted to the door. The boss and the clerk were very friendly and friendly. The atmosphere in the store was very good!Low disappearance is not high!There are craft beer and bartender to choose from, and the meal is also delicious!The whole shop is a comfortable and relaxed!Want to visit the high -quality store of the 100 visit to the 100th visit ♥ ️",False
接近20管生啤，選項多環境佳,"Near 20 Guansheng Beer, the option is good",False
"事實上你們就是沒有口頭告知低消，店內有MENU投影在牆上，你所謂有寫低消的MENU只有寫在紙本上，在燈光昏暗的酒吧省略紙本、直接看牆上投影去點酒很不合理嗎？

低消500在台灣也不是多高的消費，如果至少有基本禮貌告知這件事大家都可以接受，但是你們一上來的態度就是：「啊我們菜單上有寫你們沒眼睛???」後續我們也把低消補齊外帶餐酒離開了，你們卻還要追出來繼續跟著我們沿街叫罵，真的很驚人。

到底是誰素質差？看評論那種叫囂式的回覆就很明顯了吧。

我個人也很不欣賞你們一直在回覆裡嗆罵視力不好的人，本來每個人身體條件就是不一樣，店內有低消在送MENU的時候口頭告知是很基本的事情，連這點都做不到卻緊抓著紙本菜單上有註明就肆意人身攻擊的店家，給一顆星都太多了。","In fact, you just have no verbal notification to the low. There is a Menu projection in the store on the wall. Your so -called MENU that has a low -consuming low -conscious Menu can only be written on the paper. It is omitted on paper with a dark light bar, and projected directly on the wall. Is it unreasonable?

Low 500 is not very high in Taiwan. If there are at least basic politeness to inform you, everyone can accept it, but the attitude you come up is: ""Ah, we have no eyes on our menu ???"" It is also amazing to leave the low -supplement Qiqi meal wine, but you still have to chase it out and continue to scold us along the street.

Who is the poor quality?It is obvious to see the kind of call -type response.

I personally do n’t appreciate that you have been scolding people with poor vision in response. Originally, everyone ’s physical conditions were different. There was a low consumption in the store when sending menu. It was very basic. Instead of grabbing the paper menu, there was a shop that stated on the paper menu, and there were too many stars.",False
老闆專業又nice~，店裡啤酒或調酒的選擇也很多，而且喜歡店裡的氛圍感空間也不擁擠，很推薦大家想要小聚時可以去喝一杯,"The boss is professional and nice ~, there are many choices for beer or bartending in the store, and the atmosphere space in the store is not crowded. It is recommended that you want to drink a cup when you want to gather.",False
服務親切，環境擁擠了些。,The service is cordial and the environment is crowded.,False
