Original,EN,Needs Review
"☕️台北車站附近、地理位置很方便，又營業到午夜的咖啡廳！

🛜Wi-Fi有
🔌並非每個位子都有插座
⚠️有限時，假日兩小、平日四小，但未客滿似乎不會趕人
✅可訂位
🍺有販賣精釀啤酒
⚠️無主動提供飲水、無自助區，需要跟櫃檯拿水

這次其實是二訪，初訪的體驗並不好，不過看到有類似情形的人評了一星了，可以一併參考（非同團）。簡單來說，可能會遇到的問題是「可以提供訂位、但同時又沒強硬限時。」

數個月前因為有住國外的友人短暫回國探親，為了方便找了北車附近的咖啡廳而發現這家。當時這家店是不限時的（平日限時應該是近日更改規則），我們一行五六人就來這家店，雖然當時店家有告知晚點有人訂位，但因為他們訂的時間很晚，我們本來預期不會待那麼晚就同意。然而因為聊天起勁，不知不覺快要超過時間，店家也因此就來「提醒」我們訂位的人已到。因此，儘管標榜不限時（當時），還是是有潛規則的，也讓我們當時並不是很愉快。
這一點似乎評論中也有其他團有遇到。

但這家咖啡廳的優點也不少，首先是地理位置方便，如果要去北車搭車，這裡是很好的休憩點，走路三五分鐘內，而且在小巷子裡十分安靜，有些沙發位也是挺chill的。
再來是餐點都不錯，之前跟友人點過他們的鹹食（拌麵、水餃）都還不賴，這次點鮮奶茶、甜點蛋糕也還不錯，整體來說餐點口味都挺夠水準。（餐點，鮮奶茶預設無糖，可+價+蜂蜜，但加下去糖量約為半糖～少糖，供參考。當天蛋糕櫃有個焦糖脆脆，蛋糕很不錯但上面的脆脆味道有點奇怪且粘膩就是了。）
第三是環境算舒適，不過要注意並非所有座位都有插座。

有約莫四張雙人桌、兩個吧檯位、兩張四人大桌（適合用電腦）、兩張沙發位（適合多人聊天，桌子矮不適合唸書用電腦），門口有戶外位（天氣限制，夏天應該無法好好坐）。

就定位來說，個人比較推薦作為聊天型的咖啡廳，有幾張沙發可以坐比較多人，反倒是工作跟唸書的話，因為個人座位的桌子不夠大、也不是每個位置都有插座，覺得較不適合（現場音量也可能因為客人而偏嘈雜）。

最近好像新開了二店，有空可能也會去看看，畢竟餐點不錯，單看照片感覺二店環境更好座位更多的樣子。","近️ Near Taipei Station, the geographical location is very convenient, and it is open to midnight coffee shop!

🛜wi-Fi
都 Not every seat has sockets
两️ Limited time, two small and four small on weekdays, but it doesn’t seem to be full of people.
✅ ✅ ✅ ✅
There is selling craft beer
饮️ No active provision of drinking water or self -service area, you need to get water with the counter

This time it was actually the second visit. The first visit was not good. However, when I saw a similar situation, a star commented on a star and could refer to it (non -group).Simply put, the problem that may be encountered is ""it can provide reservation but at the same time there is no tough limit.""

A few months ago, I discovered this house because of a short return to my friends who lived abroad for a short time to visit relatives.At that time, this store was unlimited (the rules should be changed in recent days). We came to this store in five or six people. Although the store had notified someone to order later, but because they booked very late, we were originally we originally. It is expected to be agreed so late.However, because of the talked about the chat, it was about to exceed the time, so the store also ""reminded"" the people we booked have arrived.Therefore, although there is no time to advertise (at the time), there are still hidden rules, which also made us not very happy at the time.
This seems to have encountered other groups in the comments.

However, there are many advantages of this cafe. First of all, it is convenient to geographical location. If you want to go to a north car, this is a good rest point. It is very quiet in the alley. Some sofa positions are also positions. Quite chill.
Then there are good meals. Before I ordered their salty food (noodles, dumplings) with friends, it was not bad. This time, fresh milk tea and dessert cakes are also good. Overall, the taste of the meal is quite standard.(Meal, fresh milk tea preset sugar -free, can be+price+honey, but the amount of sugar is added with about half sugar ~ less sugar for reference. On the day of the cake cabinet, there is a caramel crispy, the cake is good, but the top above The crispy taste is a bit strange and sticky.
The third is that the environment is comfortable, but it should be noted that not all seats have sockets.

There are about four two -person tables, two tales, two four -person tables (suitable for computer), two sofa positions (suitable for multi -person chat, short tables are not suitable for studying computers). Summer should not be able to sit well).

In terms of positioning, individuals are more recommended as chat -type cafes. There are a few sofas that can sit more people. Instead, work and study, because the tables of personal seats are not large enough, nor do they have sockets in each position. It is more unsuitable (the live volume may also be noisy because of the guests).

Recently, it seems that the two stores have been opened, and you may go to see if you have time. After all, the meal is good. Just look at the photos and feel that the second store environment is better.",False
本來想吃香菜水餃，可惜賣完，點了高麗菜水餃，雖然是常見的口味，但很大顆吃起來飽滿多汁，另外搭配了一杯柳橙美式，不喜歡苦咖啡的人這杯蠻適合的，而且不限時有WIFI有插座，臨時要找地方做事情的話，很適合，雖然今天有一桌客人聊天很大聲，但整體氛圍很不錯,"I originally wanted to eat coriander dumplings. Unfortunately, after selling, I ordered Korean vegetable dumplings. Although it is a common flavor, it is full of juicy taste. It is also suitable for a cup of oranges. And there is wifi and sockets without limit. If you want to find a place to do things temporarily, it is very suitable. Although there is a table of guests chat loudly today, the overall atmosphere is very good.",False
"一間復古小咖啡廳，只收現金。
現場有插座，桌子偏小，桌腳會晃，不適合長時間作業，上班時間我可能不會再來。
西西里好喝，一杯130還可以接受；鹹豬肉熱壓吐司，有鹹豬肉有吐司，但味道很分開，可惜。
伯爵美式看名字很期待，但喝起來偏苦偏，伯爵茶味有，但是沒有和咖啡搭在一起，如果調成有糖的應該會不錯，不能說不好喝但我很不喜歡，謝謝如果有緣再見。","A retro cafe only collects cash.
There are sockets at the scene, the table is small, the table foot will shake, it is not suitable for long -term homework, and I may not come again when I work.
Sicily is delicious, a cup of 130 is acceptable; salted pork is hot toast, with salted pork and toast, but the taste is very separated, unfortunately.
The count is looking forward to the name of the American style, but it is bitter to drink. The count has the taste of tea, but it is not with coffee. It should be good if it is tuned to sugar. goodbye.",False
"北車附近清幽的小店，只收現金💰

西西里咖啡｜
酸度很明亮，不會跟咖啡基底衝突，推薦！

提拉米蘇｜
不會過甜，酒味搭配的剛好

三張起司披薩｜
起司味道很豐富，以咖啡來說算是不錯的料理

位置之間距離比較小，假日人多時較沒有空間感","The quiet shop near the north car collects only cash 💰

Sicily Coffee ｜
The acidity is very bright, and it will not conflict with the base of the coffee, it is recommended!

Tiramisu ｜
It won't be too sweet, the wine taste is just right

Three cheese pizza |
The cheese flavor is very rich, and coffee is a good dish

The distance between the position is relatively small, and there is no sense of space than the holiday person for a long time.",False
"跟朋友聚會
點西西里咖啡、香菜水餃、皮蛋拌麵
香菜水餃好吃、皮蛋拌麵也滿特別的","Gather with friends
Order coffee coffee, coriander dumplings, preserved eggs with noodles
Coriander dumplings are delicious, preserved egg noodles are also full of special",False
"早上來，先點了一杯冰滴，今天是萊姆酒和茶感的豆子，喝起來酸質很明亮又提神，整個人都感覺清醒了一下。
地點在巷子裡有點小隱敝，用餐時間2小時，對於想找個地方Chill一下的人來講是個不錯的選擇。","In the morning, I ordered a cup of ice drops first. Today is the beans of Lym and tea. The sourness is very bright and refreshing. The whole person feels sober.
The location is a little hidden in the alley. The meal time is 2 hours. It is a good choice for those who want to find a place.",False
"非常喜歡的一家咖啡廳
很適合跟朋友小聚或是一個人來看書📝
水餃超好吃 還有xo 醬拌麵也是！！
今天試了一個抹茶牛奶真的驚為天人
附近絕對是中山隱藏版餐酒咖啡廳🍵☕️","A coffee shop I like very much
It's very suitable for friends with friends or read a book alone 📝
The dumplings are so delicious and the noodles are mixed with noodles!Intersection
Trying a matcha milk today is really shocked to be a heavenly man
Nearby is definitely a hidden version of the Zhongshan Hidden Edition Wine Cafe 🍵☕️",False
"⏰現在平日限時四小時了喔！假日兩小時，人少的話則不限時，低消一杯飲品，餐後結帳。
-
☕️餐點：
今天點了手沖尼加拉瓜，豆子很好，香氣很棒！！！但可能老闆比較喜歡淡一點的咖啡，對我來說有點太水，所以給四顆星～（只是不合胃口，但不會不好喝！）
*附圖有最近的豆單 想點手沖的人可以參考～
-
🏠環境：
小小的很溫馨，大概可以容納20個人而且不會擁擠。光線亮度適中，適合讀書或討論公事。音樂的音量跟選曲都很棒，不會聽到超大聲的烏梅子醬==
（TMI李榮浩還不錯但真的聽到爛掉，路易莎可不可以換一下歌單🥹）
-
🔔結論：
環境很舒服，下次經過會想再來試試別的餐點～
（外帶跟內用的價格都很誠實的標出來，很欣賞這樣ㄉ作風！）","四 Now four hours on weekdays!Two hours of holidays, if there are few people, it is not limited, and a cup of drinks are lowered, and the meal checks out after a meal.
-
☕️ Meal:
Today I ordered to rush to Nicaragua. The beans are very good and the aroma is great!IntersectionIntersectionBut maybe the boss prefers a little lighter coffee, which is a bit too water for me, so give four stars ~ (just do not fit your appetite, but it will not be delicious!)
*A person who has the closer beans can be referred to the person who wants to make a hand -to -hand ~
-
🏠 Environment:
The small is very warm, which can accommodate 20 people and not crowded.Light brightness is moderate, suitable for reading or discussing business affairs.The volume of music and selection are great, you will not hear the super loud black plum sauce ==
(TMI Li Ronghao is not bad, but really hear it badly, can Louisa change the song list?)
-
🔔 Conclusion:
The environment is very comfortable, I will try to try other meals again next time I will try again ~
(The price of take -out and inside is very honest, and you appreciate this style!)",False
"有插座WiFi，網路快
餐點好吃，有不少鹹食的選擇。

假日限時2小時
是真的限時2小時，後面沒客人/咖啡廳還有空位，也得離開～
算比較少見的硬規定。
（不過後來詢問，後面沒有客人候位的話，那我可以再點一杯低消飲料，當作新客人入座繼續待著嗎？ 店員有給這個彈性）","There are socket wifi, fast Internet
The meal is delicious, there are many salty choices.

Holiday limit 2 hours
It is really 2 hours in a limited time, and there are no guests in the back/cafe and there are vacant positions. You have to leave ~
There are relatively rare hard regulations.
(But later asked, if there was no guest waiting in the back, can I order another low drink, as a new guest, continue to stay? The clerk has this elasticity)",False
"簡單寬敞的咖啡店，座位有插座，人少不限時，提拉米蘇偏好吃，夠濕潤不會太甜，但喜歡再苦一點點的。店員冷靜不會一直大聲聊天👍🏼
唯一個小缺點是今天用到的餐具包括茶杯、叉子都太難拿了吧🤣造型很可愛但使用上有點小不便，除此之外都很好，是會再訪的店。","Simple and spacious coffee shops, there are sockets in the seats. When there are fewer people, Tiramisu prefers delicious. It will not be too sweet enough, but they like to be bit bitter.The clerk is calm and will not chat loudly all the time 👍🏼
The only small disadvantage is that the tableware used today includes the tea cup and the fork. It is too difficult to take it. 🤣 The shape is very cute, but it is a bit inconvenient to use. It is very good. It is a shop that will be visited again.",False
"超級推薦！
因為大雨路過，卻意外發現的好店！
點了一杯美式，入口後在嘴裡有股甜甜的味道散發出來……培茶巴斯克的茶香更是讓我驚為天人！
一定會找時間再來二訪的一間店！","Super recommended!
A good shop because of heavy rain, but unexpectedly discovered!
I ordered a cup of American style, and after the entrance, there was a sweet taste in my mouth. I was shocked by the tea fragrance of Perachabask!
I will definitely find time to come to a shop in the second visit!",False
位在靜巷內、忙裡偷閒的好地方。個人推薦：氣泡飲料。,It is located in a good place in Jingxiang and busy.Personal recommendation: bubble drink.,False
"很 chill 的咖啡店。提供 插座 在部分座位旁。只收現金。
店員友善。環境尚稱整潔。
甜點（例如提拉米蘇、巴斯克蛋糕等）在晚上可能會賣完。想吃的話記得先問問店家，避免撲空！
這次太熱吃個阿菲卡朵，還不錯。下次來喝喝看他們的咖啡～
雖然有限時但不太影響（坐 2 小時坐滿也夠了）","Very Chill coffee shop.Provide sockets next to some seats.Cash only.
The clerk is friendly.The environment is still clean.
Dessert (such as Tiramisu, Basque cake, etc.) may be sold at night.If you want to eat, remember to ask the store first to avoid fluttering!
It ’s not bad to eat an Afforde this time.Next time I come to drink and watch their coffee ~
Although it is limited, it does not affect (it is enough to sit for 2 hours)",False
"今晚我要來點啤酒加毛豆，再外加紅茶孝敬あの人！其中啤酒的選擇真的蠻多樣的，如果不常在喝肯定是選擇困難，好在店員非常熱心聽取需求，並依據個人口味偏好推薦啤酒種類，基本上(應該)是不會踩雷的。

氣氛方面也是相當不錯，不管是要閒聊、看書、工作、品嚐美食佳釀，都非常適合，非常推薦前往試試。不過晚餐後位子會滿得蠻快的，老朋友的建議，如果方便還是先訂個位吧～","Tonight I will come to some beer and edamame, and then add black tea filial piety to あ の!Among them, the choice of beer is really diverse. If you are not often drinking, it is definitely difficult to choose. Fortunately, the clerk is very enthusiastic about listening to the needs and recommend beer types based on personal taste preferences. Basically, (should) not step on the thunder.

The atmosphere is also quite good. Whether it is to chat, read books, work, taste food wines, it is very suitable. It is recommended to try it very much.However, the seat will be quite fast after dinner. The suggestion of the old friend, if it is convenient, order a digit first ~",False
"選了一個禮拜五的晚上探訪
開在京站附近的小巷內
怕沒位子提前先訂位
現場的座位不算多
但多人聚會的空間是寬敞的
座位有室內室外
但室外看起來比較像是開放給會抽菸的
✔️高麗菜水餃 120
單顆看起來頗大顆
整個味道也頗好的
蠻想問服務人員是在哪進的食材🤭
✔️美式咖啡 90
價錢雖不貴但口感偏水
✔️薯餅 100
覺得沒有炸的很好
一口咬下偏軟沒有酥脆口感

整體而言
是間不限時深夜咖啡廳
本來想嘗試甜點
但現場能選的項目不多
想在夜晚喝點咖啡或啤酒
或跟跟三五好友小聚可以搜尋此店","Viewed for a week on Friday
Open in the alley near Beijing Station
I'm afraid there is no seat to book a place in advance
There are not many seats on the scene
But the space of multiple people's gatherings is spacious
The seat has indoor and outdoor
But outdoors look more like open to smoking
12️ Kaolica dumplings 120
A single one looks quite big
The whole taste is also quite good
I want to ask where the service staff is in the ingredients 🤭
9️ American Coffee 90
Although the price is not expensive, it tastes water
00️ Potato cake 100
I don't think it's good to be fried
Bite a bite, soft and crispy mouth

Overall
It is unlimited late -night cafe
I wanted to try desserts
But there are not many items that can be selected on the spot
I want to drink coffee or beer at night
Or you can search for this shop with three or five friends Xiaolu",False
"食物好吃，環境舒適。

沒有網路訂位，要早點去才有位子。","The food is delicious and the environment is comfortable.

There is no online booking, you have to go earlier to have a seat.",False
"1.氣氛
適合聊天，也適合在這裡靜靜地看書，很多座位都有插座可以使用
2.餐點
✨乾拌麵：可以選擇要不要加蛋，微辣的醬料很開胃
✨冰美式：我很喜歡！微酸的口感剛剛好，而且比我想得還大杯耶！
✨巴斯克蛋糕：今天蛋糕櫃裡有原味和抹茶，口感入口即化，一旁的鮮奶油點綴很可愛
整體都是很棒的小店，在巷子裡的寶藏小店🤍","1. Atmosphere
Suitable for chatting, and it is also suitable for reading books quietly here. Many seats have sockets to use
2. Meal
要 dry noodles: You can choose to add eggs, slightly spicy sauce is appetizing
很 我 ✨ ✨: I like it very much!The slightly sour taste is just right, and it is even more big than I think!
： Basque cake: Today the cake cabinet has the original flavor and matcha, the taste of the taste is melted, and the fresh cream on the side is very cute
The overall is a great shop, the treasure shop in the alley 🤍",False
"內用桌子很大 大部份位置都有插座 也有wifi 平日不限時 低消一份飲品 適合工作或讀書

✨餐點
🍴起司盤 $180 ❤️❤️❤️🤍🤍
有葡萄乾、各式堅果與起司 吃得出90%是 Costco 的 沒有什麼特別

🍴咖啡冰磚 $130 ❤️❤️❤️❤️🤍
牛奶是比較濃厚的 加上咖啡冰磚 需要久一點才能喝到 適合工作或唸書慢慢喝的步調

✨服務
店員人滿好的 願意讓我們一人一桌 因為我們有帶電腦 不過平日只有一人 所以有時候店員可能在廚房煮東西 會需要一點時間等待結帳或帶位 平日下午人潮差不多八成滿

✨環境
沒有什麼華麗的裝飾 但是空間很寬敞舒適","Most of the places in the table have sockets, and WiFi is not limited to low time to disappear. One drink is suitable for work or reading.

Meal
8 8 🍴 $ 180 ❤️❤️❤️🤍🤍
There are raisins, all kinds of nuts and cheese. 90%is Costco.

砖 Coffee ice brick $ 130 ❤️❤️❤️❤️🤍
Milk is a relatively strong plus coffee ice brick, it takes a little longer to drink the pace that is suitable for working or studying slowly

✨ ✨ ✨ ✨ ✨ ✨ ✨
The clerk is full of good willingness to make us one table one table because we have a computer but we only have one person on weekdays, so sometimes the clerk may take a little time to wait for checkout or bring about 80 % of the people in the afternoon in the afternoon.

Rigid environment
There is no gorgeous decoration, but the space is very spacious and comfortable",False
"1.臨時起意沒吃到香菜水餃，甚是可惜。
2.熟客、訂位客感覺很多，雖不到排隊，但人潮絲毫沒有停下來。
3.店內音樂品味很讚，令人陶醉不已。
4.當天點的水餃乾拌麵都是家常冷凍菜，很有在家隨便亂煮叫一杯咖啡來喝的愜意感覺。
5.裝潢有種去親戚家的感覺，輕鬆中帶點特別，平凡中帶點巧思。

#高麗菜水餃 10顆 100元
#乾拌麵 100元
#咖啡拿鐵 140元
#肉桂烤糖卡布 160元","1. It is a pity not to eat coriander dumplings temporarily.
2. There are a lot of cooked customers and bookkeepers. Although they are not queuing, the crowds do not stop at all.
3. The taste of music in the store is very good and intoxicated.
4. The dried noodles ordered the dumplings on the day are often frozen vegetables at home. They are very randomly cooked at home and called a cup of coffee to drink.
5. The decoration has a feeling of going to relatives' homes. It is easy to bring a little bit, and ordinary.

#100 yuan 100 yuan
#100 yuan
#Coffee latte 140 yuan
#160 yuan",False
"位在京站附近的巷弄，內用空間寬敞，位置有插座還有Wi-Fi 。
平日不限時，很適合看書放鬆或是工作。(店內的音樂蠻好聽的!

🔸拿鐵咖啡 $140
牛奶濃厚，咖啡味偏苦

🔸乾拌麵$100 (+15 蛋
意外的蠻涮嘴，是微辣醬油風味，而是手工麵條製作，適合當午餐

#1027","Located in the alleys near Beijing Station, the inside is spacious, with sockets and Wi-Fi.
It is very suitable for reading or work when you are unlimited on weekdays.(The music in the store is pretty nice!

$ Latte coffee $ 140
Milk is strong, coffee flavor is bitter

00 dry noodles $ 100 (+15 eggs
The unexpected pouting mouth is the flavor of slightly spicy soy sauce, but it is made of handmade noodles, suitable for lunch

#1027",False
"instagram: kou_vintage (賣古著的）

北車夜間hang out 的好去處
開到12. 旁邊就是捷運站 宵夜晚餐都好解決
適合工作 不會太吵雜 店員蠻可愛
餐點價格不算便宜 不過以咖啡廳來說 挺好吃
抵消飲料一杯","Instagram: Kou_vintage (selling ancient ones)

Hang OUT's good place at night
Open to 12. Next is the MRT Station's supper dinner is easy to solve
It is not too noisy to work too much
The price of the meal is not cheap, but it is delicious for the cafe.
Cancel a drink of drink",False
"▪️香菜水餃×每一顆都很大顆
皮偏中等 香菜不是到濃郁型的 整體很好吃👍
▪️XO醬乾拌麵×味道超棒加上半熟蛋👍不會鹹
▪️松露香腸Pizza×前面兩樣太強 這個就有點普🤣
友人覺得好吃

▪️焦糖脆脆×好吃的只有脆脆 也許有脆脆的甜
戚風體淡淡的味到 略微扎實的口感

▫️紅茶×無糖紅茶可自行加糖
▫️百香柳橙氣泡×很清爽不甜微酸的一杯

⭐️悠悠飲食參考：
甜：手搖飲半糖>偶爾3分糖
鹹：蠻重鹹的
辣：中辣","▪️ Coriander dumplings × Each one is very large
Skin is not a strong overall as a whole.
▪️ xo sauce dried noodles × taste superb and half -cooked eggs 👍 will not be salty
▪️ truffle sausage pizza × The first two are too strong. This is a bit universal
Friends feel delicious

▪️ Carameter crispy × delicious only is crispy and crispy and sweet
Qi Feng's taste is a faint taste to slightly solid taste

无️ Black tea × sugar -free black tea can add sugar by yourself
泡️ Baixiang Orange Bubble × A cup of refreshing and not sweet and sour

食 ️ Yoyou diet reference:
Sweet: Hand shake half sugar> Occasionally 3 points sugar
Salted: pretty salty
Spicy: medium spicy",False
